"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Gaultheria trichophylla","19","5.629954","0.017966","0.004122","1.1e-05","Gaultheria trichophylla","19","6.960666","0.649","0.148891","0.010484","Gaultheria trichophylla","19","6.96014","0.264699","0.060726","0.002286","Gaultheria trichophylla","19","9.044919","0.354083","0.081232","0.008493"
"2","Dimorphanthera kempteriana","11","5.676842","0.015874","0.004786","2e-05","Dimorphanthera kempteriana","11","8.004734","0.362284","0.109233","0.018109","Dimorphanthera kempteriana","10","7.223226","0.11774","0.037233","0.004343","Dimorphanthera kempteriana","10","9.941756","0.204282","0.0646","0.016136"
"3","Erica arborea","149","5.659387","0.011363","0.000931","1e-06","Erica arborea","149","6.613284","0.39372","0.032255","0.001337","Erica arborea","149","7.232337","0.172835","0.014159","0.000291","Erica arborea","149","8.526592","0.498971","0.040877","0.001083"
"4","Vaccinium calycinum","3","5.673585","0.00862","0.004977","7.2e-05","Vaccinium calycinum","3","7.671455","0.662936","0.382746","0.0664","Vaccinium calycinum","3","7.207512","0.182579","0.105412","0.014475","Vaccinium calycinum","3","9.611765","0.422727","0.244062","0.053788"
"5","Vaccinium corymbosum","97","5.644637","0.008059","0.000818","2e-06","Vaccinium corymbosum","97","6.922157","0.168901","0.017149","0.002054","Vaccinium corymbosum","97","6.978785","0.117085","0.011888","0.000448","Vaccinium corymbosum","97","9.175187","0.175902","0.01786","0.001664"
"6","Trochocarpa laurina","20","5.671295","0.010293","0.002302","1.1e-05","Trochocarpa laurina","20","7.102794","0.213816","0.047811","0.00996","Trochocarpa laurina","20","7.371633","0.103641","0.023175","0.002171","Trochocarpa laurina","20","8.926281","0.190597","0.042619","0.008068"
"7","Cavendishia martii","16","5.659845","0.017159","0.00429","1.4e-05","Cavendishia martii","16","7.136593","0.57718","0.144295","0.01245","Cavendishia martii","16","7.251699","0.081015","0.020254","0.002714","Cavendishia martii","16","9.022028","0.488301","0.122075","0.010085"
"8","Gaultheria borneensis","7","5.668008","0.033068","0.012499","3.1e-05","Gaultheria borneensis","7","7.704814","0.189778","0.071729","0.028457","Gaultheria borneensis","7","6.905316","0.53411","0.201875","0.006204","Gaultheria borneensis","7","10.29583","0.796738","0.301139","0.023052"
"9","Sphyrospermum cordifolium","86","5.676604","0.014101","0.001521","3e-06","Sphyrospermum cordifolium","86","7.669824","0.470261","0.05071","0.002316","Sphyrospermum cordifolium","86","7.207659","0.144102","0.015539","0.000505","Sphyrospermum cordifolium","86","9.588619","0.419679","0.045255","0.001876"
"10","Macleania rupestris","49","5.657986","0.01558","0.002226","4e-06","Macleania rupestris","49","7.386225","0.533878","0.076268","0.004065","Macleania rupestris","49","7.079722","0.14933","0.021333","0.000886","Macleania rupestris","49","9.374029","0.53476","0.076394","0.003293"
"11","Tepuia cardonae","1","5.665908",NA,NA,"0.000217","Tepuia cardonae","1","8.236421",NA,NA,"0.1992","Tepuia cardonae","1","7.336286",NA,NA,"0.043426","Tepuia cardonae","1","9.619465",NA,NA,"0.161363"
"12","Empetrum nigrum","890","5.608845","0.021309","0.000714","0","Empetrum nigrum","890","6.402746","0.634361","0.021264","0.000224","Empetrum nigrum","850","6.42953","0.263139","0.009026","5.1e-05","Empetrum nigrum","849","9.212243","0.530797","0.018217","0.00019"
"13","Vaccinium oxycoccos","624","5.62461","0.015067","0.000603","0","Vaccinium oxycoccos","624","6.605495","0.399795","0.016005","0.000319","Vaccinium oxycoccos","620","6.616789","0.207544","0.008335","7e-05","Vaccinium oxycoccos","620","9.214559","0.353537","0.014198","0.00026"
"14","Agapetes hosseana","1","5.666254",NA,NA,"0.000217","Agapetes hosseana","1","7.305188",NA,NA,"0.1992","Agapetes hosseana","1","7.268223",NA,NA,"0.043426","Agapetes hosseana","1","8.973098",NA,NA,"0.161363"
"15","Gaultheria leucocarpa","48","5.671174","0.012067","0.001742","5e-06","Gaultheria leucocarpa","48","7.413573","0.543443","0.078439","0.00415","Gaultheria leucocarpa","48","7.055919","0.175367","0.025312","0.000905","Gaultheria leucocarpa","48","9.592119","0.487088","0.070305","0.003362"
"16","Erica scoparia","74","5.657617","0.009699","0.001127","3e-06","Erica scoparia","74","6.614343","0.304792","0.035431","0.002692","Erica scoparia","73","7.170433","0.18811","0.022017","0.000595","Erica scoparia","73","8.623625","0.47344","0.055412","0.00221"
"17","Vaccinium bracteatum","143","5.673889","0.011224","0.000939","2e-06","Vaccinium bracteatum","143","7.31036","0.355746","0.029749","0.001393","Vaccinium bracteatum","143","7.141741","0.11219","0.009382","0.000304","Vaccinium bracteatum","143","9.420325","0.321663","0.026899","0.001128"
"18","Pyrola grandiflora","305","5.587769","0.017633","0.00101","1e-06","Pyrola grandiflora","305","5.82355","0.578286","0.033113","0.000653","Pyrola grandiflora","293","6.236969","0.289031","0.016885","0.000148","Pyrola grandiflora","293","8.829913","0.498213","0.029106","0.000551"
