"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Gaultheria trichophylla","19","5.542105","5.031602","1.154329","0.874649","Gaultheria trichophylla","19","1270.684211","779.00521","178.716052","11759.356395","Gaultheria trichophylla","19","1084.368421","232.237477","53.278931","1796.463808","Gaultheria trichophylla","19","8990.473684","3160.674847","725.10854","1568993.302892"
"2","Dimorphanthera kempteriana","11","18.909091","4.63777","1.39834","1.510757","Dimorphanthera kempteriana","11","3182.090909","1194.067122","360.024783","20311.615591","Dimorphanthera kempteriana","10","1379.4","160.25133","50.67592","3413.281235","Dimorphanthera kempteriana","10","21177.8","4389.417876","1388.055809","2981087.275495"
"3","Erica arborea","149","13.84094","3.247203","0.266021","0.111532","Erica arborea","149","804.489933","328.372659","26.901336","1499.515245","Erica arborea","149","1403.469799","231.847939","18.993723","229.079277","Erica arborea","149","5719.261745","2979.740331","244.109839","200072.97151"
"4","Vaccinium calycinum","3","17.933333","2.514624","1.451819","5.539442","Vaccinium calycinum","3","2434","1268.062696","732.116339","74475.923835","Vaccinium calycinum","3","1365","258.557537","149.278264","11377.604115","Vaccinium calycinum","3","15779","5833.083833","3367.732521","9936957.584984"
"5","Vaccinium corymbosum","97","9.629897","2.284739","0.23198","0.171323","Vaccinium corymbosum","97","1029.041237","176.286989","17.899232","2303.379088","Vaccinium corymbosum","97","1080.979381","128.321859","13.029111","351.884663","Vaccinium corymbosum","97","9810.948454","1867.843099","189.650733","307328.585103"
"6","Trochocarpa laurina","20","17.275","2.975669","0.66538","0.830916","Trochocarpa laurina","20","1241.7","263.509932","58.922612","11171.388575","Trochocarpa laurina","20","1598.05","156.564927","35.008982","1706.640617","Trochocarpa laurina","20","7653","1394.128628","311.736638","1490543.637748"
"7","Cavendishia martii","16","13.99375","4.90856","1.22714","1.038645","Cavendishia martii","16","1441","742.603438","185.65086","13964.235719","Cavendishia martii","16","1414.8125","113.377375","28.344344","2133.300772","Cavendishia martii","16","9271","5135.432744","1283.858186","1863179.547185"
"8","Gaultheria borneensis","7","16.442857","9.568848","3.616685","2.374046","Gaultheria borneensis","7","2253.285714","423.417727","160.036858","31918.253072","Gaultheria borneensis","7","1114.285714","515.207956","194.730304","4876.116049","Gaultheria borneensis","7","39075.285714","32391.46939","12242.824658","4258696.10785"
"9","Sphyrospermum cordifolium","86","18.834884","4.113758","0.443598","0.193236","Sphyrospermum cordifolium","86","2384.348837","1141.482584","123.089233","2597.997343","Sphyrospermum cordifolium","86","1363.511628","193.983186","20.917745","396.893167","Sphyrospermum cordifolium","86","15938.418605","6995.439329","754.337623","346638.05529"
"10","Macleania rupestris","49","13.455102","4.507219","0.643888","0.339149","Macleania rupestris","49","1833.510204","935.703348","133.671907","4559.750439","Macleania rupestris","49","1200.77551","182.003579","26.000511","696.588007","Macleania rupestris","49","13232.612245","6284.232427","897.74749","608385.158264"
