"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Dupineta brazzae","47","5.688324","0.00809","0.00118","2e-06","Dupineta brazzae","47","7.400353","0.265569","0.038737","0.002523","Dupineta brazzae","47","7.244441","0.153414","0.022378","0.000261","Dupineta brazzae","47","9.353529","0.307612","0.04487","0.002485"
"2","Dissotis thollonii","11","5.697205","0.011178","0.00337","7e-06","Dissotis thollonii","11","7.231635","0.42482","0.128088","0.010781","Dissotis thollonii","11","7.585574","0.194518","0.058649","0.001117","Dissotis thollonii","11","8.815308","0.541554","0.163285","0.010617"
"3","Maieta guianensis","171","5.695994","0.00741","0.000567","0","Maieta guianensis","171","7.858642","0.256242","0.019595","0.000694","Maieta guianensis","171","7.214048","0.107214","0.008199","7.2e-05","Maieta guianensis","171","9.841872","0.248968","0.019039","0.000683"
"4","Memecylon zenkeri","12","5.693267","0.005839","0.001686","6e-06","Memecylon zenkeri","12","7.740474","0.29244","0.08442","0.009883","Memecylon zenkeri","12","7.144797","0.063668","0.018379","0.001024","Memecylon zenkeri","12","9.79631","0.239254","0.069067","0.009732"
"5","Calvoa orientalis","27","5.688308","0.005779","0.001112","3e-06","Calvoa orientalis","27","7.443773","0.168095","0.03235","0.004392","Calvoa orientalis","27","7.17443","0.117217","0.022558","0.000455","Calvoa orientalis","27","9.407705","0.258252","0.049701","0.004325"
"6","Pachycentria constricta","16","5.691743","0.01245","0.003112","5e-06","Pachycentria constricta","16","7.947573","0.263674","0.065918","0.007412","Pachycentria constricta","16","7.26461","0.108445","0.027111","0.000768","Pachycentria constricta","16","9.793532","0.241262","0.060316","0.007299"
"7","Memecylon edule","36","5.698837","0.00858","0.00143","2e-06","Memecylon edule","36","7.764612","0.380573","0.063429","0.003294","Memecylon edule","35","7.38745","0.093445","0.015795","0.000351","Memecylon edule","35","9.512412","0.469619","0.07938","0.003337"
"8","Leandra crenata","18","5.667271","0.018164","0.004281","4e-06","Leandra crenata","18","6.97983","0.345346","0.081399","0.006589","Leandra crenata","18","7.350091","0.110237","0.025983","0.000682","Leandra crenata","18","8.733255","0.441874","0.104151","0.006488"
"9","Astronia macrophylla","18","5.691153","0.018709","0.00441","4e-06","Astronia macrophylla","18","7.917045","0.277244","0.065347","0.006589","Astronia macrophylla","17","7.223157","0.24422","0.059232","0.000723","Astronia macrophylla","17","9.896965","0.31924","0.077427","0.00687"
"10","Dinophora spenneroides","43","5.693562","0.004534","0.000691","2e-06","Dinophora spenneroides","43","7.616657","0.281037","0.042858","0.002758","Dinophora spenneroides","43","7.076378","0.09921","0.015129","0.000286","Dinophora spenneroides","43","9.708366","0.207553","0.031652","0.002716"
