"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Dupineta brazzae","47","22.257447","2.387717","0.348284","0.136834","Dupineta brazzae","47","1694.638298","465.073647","67.837964","13471.209228","Dupineta brazzae","47","1416.212766","211.279944","30.818347","529.488543","Dupineta brazzae","47","12074.106383","3637.117553","530.528121","605490.382539"
"2","Dissotis thollonii","11","24.9","3.31391","0.999181","0.584654","Dissotis thollonii","11","1505.636364","672.134997","202.656327","57558.803064","Dissotis thollonii","11","2002.363636","366.037777","110.364542","2262.360139","Dissotis thollonii","11","7738.818182","4386.837353","1322.681229","2587095.27085"
"3","Maieta guianensis","171","24.530409","2.154342","0.164747","0.037609","Maieta guianensis","171","2673.614035","695.679788","53.199963","3702.613063","Maieta guianensis","171","1366.216374","148.084535","11.324307","145.531939","Maieta guianensis","171","19411.853801","5183.45452","396.388674","166421.333213"
"4","Memecylon zenkeri","12","23.716667","1.731963","0.499975","0.535933","Memecylon zenkeri","12","2388.5","668.420866","192.956483","52762.236142","Memecylon zenkeri","12","1269.833333","79.966849","23.084441","2073.830128","Memecylon zenkeri","12","18427.083333","4178.017635","1206.089803","2371503.998279"
"5","Calvoa orientalis","27","22.248148","1.704377","0.328008","0.238192","Calvoa orientalis","27","1731.814815","278.814115","53.657801","23449.88273","Calvoa orientalis","27","1314.111111","149.730356","28.81562","921.702279","Calvoa orientalis","27","12541.222222","2860.202512","550.44623","1054001.777013"
"6","Pachycentria constricta","16","23.28125","3.666282","0.91657","0.401949","Pachycentria constricta","16","2915.125","688.1553","172.038825","39571.677106","Pachycentria constricta","16","1436.4375","147.465236","36.866309","1555.372596","Pachycentria constricta","16","18373.1875","3963.385223","990.846306","1778627.998709"
"7","Memecylon edule","36","25.380556","2.543318","0.423886","0.178644","Memecylon edule","36","2515.25","871.201973","145.200329","17587.412047","Memecylon edule","35","1622.4","150.170922","25.383519","711.027472","Memecylon edule","35","14895.6","6057.177309","1023.849835","813087.085124"
"8","Leandra crenata","18","16.138889","5.185629","1.222264","0.357288","Leandra crenata","18","1138.444444","410.727364","96.809368","35174.824094","Leandra crenata","18","1565.055556","165.76861","39.072036","1382.553419","Leandra crenata","18","6761","2780.533212","655.377963","1581002.66552"
"9","Astronia macrophylla","18","23.133333","5.459476","1.286811","0.357288","Astronia macrophylla","18","2847.388889","835.294463","196.880793","35174.824094","Astronia macrophylla","17","1404.470588","276.460015","67.051403","1463.88009","Astronia macrophylla","17","20841.882353","6691.932044","1623.031921","1674002.822315"
"10","Dinophora spenneroides","43","23.802326","1.346333","0.205314","0.149563","Dinophora spenneroides","43","2112.55814","607.397387","92.627233","14724.34497","Dinophora spenneroides","43","1189.44186","120.085942","18.312934","578.743291","Dinophora spenneroides","43","16790.302326","3300.394778","503.305485","661815.069287"
"11","Memecylon flavovirens","20","20.105","2.382276","0.532693","0.32156","Memecylon flavovirens","20","1193.45","228.431142","51.078756","31657.341685","Memecylon flavovirens","20","1761.8","177.49977","39.690155","1244.298077","Memecylon flavovirens","20","6667.3","1534.305641","343.081171","1422902.398968"
"12","Tristemma oreophilum","16","23.24375","1.403315","0.350829","0.401949","Tristemma oreophilum","16","2145.1875","462.366697","115.591674","39571.677106","Tristemma oreophilum","16","1108.125","65.268548","16.317137","1555.372596","Tristemma oreophilum","16","17857.1875","1903.722431","475.930608","1778627.998709"
"13","Tristemma demeusei","12","22.941667","1.822814","0.526201","0.535933","Tristemma demeusei","12","2056.916667","546.492528","157.758804","52762.236142","Tristemma demeusei","12","1212.416667","145.266187","41.934736","2073.830128","Tristemma demeusei","12","16393.666667","3736.950856","1078.764791","2371503.998279"
"14","Melastoma beccarianum","6","24.25","2.558711","1.044589","1.071865","Melastoma beccarianum","6","2684.333333","613.636592","250.51609","105524.472283","Melastoma beccarianum","6","1556.333333","89.300989","36.456976","4147.660256","Melastoma beccarianum","6","16572.5","3591.217106","1466.108244","4743007.996559"
"15","Melastoma orientale","14","25.871429","1.84867","0.494078","0.459371","Melastoma orientale","14","2699.071429","985.646173","263.42502","45224.773836","Melastoma orientale","13","1672.538462","123.458235","34.241154","1914.304733","Melastoma orientale","13","13894.153846","5189.598184","1439.335565","2189080.613796"
"16","Dissochaeta divaricata","57","25.529825","1.943117","0.257372","0.112828","Dissochaeta divaricata","57","2701.754386","754.072261","99.879311","11107.839188","Dissochaeta divaricata","57","1536.578947","121.231176","16.057462","436.595816","Dissochaeta divaricata","57","16851.315789","4318.37156","571.982286","499263.999638"
"17","Melastoma sanguineum","50","23.144","2.997425","0.4239","0.128624","Melastoma sanguineum","50","2046.96","930.031181","131.526271","12662.936674","Melastoma sanguineum","49","1469.122449","189.794915","27.113559","507.876766","Melastoma sanguineum","49","13587.387755","5570.203579","795.743368","580776.489375"
"18","Miconia pepericarpa","34","21.688235","1.895891","0.325143","0.189153","Miconia pepericarpa","34","1310.411765","255.687916","43.850116","18621.965697","Miconia pepericarpa","34","1474.058824","98.979319","16.974813","731.940045","Miconia pepericarpa","34","9279.529412","1918.36002","328.996029","837001.411157"
"19","Miconia alborufescens","66","23.439394","2.067319","0.254469","0.097442","Miconia alborufescens","66","1710.333333","745.932918","91.817995","9593.133844","Miconia alborufescens","66","1530.227273","113.030125","13.913047","377.060023","Miconia alborufescens","66","10972.439394","4520.073301","556.382562","431182.545142"
"20","Pseudoernestia glandulosa","6","25.083333","0.584523","0.238631","1.071865","Pseudoernestia glandulosa","6","3135.666667","1168.996778","477.240936","105524.472283","Pseudoernestia glandulosa","6","1588.833333","52.277784","21.342316","4147.660256","Pseudoernestia glandulosa","6","16086.5","4885.303051","1994.416619","4743007.996559"
"21","Miconia racemosa","29","25.017241","1.53322","0.284712","0.221765","Miconia racemosa","29","2109.724138","756.741978","140.523458","21832.649438","Miconia racemosa","29","1665.586207","96.492974","17.918295","858.136605","Miconia racemosa","29","11573.068966","3425.280937","636.058702","981311.999288"
"22","Miconia ciliata","233","24.550644","2.216049","0.145178","0.027602","Miconia ciliata","233","2119.39485","889.468293","58.271005","2717.368385","Miconia ciliata","229","1528.157205","153.687629","10.155964","108.672321","Miconia ciliata","229","13768.139738","5638.021992","372.57098","124270.951875"
"23","Siphanthera hostmannii","30","23.006667","2.688024","0.490764","0.214373","Siphanthera hostmannii","30","2720.3","936.034856","170.895802","21104.894457","Siphanthera hostmannii","30","1470.3","149.366051","27.270385","829.532051","Siphanthera hostmannii","30","17180.933333","5099.797311","931.091342","948601.599312"
"24","Antherotoma naudinii","65","18.836923","3.120926","0.387103","0.098941","Antherotoma naudinii","65","1454.2","495.346161","61.44013","9740.720518","Antherotoma naudinii","65","1663.4","257.459147","31.933877","382.860947","Antherotoma naudinii","65","8088.415385","2861.114926","354.87763","437816.122759"
"25","Pternandra cogniauxii","21","25.142857","1.640601","0.358008","0.306247","Pternandra cogniauxii","21","3225.619048","857.079079","187.029988","30149.849224","Pternandra cogniauxii","21","1508.809524","63.205711","13.792617","1185.045787","Pternandra cogniauxii","21","20200","5223.919037","1139.952591","1355145.141874"
"26","Pternandra coerulescens","64","25.917188","1.906177","0.238272","0.100487","Pternandra coerulescens","64","2717.484375","871.301307","108.912663","9892.919277","Pternandra coerulescens","61","1619.770492","195.587099","25.042362","407.966583","Pternandra coerulescens","61","16683.786885","5690.034543","728.53427","466525.376711"
"27","Melastoma malabathricum","173","22.310983","3.703855","0.281599","0.037175","Melastoma malabathricum","173","2179.595376","970.543206","73.789034","3659.808287","Melastoma malabathricum","169","1444.83432","212.341248","16.333942","147.25421","Melastoma malabathricum","169","14758.029586","6098.523078","469.11716","168390.816446"
"28","Adelobotrys adscendens","90","23.7","1.96686","0.207325","0.071458","Adelobotrys adscendens","90","2856.6","1113.500865","117.373297","7034.964819","Adelobotrys adscendens","90","1483.677778","204.258144","21.530699","276.510684","Adelobotrys adscendens","90","19214.844444","7861.565294","828.681743","316200.533104"
"29","Miconia multispicata","68","23.555882","3.934212","0.477093","0.094576","Miconia multispicata","68","2707.044118","1174.218285","142.394883","9310.982849","Miconia multispicata","67","1464.880597","182.84772","22.338404","371.432262","Miconia multispicata","67","18469.656716","7872.186625","961.740666","424746.984766"
"30","Miconia poeppigii","138","24.743478","2.552399","0.217275","0.046603","Miconia poeppigii","138","2335.007246","650.376662","55.363738","4588.020534","Miconia poeppigii","139","1435.489209","165.26068","14.017228","179.035694","Miconia poeppigii","139","16470.863309","5041.962971","427.653718","204734.158125"
"31","Memecylon amshoffiae","2","24.95","0.070711","0.05","3.215595","Memecylon amshoffiae","2","2129.5","62.932504","44.5","316573.41685","Memecylon amshoffiae","2","1204.5","126.572114","89.5","12442.980767","Memecylon amshoffiae","2","16722.5","559.321464","395.5","14229023.989676"
"32","Plethiandra hookeri","11","20.990909","6.680487","2.014243","0.584654","Plethiandra hookeri","11","3533.363636","1181.519976","356.241677","57558.803064","Plethiandra hookeri","11","1340.181818","313.490293","94.52088","2262.360139","Plethiandra hookeri","11","25173.272727","11551.541915","3482.920935","2587095.27085"
"33","Sonerila obliqua","16","25.55625","1.53925","0.384812","0.401949","Sonerila obliqua","16","2909.4375","967.934224","241.983556","39571.677106","Sonerila obliqua","16","1508.8125","70.149572","17.537393","1555.372596","Sonerila obliqua","16","17861.125","4363.216579","1090.804145","1778627.998709"
"34","Tristemma mauritianum","96","22.919792","2.705846","0.276164","0.066992","Tristemma mauritianum","96","1888.729167","638.853718","65.202735","6595.279518","Tristemma mauritianum","94","1452.851064","281.485383","29.033","264.744272","Tristemma mauritianum","94","12679.510638","4547.734674","469.063017","302745.19127"
"35","Miconia prasina","422","24.173934","2.567434","0.124981","0.01524","Miconia prasina","422","2104.646919","909.279371","44.263027","1500.347947","Miconia prasina","414","1521.507246","182.278885","8.958518","60.111018","Miconia prasina","415","13832.575904","6094.283137","299.156593","68573.609589"
"36","Miconia holosericea","205","24.816585","1.418097","0.099044","0.031372","Miconia holosericea","205","2079.282927","664.470118","46.408606","3088.52114","Miconia holosericea","204","1492.72549","144.368791","10.107837","121.990008","Miconia holosericea","204","13827.593137","4371.555398","306.070098","139500.235193"
"37","Memecylon pauciflorum","68","26.088235","1.505466","0.182565","0.094576","Memecylon pauciflorum","68","1315.867647","368.260854","44.658188","9310.982849","Memecylon pauciflorum","63","2196.746032","216.535698","27.280934","395.015262","Memecylon pauciflorum","63","6062.793651","2540.740038","320.103157","451715.047291"
"38","Memecylon scutellatum","33","25.118182","2.520473","0.438758","0.194885","Memecylon scutellatum","33","1958.848485","898.772813","156.456265","19186.267688","Memecylon scutellatum","32","1680","157.22349","27.793449","777.686298","Memecylon scutellatum","32","11536.71875","4973.577522","879.212598","889313.999355"
"39","Henriettea succosa","113","25.029204","1.632848","0.153605","0.056913","Henriettea succosa","113","2215.79646","824.452114","77.557931","5603.069325","Henriettea succosa","110","1559.790909","138.365697","13.192652","226.236014","Henriettea succosa","110","13554.954545","4608.148545","439.369724","258709.527085"
"40","Miconia abbreviata","48","24.125","1.992913","0.287652","0.133983","Miconia abbreviata","48","2740.8125","1042.650645","150.493658","13190.559035","Miconia abbreviata","48","1349.145833","180.723015","26.08512","518.457532","Miconia abbreviata","48","20112.583333","7386.055153","1066.085233","592875.99957"
"41","Memecylon laurentii","18","23.516667","1.183837","0.279033","0.357288","Memecylon laurentii","18","2054.055556","542.425541","127.850926","35174.824094","Memecylon laurentii","18","1134.222222","101.539651","23.933125","1382.553419","Memecylon laurentii","18","16837.111111","2681.848636","632.117786","1581002.66552"
"42","Tristemma littorale","7","24.857143","1.23269","0.465913","0.918742","Tristemma littorale","7","2607.285714","669.001922","252.858959","90449.547672","Tristemma littorale","8","1185.625","110.081707","38.919761","3110.745192","Tristemma littorale","8","19923.75","4052.169146","1432.658141","3557255.997419"
"43","Medinilla rubrifrons","4","23.55","3.442383","1.721192","1.607798","Medinilla rubrifrons","4","2765.5","700.877783","350.438892","158286.708425","Medinilla rubrifrons","3","1448","152.285915","87.922314","8295.320511","Medinilla rubrifrons","3","20666.333333","5929.602882","3423.45782","9486015.993117"
"44","Memecylon cantleyi","18","26.127778","0.910595","0.214629","0.357288","Memecylon cantleyi","18","2627.666667","781.635089","184.233157","35174.824094","Memecylon cantleyi","18","1588.222222","98.959621","23.325006","1382.553419","Memecylon cantleyi","18","15755.722222","4460.34757","1051.314004","1581002.66552"
"45","Memecylon macrodendron","10","24.4","0.821922","0.259915","0.643119","Memecylon macrodendron","10","2243.6","786.281007","248.643886","63314.68337","Memecylon macrodendron","10","1222.1","102.261593","32.337955","2488.596153","Memecylon macrodendron","10","16438.3","3287.907509","1039.727646","2845804.797935"
"46","Aciotis indecora","143","24.748252","2.13353","0.178415","0.044973","Aciotis indecora","143","2850.405594","1161.699127","97.146161","4427.600236","Aciotis indecora","140","1495.028571","168.472398","14.238516","177.756868","Aciotis indecora","140","18169.042857","6944.078029","586.881709","203271.771281"
"47","Miconia ampla","81","24.391358","1.708888","0.189876","0.079397","Miconia ampla","81","2559.123457","858.760537","95.417837","7816.627577","Miconia ampla","81","1448.679012","178.626974","19.847442","307.234093","Miconia ampla","81","18003.234568","6401.113117","711.234791","351333.925671"
"48","Warneckea wildeana","5","24.14","1.450172","0.648537","1.286238","Warneckea wildeana","5","2672.4","408.718485","182.784463","126629.36674","Warneckea wildeana","5","1180","102.085748","45.654134","4977.192307","Warneckea wildeana","5","20568.8","925.737652","414.002464","5691609.59587"
"49","Dissotis perkinsiae","9","21.766667","2.657066","0.885689","0.714577","Dissotis perkinsiae","9","2203.777778","608.376482","202.792161","70349.648189","Dissotis perkinsiae","9","1490","149.387081","49.795694","2765.106837","Dissotis perkinsiae","9","13396.222222","4280.439019","1426.813006","3162005.331039"
"50","Osbeckia australiana","35","27.002857","0.702301","0.118711","0.183748","Osbeckia australiana","35","1204.971429","340.08792","57.485351","18089.909534","Osbeckia australiana","34","2390.352941","203.627986","34.921911","731.940045","Osbeckia australiana","34","5040.205882","1605.048791","275.263597","837001.411157"
"51","Miconia trimera","8","25.0625","0.810533","0.286567","0.803899","Miconia trimera","8","2626.75","668.018338","236.180148","79143.354213","Miconia trimera","8","1575","30.185143","10.67206","3110.745192","Miconia trimera","8","16233.25","2061.774253","728.947278","3557255.997419"
"52","Tibouchina grossa","16","11.26875","3.386979","0.846745","0.401949","Tibouchina grossa","16","1938.25","706.324524","176.581131","39571.677106","Tibouchina grossa","16","1148.1875","108.990653","27.247663","1555.372596","Tibouchina grossa","16","14343.625","3307.115679","826.77892","1778627.998709"
"53","Memecylon arcuatomarginatum","1","25.6",NA,NA,"6.431191","Memecylon arcuatomarginatum","1","2775",NA,NA,"633146.833701","Memecylon arcuatomarginatum","1","1288",NA,NA,"24885.961533","Memecylon arcuatomarginatum","1","20276",NA,NA,"28458047.979352"
"54","Blastus borneensis","21","22.309524","2.952102","0.644201","0.306247","Blastus borneensis","21","3721","891.440744","194.528318","30149.849224","Blastus borneensis","21","1398.238095","137.746472","30.058745","1185.045787","Blastus borneensis","21","21340.238095","5023.427315","1096.20171","1355145.141874"
"55","Clidemia graciliflora","9","23.511111","1.855023","0.618341","0.714577","Clidemia graciliflora","9","2720.666667","727.166246","242.388749","70349.648189","Clidemia graciliflora","9","1292.888889","93.197967","31.065989","2765.106837","Clidemia graciliflora","9","22861.777778","7832.018223","2610.672741","3162005.331039"
"56","Lijndenia laurina","23","25.969565","1.931658","0.402779","0.279617","Lijndenia laurina","23","2946.130435","868.070866","181.005288","27528.123204","Lijndenia laurina","24","1520.708333","114.902787","23.454433","1036.915064","Lijndenia laurina","24","19001.5","5188.520037","1059.102218","1185751.99914"
"57","Memecylon caeruleum","12","23.625","6.263331","1.808068","0.535933","Memecylon caeruleum","12","2366.333333","990.644816","285.974526","52762.236142","Memecylon caeruleum","12","1590.333333","368.050227","106.246949","2073.830128","Memecylon caeruleum","12","15028.25","13743.067027","3967.281724","2371503.998279"
"58","Osbeckia stellata","74","18.118919","3.778841","0.439281","0.086908","Osbeckia stellata","74","1288.959459","462.643075","53.781165","8556.038293","Osbeckia stellata","74","1272.797297","182.351383","21.197918","336.296777","Osbeckia stellata","74","10975.040541","2831.01529","329.098843","384568.215937"
