"","species","temp","prec","pet","aridity","lon","lat"
"1","Cliffortia dregeana",86,756,1615,3156,19.38445,-33.50333
"2","Aphanes arvensis",102,740,735,10895,4.712417,52.69325
"3","Aphanes arvensis",103,792,817,9019,6.129792,51.555089
"4","Aphanes arvensis",106,1229,996,11395,6.391944,46.495278
"5","Aphanes arvensis",88,729,692,11631,9.615317,54.940053
"6","Aphanes arvensis",105,922,901,10512,15.63083,46.76222
"7","Aphanes arvensis",65,538,1177,5926,-0.58,40.4
"8","Aphanes arvensis",107,721,1404,3786,-0.25,38.65
"9","Aphanes arvensis",105,619,908,6834,-0.271231,51.548322
"10","Aphanes arvensis",77,1390,1214,6910,-0.717672,42.514396
"11","Aphanes arvensis",99,589,761,7827,-0.52845,53.517039
"12","Aphanes arvensis",170,786,1443,3927,9.51667,42.1
"13","Aphanes arvensis",93,897,1253,6749,21.85972,38.993061
"14","Aphanes arvensis",77,1416,754,17463,5.71814,58.97009
"15","Aphanes arvensis",80,1439,734,16660,5.68841355008019,58.9328688433348
"16","Aphanes arvensis",119,623,939,8852,11.2875,46.482222
"17","Aphanes arvensis",111,799,952,8594,7.60456,47.51313
"18","Aphanes arvensis",99,821,876,9489,9.21,49.87
"19","Aphanes arvensis",103,603,846,8222,9.516,49.764
"20","Aphanes arvensis",97,974,815,12107,13.04167,48.225
"21","Aphanes arvensis",99,1023,965,7084,10.789444,45.871389
"22","Aphanes arvensis",129,817,1706,5565,25.083333,34.966667
"23","Aphanes arvensis",138,762,1364,5341,9.22596,40.240022
"24","Aphanes arvensis",126,734,1290,5310,9.4588,39.9641
"25","Aphanes arvensis",83,855,859,9454,10.65,48.77
"26","Aphanes arvensis",89,739,830,8479,10.8,49.98
"27","Aphanes arvensis",92,864,870,9934,11.62,48.27
"28","Aphanes arvensis",76,564,770,7473,16.465048,57.277707
"29","Aphanes arvensis",80,598,770,8616,13.37281,55.71921
"30","Aphanes arvensis",80,659,746,8484,13.17177,55.76492
"31","Aphanes arvensis",77,553,779,6477,16.44563,56.53695
"32","Aphanes arvensis",75,540,759,7566,18.53001,57.55081
"33","Aphanes arvensis",75,830,717,11513,13.41788,56.05596
"34","Aphanes arvensis",78,517,752,7066,16.14861,56.65046
"35","Aphanes arvensis",79,589,745,8356,15.1186,56.17794
"36","Aphanes arvensis",70,873,724,11949,13.1067,56.05757
"37","Aphanes arvensis",76,507,709,7046,18.22297,57.429286
"38","Aphanes arvensis",135,545,1328,3696,23.383333,40.466667
"39","Aphanes arvensis",179,442,1684,2309,24.35,37.666667
"40","Aphanes arvensis",137,489,1693,3939,25.5,37.033333
"41","Aphanes arvensis",62,620,697,9003,15.054466,57.589673
"42","Aphanes arvensis",63,561,757,8677,13.846898,58.389094
"43","Aphanes arvensis",68,578,693,9502,14.159527,57.781999
"44","Aphanes arvensis",145,630,1523,4004,23.083333,37.566667
"45","Aphanes arvensis",160,600,1523,3334,25.3,39.866667
"46","Aphanes arvensis",167,502,1708,2727,23.483333,37.45
"47","Aphanes arvensis",63,608,716,8133,14.452079,58.004907
"48","Aphanes arvensis",105,610,1229,6215,21.35,40.783333
"49","Aphanes arvensis",171,555,1728,3910,24.16083,35.215
"50","Aphanes arvensis",147,570,1698,3555,26.016667,36.9
"51","Aphanes arvensis",67,539,766,6968,15.5953,58.36758
"52","Aphanes arvensis",113,569,1277,6293,22.216667,38.683333
"53","Aphanes arvensis",147,586,1584,2776,24.583333,38.833333
"54","Aphanes arvensis",69,612,772,8022,16.379917,57.983884
"55","Aphanes arvensis",81,573,739,8517,14.248547,55.630875
"56","Aphanes arvensis",98,707,931,6743,15.73333,48.20833
"57","Aphanes arvensis",159,684,1406,3726,24.7,40.766667
"58","Aphanes arvensis",69,536,735,7758,15.855371,57.590104
"59","Aphanes arvensis",130,693,1610,4055,26.05,38.433333
"60","Aphanes arvensis",138,543,1318,4513,25.433333,41.2
"61","Aphanes arvensis",99,588,798,7631,0.24241,52.01007
"62","Aphanes arvensis",125,953,1328,6106,2.83,39.8
"63","Aphanes arvensis",110,887,1229,6760,3.026944,42.480556
"64","Aphanes arvensis",66,2112,629,40009,5.8631,60.8342
"65","Aphanes arvensis",70,918,804,10060,10.6897,59.4336
"66","Aphanes arvensis",102,1047,970,17533,10.44167,44.02861
"67","Aphanes arvensis",146,1738,1123,11073,-1.53,43.46
"68","Aphanes arvensis",113,713,1308,4881,-1.14,42.41
"69","Aphanes arvensis",73,859,706,13834,12.6949,57.4813
"70","Aphanes arvensis",124,1259,1055,13497,9.58044,44.22932
"71","Aphanes arvensis",130,578,1325,4692,15.010887,37.934566
"72","Aphanes arvensis",143,733,1454,3891,14.598157,38.013425
"73","Aphanes arvensis",110,1301,1158,7475,2.44,43.669998
"74","Aphanes arvensis",140,1187,1132,11075,-0.69,43.252998
"75","Aphanes arvensis",99,820,856,9602,7.948056,49.152222
"76","Aphanes arvensis",107,472,892,5904,7.956944,49.9675
"77","Aphanes arvensis",102,802,861,10249,8.73722,47.68586
"78","Aphanes arvensis",68,740,799,10760,15.0325,48.51917
"79","Aphanes arvensis",78,777,800,11010,13.58806,49.29806
"80","Aphanes arvensis",83,735,861,8516,17.91306,49.42639
"81","Aphanes arvensis",85,698,846,7274,14.36556,50.55611
"82","Aphanes arvensis",88,527,885,6006,16.65944,49.3425
"83","Aphanes arvensis",87,755,833,7056,17.18444,50.36556
"84","Aphanes arvensis",169,781,NA,NA,8.68694,42.28278
"85","Aphanes arvensis",88,464,837,7142,13.74556,49.97167
"86","Aphanes arvensis",89,659,861,7821,14.45278,49.05444
"87","Aphanes arvensis",98,531,951,6569,17.84056,48.82611
"88","Aphanes arvensis",76,822,788,7118,15.63889,50.46167
"89","Aphanes arvensis",83,579,819,7250,15.37944,49.01389
"90","Aphanes arvensis",80,764,787,10364,13.16972,49.46333
"91","Aphanes arvensis",76,625,817,10684,14.21278,48.93417
"92","Aphanes arvensis",87,932,865,8650,18.38139,49.68722
"93","Aphanes arvensis",70,757,720,10730,13.12639,50.33056
"94","Aphanes arvensis",87,716,851,7727,17.96222,50.005
"95","Aphanes arvensis",93,709,841,10147,8.811389,48.809166
"96","Aphanes arvensis",95,557,893,6121,13.045555,52.403332
"97","Aphanes arvensis",81,879,830,10826,9.894593,52.022247
"98","Aphanes arvensis",97,528,882,6291,12.624388,51.768513
"99","Aphanes arvensis",89,633,864,7499,14.976939,51.212959
"100","Aphanes arvensis",97,497,865,5895,11.812757,51.721756
"101","Aphanes arvensis",97,482,886,5686,11.636666,52.123055
"102","Aphanes arvensis",114,745,988,7089,2.42362,47.5684
"103","Aphanes arvensis",99,791,755,9986,0.91371,51.208542
"104","Aphanes arvensis",83,790,857,9496,20.110573,49.853218
"105","Aphanes arvensis",82,782,806,9498,10.182126,50.437268
"106","Aphanes arvensis",83,711,754,8920,9.969984,57.318817
"107","Aphanes arvensis",175,717,1706,4231,25.933333,35.15
"108","Aphanes arvensis",106,552,1023,5441,16.40667,48.28472
"109","Aphanes arvensis",147,531,1316,4503,26.316667,41.283333
"110","Aphanes arvensis",88,766,800,10599,9.138533,50.65325
"111","Aphanes arvensis",90,742,869,8231,11.02,49.11
"112","Aphanes arvensis",89,708,848,9076,6.9,50.6
"113","Aphanes arvensis",106,646,839,8292,3.194341,50.116857
"114","Aphanes arvensis",142,810,1162,6371,13.289758,43.225073
"115","Aphanes arvensis",94,973,1156,7834,13.121514,43.023641
"116","Aphanes arvensis",121,668,1016,6912,2.26961,46.936114
"117","Aphanes arvensis",104,786,923,8904,6.26778,48.40528
"118","Aphanes arvensis",157,448,1310,3502,23.24806,41.247501
"119","Aphanes arvensis",133,486,1312,3800,22.226669,39.989441
"120","Aphanes arvensis",94,829,752,10040,8.8425,53.626389
"121","Aphanes arvensis",92,882,828,10975,6.155833,50.700832
"122","Aphanes arvensis",100,828,883,10341,7.165278,49.288612
"123","Aphanes arvensis",91,732,793,9556,9.816667,53.575554
"124","Aphanes arvensis",166,908,1437,6150,20.66241,38.25456
"125","Aphanes arvensis",125,1412,1029,13585,8.76552,46.15618
"126","Aphanes arvensis",120,1396,1028,13230,8.88658,45.8398
"127","Aphanes arvensis",83,732,713,10157,9.433415,56.872639
"128","Aphanes arvensis",84,556,716,7967,10.826304,56.500613
"129","Aphanes arvensis",86,558,772,7530,11.342096,55.638133
"130","Aphanes arvensis",86,804,697,11262,8.598277,56.729003
"131","Aphanes arvensis",86,820,698,11450,9.399829,55.246487
"132","Aphanes arvensis",81,721,753,8989,10.370038,57.360017
"133","Aphanes arvensis",88,587,687,8307,11.049805,54.906351
"134","Aphanes arvensis",85,658,743,8754,10.433846,55.130876
"135","Aphanes arvensis",84,593,724,7945,11.971564,55.975089
"136","Aphanes arvensis",90,776,710,11187,8.148402,55.657527
"137","Aphanes arvensis",85,904,726,12353,9.006628,55.426858
"138","Aphanes arvensis",85,854,713,11341,8.660317,57.097516
