"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Cliffortia dregeana","1","5.660701",NA,NA,"0.000206","Cliffortia dregeana","1","6.745236",NA,NA,"0.166901","Cliffortia dregeana","1","7.49276",NA,NA,"0.051029","Cliffortia dregeana","1","8.105911",NA,NA,"0.211458"
"2","Aphanes arvensis","177","5.645816","0.01071","0.000805","1e-06","Aphanes arvensis","177","6.558119","0.264593","0.019888","0.000943","Aphanes arvensis","173","6.868795","0.264717","0.020126","0.000295","Aphanes arvensis","173","8.910826","0.417966","0.031777","0.001222"
"3","Rubus ulmifolius","136","5.657876","0.010754","0.000922","2e-06","Rubus ulmifolius","136","6.506021","0.330077","0.028304","0.001227","Rubus ulmifolius","133","7.192918","0.225889","0.019587","0.000384","Rubus ulmifolius","133","8.53079","0.54261","0.04705","0.00159"
"4","Pygeum oliganthum","5","5.672731","0.004316","0.00193","4.1e-05","Pygeum oliganthum","5","7.866882","0.148468","0.066397","0.03338","Pygeum oliganthum","5","7.164349","0.100707","0.045038","0.010206","Pygeum oliganthum","5","9.880098","0.105335","0.047107","0.042292"
"5","Rubus moorei","1","5.667637",NA,NA,"0.000206","Rubus moorei","1","7.539559",NA,NA,"0.166901","Rubus moorei","1","7.319865",NA,NA,"0.051029","Rubus moorei","1","9.396903",NA,NA,"0.211458"
"6","Potentilla norvegica","992","5.622188","0.018525","0.000588","0","Potentilla norvegica","992","6.49186","0.448086","0.014227","0.000168","Potentilla norvegica","972","6.706035","0.317097","0.010171","5.2e-05","Potentilla norvegica","971","8.993747","0.506795","0.016264","0.000218"
"7","Cliffortia crenata","5","5.663099","0.009444","0.004223","4.1e-05","Cliffortia crenata","5","5.823713","0.443317","0.198257","0.03338","Cliffortia crenata","5","7.519918","0.089542","0.040044","0.010206","Cliffortia crenata","5","7.557216","0.424069","0.189649","0.042292"
"8","Alchemilla cryptantha","31","5.670099","0.013447","0.002415","7e-06","Alchemilla cryptantha","31","7.205802","0.405563","0.072841","0.005384","Alchemilla cryptantha","31","7.293974","0.188684","0.033889","0.001646","Alchemilla cryptantha","31","9.111713","0.570103","0.102394","0.006821"
"9","Cliffortia obcordata","1","5.668673",NA,NA,"0.000206","Cliffortia obcordata","1","6.856462",NA,NA,"0.166901","Cliffortia obcordata","1","7.374629",NA,NA,"0.051029","Cliffortia obcordata","1","8.164795",NA,NA,"0.211458"
"10","Eriobotrya bengalensis","34","5.686963","0.01656","0.00284","6e-06","Eriobotrya bengalensis","34","7.495242","0.389563","0.06681","0.004909","Eriobotrya bengalensis","34","7.2813","0.167848","0.028786","0.001501","Eriobotrya bengalensis","34","9.402491","0.429628","0.073681","0.006219"
"11","Sanguisorba officinalis","761","5.627445","0.025155","0.000912","0","Sanguisorba officinalis","761","6.515637","0.562625","0.020395","0.000219","Sanguisorba officinalis","744","6.769687","0.317503","0.01164","6.9e-05","Sanguisorba officinalis","745","8.959401","0.585068","0.021435","0.000284"
"12","Rubus sumatranus","101","5.671936","0.011413","0.001136","2e-06","Rubus sumatranus","101","7.330942","0.220909","0.021981","0.001652","Rubus sumatranus","101","7.131689","0.102772","0.010226","0.000505","Rubus sumatranus","101","9.410942","0.203535","0.020252","0.002094"
"13","Agrimonia procera","100","5.637614","0.006555","0.000656","2e-06","Agrimonia procera","100","6.624642","0.303994","0.030399","0.001669","Agrimonia procera","96","6.698967","0.163953","0.016733","0.000532","Agrimonia procera","96","9.149105","0.373178","0.038087","0.002203"
"14","Hagenia abyssinica","25","5.6629","0.010612","0.002122","8e-06","Hagenia abyssinica","25","7.138643","0.206931","0.041386","0.006676","Hagenia abyssinica","25","7.236391","0.108148","0.02163","0.002041","Hagenia abyssinica","25","9.077918","0.206954","0.041391","0.008458"
"15","Cliffortia ruscifolia","6","5.662997","0.007206","0.002942","3.4e-05","Cliffortia ruscifolia","6","6.277081","0.42314","0.172746","0.027817","Cliffortia ruscifolia","6","7.503434","0.137525","0.056144","0.008505","Cliffortia ruscifolia","6","7.795259","0.461631","0.18846","0.035243"
"16","Potentilla griffithii","42","5.641202","0.021794","0.003363","5e-06","Potentilla griffithii","42","6.535556","0.435455","0.067192","0.003974","Potentilla griffithii","42","7.072546","0.184677","0.028496","0.001215","Potentilla griffithii","42","8.660902","0.397325","0.061309","0.005035"
