"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Cliffortia dregeana","1","14.2",NA,NA,"15.935771","Cliffortia dregeana","1","850",NA,NA,"142168.666279","Cliffortia dregeana","1","1795",NA,NA,"45786.41676","Cliffortia dregeana","1","3314",NA,NA,"28552339.502639"
"2","Aphanes arvensis","177","9.970621","3.045197","0.228891","0.090033","Aphanes arvensis","177","732.779661","242.003127","18.190069","803.212804","Aphanes arvensis","173","997.734104","285.997111","21.743958","264.661369","Aphanes arvensis","173","8078.121387","3780.554149","287.430209","165042.424871"
"3","Rubus ulmifolius","136","13.405882","3.07373","0.26357","0.117175","Rubus ulmifolius","136","704.838235","223.195587","19.138864","1045.35784","Rubus ulmifolius","133","1362.511278","288.228251","24.992559","344.258773","Rubus ulmifolius","133","5857.639098","3207.407287","278.117483","214679.244381"
"4","Pygeum oliganthum","5","17.68","1.255787","0.561605","3.187154","Pygeum oliganthum","5","2632","378.232733","169.15082","28433.733256","Pygeum oliganthum","5","1297.8","131.640419","58.871385","9157.283352","Pygeum oliganthum","5","19626","2119.377621","947.814486","5710467.900528"
"5","Rubus moorei","1","16.2",NA,NA,"15.935771","Rubus moorei","1","1881",NA,NA,"142168.666279","Rubus moorei","1","1510",NA,NA,"45786.41676","Rubus moorei","1","12051",NA,NA,"28552339.502639"
"6","Potentilla norvegica","992","3.390827","5.099877","0.161921","0.016064","Potentilla norvegica","992","727.50504","332.312501","10.550932","143.315188","Potentilla norvegica","972","862.223251","306.228452","9.822282","47.105367","Potentilla norvegica","971","9064.850669","4480.669257","143.791519","29405.087026"
"7","Cliffortia crenata","5","14.9","2.703701","1.209132","3.187154","Cliffortia crenata","5","363.2","139.655648","62.455904","28433.733256","Cliffortia crenata","5","1850.2","159.913101","71.515313","9157.283352","Cliffortia crenata","5","2049.2","806.49067","360.673592","5710467.900528"
"8","Alchemilla cryptantha","31","16.93871","3.88653","0.698041","0.514057","Alchemilla cryptantha","31","1452.645161","563.818206","101.264739","4586.086009","Alchemilla cryptantha","31","1495.935484","269.070986","48.326576","1476.981186","Alchemilla cryptantha","31","10618.258065","6548.925693","1176.221777","921043.209763"
"9","Cliffortia obcordata","1","16.5",NA,NA,"15.935771","Cliffortia obcordata","1","950",NA,NA,"142168.666279","Cliffortia obcordata","1","1595",NA,NA,"45786.41676","Cliffortia obcordata","1","3515",NA,NA,"28552339.502639"
"10","Eriobotrya bengalensis","34","21.885294","4.841308","0.830277","0.468699","Eriobotrya bengalensis","34","1933.588235","733.901039","125.86299","4181.431361","Eriobotrya bengalensis","34","1471.852941","229.467253","39.353309","1346.659316","Eriobotrya bengalensis","34","13242.735294","5743.550424","985.010771","839774.691254"
"11","Sanguisorba officinalis","761","4.888699","6.959201","0.252271","0.020941","Sanguisorba officinalis","761","800.696452","533.352403","19.33401","186.818221","Sanguisorba officinalis","744","914.388441","280.011072","10.265704","61.540883","Sanguisorba officinalis","745","9451.428188","7538.777114","276.199423","38325.287923"
"12","Rubus sumatranus","101","17.465347","3.316759","0.33003","0.15778","Rubus sumatranus","101","1564.821782","359.670805","35.788583","1407.610557","Rubus sumatranus","101","1257.613861","131.741867","13.108806","453.330859","Rubus sumatranus","101","12481.247525","2705.135858","269.171078","282696.430719"
