"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Solanum heinianum","2","5.695246","0.000475","0.000336","8.8e-05","Solanum heinianum","2","6.13177","0.407612","0.288225","0.115334","Solanum heinianum","2","7.69727","0.017659","0.012487","0.019053","Solanum heinianum","2","7.922292","0.075339","0.053273","0.166753"
"2","Solanum marginatum","65","5.660888","0.011481","0.001424","3e-06","Solanum marginatum","65","6.75327","0.408063","0.050614","0.003549","Solanum marginatum","62","7.254068","0.233871","0.029702","0.000615","Solanum marginatum","62","8.701966","0.527999","0.067056","0.005379"
"3","Solanum violaceum","62","5.68887","0.016027","0.002035","3e-06","Solanum violaceum","62","7.397682","0.406627","0.051642","0.00372","Solanum violaceum","62","7.341355","0.176484","0.022413","0.000615","Solanum violaceum","62","9.286098","0.491614","0.062435","0.005379"
"4","Solanum lycopersicum","458","5.670589","0.025803","0.001206","0","Solanum lycopersicum","457","6.833386","0.703169","0.032893","0.000504","Solanum lycopersicum","444","7.243231","0.37176","0.017643","8.6e-05","Solanum lycopersicum","444","8.790914","0.853917","0.040525","0.000751"
"5","Physalis lagascae","296","5.692259","0.013622","0.000792","1e-06","Physalis lagascae","296","7.127556","0.558031","0.032435","0.000779","Physalis lagascae","282","7.467063","0.227439","0.013544","0.000135","Physalis lagascae","282","8.871106","0.675537","0.040228","0.001183"
"6","Schizanthus laetus","2","5.668672","0.002441","0.001726","8.8e-05","Schizanthus laetus","2","2.191013","0.157786","0.111572","0.115334","Schizanthus laetus","2","7.596579","0.035505","0.025106","0.019053","Schizanthus laetus","2","3.784706","1.188317","0.840267","0.166753"
"7","Capsicum frutescens","381","5.692338","0.01284","0.000658","0","Capsicum frutescens","384","7.34169","0.525634","0.026824","0.000601","Capsicum frutescens","371","7.357258","0.191815","0.009959","0.000103","Capsicum frutescens","371","9.191589","0.61377","0.031865","0.000899"
"8","Lycium hirsutum","19","5.671502","0.006484","0.001488","9e-06","Lycium hirsutum","19","5.641222","0.672831","0.154358","0.01214","Lycium hirsutum","19","7.719758","0.112621","0.025837","0.002006","Lycium hirsutum","19","7.137791","0.724909","0.166306","0.017553"
"9","Datura innoxia","453","5.67969","0.019566","0.000919","0","Datura innoxia","453","6.360567","0.788161","0.037031","0.000509","Datura innoxia","446","7.505767","0.301661","0.014284","8.5e-05","Datura innoxia","446","8.080288","0.886123","0.041959","0.000748"
"10","Solanum scabrum","44","5.688052","0.015511","0.002338","4e-06","Solanum scabrum","44","7.166029","0.471917","0.071144","0.005242","Solanum scabrum","44","7.395821","0.237687","0.035833","0.000866","Solanum scabrum","44","8.952065","0.624004","0.094072","0.00758"
"11","Solanum anguivi","152","5.682696","0.014523","0.001178","1e-06","Solanum anguivi","152","7.211847","0.38516","0.031241","0.001518","Solanum anguivi","150","7.342356","0.151179","0.012344","0.000254","Solanum anguivi","150","9.06114","0.438501","0.035803","0.002223"
"12","Solanum pungetium","14","5.662034","0.008522","0.002278","1.3e-05","Solanum pungetium","14","6.8892","0.162389","0.0434","0.016476","Solanum pungetium","13","7.277703","0.102448","0.028414","0.002931","Solanum pungetium","13","8.815012","0.193693","0.053721","0.025654"
"13","Lycium berlandieri","109","5.678816","0.010545","0.00101","2e-06","Lycium berlandieri","109","5.821637","0.536904","0.051426","0.002116","Lycium berlandieri","105","7.675866","0.112411","0.01097","0.000363","Lycium berlandieri","105","7.405996","0.509988","0.04977","0.003176"
"14","Physalis angulata","999","5.689086","0.016492","0.000522","0","Physalis angulata","1002","7.063982","0.707673","0.022356","0.00023","Physalis angulata","970","7.413432","0.246572","0.007917","3.9e-05","Physalis angulata","969","8.878104","0.753483","0.024205","0.000344"
"15","Datura metel","228","5.685916","0.017626","0.001167","1e-06","Datura metel","229","7.005591","0.715111","0.047256","0.001007","Datura metel","221","7.379651","0.225439","0.015165","0.000172","Datura metel","221","8.851512","0.787196","0.052953","0.001509"
"16","Lycianthes biflora","122","5.681953","0.01424","0.001289","1e-06","Lycianthes biflora","122","7.438794","0.351963","0.031865","0.001891","Lycianthes biflora","118","7.198828","0.124171","0.011431","0.000323","Lycianthes biflora","118","9.463714","0.350755","0.03229","0.002826"
"17","Physalis pubescens","423","5.684589","0.016393","0.000797","0","Physalis pubescens","423","7.07537","0.645505","0.031386","0.000545","Physalis pubescens","418","7.379261","0.182613","0.008932","9.1e-05","Physalis pubescens","418","8.906335","0.722309","0.035329","0.000798"
"18","Discopodium penninervium","26","5.665903","0.014272","0.002799","7e-06","Discopodium penninervium","26","7.222571","0.254462","0.049904","0.008872","Discopodium penninervium","26","7.248204","0.178832","0.035072","0.001466","Discopodium penninervium","26","9.215746","0.365981","0.071775","0.012827"
"19","Solanum schimperianum","14","5.676201","0.009189","0.002456","1.3e-05","Solanum schimperianum","14","6.24366","0.734775","0.196377","0.016476","Solanum schimperianum","14","7.636292","0.117733","0.031465","0.002722","Solanum schimperianum","14","7.781798","0.887217","0.237119","0.023822"
"20","Solanum terminale","103","5.686447","0.011784","0.001161","2e-06","Solanum terminale","103","7.297628","0.34646","0.034138","0.002239","Solanum terminale","103","7.310626","0.187532","0.018478","0.00037","Solanum terminale","103","9.181207","0.440564","0.04341","0.003238"
"21","Deprea sachapapa","6","5.672186","0.015877","0.006482","2.9e-05","Deprea sachapapa","6","7.474077","0.734958","0.300045","0.038445","Deprea sachapapa","6","7.055072","0.04426","0.018069","0.006351","Deprea sachapapa","6","9.618114","0.534471","0.218197","0.055584"
"22","Solanum triflorum","343","5.644936","0.015826","0.000855","1e-06","Solanum triflorum","343","6.066895","0.459894","0.024832","0.000673","Solanum triflorum","339","7.322838","0.267407","0.014524","0.000112","Solanum triflorum","339","7.944488","0.618818","0.03361","0.000984"
"23","Solanum ternatum","37","5.670447","0.014958","0.002459","5e-06","Solanum ternatum","37","7.287418","0.471183","0.077462","0.006234","Solanum ternatum","37","7.13734","0.09307","0.015301","0.00103","Solanum ternatum","37","9.331765","0.489109","0.080409","0.009014"
"24","Solanum chrysotrichum","55","5.676213","0.011434","0.001542","3e-06","Solanum chrysotrichum","55","7.334652","0.424266","0.057208","0.004194","Solanum chrysotrichum","55","7.395596","0.108345","0.014609","0.000693","Solanum chrysotrichum","55","9.080132","0.483693","0.065221","0.006064"
"25","Solanum lasiocarpum","60","5.695992","0.008886","0.001147","3e-06","Solanum lasiocarpum","60","7.694459","0.344951","0.044533","0.003844","Solanum lasiocarpum","57","7.355624","0.117373","0.015546","0.000669","Solanum lasiocarpum","57","9.557901","0.373676","0.049495","0.005851"
"26","Cestrum glanduliferum","39","5.688221","0.012748","0.002041","5e-06","Cestrum glanduliferum","39","7.63642","0.391502","0.06269","0.005915","Cestrum glanduliferum","39","7.399429","0.14561","0.023316","0.000977","Cestrum glanduliferum","39","9.343541","0.453269","0.072581","0.008551"
"27","Solanum abutiloides","24","5.671484","0.008433","0.001721","7e-06","Solanum abutiloides","24","6.515699","0.353336","0.072124","0.009611","Solanum abutiloides","24","7.425839","0.060457","0.012341","0.001588","Solanum abutiloides","24","8.325403","0.3813","0.077833","0.013896"
"28","Solanum campylacanthum","159","5.685112","0.011165","0.000885","1e-06","Solanum campylacanthum","159","6.758973","0.416475","0.033029","0.001451","Solanum campylacanthum","159","7.513137","0.173098","0.013728","0.00024","Solanum campylacanthum","159","8.438834","0.547801","0.043443","0.002098"
"29","Solanum cyaneopurpureum","13","5.687639","0.007612","0.002111","1.4e-05","Solanum cyaneopurpureum","13","6.847547","0.248343","0.068878","0.017744","Solanum cyaneopurpureum","13","7.382601","0.124987","0.034665","0.002931","Solanum cyaneopurpureum","13","8.618144","0.363355","0.100777","0.025654"
"30","Lycium bosciifolium","24","5.675895","0.005919","0.001208","7e-06","Lycium bosciifolium","24","5.124737","0.737741","0.150591","0.009611","Lycium bosciifolium","24","7.817409","0.075753","0.015463","0.001588","Lycium bosciifolium","24","6.538822","0.66254","0.13524","0.013896"
"31","Solanum lucani","49","5.704823","0.002678","0.000383","4e-06","Solanum lucani","49","6.644562","0.395575","0.056511","0.004708","Solanum lucani","45","7.881215","0.091198","0.013595","0.000847","Solanum lucani","45","8.007816","0.473492","0.070584","0.007411"
"32","Solanum nigrum","1590","5.663628","0.022253","0.000558","0","Solanum nigrum","1588","6.603424","0.701653","0.017607","0.000145","Solanum nigrum","1540","7.250861","0.386161","0.00984","2.5e-05","Solanum nigrum","1540","8.551321","0.957327","0.024395","0.000217"
"33","Solanum aculeastrum","51","5.678319","0.012986","0.001818","3e-06","Solanum aculeastrum","51","7.106381","0.287304","0.040231","0.004523","Solanum aculeastrum","51","7.300122","0.156912","0.021972","0.000747","Solanum aculeastrum","51","9.015878","0.352732","0.049392","0.006539"
"34","Solanum villosum","158","5.658062","0.019474","0.001549","1e-06","Solanum villosum","158","6.106419","0.838467","0.066705","0.00146","Solanum villosum","148","7.211504","0.3742","0.030759","0.000257","Solanum villosum","148","8.119954","1.121876","0.092218","0.002253"
"35","Solanum elaeagnifolium","429","5.669773","0.01381","0.000667","0","Solanum elaeagnifolium","429","6.170252","0.732021","0.035342","0.000538","Solanum elaeagnifolium","424","7.550733","0.175434","0.00852","9e-05","Solanum elaeagnifolium","423","7.851458","0.809651","0.039367","0.000787"
"36","Solanum sendtnerianum","14","5.702445","0.002543","0.00068","1.3e-05","Solanum sendtnerianum","14","7.770875","0.085888","0.022955","0.016476","Solanum sendtnerianum","14","7.242737","0.062673","0.01675","0.002722","Solanum sendtnerianum","14","9.740926","0.078117","0.020878","0.023822"
"37","Solanum fiebrigii","17","5.665641","0.009544","0.002315","1e-05","Solanum fiebrigii","17","6.36795","0.478801","0.116126","0.013569","Solanum fiebrigii","17","7.421154","0.077475","0.01879","0.002242","Solanum fiebrigii","17","8.191615","0.540938","0.131197","0.019618"
"38","Solanum arundo","7","5.687155","0.009451","0.003572","2.5e-05","Solanum arundo","7","6.332497","0.380513","0.14382","0.032953","Solanum arundo","7","7.528368","0.124297","0.04698","0.005444","Solanum arundo","7","7.974155","0.433773","0.163951","0.047644"
"39","Solanum crinitum","210","5.696916","0.008484","0.000585","1e-06","Solanum crinitum","210","7.433674","0.407199","0.028099","0.001098","Solanum crinitum","209","7.31109","0.098611","0.006821","0.000182","Solanum crinitum","209","9.32958","0.440172","0.030447","0.001596"
"40","Duboisia myoporoides","31","5.674755","0.008649","0.001553","6e-06","Duboisia myoporoides","31","7.034406","0.310125","0.0557","0.007441","Duboisia myoporoides","28","7.433196","0.113227","0.021398","0.001361","Duboisia myoporoides","28","8.817026","0.388381","0.073397","0.011911"
"41","Solanum aviculare","66","5.669026","0.010618","0.001307","3e-06","Solanum aviculare","66","6.81969","0.38212","0.047036","0.003495","Solanum aviculare","62","7.405244","0.170371","0.021637","0.000615","Solanum aviculare","62","8.626416","0.531446","0.067494","0.005379"
"42","Solanum ochrophyllum","7","5.654176","0.014575","0.005509","2.5e-05","Solanum ochrophyllum","7","6.924275","0.585157","0.221169","0.032953","Solanum ochrophyllum","7","7.196889","0.079099","0.029897","0.005444","Solanum ochrophyllum","7","8.934232","0.466412","0.176287","0.047644"
"43","Solanum incanum","130","5.689734","0.012642","0.001109","1e-06","Solanum incanum","129","5.999203","1.234895","0.108726","0.001774","Solanum incanum","128","7.648625","0.247934","0.021914","0.000298","Solanum incanum","127","7.629385","1.361643","0.120826","0.002606"
"44","Solanum schlechtendalianum","241","5.694349","0.009296","0.000599","1e-06","Solanum schlechtendalianum","241","7.638529","0.413938","0.026664","0.000957","Solanum schlechtendalianum","238","7.322409","0.133258","0.008638","0.00016","Solanum schlechtendalianum","238","9.487518","0.461056","0.029886","0.001401"
"45","Solanum vescum","62","5.660736","0.01002","0.001273","3e-06","Solanum vescum","62","6.86765","0.315948","0.040125","0.00372","Solanum vescum","54","7.270051","0.203274","0.027662","0.000706","Solanum vescum","54","8.798569","0.4765","0.064843","0.006176"
"46","Solanum subinerme","188","5.69946","0.007717","0.000563","1e-06","Solanum subinerme","188","7.630454","0.357869","0.0261","0.001227","Solanum subinerme","187","7.314464","0.12208","0.008927","0.000204","Solanum subinerme","187","9.518901","0.38649","0.028263","0.001783"
"47","Solanum lepidotum","59","5.689937","0.011444","0.00149","3e-06","Solanum lepidotum","59","7.812646","0.367783","0.047881","0.00391","Solanum lepidotum","59","7.194879","0.129531","0.016863","0.000646","Solanum lepidotum","59","9.755902","0.383775","0.049963","0.005653"
"48","Solanum arboreum","50","5.691634","0.01636","0.002314","4e-06","Solanum arboreum","50","7.81759","0.492308","0.069623","0.004613","Solanum arboreum","49","7.343982","0.111156","0.015879","0.000778","Solanum arboreum","49","9.589716","0.500149","0.07145","0.006806"
"49","Solanum dasyphyllum","79","5.69332","0.010215","0.001149","2e-06","Solanum dasyphyllum","79","7.15162","0.517295","0.0582","0.00292","Solanum dasyphyllum","77","7.405281","0.222374","0.025342","0.000495","Solanum dasyphyllum","77","8.980602","0.542155","0.061784","0.004331"
"50","Lycium ferocissimum","105","5.669238","0.00685","0.000668","2e-06","Lycium ferocissimum","105","6.122676","0.474822","0.046338","0.002197","Lycium ferocissimum","103","7.552132","0.193844","0.0191","0.00037","Lycium ferocissimum","103","7.754157","0.618402","0.060933","0.003238"
"51","Capsicum baccatum","112","5.68731","0.010602","0.001002","2e-06","Capsicum baccatum","112","6.924172","0.676617","0.063934","0.00206","Capsicum baccatum","110","7.396507","0.179741","0.017138","0.000346","Capsicum baccatum","110","8.765917","0.747911","0.071311","0.003032"
"52","Solanum rugosum","171","5.697841","0.008092","0.000619","1e-06","Solanum rugosum","171","7.695802","0.323251","0.02472","0.001349","Solanum rugosum","171","7.306143","0.120059","0.009181","0.000223","Solanum rugosum","171","9.59042","0.349491","0.026726","0.00195"
"53","Solanum crotonoides","1","5.664522",NA,NA,"0.000176","Solanum crotonoides","1","7.359468",NA,NA,"0.230668","Solanum crotonoides","1","7.333676",NA,NA,"0.038107","Solanum crotonoides","1","9.299724",NA,NA,"0.333506"
"54","Solanum aculeatissimum","196","5.678299","0.014174","0.001012","1e-06","Solanum aculeatissimum","196","7.211434","0.41117","0.029369","0.001177","Solanum aculeatissimum","195","7.270773","0.17263","0.012362","0.000195","Solanum aculeatissimum","195","9.141454","0.479757","0.034356","0.00171"
"55","Solanum ellipticum","239","5.683571","0.007806","0.000505","1e-06","Solanum ellipticum","239","5.822456","0.561911","0.036347","0.000965","Solanum ellipticum","238","7.842224","0.167421","0.010852","0.00016","Solanum ellipticum","238","7.210231","0.693231","0.044935","0.001401"
"56","Lycianthes lycioides","54","5.659848","0.015899","0.002164","3e-06","Lycianthes lycioides","54","6.312434","0.878852","0.119597","0.004272","Lycianthes lycioides","54","7.296438","0.173696","0.023637","0.000706","Lycianthes lycioides","54","8.251471","1.004146","0.136647","0.006176"
"57","Solanum angustifolium","363","5.66045","0.018678","0.00098","0","Solanum angustifolium","363","6.354579","0.482819","0.025341","0.000635","Solanum angustifolium","363","7.455228","0.23585","0.012379","0.000105","Solanum angustifolium","363","8.1227","0.636179","0.033391","0.000919"
"58","Lycium horridum","35","5.66834","0.008749","0.001479","5e-06","Lycium horridum","35","5.684308","0.851483","0.143927","0.006591","Lycium horridum","35","7.63796","0.16805","0.028406","0.001089","Lycium horridum","35","7.254718","0.900242","0.152169","0.009529"
"59","Solanum coactiliferum","126","5.679653","0.007316","0.000652","1e-06","Solanum coactiliferum","126","5.5446","0.313341","0.027915","0.001831","Solanum coactiliferum","126","7.875347","0.164009","0.014611","0.000302","Solanum coactiliferum","126","6.935871","0.401621","0.035779","0.002647"
"60","Solanum stelligerum","39","5.673337","0.009414","0.001507","5e-06","Solanum stelligerum","39","6.889276","0.294485","0.047155","0.005915","Solanum stelligerum","38","7.445913","0.124693","0.020228","0.001003","Solanum stelligerum","38","8.629599","0.370772","0.060147","0.008776"
"61","Solandra grandiflora","42","5.681408","0.014053","0.002168","4e-06","Solandra grandiflora","42","7.373061","0.346592","0.05348","0.005492","Solandra grandiflora","41","7.314321","0.161151","0.025168","0.000929","Solandra grandiflora","41","9.265066","0.423648","0.066163","0.008134"
"62","Solanum nitidum","32","5.638493","0.013177","0.002329","6e-06","Solanum nitidum","32","6.334409","1.031707","0.182382","0.007208","Solanum nitidum","32","7.19165","0.198066","0.035013","0.001191","Solanum nitidum","32","8.412552","1.145359","0.202473","0.010422"
"63","Dunalia solanacea","20","5.663295","0.016769","0.00375","9e-06","Dunalia solanacea","20","7.596979","0.422203","0.094407","0.011533","Dunalia solanacea","20","7.106379","0.108845","0.024338","0.001905","Dunalia solanacea","20","9.645571","0.374476","0.083735","0.016675"
"64","Nicotiana rustica","147","5.64916","0.02077","0.001713","1e-06","Nicotiana rustica","147","6.588921","0.417403","0.034427","0.001569","Nicotiana rustica","143","7.02852","0.365508","0.030565","0.000266","Nicotiana rustica","143","8.770098","0.562918","0.047074","0.002332"
"65","Nicotiana otophora","13","5.679425","0.007473","0.002073","1.4e-05","Nicotiana otophora","13","6.633663","0.166338","0.046134","0.017744","Nicotiana otophora","13","7.435793","0.045166","0.012527","0.002931","Nicotiana otophora","13","8.430857","0.225309","0.062489","0.025654"
"66","Solanum vestissimum","23","5.673745","0.017012","0.003547","8e-06","Solanum vestissimum","23","7.423996","0.398558","0.083105","0.010029","Solanum vestissimum","23","7.224828","0.115339","0.02405","0.001657","Solanum vestissimum","23","9.299446","0.429653","0.089589","0.0145"
"67","Lycium europaeum","52","5.663767","0.008414","0.001167","3e-06","Lycium europaeum","52","6.149981","0.316708","0.043919","0.004436","Lycium europaeum","47","7.341715","0.133891","0.01953","0.000811","Lycium europaeum","47","8.006737","0.38721","0.05648","0.007096"
"68","Solanum lycocarpum","98","5.688705","0.007703","0.000778","2e-06","Solanum lycocarpum","98","7.193523","0.204316","0.020639","0.002354","Solanum lycocarpum","98","7.322445","0.091909","0.009284","0.000389","Solanum lycocarpum","98","9.082018","0.243122","0.024559","0.003403"
"69","Streptosolen jamesonii","24","5.666024","0.012195","0.002489","7e-06","Streptosolen jamesonii","24","7.0779","0.512708","0.104656","0.009611","Streptosolen jamesonii","24","7.173417","0.116023","0.023683","0.001588","Streptosolen jamesonii","24","9.14236","0.55741","0.113781","0.013896"
"70","Solanum myoxotrichum","10","5.675919","0.010212","0.003229","1.8e-05","Solanum myoxotrichum","10","7.322824","0.14018","0.044329","0.023067","Solanum myoxotrichum","10","7.293845","0.123747","0.039132","0.003811","Solanum myoxotrichum","10","9.201764","0.20097","0.063552","0.033351"
"71","Solanum bonariense","58","5.669875","0.010455","0.001373","3e-06","Solanum bonariense","58","6.673445","0.55078","0.072321","0.003977","Solanum bonariense","53","7.298857","0.174766","0.024006","0.000719","Solanum bonariense","53","8.58492","0.639381","0.087826","0.006293"
"72","Solanum glabratum","16","5.686246","0.01565","0.003913","1.1e-05","Solanum glabratum","16","5.636834","0.963131","0.240783","0.014417","Solanum glabratum","16","7.797191","0.123004","0.030751","0.002382","Solanum glabratum","16","7.0336","0.963635","0.240909","0.020844"
"73","Lycium australe","99","5.672939","0.004669","0.000469","2e-06","Lycium australe","99","5.611082","0.308777","0.031033","0.00233","Lycium australe","100","7.729563","0.137541","0.013754","0.000381","Lycium australe","100","7.079673","0.412324","0.041232","0.003335"
"74","Solanum cerasiferum","30","5.704538","0.004654","0.00085","6e-06","Solanum cerasiferum","30","6.526392","0.532706","0.097258","0.007689","Solanum cerasiferum","30","7.787479","0.145401","0.026546","0.00127","Solanum cerasiferum","30","7.90819","0.678498","0.123876","0.011117"
"75","Solanum chacoense","81","5.674648","0.011722","0.001302","2e-06","Solanum chacoense","81","6.682449","0.707201","0.078578","0.002848","Solanum chacoense","81","7.40831","0.158288","0.017588","0.00047","Solanum chacoense","81","8.501648","0.814185","0.090465","0.004117"
"76","Solanum paludosum","67","5.698365","0.006","0.000733","3e-06","Solanum paludosum","67","7.323467","0.395325","0.048297","0.003443","Solanum paludosum","65","7.37944","0.086572","0.010738","0.000586","Solanum paludosum","65","9.173859","0.40975","0.050823","0.005131"
"77","Solanum goetzei","27","5.68998","0.008555","0.001646","7e-06","Solanum goetzei","27","6.892904","0.197109","0.037934","0.008543","Solanum goetzei","26","7.406004","0.112953","0.022152","0.001466","Solanum goetzei","26","8.71858","0.273375","0.053613","0.012827"
