"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Solanum heinianum","2","24.4","1.414214","1","7.501353","Solanum heinianum","2","613","260.215295","184","165889.745938","Solanum heinianum","2","2202.5","38.890873","27.5","49416.180278","Solanum heinianum","2","2762","207.889394","147","8418693.780305"
"2","Solanum marginatum","65","14.510769","3.188168","0.395444","0.230811","Solanum marginatum","65","928.353846","456.287445","56.595492","5104.299875","Solanum marginatum","64","1435.8125","332.68837","41.586046","1544.255634","Solanum marginatum","64","6942.40625","3649.863584","456.232948","263084.180635"
"3","Solanum violaceum","62","22.374194","4.847407","0.615621","0.241979","Solanum violaceum","62","1791.080645","819.72865","104.105643","5351.282127","Solanum violaceum","62","1565.854839","279.28215","35.468869","1594.070332","Solanum violaceum","62","12048.532258","5477.560468","695.650875","271570.767107"
"4","Solanum lycopersicum","462","17.376407","7.478486","0.347931","0.032473","Solanum lycopersicum","462","1110.841991","713.219981","33.181997","718.137428","Solanum lycopersicum","447","1496.834452","517.015399","24.453989","221.101478","Solanum lycopersicum","447","8282.105145","5331.161742","252.155298","37667.533693"
"5","Physalis lagascae","293","23.38157","4.07489","0.238058","0.051204","Physalis lagascae","293","1431.771331","794.315799","46.404424","1132.353215","Physalis lagascae","280","1794.228571","413.507028","24.711772","352.972716","Physalis lagascae","280","8678.275","5358.890014","320.254933","60133.527002"
"6","Schizanthus laetus","2","20.45","1.343503","0.95","7.501353","Schizanthus laetus","2","9.5","0.707107","0.5","165889.745938","Schizanthus laetus","2","1801.5","118.086832","83.5","49416.180278","Schizanthus laetus","2","155.5","108.187338","76.5","8418693.780305"
"7","Capsicum frutescens","378","23.338624","3.765893","0.193697","0.03969","Capsicum frutescens","378","1764.304233","903.807141","46.486823","877.723523","Capsicum frutescens","372","1598.489247","295.924842","15.342988","265.678389","Capsicum frutescens","372","11657.037634","6711.426034","347.97123","45261.794518"
"8","Lycium hirsutum","19","17.947368","2.090552","0.479606","0.789616","Lycium hirsutum","19","320.526316","171.13392","39.260814","17462.07852","Lycium hirsutum","19","2270.736842","248.276468","56.958528","5201.703187","Lycium hirsutum","19","1540.315789","907.275657","208.143311","886178.292664"
"9","Datura innoxia","451","20.21663","5.594498","0.263435","0.033265","Datura innoxia","451","696.855876","391.885095","18.453148","735.652975","Datura innoxia","446","1895.513453","501.052998","23.725547","221.597221","Datura innoxia","446","4314.795964","3093.965438","146.50351","37751.990046"
"10","Solanum scabrum","44","21.965909","4.392009","0.66212","0.340971","Solanum scabrum","44","1430.5","710.553878","107.120028","7540.442997","Solanum scabrum","44","1671.681818","410.162065","61.834258","2246.190013","Solanum scabrum","44","9308.431818","5625.043968","848.007285","382667.899105"
"11","Solanum anguivi","152","20.392763","4.034505","0.327242","0.098702","Solanum anguivi","152","1523.026316","669.396397","54.295217","2182.759815","Solanum anguivi","150","1565.98","218.849109","17.868955","658.882404","Solanum anguivi","150","9424.213333","4454.44931","363.704263","112249.250404"
"12","Solanum pungetium","13","15.061538","2.331144","0.646543","1.154054","Solanum pungetium","13","937.153846","208.684309","57.878614","25521.499375","Solanum pungetium","13","1449.230769","140.170821","38.876391","7602.489274","Solanum pungetium","13","6870.384615","1572.343608","436.089654","1295183.658508"
"13","Lycium berlandieri","110","20.438182","3.09732","0.295318","0.136388","Lycium berlandieri","110","377.681818","184.445956","17.586232","3016.177199","Lycium berlandieri","106","2167.396226","246.683282","23.959998","932.38076","Lycium berlandieri","106","1862.537736","1051.750705","102.155059","158843.278874"
"14","Physalis angulata","1000","22.7376","4.604581","0.14561","0.015003","Physalis angulata","1000","1367.469","725.358452","22.937848","331.779492","Physalis angulata","971","1710.439753","445.06532","14.282826","101.784099","Physalis angulata","971","8912.042225","5345.651266","171.550113","17340.254954"
"15","Datura metel","229","21.781659","5.129132","0.338943","0.065514","Datura metel","229","1313.689956","692.927558","45.789942","1448.818742","Datura metel","220","1639.572727","374.342735","25.238182","449.238003","Datura metel","220","8517.509091","4387.948552","295.835431","76533.579821"
"16","Lycianthes biflora","121","20.224793","4.063338","0.369394","0.123989","Lycianthes biflora","121","1837.173554","925.539272","84.139934","2741.979272","Lycianthes biflora","119","1357.008403","159.917484","14.659612","830.524038","Lycianthes biflora","119","13506.630252","4719.749338","432.658712","141490.65177"
"17","Physalis pubescens","424","21.347877","4.555162","0.221218","0.035384","Physalis pubescens","424","1387.740566","850.332347","41.295789","782.498802","Physalis pubescens","418","1625.842105","297.138897","14.533539","236.441054","Physalis pubescens","418","9063.196172","5670.913214","277.373432","40280.831485"
"18","Discopodium penninervium","26","14.223077","4.525687","0.88756","0.577027","Discopodium penninervium","26","1534.5","498.032549","97.672219","12760.749688","Discopodium penninervium","26","1407","256.841274","50.370718","3801.244637","Discopodium penninervium","26","11194.423077","5120.059485","1004.126278","647591.829254"
"19","Solanum schimperianum","14","18.971429","3.405748","0.910224","1.071622","Solanum schimperianum","14","668.357143","546.452983","146.045703","23698.535134","Solanum schimperianum","14","2104.357143","263.530645","70.431527","7059.454325","Solanum schimperianum","14","3228.142857","2761.911291","738.151842","1202670.540044"
"20","Solanum terminale","103","21.435922","3.355734","0.33065","0.145657","Solanum terminale","103","1640.902913","657.136443","64.749578","3221.160115","Solanum terminale","103","1528.893204","290.33243","28.607304","959.537481","Solanum terminale","103","10592.902913","4626.48446","455.861059","163469.782142"
"21","Deprea sachapapa","6","14.333333","1.579451","0.644808","2.500451","Deprea sachapapa","6","1552","808.293264","329.984343","55296.581979","Deprea sachapapa","6","1175.833333","93.195315","38.046828","16472.060093","Deprea sachapapa","6","10834.5","2620.63105","1069.868146","2806231.260102"
