"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19","species.19","n_alt","mean_alt","sd_alt","se_alt"
"1","Gaultheria trichophylla","19","73.79","45.79","10.5","Gaultheria trichophylla","19","110.32","19.46","4.46","Gaultheria trichophylla","19","41.89","5.94","1.36","Gaultheria trichophylla","19","5362.53","676.98","155.31","Gaultheria trichophylla","19","190.21","38.87","8.92","Gaultheria trichophylla","19","-70.32","56.19","12.89","Gaultheria trichophylla","19","260.53","27.45","6.3","Gaultheria trichophylla","19","135.26","40.86","9.37","Gaultheria trichophylla","19","16.68","50.19","11.51","Gaultheria trichophylla","19","137.68","40.83","9.37","Gaultheria trichophylla","19","1.11","49.54","11.37","Gaultheria trichophylla","19","976.89","356.98","81.9","Gaultheria trichophylla","19","211.16","81.07","18.6","Gaultheria trichophylla","19","8.74","6.69","1.53","Gaultheria trichophylla","19","85.21","16.64","3.82","Gaultheria trichophylla","19","549.74","199.76","45.83","Gaultheria trichophylla","19","46.42","39.46","9.05","Gaultheria trichophylla","19","522.42","186.3","42.74","Gaultheria trichophylla","19","75.95","81.41","18.68","Gaultheria trichophylla","19","3261.58","873.5","200.39"
"2","Dimorphanthera kempteriana","11","204.91","36.23","10.92","Dimorphanthera kempteriana","11","101","12.02","3.62","Dimorphanthera kempteriana","11","85.09","4.81","1.45","Dimorphanthera kempteriana","11","604.36","226.58","68.32","Dimorphanthera kempteriana","11","266.55","32.87","9.91","Dimorphanthera kempteriana","11","148.45","40.01","12.06","Dimorphanthera kempteriana","11","118.09","11.8","3.56","Dimorphanthera kempteriana","11","209.27","32.78","9.88","Dimorphanthera kempteriana","11","197.82","39.34","11.86","Dimorphanthera kempteriana","11","211","34.86","10.51","Dimorphanthera kempteriana","11","195.82","37.34","11.26","Dimorphanthera kempteriana","11","3176.82","897.54","270.62","Dimorphanthera kempteriana","11","390.55","167.7","50.56","Dimorphanthera kempteriana","11","160","78.63","23.71","Dimorphanthera kempteriana","11","28.73","14.42","4.35","Dimorphanthera kempteriana","11","1088.18","432.59","130.43","Dimorphanthera kempteriana","11","519.73","239.76","72.29","Dimorphanthera kempteriana","11","894.36","159.74","48.16","Dimorphanthera kempteriana","11","663.18","550.99","166.13","Dimorphanthera kempteriana","11","1289.09","735.99","221.91"
"3","Erica arborea","150","135.21","30.17","2.46","Erica arborea","150","89.56","18.37","1.5","Erica arborea","150","35.25","4.26","0.35","Erica arborea","150","5626.29","865.09","70.63","Erica arborea","150","276.27","35.19","2.87","Erica arborea","150","26.19","34.93","2.85","Erica arborea","150","250.08","38.86","3.17","Erica arborea","150","100.87","33.52","2.74","Erica arborea","150","197.63","52.58","4.29","Erica arborea","150","209.96","30.62","2.5","Erica arborea","150","67.1","33.92","2.77","Erica arborea","150","735.63","251.89","20.57","Erica arborea","150","105.21","38.58","3.15","Erica arborea","150","19.35","17.42","1.42","Erica arborea","150","45.69","19.6","1.6","Erica arborea","150","285.93","105.72","8.63","Erica arborea","150","80.22","58.25","4.76","Erica arborea","150","92.55","64.39","5.26","Erica arborea","150","247.85","111.16","9.08","Erica arborea","150","597.59","436.51","35.64"
"4","Vaccinium calycinum","3","163.67","2.31","1.33","Vaccinium calycinum","3","87.67","1.53","0.88","Vaccinium calycinum","3","67","5.29","3.05","Vaccinium calycinum","3","1397.67","294.26","169.89","Vaccinium calycinum","3","232","5.29","3.05","Vaccinium calycinum","3","101.67","4.93","2.85","Vaccinium calycinum","3","130.33","10.12","5.84","Vaccinium calycinum","3","152","5.57","3.22","Vaccinium calycinum","3","176.33","1.15","0.66","Vaccinium calycinum","3","182","1.73","1","Vaccinium calycinum","3","146","6.08","3.51","Vaccinium calycinum","3","2682.67","161.56","93.28","Vaccinium calycinum","3","343.67","31.79","18.35","Vaccinium calycinum","3","109.67","10.69","6.17","Vaccinium calycinum","3","36.33","2.52","1.45","Vaccinium calycinum","3","942","79.54","45.92","Vaccinium calycinum","3","410","39.95","23.07","Vaccinium calycinum","3","438.67","40.28","23.26","Vaccinium calycinum","3","903.33","57.62","33.27","Vaccinium calycinum","3","1152","46.23","26.69"
"5","Trochocarpa laurina","20","171.75","21.94","4.91","Trochocarpa laurina","20","111.5","15.6","3.49","Trochocarpa laurina","20","49.6","1.31","0.29","Trochocarpa laurina","20","3993.65","479.87","107.3","Trochocarpa laurina","20","274.7","16.71","3.74","Trochocarpa laurina","20","52.55","30.24","6.76","Trochocarpa laurina","20","222.15","28.73","6.42","Trochocarpa laurina","20","216.55","18.13","4.05","Trochocarpa laurina","20","127.6","26.67","5.96","Trochocarpa laurina","20","219.3","17.77","3.97","Trochocarpa laurina","20","117.3","26.34","5.89","Trochocarpa laurina","20","1246.25","307.59","68.78","Trochocarpa laurina","20","175.7","45.29","10.13","Trochocarpa laurina","20","45.9","9.11","2.04","Trochocarpa laurina","20","38.55","6.37","1.42","Trochocarpa laurina","20","484.35","133.68","29.89","Trochocarpa laurina","20","164.6","32.03","7.16","Trochocarpa laurina","20","455.45","120.54","26.95","Trochocarpa laurina","20","207.7","56.2","12.57","Trochocarpa laurina","20","351.95","309.51","69.21"
"6","Cavendishia martii","16","160.62","50.94","12.73","Cavendishia martii","16","143.81","23.96","5.99","Cavendishia martii","16","74.44","4.49","1.12","Cavendishia martii","16","1261.88","494.53","123.63","Cavendishia martii","16","248.56","42.39","10.6","Cavendishia martii","16","55.88","65.97","16.49","Cavendishia martii","16","192.69","34.11","8.53","Cavendishia martii","16","168.88","48.91","12.23","Cavendishia martii","16","143.06","53.38","13.35","Cavendishia martii","16","173.19","48.89","12.22","Cavendishia martii","16","141.75","54.2","13.55","Cavendishia martii","16","1388.94","744.26","186.06","Cavendishia martii","16","233.81","98.76","24.69","Cavendishia martii","16","28.69","33.89","8.47","Cavendishia martii","16","67.19","17.48","4.37","Cavendishia martii","16","645.25","272.64","68.16","Cavendishia martii","16","109.12","111.96","27.99","Cavendishia martii","16","455.5","194.2","48.55","Cavendishia martii","16","115.75","115.51","28.88","Cavendishia martii","16","2424.38","998.07","249.52"
"7","Gaultheria borneensis","7","144.71","81.53","30.82","Gaultheria borneensis","7","78.57","8.04","3.04","Gaultheria borneensis","7","56.29","12.85","4.86","Gaultheria borneensis","7","2222.57","1310.64","495.38","Gaultheria borneensis","7","210","86.29","32.61","Gaultheria borneensis","7","66.29","84.69","32.01","Gaultheria borneensis","7","143.71","29.43","11.12","Gaultheria borneensis","7","161.43","81.37","30.75","Gaultheria borneensis","7","125.57","82.99","31.37","Gaultheria borneensis","7","169.43","80.41","30.39","Gaultheria borneensis","7","113.86","86.76","32.79","Gaultheria borneensis","7","2799.14","792.26","299.45","Gaultheria borneensis","7","489.43","147.93","55.91","Gaultheria borneensis","7","58.86","37.61","14.22","Gaultheria borneensis","7","64.43","27.67","10.46","Gaultheria borneensis","7","1290.86","359.14","135.74","Gaultheria borneensis","7","208.43","128.56","48.59","Gaultheria borneensis","7","1011.14","477.5","180.48","Gaultheria borneensis","7","362.71","271.85","102.75","Gaultheria borneensis","7","1978.57","1403.51","530.48"
"8","Sphyrospermum cordifolium","86","198.17","38.02","4.1","Sphyrospermum cordifolium","86","102.79","17.94","1.93","Sphyrospermum cordifolium","86","80.63","7.76","0.84","Sphyrospermum cordifolium","86","623.01","411.21","44.34","Sphyrospermum cordifolium","86","262.21","37.61","4.06","Sphyrospermum cordifolium","86","134.12","45.48","4.9","Sphyrospermum cordifolium","86","128.09","26.86","2.9","Sphyrospermum cordifolium","86","198.99","38.18","4.12","Sphyrospermum cordifolium","86","194.8","39.75","4.29","Sphyrospermum cordifolium","86","204.97","38.88","4.19","Sphyrospermum cordifolium","86","189.28","38.26","4.13","Sphyrospermum cordifolium","86","2283.59","1101.24","118.75","Sphyrospermum cordifolium","86","326.56","137.57","14.83","Sphyrospermum cordifolium","86","74.98","67.21","7.25","Sphyrospermum cordifolium","86","47.31","19.32","2.08","Sphyrospermum cordifolium","86","873.21","368.44","39.73","Sphyrospermum cordifolium","86","266.09","221.72","23.91","Sphyrospermum cordifolium","86","558.37","271.35","29.26","Sphyrospermum cordifolium","86","526","428.36","46.19","Sphyrospermum cordifolium","86","1414.13","796.89","85.93"
"9","Macleania rupestris","49","138.51","53.46","7.64","Macleania rupestris","49","101.43","15.65","2.24","Macleania rupestris","49","82.57","5.35","0.76","Macleania rupestris","49","471.69","246.51","35.22","Macleania rupestris","49","199.33","57.4","8.2","Macleania rupestris","49","76.88","54.24","7.75","Macleania rupestris","49","122.45","19.65","2.81","Macleania rupestris","49","138.96","53.18","7.6","Macleania rupestris","49","135.16","53.77","7.68","Macleania rupestris","49","143.37","54.94","7.85","Macleania rupestris","49","131.59","53.09","7.58","Macleania rupestris","49","1612.39","818.02","116.86","Macleania rupestris","49","226.27","121.33","17.33","Macleania rupestris","49","55","37.83","5.4","Macleania rupestris","49","42.67","21.19","3.03","Macleania rupestris","49","586.92","307.08","43.87","Macleania rupestris","49","201.2","128.39","18.34","Macleania rupestris","49","427.37","202.32","28.9","Macleania rupestris","49","336.67","279.44","39.92","Macleania rupestris","49","2508.35","971.26","138.75"
"10","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Tepuia cardonae","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
