"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19","species.19","n_alt","mean_alt","sd_alt","se_alt"
"1","Dupineta brazzae","47","226.17","26.84","3.92","Dupineta brazzae","47","108.96","18.08","2.64","Dupineta brazzae","47","73.66","6.59","0.96","Dupineta brazzae","47","949.89","383.14","55.89","Dupineta brazzae","47","301.49","26.65","3.89","Dupineta brazzae","47","153.81","31.46","4.59","Dupineta brazzae","47","147.68","25.46","3.71","Dupineta brazzae","47","225.21","29.59","4.32","Dupineta brazzae","47","219.47","26.07","3.8","Dupineta brazzae","47","236.62","27.44","4","Dupineta brazzae","47","212.79","25.97","3.79","Dupineta brazzae","47","1679.51","405.03","59.08","Dupineta brazzae","47","279.96","74.14","10.81","Dupineta brazzae","47","17.36","17.8","2.6","Dupineta brazzae","47","62.91","15.88","2.32","Dupineta brazzae","47","721.34","200.32","29.22","Dupineta brazzae","47","81.26","68.48","9.99","Dupineta brazzae","47","410.32","167.73","24.47","Dupineta brazzae","47","355.11","390.94","57.02","Dupineta brazzae","47","874.02","584.84","85.31"
"2","Dissotis thollonii","11","253.27","24.24","7.31","Dissotis thollonii","11","131.27","11.36","3.43","Dissotis thollonii","11","65.64","4.78","1.44","Dissotis thollonii","11","1543.36","486.29","146.62","Dissotis thollonii","11","352.18","29.42","8.87","Dissotis thollonii","11","151.91","20.97","6.32","Dissotis thollonii","11","200.27","26.13","7.88","Dissotis thollonii","11","240.55","22.88","6.9","Dissotis thollonii","11","245.18","19.67","5.93","Dissotis thollonii","11","275.36","31.24","9.42","Dissotis thollonii","11","236.18","20.25","6.11","Dissotis thollonii","11","1430.18","517.93","156.16","Dissotis thollonii","11","303.55","52.94","15.96","Dissotis thollonii","11","4.91","6.7","2.02","Dissotis thollonii","11","89.55","18.19","5.48","Dissotis thollonii","11","796.73","170.82","51.5","Dissotis thollonii","11","33.18","39.74","11.98","Dissotis thollonii","11","225.45","135.42","40.83","Dissotis thollonii","11","394.18","406.31","122.51","Dissotis thollonii","11","597","335.6","101.19"
"3","Maieta guianensis","175","254.65","17.74","1.34","Maieta guianensis","175","99.53","11.16","0.84","Maieta guianensis","175","81.74","5.61","0.42","Maieta guianensis","175","500.87","165.03","12.48","Maieta guianensis","175","317.45","16.55","1.25","Maieta guianensis","175","195.87","24.13","1.82","Maieta guianensis","175","121.58","16.15","1.22","Maieta guianensis","175","252.18","16.96","1.28","Maieta guianensis","175","255.15","20.03","1.51","Maieta guianensis","175","260.16","17.65","1.33","Maieta guianensis","175","247.57","18.45","1.39","Maieta guianensis","175","2626.59","545","41.2","Maieta guianensis","175","354.13","80.64","6.1","Maieta guianensis","175","96.01","57.71","4.36","Maieta guianensis","175","40.26","15.72","1.19","Maieta guianensis","175","980.82","212.86","16.09","Maieta guianensis","175","334.72","173.24","13.1","Maieta guianensis","175","486.57","220.86","16.7","Maieta guianensis","175","737.33","323.67","24.47","Maieta guianensis","175","284.02","367.38","27.77"
"4","Memecylon zenkeri","12","237","21.86","6.31","Memecylon zenkeri","12","85.17","7.78","2.25","Memecylon zenkeri","12","76.5","3.18","0.92","Memecylon zenkeri","12","810","122.27","35.3","Memecylon zenkeri","12","298","23.62","6.82","Memecylon zenkeri","12","187.25","21.98","6.35","Memecylon zenkeri","12","110.75","10.41","3.01","Memecylon zenkeri","12","228.5","23.26","6.71","Memecylon zenkeri","12","242.5","21.88","6.32","Memecylon zenkeri","12","246.33","22.37","6.46","Memecylon zenkeri","12","225.5","21.99","6.35","Memecylon zenkeri","12","2403.08","533.05","153.88","Memecylon zenkeri","12","402","74.53","21.51","Memecylon zenkeri","12","36.08","24.63","7.11","Memecylon zenkeri","12","61","6.88","1.99","Memecylon zenkeri","12","1057.67","241.54","69.73","Memecylon zenkeri","12","149.5","87.21","25.18","Memecylon zenkeri","12","423","98.29","28.37","Memecylon zenkeri","12","909","345.92","99.86","Memecylon zenkeri","12","520.58","368.72","106.44"
"5","Calvoa orientalis","27","233.63","19.71","3.79","Calvoa orientalis","27","103.7","8.46","1.63","Calvoa orientalis","27","79.41","8.13","1.56","Calvoa orientalis","27","739.74","487.86","93.89","Calvoa orientalis","27","299.59","21.02","4.05","Calvoa orientalis","27","169","22.1","4.25","Calvoa orientalis","27","130.59","13.92","2.68","Calvoa orientalis","27","234.7","19.92","3.83","Calvoa orientalis","27","225.37","19.87","3.82","Calvoa orientalis","27","241.93","22.13","4.26","Calvoa orientalis","27","223.37","18.52","3.56","Calvoa orientalis","27","1626.81","218.03","41.96","Calvoa orientalis","27","240.07","47.75","9.19","Calvoa orientalis","27","39.15","25.22","4.85","Calvoa orientalis","27","46.52","14.06","2.71","Calvoa orientalis","27","610.56","88.73","17.08","Calvoa orientalis","27","160.78","88.49","17.03","Calvoa orientalis","27","476.07","124.61","23.98","Calvoa orientalis","27","235.7","164.18","31.6","Calvoa orientalis","27","662.41","395.79","76.17"
"6","Pachycentria constricta","17","243.29","25.3","6.14","Pachycentria constricta","17","90.88","11.39","2.76","Pachycentria constricta","17","87.29","3.29","0.8","Pachycentria constricta","17","327.76","80.44","19.51","Pachycentria constricta","17","296.65","23.1","5.6","Pachycentria constricta","17","193.12","29.94","7.26","Pachycentria constricta","17","103.53","11.97","2.9","Pachycentria constricta","17","242","24.63","5.97","Pachycentria constricta","17","242.71","26.93","6.53","Pachycentria constricta","17","246.65","25.12","6.09","Pachycentria constricta","17","238.88","25.33","6.14","Pachycentria constricta","17","2652.24","611.6","148.33","Pachycentria constricta","17","307.06","74.74","18.13","Pachycentria constricta","17","126.29","36.74","8.91","Pachycentria constricta","17","26.12","5.01","1.22","Pachycentria constricta","17","857.47","211.07","51.19","Pachycentria constricta","17","426.41","114.65","27.81","Pachycentria constricta","17","647.53","158.65","38.48","Pachycentria constricta","17","637.82","286.44","69.47","Pachycentria constricta","17","480.94","460.69","111.73"
"7","Memecylon edule","32","254.62","21.57","3.81","Memecylon edule","32","88.31","13.99","2.47","Memecylon edule","32","69.88","17.31","3.06","Memecylon edule","32","1317.5","1233.2","218","Memecylon edule","32","319.03","23.45","4.15","Memecylon edule","32","182.53","45.46","8.04","Memecylon edule","32","136.5","50.29","8.89","Memecylon edule","32","258.84","17.44","3.08","Memecylon edule","32","239.97","34.42","6.08","Memecylon edule","32","269","19.06","3.37","Memecylon edule","32","235.31","34.27","6.06","Memecylon edule","32","2409.78","841.54","148.76","Memecylon edule","32","393.22","121.98","21.56","Memecylon edule","32","70.47","73.48","12.99","Memecylon edule","32","58.84","29.71","5.25","Memecylon edule","32","1030.38","328.66","58.1","Memecylon edule","32","253.91","241.75","42.74","Memecylon edule","32","607.56","264.01","46.67","Memecylon edule","32","436.75","410.58","72.58","Memecylon edule","32","271.81","339.23","59.97"
"8","Leandra crenata","18","171.39","46.3","10.91","Leandra crenata","18","137.89","21.86","5.15","Leandra crenata","18","67.83","7.37","1.74","Leandra crenata","18","1987.67","1053.05","248.21","Leandra crenata","18","264.11","47.43","11.18","Leandra crenata","18","59.56","58.01","13.67","Leandra crenata","18","204.56","41.47","9.77","Leandra crenata","18","188.61","49.44","11.65","Leandra crenata","18","145.28","47.73","11.25","Leandra crenata","18","192.22","50.38","11.87","Leandra crenata","18","142.72","46.98","11.07","Leandra crenata","18","937.33","264.74","62.4","Leandra crenata","18","163.78","37.73","8.89","Leandra crenata","18","13.56","8.79","2.07","Leandra crenata","18","70.61","15.48","3.65","Leandra crenata","18","455.72","105.27","24.81","Leandra crenata","18","58","36.5","8.6","Leandra crenata","18","374.28","86.98","20.5","Leandra crenata","18","63.17","39.36","9.28","Leandra crenata","18","2054","1062.35","250.4"
"9","Astronia macrophylla","18","243.22","34.79","8.2","Astronia macrophylla","18","86.94","11.56","2.72","Astronia macrophylla","18","85","4.24","1","Astronia macrophylla","18","356.17","152.13","35.86","Astronia macrophylla","18","295.06","35.89","8.46","Astronia macrophylla","18","193.5","37.87","8.93","Astronia macrophylla","18","101.56","12.33","2.91","Astronia macrophylla","18","241.39","33.45","7.88","Astronia macrophylla","18","242.5","37.04","8.73","Astronia macrophylla","18","246.78","35.25","8.31","Astronia macrophylla","18","238.33","35.53","8.37","Astronia macrophylla","18","2808.11","589.22","138.88","Astronia macrophylla","18","344.83","94.14","22.19","Astronia macrophylla","18","133.39","42.19","9.94","Astronia macrophylla","18","30","13.82","3.26","Astronia macrophylla","18","963.72","277.5","65.41","Astronia macrophylla","18","439.67","133.9","31.56","Astronia macrophylla","18","682.5","226.16","53.31","Astronia macrophylla","18","711.94","305.07","71.91","Astronia macrophylla","18","464.22","583.56","137.55"
"10","Dinophora spenneroides","43","242.93","13.36","2.04","Dinophora spenneroides","43","90.21","11.13","1.7","Dinophora spenneroides","43","73.14","5.76","0.88","Dinophora spenneroides","43","972.35","305.33","46.56","Dinophora spenneroides","43","305.3","13.94","2.13","Dinophora spenneroides","43","182.3","19.13","2.92","Dinophora spenneroides","43","123","16.1","2.46","Dinophora spenneroides","43","242.56","14.36","2.19","Dinophora spenneroides","43","233.58","18.46","2.82","Dinophora spenneroides","43","252.88","14.19","2.16","Dinophora spenneroides","43","228.35","14.03","2.14","Dinophora spenneroides","43","2036.67","459.47","70.07","Dinophora spenneroides","43","348.05","80.52","12.28","Dinophora spenneroides","43","16.26","17.21","2.62","Dinophora spenneroides","43","63.67","7.51","1.15","Dinophora spenneroides","43","865.88","227.62","34.71","Dinophora spenneroides","43","79.6","63.69","9.71","Dinophora spenneroides","43","563.6","154.08","23.5","Dinophora spenneroides","43","333.35","444.66","67.81","Dinophora spenneroides","43","411.65","253.95","38.73"
