"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19"
"1","Cliffortia dregeana","55","126.8","16.83","2.27","Cliffortia dregeana","55","117.8","9.65","1.3","Cliffortia dregeana","55","55.07","0.72","0.1","Cliffortia dregeana","55","3438.2","283.56","38.24","Cliffortia dregeana","55","242.76","20.1","2.71","Cliffortia dregeana","55","30.76","15.74","2.12","Cliffortia dregeana","55","212","17.76","2.39","Cliffortia dregeana","55","89.15","16.47","2.22","Cliffortia dregeana","55","170.47","17.78","2.4","Cliffortia dregeana","55","170.6","17.76","2.39","Cliffortia dregeana","55","83.87","16.36","2.21","Cliffortia dregeana","55","794.8","153.53","20.7","Cliffortia dregeana","55","122.11","26.88","3.62","Cliffortia dregeana","55","24.27","4.67","0.63","Cliffortia dregeana","55","56.18","6.05","0.82","Cliffortia dregeana","55","351","77.67","10.47","Cliffortia dregeana","55","80.36","10.55","1.42","Cliffortia dregeana","55","80.55","10.42","1.41","Cliffortia dregeana","55","348.65","76.26","10.28"
"2","Aphanes arvensis","1461","85.16","22.85","0.6","Aphanes arvensis","1461","70.08","15.11","0.4","Aphanes arvensis","1461","27.87","3.76","0.1","Aphanes arvensis","1461","6275.19","558.81","14.62","Aphanes arvensis","1461","216.97","27.63","0.72","Aphanes arvensis","1461","-28.31","27.81","0.73","Aphanes arvensis","1461","245.28","27.59","0.72","Aphanes arvensis","1461","135.28","35.32","0.92","Aphanes arvensis","1461","42.53","63.86","1.67","Aphanes arvensis","1461","166.15","21.45","0.56","Aphanes arvensis","1461","6.9","26.78","0.7","Aphanes arvensis","1461","673.26","152.65","3.99","Aphanes arvensis","1461","80.64","24.05","0.63","Aphanes arvensis","1461","33.73","10.71","0.28","Aphanes arvensis","1461","27.06","12.93","0.34","Aphanes arvensis","1461","227.4","65.42","1.71","Aphanes arvensis","1461","111.7","34.6","0.91","Aphanes arvensis","1461","188.51","63.88","1.67","Aphanes arvensis","1461","150.89","57.96","1.52"
"3","Rubus ulmifolius","744","132.55","29.48","1.08","Rubus ulmifolius","744","96.17","17.08","0.63","Rubus ulmifolius","744","37.04","3.35","0.12","Rubus ulmifolius","744","5575.36","799.15","29.3","Rubus ulmifolius","744","277.38","37.69","1.38","Rubus ulmifolius","744","21.29","33.78","1.24","Rubus ulmifolius","744","256.09","38.89","1.43","Rubus ulmifolius","744","104.22","39.81","1.46","Rubus ulmifolius","744","187.27","64.53","2.37","Rubus ulmifolius","744","206.48","30.48","1.12","Rubus ulmifolius","744","64.48","33.28","1.22","Rubus ulmifolius","744","712.93","219.76","8.06","Rubus ulmifolius","744","94.8","28.51","1.05","Rubus ulmifolius","744","21.88","18.7","0.69","Rubus ulmifolius","744","40.32","17.3","0.63","Rubus ulmifolius","744","259.43","79.91","2.93","Rubus ulmifolius","744","89.07","61.05","2.24","Rubus ulmifolius","744","106.58","76.41","2.8","Rubus ulmifolius","744","222.4","87.95","3.22"
"4","Pygeum oliganthum","13","175.15","20.1","5.57","Pygeum oliganthum","13","104.54","12.83","3.56","Pygeum oliganthum","13","84.38","7.25","2.01","Pygeum oliganthum","13","666.46","300.32","83.29","Pygeum oliganthum","13","238.38","21.67","6.01","Pygeum oliganthum","13","115.46","18.9","5.24","Pygeum oliganthum","13","122.92","7.22","2","Pygeum oliganthum","13","181.92","19.28","5.35","Pygeum oliganthum","13","165.31","21.35","5.92","Pygeum oliganthum","13","182","19.43","5.39","Pygeum oliganthum","13","165.23","21.38","5.93","Pygeum oliganthum","13","2815","308.76","85.63","Pygeum oliganthum","13","341.77","49.66","13.77","Pygeum oliganthum","13","131.38","24.54","6.81","Pygeum oliganthum","13","29.92","8.13","2.25","Pygeum oliganthum","13","979.15","159.03","44.11","Pygeum oliganthum","13","432.85","82.1","22.77","Pygeum oliganthum","13","947.31","127.46","35.35","Pygeum oliganthum","13","433.46","83.08","23.04"
"5","Rubus moorei","37","175.46","14.33","2.36","Rubus moorei","37","102.68","7.99","1.31","Rubus moorei","37","50.84","0.87","0.14","Rubus moorei","37","3561.65","127.7","20.99","Rubus moorei","37","267.16","16.97","2.79","Rubus moorei","37","67.27","9.05","1.49","Rubus moorei","37","199.89","13.05","2.15","Rubus moorei","37","215.38","15.18","2.5","Rubus moorei","37","133.57","13.94","2.29","Rubus moorei","37","217","14.94","2.46","Rubus moorei","37","126.24","13.72","2.26","Rubus moorei","37","1671.24","192.46","31.64","Rubus moorei","37","235.49","24.51","4.03","Rubus moorei","37","47.54","5.78","0.95","Rubus moorei","37","42.3","2.01","0.33","Rubus moorei","37","660.76","75.77","12.46","Rubus moorei","37","197.11","24.84","4.08","Rubus moorei","37","615.46","72.25","11.88","Rubus moorei","37","258.57","35.34","5.81"
"6","Potentilla norvegica","4405","46.8","38.31","0.58","Potentilla norvegica","4405","92.17","27.9","0.42","Potentilla norvegica","4405","26.32","5.44","0.08","Potentilla norvegica","4405","8820.5","2252.86","33.94","Potentilla norvegica","4405","224.69","39.62","0.6","Potentilla norvegica","4405","-120.05","70.54","1.06","Potentilla norvegica","4405","344.74","82.07","1.24","Potentilla norvegica","4405","128.17","53.61","0.81","Potentilla norvegica","4405","-22.84","71.37","1.08","Potentilla norvegica","4405","159.08","31.61","0.48","Potentilla norvegica","4405","-67.45","60.82","0.92","Potentilla norvegica","4405","776.77","311.07","4.69","Potentilla norvegica","4405","96.67","36.21","0.55","Potentilla norvegica","4405","37.69","20.13","0.3","Potentilla norvegica","4405","31.51","13.36","0.2","Potentilla norvegica","4405","269.03","104.2","1.57","Potentilla norvegica","4405","125.34","64.73","0.98","Potentilla norvegica","4405","237.86","71.55","1.08","Potentilla norvegica","4405","158.17","99.36","1.5"
"7","Cliffortia crenata","60","151.38","16.58","2.14","Cliffortia crenata","60","142.8","10.77","1.39","Cliffortia crenata","60","55.45","1.95","0.25","Cliffortia crenata","60","3977.28","399.23","51.54","Cliffortia crenata","60","282.45","19.41","2.51","Cliffortia crenata","60","27.07","16.84","2.17","Cliffortia crenata","60","255.38","18.92","2.44","Cliffortia crenata","60","130.7","32.07","4.14","Cliffortia crenata","60","185.52","42.35","5.47","Cliffortia crenata","60","200.47","18.31","2.36","Cliffortia crenata","60","99.43","15.98","2.06","Cliffortia crenata","60","376.62","123.59","15.96","Cliffortia crenata","60","48","20.85","2.69","Cliffortia crenata","60","17.65","6.53","0.84","Cliffortia crenata","60","29.73","14.6","1.88","Cliffortia crenata","60","133.28","60.98","7.87","Cliffortia crenata","60","60.58","18.41","2.38","Cliffortia crenata","60","62.33","20.03","2.59","Cliffortia crenata","60","125.58","66.28","8.56"
"8","Alchemilla cryptantha","63","162.44","43.33","5.46","Alchemilla cryptantha","63","116.54","21.11","2.66","Alchemilla cryptantha","63","73.21","9.89","1.25","Alchemilla cryptantha","63","1445.43","1001.7","126.2","Alchemilla cryptantha","63","241.21","50.84","6.41","Alchemilla cryptantha","63","79.81","40.48","5.1","Alchemilla cryptantha","63","161.4","37.38","4.71","Alchemilla cryptantha","63","168.71","50.87","6.41","Alchemilla cryptantha","63","150.3","42.36","5.34","Alchemilla cryptantha","63","178.25","48.27","6.08","Alchemilla cryptantha","63","142.1","40.17","5.06","Alchemilla cryptantha","63","1539.46","562.29","70.84","Alchemilla cryptantha","63","264.68","93.86","11.83","Alchemilla cryptantha","63","29.3","26.27","3.31","Alchemilla cryptantha","63","65.43","22.22","2.8","Alchemilla cryptantha","63","703.19","245.88","30.98","Alchemilla cryptantha","63","116.48","96.45","12.15","Alchemilla cryptantha","63","450.11","177.07","22.31","Alchemilla cryptantha","63","396.02","395.81","49.87"
"9","Cliffortia obcordata","20","161.45","5.57","1.25","Cliffortia obcordata","20","91.45","7.98","1.78","Cliffortia obcordata","20","53.75","0.64","0.14","Cliffortia obcordata","20","2719.75","206.63","46.2","Cliffortia obcordata","20","248.8","9.89","2.21","Cliffortia obcordata","20","80.5","6.61","1.48","Cliffortia obcordata","20","168.3","13.97","3.12","Cliffortia obcordata","20","129.85","3.07","0.69","Cliffortia obcordata","20","195.35","6.5","1.45","Cliffortia obcordata","20","196.05","6.85","1.53","Cliffortia obcordata","20","127.2","5.34","1.19","Cliffortia obcordata","20","886.1","139.41","31.17","Cliffortia obcordata","20","144.45","17.9","4","Cliffortia obcordata","20","24.7","5.55","1.24","Cliffortia obcordata","20","59.55","2.04","0.46","Cliffortia obcordata","20","405.3","56.61","12.66","Cliffortia obcordata","20","83.15","16.14","3.61","Cliffortia obcordata","20","84.45","15.51","3.47","Cliffortia obcordata","20","403.65","54.5","12.19"
"10","Eriobotrya bengalensis","46","221.33","46.5","6.86","Eriobotrya bengalensis","46","99.61","15.79","2.33","Eriobotrya bengalensis","46","59.93","16.83","2.48","Eriobotrya bengalensis","46","2177.24","1616.73","238.37","Eriobotrya bengalensis","46","303.04","39.42","5.81","Eriobotrya bengalensis","46","125.35","72.81","10.74","Eriobotrya bengalensis","46","177.7","54.31","8.01","Eriobotrya bengalensis","46","235.76","32.62","4.81","Eriobotrya bengalensis","46","196.04","63.99","9.43","Eriobotrya bengalensis","46","245.76","34.99","5.16","Eriobotrya bengalensis","46","190.46","64.96","9.58","Eriobotrya bengalensis","46","1864.24","758.01","111.76","Eriobotrya bengalensis","46","322.24","126.2","18.61","Eriobotrya bengalensis","46","34.8","47.48","7","Eriobotrya bengalensis","46","68.35","21.73","3.2","Eriobotrya bengalensis","46","864.85","347.74","51.27","Eriobotrya bengalensis","46","131.22","159.77","23.56","Eriobotrya bengalensis","46","591.7","300.79","44.35","Eriobotrya bengalensis","46","248.72","337.55","49.77"
"11","Sanguisorba officinalis","2233","71.92","58.76","1.24","Sanguisorba officinalis","2233","85.75","24.52","0.52","Sanguisorba officinalis","2233","27.16","6.06","0.13","Sanguisorba officinalis","2233","8259.54","3065.26","64.87","Sanguisorba officinalis","2233","235.22","51.47","1.09","Sanguisorba officinalis","2233","-83.23","97.05","2.05","Sanguisorba officinalis","2233","318.45","102.08","2.16","Sanguisorba officinalis","2233","144.37","68.35","1.45","Sanguisorba officinalis","2233","9.15","98.69","2.09","Sanguisorba officinalis","2233","176.73","47","0.99","Sanguisorba officinalis","2233","-33.86","88.91","1.88","Sanguisorba officinalis","2233","1067.65","558.58","11.82","Sanguisorba officinalis","2233","155.64","83","1.76","Sanguisorba officinalis","2233","41.04","25.55","0.54","Sanguisorba officinalis","2233","44.64","23.69","0.5","Sanguisorba officinalis","2233","418.43","222.92","4.72","Sanguisorba officinalis","2233","137.81","82.47","1.75","Sanguisorba officinalis","2233","340.05","184.1","3.9","Sanguisorba officinalis","2233","197.25","179.91","3.81"
"12","Rubus sumatranus","203","167.08","32.37","2.27","Rubus sumatranus","203","85","13.2","0.93","Rubus sumatranus","203","31.17","7.78","0.55","Rubus sumatranus","203","6706.52","1556.77","109.26","Rubus sumatranus","203","301.36","31.29","2.2","Rubus sumatranus","203","25.42","43.34","3.04","Rubus sumatranus","203","275.94","42.21","2.96","Rubus sumatranus","203","227.97","27.79","1.95","Rubus sumatranus","203","90","47.21","3.31","Rubus sumatranus","203","249.58","28.2","1.98","Rubus sumatranus","203","78.19","43.41","3.05","Rubus sumatranus","203","1611.74","346.96","24.35","Rubus sumatranus","203","268.63","51.8","3.64","Rubus sumatranus","203","40.81","22.54","1.58","Rubus sumatranus","203","59.01","15.32","1.08","Rubus sumatranus","203","719.5","141.61","9.94","Rubus sumatranus","203","145.14","73.77","5.18","Rubus sumatranus","203","645.46","155.23","10.9","Rubus sumatranus","203","162.37","85.68","6.01"
"13","Agrimonia procera","727","73.89","11.76","0.44","Agrimonia procera","727","63.86","12.98","0.48","Agrimonia procera","727","25.94","3.18","0.12","Agrimonia procera","727","6306.02","600.75","22.28","Agrimonia procera","727","202.45","18.51","0.69","Agrimonia procera","727","-37.75","18.22","0.68","Agrimonia procera","727","240.2","27.47","1.02","Agrimonia procera","727","128.28","36.28","1.35","Agrimonia procera","727","28.26","31.73","1.18","Agrimonia procera","727","155.73","12.02","0.45","Agrimonia procera","727","-4.17","15.81","0.59","Agrimonia procera","727","818.83","370.72","13.75","Agrimonia procera","727","96.01","48.45","1.8","Agrimonia procera","727","41.92","16.56","0.61","Agrimonia procera","727","24.99","5.03","0.19","Agrimonia procera","727","273.39","138.72","5.14","Agrimonia procera","727","139.09","55.87","2.07","Agrimonia procera","727","223.56","71.73","2.66","Agrimonia procera","727","181.2","105.86","3.93"
"14","Hagenia abyssinica","58","148.76","29.58","3.88","Hagenia abyssinica","58","116.5","16.24","2.13","Hagenia abyssinica","58","73.19","9.46","1.24","Hagenia abyssinica","58","1081.17","473.05","62.11","Hagenia abyssinica","58","229.19","33.23","4.36","Hagenia abyssinica","58","70.28","27.94","3.67","Hagenia abyssinica","58","158.91","16.67","2.19","Hagenia abyssinica","58","151.26","32.1","4.21","Hagenia abyssinica","58","140.05","29.73","3.9","Hagenia abyssinica","58","160.78","31.69","4.16","Hagenia abyssinica","58","133.41","27.6","3.62","Hagenia abyssinica","58","1305.72","290.03","38.08","Hagenia abyssinica","58","248.21","73.08","9.6","Hagenia abyssinica","58","19.95","18.48","2.43","Hagenia abyssinica","58","69.21","21.13","2.77","Hagenia abyssinica","58","606.52","171.32","22.5","Hagenia abyssinica","58","82.47","70.95","9.32","Hagenia abyssinica","58","358.95","88.71","11.65","Hagenia abyssinica","58","170.12","193.8","25.45"
"15","Cliffortia ruscifolia","73","155.49","13.7","1.6","Cliffortia ruscifolia","73","118.26","22.24","2.6","Cliffortia ruscifolia","73","54.14","1.51","0.18","Cliffortia ruscifolia","73","3511.96","627.07","73.39","Cliffortia ruscifolia","73","270.04","23.13","2.71","Cliffortia ruscifolia","73","53.88","22.57","2.64","Cliffortia ruscifolia","73","216.16","38.66","4.52","Cliffortia ruscifolia","73","115.93","16.21","1.9","Cliffortia ruscifolia","73","198.74","14.41","1.69","Cliffortia ruscifolia","73","199.44","14.5","1.7","Cliffortia ruscifolia","73","110.67","16.59","1.94","Cliffortia ruscifolia","73","715.64","270.09","31.61","Cliffortia ruscifolia","73","113.29","42.52","4.98","Cliffortia ruscifolia","73","19.55","8.69","1.02","Cliffortia ruscifolia","73","57.73","8.63","1.01","Cliffortia ruscifolia","73","321.82","124.18","14.53","Cliffortia ruscifolia","73","67.88","24.76","2.9","Cliffortia ruscifolia","73","69.32","25.06","2.93","Cliffortia ruscifolia","73","318.23","122.59","14.35"
