mean,std.dev,class,replicate,group
1.36,0.08,mean,Apocynaceae,fleshy
0.82,0.02,mean,Apocynaceae,dry
0.94,0.06,mean,Ericaceae,fleshy
1.25,0.05,mean,Ericaceae,dry
1.49,0.02,mean,Melastomataceae,fleshy
1.22,0.03,mean,Melastomataceae,dry
0.93,0.03,mean,Rosaceae,fleshy
0.69,0.03,mean,Rosaceae,dry
0.72,0.02,mean,Solanaceae,fleshy
0.41,0.03,mean,Solanaceae,dry
1.12,0.13,optimum,Apocynaceae,fleshy
0.69,0.01,optimum,Apocynaceae,dry
0.67,0.01,optimum,Ericaceae,fleshy
1.03,0.01,optimum,Ericaceae,dry
1.38,0.03,optimum,Melastomataceae,fleshy
1.2,0.04,optimum,Melastomataceae,dry
0.81,0.04,optimum,Rosaceae,fleshy
0.65,0.05,optimum,Rosaceae,dry
1.42,0.16,optimum,Solanaceae,fleshy
0.35,0.05,optimum,Solanaceae,dry
