"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.002","!","!"
"(2,R1)","0.002",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.004","!","!"
"(2,R1)","0.001",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.057","0.085",NA
"(2,R1)","0.057",NA,NA,"0.085"
"(1,R2)","0.003",NA,NA,"<0.001"
"(2,R2)",NA,"0.003","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.058","0.089",NA
"(2,R1)","0.042",NA,NA,"0.089"
"(1,R2)","0.003",NA,NA,"<0.001"
"(2,R2)",NA,"0.003","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.056","0.086",NA
"(2,R1)","0.056",NA,NA,"0.086"
"(1,R2)","0.003",NA,NA,"<0.001"
"(2,R2)",NA,"0.003","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
