"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.003","!","!"
"(2,R1)","0.003",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.004","!","!"
"(2,R1)","<0.001",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"12.895","0.166",NA
"(2,R1)","12.895",NA,NA,"0.166"
"(1,R2)","0.002",NA,NA,"0.001"
"(2,R2)",NA,"0.002","0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"8.271","0.04",NA
"(2,R1)","13.33",NA,NA,"0.04"
"(1,R2)","0.001",NA,NA,"0.002"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"13.504","0.049",NA
"(2,R1)","13.504",NA,NA,"0.049"
"(1,R2)","0.001",NA,NA,"0.002"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
