"","alpha","sigma.sq","theta"
"Acokanthera_oblongifolia",0.207892042935754,1.58769223743988e-05,5.69507466020764
"Acokanthera_rotundata",0.207892042935754,1.58769223743988e-05,5.69507466020764
"Acokanthera_oppositifolia",0.207891915569951,1.58785156878211e-05,5.6950745510528
"Carissa_macrocarpa",0.207856672568819,1.62996244405971e-05,5.69504573889447
"Carissa_carandas",0.207864217054312,1.62282336485001e-05,5.69504719769659
"Carissa_spinarum",0.207864217054312,1.62282336485001e-05,5.69504719769659
"Carissa_ovata",0.207864186664162,1.62285826013623e-05,5.69504717424423
"Carissa_bispinosa",0.2078571388335,1.62856670368674e-05,5.69504910762977
"Apocynum_androsaemifolium",0.201623062936403,0.000138131464464297,5.68528046442981
"Apocynum_cannabinum",0.201623062936403,0.000138131464464297,5.68528046442981
"Cleghornia_malaccensis",0.201626769852729,0.000138037406505711,5.68528805892594
"Trachelospermum_jasminoides",0.201611253051071,0.000138507907044751,5.68525017798188
"Trachelospermum_asiaticum",0.201611253051071,0.000138507907044751,5.68525017798188
"Trachelospermum_axillare",0.201611317454661,0.000138506099749955,5.68525032627051
"Chonemorpha_fragrans",0.201613793448177,0.000138432569656195,5.685256377226
"Aganosma_cymosa",0.201606365089126,0.000138638418719009,5.68523984218468
"Aganosma_wallichii",0.201606365089126,0.000138638418719009,5.68523984218468
"Aganosma_schlechteriana",0.201606749635443,0.000138626578026064,5.68524082084102
"Epigynum_auritum",0.201607162551384,0.000138614991784857,5.68524176388584
"Epigynum_cochinchinense",0.201607276864976,0.000138611902311757,5.68524201337606
"Epigynum_griffithianum",0.201606657789433,0.000138629064850936,5.68524061622683
"Epigynum_ridleyi",0.201606657789433,0.000138629064850936,5.68524061622683
"Ichnocarpus_frutescens",0.201607164775321,0.000138614896986884,5.68524177148336
"Pottsia_laxiflora",0.201612754452467,0.000138462229364442,5.68525403038144
"Amalocalyx_microlobus",0.201613648032156,0.000138436172104247,5.68525612499286
"Micrechites_polyanthus",0.201610859015547,0.000138508706186688,5.68525029703668
"Micrechites_rhombifolius",0.201610859015547,0.000138508706186688,5.68525029703668
"Micrechites_serpyllifolius",0.201611124022874,0.000138501912618556,5.68525084448205
"Parameria_laevigata",0.201615657315694,0.000138367897143095,5.68526139943445
"Urceola_lucida",0.201613300348957,0.000138435173239928,5.68525587270958
"Urceola_minutiflora",0.201613300348957,0.000138435173239928,5.68525587270958
"Urceola_micrantha",0.201613810778463,0.000138419906223844,5.68525714073385
"Urceola_rosea",0.201615695572695,0.000138366882895832,5.68526148128168
"Streptoechites_chinensis",0.201626844975251,0.000138044816744229,5.68528739656428
"Amphineurion_marginatum",0.201626244701244,0.000138044661729958,5.68528754826729
"Sindechites_henryi",0.201626244701244,0.000138044661729958,5.68528754826729
"Beaumontia_grandiflora",0.201624088653159,0.000138102424233841,5.68528278771412
"Vallaris_solanacea",0.201624088653159,0.000138102424233841,5.68528278771412
"Anodendron_oblongifolium",0.201627042175922,0.000138004157574559,5.68529060306242
"Anodendron_paniculatum",0.201627042175922,0.000138004157574559,5.68529060306242
"Papuechites_aambe",0.20163200863158,0.00013787187832247,5.68530147464625
"Asclepias_incarnata",0.201591272106793,0.00013905487410126,5.68521623740765
"Asclepias_fascicularis",0.201591272106793,0.00013905487410126,5.68521623740765
"Asclepias_angustifolia",0.201591188743347,0.000139057548117872,5.6852160191492
"Asclepias_gentryi",0.201591188743347,0.000139057548117872,5.6852160191492
"Asclepias_linearis",0.201591077039138,0.000139060709987993,5.68521576415016
"Asclepias_verticillata",0.201591077039138,0.000139060709987993,5.68521576415016
"Asclepias_perennis",0.201591071265416,0.000139060885495864,5.68521574988183
"Asclepias_subverticillata",0.20159105549074,0.000139061368389314,5.68521571056637
"Asclepias_texana",0.20159105549074,0.000139061368389314,5.68521571056637
"Asclepias_mexicana",0.201591210488078,0.000139056691923174,5.68521609023018
"Asclepias_pumila",0.201591210488078,0.000139056691923174,5.68521609023018
"Asclepias_woodsoniana",0.201591238272571,0.000139055867002765,5.6852161571486
"Asclepias_barjoniifolia",0.201592421147962,0.000139023232189275,5.68521876880181
"Asclepias_mellodora",0.201592421147962,0.000139023232189275,5.68521876880181
"Asclepias_boliviensis",0.201592421344086,0.000139023225652766,5.68521876934048
"Asclepias_candida",0.201592424659902,0.000139023114171346,5.68521877853209
"Asclepias_flava",0.201592437497492,0.000139022689070552,5.6852188135319
"Asclepias_curassavica",0.201592488588559,0.000139020838659213,5.68521896673124
"Asclepias_nivea",0.201592488588559,0.000139020838659213,5.68521896673124
"Asclepias_pratensis",0.201593976319744,0.000138975630668195,5.68522263317182
"Asclepias_albicans",0.201592875964201,0.000139009645168673,5.68521985905831
"Asclepias_subaphylla",0.201592875964201,0.000139009645168673,5.68521985905831
"Asclepias_masonii",0.201592867460764,0.000139009951856077,5.68521983363792
"Asclepias_subulata",0.201592867460764,0.000139009951856077,5.68521983363792
"Asclepias_leptopus",0.201593148719369,0.000139000973567803,5.68522056945787
"Asclepias_cutleri",0.201593672794175,0.000138984676280919,5.68522189866248
"Asclepias_mcvaughii",0.201594030057624,0.000138974071580353,5.68522275816293
"Asclepias_cordifolia",0.201593992807992,0.000138974938680563,5.68522268854298
"Asclepias_linaria",0.201593992807992,0.000138974938680563,5.68522268854298
"Asclepias_syriaca",0.201589231173246,0.000139107122570757,5.68521241846944
"Asclepias_tuberosa",0.201589231173246,0.000139107122570757,5.68521241846944
"Asclepias_michauxii",0.201589246528748,0.000139106635414285,5.68521245826273
"Asclepias_obovata",0.201589246680337,0.000139106629602141,5.68521245874037
"Asclepias_rubra",0.201589246680337,0.000139106629602141,5.68521245874037
"Asclepias_quadrifolia",0.201589417523016,0.000139101328650389,5.68521289037636
"Asclepias_exaltata",0.201589437629728,0.000139100713077262,5.68521294040626
"Asclepias_hallii",0.201589561706327,0.000139096958986575,5.68521324504309
"Asclepias_speciosa",0.201589890793359,0.000139087069484014,5.68521404619832
"Asclepias_amplexicaulis",0.201589962363477,0.000139084948497679,5.68521421762253
"Asclepias_ovalifolia",0.201589969565389,0.00013908473815421,5.68521423458987
"Asclepias_hirtella",0.201589979556591,0.00013908444960216,5.68521425782765
"Asclepias_purpurascens",0.201589872467957,0.000139087762312364,5.68521398786192
"Asclepias_variegata",0.201589872467957,0.000139087762312364,5.68521398786192
"Asclepias_lanceolata",0.201589888564093,0.000139087361551503,5.68521401949263
"Asclepias_longifolia",0.201589888564093,0.000139087361551503,5.68521401949263
"Asclepias_arenaria",0.201589955012558,0.000139086489427584,5.68521407791839
"Asclepias_emoryi",0.20158991385031,0.000139087844666791,5.68521396691776
"Asclepias_oenotheroides",0.20158991385031,0.000139087844666791,5.68521396691776
"Asclepias_nyctaginifolia",0.201589912834506,0.000139087878818715,5.68521396411416
"Asclepias_standleyi",0.201589912834506,0.000139087878818715,5.68521396411416
"Asclepias_prostrata",0.201590145117625,0.000139080198518114,5.68521459264835
"Asclepias_feayi",0.201590287304014,0.000139075639201937,5.68521496398967
"Asclepias_tomentosa",0.201590287304014,0.000139075639201937,5.68521496398967
"Asclepias_curtissii",0.201590248149594,0.000139076716554425,5.68521487763308
"Asclepias_engelmanniana",0.201590248149594,0.000139076716554425,5.68521487763308
"Asclepias_eriocarpa",0.201590282634862,0.000139075743400346,5.68521495615677
"Asclepias_solanoana",0.20159029448091,0.000139075411260913,5.68521498290371
"Asclepias_elata",0.201590007496326,0.000139085033825575,5.68521419507146
"Asclepias_mirifica",0.201590007496326,0.000139085033825575,5.68521419507146
"Asclepias_glaucescens",0.201590019235351,0.000139084641526795,5.68521422724868
"Asclepias_lynchiana",0.201590019235351,0.000139084641526795,5.68521422724868
"Asclepias_latifolia",0.201590189753308,0.00013907909121312,5.68521468036886
"Asclepias_macroura",0.201590189753308,0.00013907909121312,5.68521468036886
"Asclepias_ruthiae",0.201590448053221,0.00013907245414561,5.6852152035137
"Asclepias_uncialis",0.201590448053221,0.00013907245414561,5.6852152035137
"Asclepias_sanjuanensis",0.201590449429719,0.000139072410898432,5.68521520704317
"Asclepias_involucrata",0.201590122793689,0.000139082352258075,5.68521440051484
"Asclepias_welshii",0.201590122793689,0.000139082352258075,5.68521440051484
"Asclepias_labriformis",0.201590121827636,0.000139082383625095,5.68521439794896
"Asclepias_macrosperma",0.201590121827636,0.000139082383625095,5.68521439794896
"Asclepias_viridis",0.20159020645231,0.00013907973068913,5.68521461420412
"Asclepias_sullivantii",0.201590746244811,0.000139062684510509,5.68521600159552
"Asclepias_brevipes",0.201591202506,0.000139051846680434,5.68521682466357
"Asclepias_stellifera",0.201591202506,0.000139051846680434,5.68521682466357
"Asclepias_cucullata",0.201591203814722,0.000139051804761414,5.68521682810667
"Asclepias_connivens",0.201590601890216,0.000139067572958271,5.68521558111325
"Asclepias_inaequalis",0.201589178409433,0.000139108497490003,5.6852122919056
"Pachycarpus_appendiculatus",0.201589133191437,0.000139110049219401,5.685212164524
"Pachycarpus_concolor",0.201589131920054,0.000139110092403047,5.68521216097805
"Pachycarpus_natalensis",0.201589131920054,0.000139110092403047,5.68521216097805
"Pachycarpus_goetzei",0.201589173490622,0.000139108649487331,5.68521227953093
"Schizoglossum_eustegioides",0.201589194304578,0.000139108017734662,5.68521233087151
"Cordylogyne_globosa",0.201589212526202,0.000139107474272652,5.68521237494613
"Xysmalobium_involucratum",0.201589223257207,0.000139107157039509,5.68521240064232
"Miraglossum_verticillare",0.201589072188301,0.000139112034295747,5.68521200218174
"Schizoglossum_atropurpureum",0.201589060584363,0.000139112408400889,5.68521197158382
"Schizoglossum_cordifolium",0.201589060584363,0.000139112408400889,5.68521197158382
"Schizoglossum_filiforme",0.201589073338498,0.000139111997829,5.68521200516021
"Woodia_mucronata",0.201589246470095,0.000139106474981671,5.68521245581276
"Fanninia_caloglossa",0.201589258179504,0.00013910613274619,5.68521248345376
"Pachycarpus_coronarius",0.201589275038704,0.000139105642820939,5.68521252298564
"Asclepias_pedicellata",0.201589284879136,0.000139105359497382,5.68521254578025
"Asclepias_woodii",0.201589284879136,0.000139105359497382,5.68521254578025
"Aspidonepsis_flava",0.201589303628977,0.000139104820066232,5.68521258925526
"Asclepias_viridula",0.201590640616468,0.000139066465778397,5.68521566982844
"Asclepias_erosa",0.201591476188234,0.000139042680113069,5.68521757620527
"Aspidonepsis_diploglossa",0.201591476188234,0.000139042680113069,5.68521757620527
"Asclepias_stenophylla",0.201591508085779,0.000139041815570922,5.68521764428339
"Asclepias_viridiflora",0.201591525010032,0.000139041357184025,5.68521767978833
"Asclepias_albens",0.201591147020682,0.000139052435652806,5.6852167811451
"Xysmalobium_gerrardii",0.201590871620158,0.000139061098203634,5.68521607310422
"Xysmalobium_parviflorum",0.201590871620158,0.000139061098203634,5.68521607310422
"Xysmalobium_tysonianum",0.201590919752589,0.000139059575900696,5.68521619736506
"Asclepias_crispa",0.201591156445845,0.000139052154798194,5.68521680396388
"Asclepias_meadii",0.201591515708216,0.000139041650293787,5.68521765465146
"Gomphocarpus_glaucophyllus",0.20159278025644,0.000139007377089058,5.68522029584731
"Asclepias_humistrata",0.201592764900903,0.000139007783304734,5.68522025463932
"Asclepias_scaposa",0.201592764900903,0.000139007783304734,5.68522025463932
"Asclepias_stathmostelmoides",0.201593498396401,0.000138987894162352,5.6852217899482
"Asclepias_alpestris",0.201590106021511,0.000139083256576644,5.68521417749961
"Asclepias_gibba",0.201590106021511,0.000139083256576644,5.68521417749961
"Aspidoglossum_heterophyllum",0.201590185335765,0.000139080870042302,5.68521437134799
"Gomphocarpus_abyssinicus",0.201589904875451,0.000139089401166751,5.68521367857713
"Gomphocarpus_fruticosus",0.201589904875451,0.000139089401166751,5.68521367857713
"Gomphocarpus_physocarpus",0.20158990563549,0.000139089378199048,5.68521368044477
"Stathmostelma_gigantiflorum",0.201589999864635,0.000139086506475407,5.68521391389224
"Asclepias_aurea",0.201589761830774,0.000139093329012574,5.68521336396368
"Gomphocarpus_cancellatus",0.201589761830774,0.000139093329012574,5.68521336396368
"Asclepias_multicaulis",0.201589808971059,0.000139091879412206,5.68521348195404
"Asclepias_densiflora",0.20158981446765,0.000139091714349164,5.68521349535051
"Asclepias_randii",0.201589826674894,0.000139091350528558,5.68521352482313
"Stenostelma_corniculatum",0.201589826674894,0.000139091350528558,5.68521352482313
"Asclepias_macropus",0.201589888555444,0.000139089580403489,5.68521366765924
"Asclepias_praemorsa",0.201589888555444,0.000139089580403489,5.68521366765924
"Glossostelma_carsonii",0.201590426082795,0.000139074082717728,5.68521491385085
"Pachycarpus_lineolatus",0.201590426082795,0.000139074082717728,5.68521491385085
"Gomphocarpus_tomentosus",0.20159007878217,0.000139084368120607,5.68521408200846
"Pachycarpus_dealbatus",0.20159007878217,0.000139084368120607,5.68521408200846
"Stathmostelma_diversifolium",0.201590080140473,0.000139084327989403,5.68521408526435
"Xysmalobium_undulatum",0.201590083846922,0.000139084218932664,5.68521409410366
"Xysmalobium_fraternum",0.201590193936439,0.000139081071037583,5.68521434803289
"Xysmalobium_kaessneri",0.201590193936439,0.000139081071037583,5.68521434803289
"Xysmalobium_heudelotianum",0.201590197036982,0.000139080957707277,5.68521435737426
