"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0259496833766455,0.365287708550947,8.59678136020934
"Leucopogon_nutans",0.0259496833766455,0.365287708550947,8.59678136020934
"Leucopogon_ovalifolius",0.025949709078395,0.365287556564788,8.596782207083
"Leucopogon_strictus",0.0259498318620515,0.365286569249461,8.59678649027244
"Leucopogon_leptanthus",0.025949895294429,0.365285863117558,8.59678888456711
"Leucopogon_pendulus",0.025949895294429,0.365285863117558,8.59678888456711
"Leucopogon_obtectus",0.0259496516093904,0.365288094758275,8.59678012714381
"Leucopogon_glaucifolius",0.0259496516093904,0.365288094758275,8.59678012714381
"Leucopogon_cordifolius",0.0259496833958772,0.36528790126185,8.59678117885925
"Leucopogon_racemulosus",0.0259497211939072,0.365287562116231,8.59678252970866
"Leucopogon_allittii",0.0259497211939072,0.365287562116231,8.59678252970866
"Leucopogon_oxycedrus",0.0259499833318847,0.365285124274671,8.59679197070218
"Coleanthera_myrtoides",0.025950940402661,0.365274499825067,8.59682810929117
"Leucopogon_rotundifolius",0.025950940402661,0.365274499825067,8.59682810929117
"Styphelia_hainesii",0.0259509562886704,0.365274345832025,8.59682868523101
"Styphelia_tenuifolia",0.0259509562886704,0.365274345832025,8.59682868523101
"Leucopogon_juniperinus",0.0259526971142183,0.365254389105507,8.59689514191939
"Leucopogon_setiger",0.0259526971142183,0.365254389105507,8.59689514191939
"Leucopogon_fraseri",0.0259528946379884,0.365252474702262,8.59690230210311
"Astroloma_microdonta",0.0259523356030387,0.365257798579482,8.59688231920461
"Astroloma_pallidum",0.0259523356030387,0.365257798579482,8.59688231920461
"Astroloma_serratifolium",0.025952389444946,0.365257439678712,8.59688412717156
"Astroloma_ciliatum",0.0259526198953865,0.365255342504822,8.5968923677303
"Astroloma_epacridis",0.0259524787574913,0.365256222466541,8.59688770006932
"Astroloma_recurvum",0.0259524787574913,0.365256222466541,8.59688770006932
"Astroloma_prostratum",0.0259524987402065,0.365256112793874,8.59688834967142
"Astroloma_humifusum",0.0259526853497486,0.365254586945206,8.59689485964743
"Styphelia_viridis",0.0259521400190617,0.365260258881385,8.59687466928431
"Styphelia_adscendens",0.0259521400190617,0.365260258881385,8.59687466928431
"Styphelia_exarrhena",0.0259522937981523,0.36525889716377,8.59688013508367
"Styphelia_tubiflora",0.025952267894628,0.365258917459748,8.59687941427352
"Astroloma_glaucescens",0.025952267894628,0.365258917459748,8.59687941427352
"Leucopogon_esquamatus",0.0259530692411182,0.365250605551088,8.59690898305806
"Acrothamnus_spathaceus",0.0259602246020224,0.365168780673448,8.59718324755802
"Leucopogon_cymbiformis",0.0259586622831771,0.365185075247376,8.59712854458302
"Leucopogon_pogonocalyx",0.0259586622831771,0.365185075247376,8.59712854458302
"Leucopogon_appressus",0.0259588552745519,0.365182851454922,8.59713586402697
"Agiortia_pleiosperma",0.0259588552745519,0.365182851454922,8.59713586402697
"Leucopogon_crassifolius",0.0259590298091946,0.365180842078348,8.59714247509405
"Leucopogon_corynocarpus",0.0259590298091946,0.365180842078348,8.59714247509405
"Leucopogon_ruscifolius",0.0259602914787782,0.365167271739956,8.59718941092609
"Leucopogon_melaleucoides",0.0259585074627573,0.365186546354399,8.59712300552382
"Leucopogon_leptospermoides",0.0259585074627573,0.365186546354399,8.59712300552382
"Leucopogon_muticus",0.0259584887426774,0.365186617745312,8.59712243074253
"Leucopogon_ericoides",0.0259584887426774,0.365186617745312,8.59712243074253
"Leucopogon_crassiflorus",0.0259594501520817,0.365176679426862,8.59715783737334
"Leucopogon_conostephioides",0.0259608550764415,0.365159631145814,8.59721269834413
"Leucopogon_hispidus",0.0259608550764415,0.365159631145814,8.59721269834413
"Leucopogon_pubescens",0.0259609368621062,0.365158894618737,8.59721561838129
"Astroloma_xerophyllum",0.0259615738216069,0.365152278900429,8.59723910218279
"Styphelia_longifolia",0.0259641247545172,0.365123053604311,8.59733678828908
"Leucopogon_blepharolepis",0.0259641247545172,0.365123053604311,8.59733678828908
"Croninia_kingiana",0.0259650376948085,0.365112848731611,8.59737100679469
"Acrotriche_rigida",0.0259676631728149,0.365080344997287,8.59748288703541
"Acrotriche_divaricata",0.0259676631728149,0.365080344997287,8.59748288703541
"Acrotriche_parviflora",0.025968249761845,0.365074003170961,8.59750468012716
"Cyathodes_straminea",0.0259696049201511,0.36505820722825,8.59755623065081
"Cyathodes_glauca",0.0259696049201511,0.36505820722825,8.59755623065081
"Lissanthe_brevistyla",0.0259664997700267,0.365093691177296,8.59743853389952
"Lissanthe_rubicunda",0.0259664997700267,0.365093691177296,8.59743853389952
"Leucopogon_pluriloculatus",0.0259670599369577,0.365087603618186,8.59745937517254
"Lissanthe_strigosa",0.0259667348250367,0.365090913039994,8.59744751425557
"Lissanthe_sapida",0.0259667348250367,0.365090913039994,8.59744751425557
"Acrothamnus_suaveolens",0.0259664299711358,0.365094092180684,8.59743640594613
"Styphelia_laeta",0.0259664299711358,0.365094092180684,8.59743640594613
"Acrothamnus_hookeri",0.0259664303742467,0.36509413163609,8.59743638088365
"Acrothamnus_maccraei",0.0259664303742467,0.36509413163609,8.59743638088365
"Leucopogon_parviflorus",0.0259681907898992,0.365074061745935,8.59750292221972
"Agiortia_pedicellata",0.0259681907898992,0.365074061745935,8.59750292221972
"Leptecophylla_abietina",0.0259676212116066,0.365080013163831,8.59748196726358
