"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0710951779013705,2.5032111140641e-05,5.66442081511242
"Leucopogon_nutans",0.0710951779013705,2.5032111140641e-05,5.66442081511242
"Leucopogon_ovalifolius",0.0710951618245316,2.50322088797951e-05,5.66442077579961
"Leucopogon_strictus",0.0710950669426388,2.50326601931598e-05,5.66442060564858
"Leucopogon_leptanthus",0.0710950049002875,2.50328821354454e-05,5.66442053086048
"Leucopogon_pendulus",0.0710950049002875,2.50328821354454e-05,5.66442053086048
"Leucopogon_obtectus",0.0710952114999407,2.50320014604942e-05,5.66442085031497
"Leucopogon_glaucifolius",0.0710952114999407,2.50320014604942e-05,5.66442085031497
"Leucopogon_cordifolius",0.0710951913126033,2.50321219680224e-05,5.66442080205002
"Leucopogon_racemulosus",0.0710951598551785,2.50322588624042e-05,5.664420752006
"Leucopogon_allittii",0.0710951598551785,2.50322588624042e-05,5.664420752006
"Leucopogon_oxycedrus",0.0710949353289688,2.50332027698982e-05,5.66442041081592
"Coleanthera_myrtoides",0.0710940091422529,2.50365647859191e-05,5.66441927794986
"Leucopogon_rotundifolius",0.0710940091422529,2.50365647859191e-05,5.66441927794986
"Styphelia_hainesii",0.0710939952832112,2.50366214771952e-05,5.66441925765422
"Styphelia_tenuifolia",0.0710939952832112,2.50366214771952e-05,5.66441925765422
"Leucopogon_juniperinus",0.0710922767612305,2.50427270837109e-05,5.66441723622529
"Leucopogon_setiger",0.0710922767612305,2.50427270837109e-05,5.66441723622529
"Leucopogon_fraseri",0.0710921044042656,2.50434321079339e-05,5.66441698384611
"Astroloma_microdonta",0.0710925792965735,2.50414575678466e-05,5.66441770498921
"Astroloma_pallidum",0.0710925792965735,2.50414575678466e-05,5.66441770498921
"Astroloma_serratifolium",0.0710925431376236,2.50416597199191e-05,5.66441762529396
"Astroloma_ciliatum",0.0710923507752833,2.50424910821437e-05,5.66441732180922
"Astroloma_epacridis",0.0710924406806847,2.50419590716943e-05,5.66441753496666
"Astroloma_recurvum",0.0710924406806847,2.50419590716943e-05,5.66441753496666
"Astroloma_prostratum",0.0710924289213258,2.50420355105948e-05,5.66441750379094
"Astroloma_humifusum",0.0710922857832714,2.50427185860016e-05,5.66441724622916
"Styphelia_viridis",0.0710927890645299,2.50407873317512e-05,5.66441791688308
"Styphelia_adscendens",0.0710927890645299,2.50407873317512e-05,5.66441791688308
"Styphelia_exarrhena",0.071092662754945,2.50413443240087e-05,5.66441771195112
