"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.320904533270518,0.280722967300179,6.57882393300558
"Spiraea_trifoliata",0.320904533270518,0.280722967300179,6.57882393300558
"Gillenia_trifoliata",0.320904533496788,0.280797087597395,6.57879187272429
"Gillenia_stipulata",0.320904533496788,0.280797087597395,6.57879187272429
"Lindleya_mespiloides",0.32090453334064,0.280715872155191,6.57882225000544
"Vauquelinia_corymbosa",0.320904547934333,0.280817168967863,6.57877764549374
"Vauquelinia_californica",0.320904547934333,0.280817168967863,6.57877764549374
"Sorbus_thomsonii",0.319401048288333,0.220669187846867,6.83502972741524
"Sorbus_caloneura",0.319401042332066,0.220672449978943,6.83508273839763
"Sorbus_dunnii",0.319401032859274,0.220683693011589,6.83526372179505
"Sorbus_folgneri",0.319401030430175,0.220699176916179,6.83553965927126
"Sorbus_yuana",0.319401030373336,0.220700969882696,6.83557567011737
"Aria_alnifolia",0.319401030373336,0.220700969882696,6.83557567011737
"Sorbus_hemsleyi",0.3194010422172,0.220691701580963,6.83540210321985
"Sorbus_tsinlingensis",0.3194010422172,0.220691701580963,6.83540210321985
"Sorbus_coronata",0.319401043352909,0.220688818559153,6.83534826833237
"Photinia_hirsuta",0.319401021361968,0.220656030272141,6.8348511240155
"Photinia_impressivena",0.319400935919061,0.220667731738494,6.83507598665114
"Photinia_sorbifolia",0.319400900100045,0.220677673047416,6.83525136336951
"Photinia_schneideriana",0.319400900100045,0.220677673047416,6.83525136336951
"Photinia_benthamiana",0.319400896952221,0.220679287553342,6.83527906885999
"Photinia_fokienensis",0.319400884940979,0.220693024384263,6.83552317368996
"Photinia_parvifolia",0.319400884357373,0.220694553482375,6.83555165026921
"Photinia_villosa",0.319400884357373,0.220694553482375,6.83555165026921
"Photinia_komarovii",0.319400886106387,0.220691132690412,6.83548772125221
"Photinia_tsaii",0.319400908735445,0.220676404972564,6.83522652182609
"Photinia_beauverdiana",0.319400908735445,0.220676404972564,6.83522652182609
"Rhaphiolepis_umbellata",0.319400917340717,0.220671108293433,6.83513920953702
"Photinia_stenophylla",0.319400952859829,0.220665118184741,6.83502595322568
"Cotoneaster_verruculosus",0.319400515076982,0.220684314450151,6.83560853350001
"Cotoneaster_nitidus",0.319400515076982,0.220684314450151,6.83560853350001
"Cotoneaster_morrisonensis",0.319400515676356,0.220682956866332,6.83558343581159
"Cotoneaster_assamensis",0.319400515931155,0.220682584276761,6.83557641320593
"Cotoneaster_roseus",0.319400469353493,0.220674096632758,6.8354587038146
"Cotoneaster_melanocarpus",0.319400458923331,0.22068499481859,6.83565531370806
"Cotoneaster_integerrimus",0.31940045854666,0.220686135799026,6.83567693216035
"Cotoneaster_armenus",0.31940045854666,0.220686135799026,6.83567693216035
"Cotoneaster_niger",0.319400460247451,0.220682460239189,6.83560874187702
"Cotoneaster_cambricus",0.319400460586968,0.22068203861261,6.8356009672947
"Cotoneaster_racemiflorus",0.319400464488809,0.220674493867796,6.83546837225273
"Cotoneaster_mongolicus",0.319400457809099,0.220677205887374,6.83551832546294
"Cotoneaster_multiflorus",0.319400455774717,0.220681809429136,6.83559941815133
"Cotoneaster_przewalskii",0.319400455370672,0.220687088392942,6.83569797150974
"Cotoneaster_bullatus",0.319400455370672,0.220687088392942,6.83569797150974
"Cotoneaster_sylvestrii",0.319400453074767,0.220679798518166,6.83556620267102
"Cotoneaster_oliganthus",0.319400450797278,0.220683519193634,6.83563407656086
"Cotoneaster_hebephyllus",0.319400450797278,0.220683519193634,6.83563407656086
"Cotoneaster_submultiflorus",0.319400451310768,0.220682376630223,6.83561312634407
"Cotoneaster_dammeri",0.319400448034193,0.220680923824562,6.83558925032557
"Cotoneaster_coriaceus",0.319400447229775,0.220682491785252,6.83561786792831
"Cotoneaster_turbinatus",0.319400447229775,0.220682491785252,6.83561786792831
"Cotoneaster_giraldii",0.31940044873863,0.220679719579696,6.8355678300108
"Cotoneaster_conspicuus",0.319400447288189,0.220685681636711,6.83567628053744
"Cotoneaster_poluninii",0.319400447288189,0.220685681636711,6.83567628053744
"Cotoneaster_procumbens",0.319400446517425,0.220683067651876,6.83562831575227
"Cotoneaster_buxifolius",0.319400445902558,0.220684681845103,6.83565805737555
"Cotoneaster_frigidus",0.319400445902558,0.220684681845103,6.83565805737555
"Cotoneaster_monopyrenus",0.319400467186824,0.22067401499066,6.83545870680854
"Cotoneaster_songaricus",0.319400472783822,0.220673211427979,6.83544182204317
"Cotoneaster_glomerulatus",0.319400478736841,0.220672539467319,6.83542691978066
"Cotoneaster_reticulatus",0.319400501912762,0.220670086620599,6.8353724918715
"Cotoneaster_dielsianus",0.319400485781395,0.220687730427706,6.83568778005691
"Cotoneaster_divaricatus",0.319400485781395,0.220687730427706,6.83568778005691
"Cotoneaster_obscurus",0.319400483522906,0.22068881263986,6.83571035278463
"Cotoneaster_adpressus",0.319400483487752,0.22068895357507,6.83571299937505
"Cotoneaster_sternianus",0.319400483481548,0.220691616407669,6.83576348623921
"Cotoneaster_wardii",0.319400483481548,0.220691616407669,6.83576348623921
"Cotoneaster_acuminatus",0.319400483397288,0.22069149666438,6.83576133117603
"Cotoneaster_atropurpureus",0.319400483397288,0.22069149666438,6.83576133117603
"Cotoneaster_moupinensis",0.319400483925921,0.220688072883552,6.83569609230034
"Cotoneaster_taoensis",0.31940047956554,0.220691499470256,6.83576409734158
"Cotoneaster_microphyllus",0.31940047956554,0.220691499470256,6.83576409734158
"Cotoneaster_perpusillus",0.319400479604299,0.220689591807436,6.83572695432197
"Cotoneaster_salicifolius",0.319400476913083,0.220686065038899,6.83566317427557
"Cotoneaster_ambiguus",0.319400476387001,0.220688935990607,6.83571752223794
"Cotoneaster_foveolatus",0.319400476387001,0.220688935990607,6.83571752223794
"Cotoneaster_franchetii",0.319400474882654,0.220688734468183,6.8357146173886
"Cotoneaster_subadpressus",0.31940047483477,0.220688896739774,6.83571771311922
"Cotoneaster_glaucophyllus",0.31940047483477,0.220688896739774,6.83571771311922
"Cotoneaster_rotundifolius",0.3194004755688,0.220687074117646,6.835683009722
"Cotoneaster_acutifolius",0.319400475983259,0.220686389806649,6.83567001021997
"Cotoneaster_nitens",0.319400476882381,0.220685296917104,6.83564931632313
"Cotoneaster_sp",0.319400515015752,0.220669033300434,6.83534759395923
"Cotoneaster_pannosus",0.319400513842443,0.220688568992019,6.83568968705926
"Cotoneaster_apiculatus",0.319400513842443,0.220688568992019,6.83568968705926
"Cotoneaster_rehderi",0.319400513926084,0.220687140512258,6.83566117420382
"Cotoneaster_horizontalis",0.319400565706559,0.220668634486807,6.8353095388684
"Cotoneaster_harrysmithii",0.319400565706559,0.220668634486807,6.8353095388684
"Photinia_berberidifolia",0.319401057210665,0.220651240953184,6.83476279883213
"Stranvaesia_davidiana",0.319401025200909,0.220672690297232,6.83510324345917
"Photinia_davidiana",0.319401025200909,0.220672690297232,6.83510324345917
"Photinia_integrifolia",0.319401030887988,0.22066065367554,6.83491478153556
"Photinia_prionophylla",0.319401030887988,0.22066065367554,6.83491478153556
"Cormus_domestica",0.319401081658188,0.22067799636557,6.83516153401211
"Sorbus_domestica",0.319401081658188,0.22067799636557,6.83516153401211
"Chamaemespilus_alpina",0.319401203482901,0.220711536480495,6.8356386780301
"Sorbus_cambrensis",0.319401203292549,0.220711954927499,6.83564524576926
"Sorbus_porrigentiformis",0.319401203116063,0.220712444440235,6.83565285846021
"Sorbus_eminentiformis",0.3194012030391,0.220714097102761,6.83567815181501
"Sorbus_stenophylla",0.3194012030391,0.220714097102761,6.83567815181501
"Sorbus_rupicola",0.31940120303118,0.220712873991699,6.83565947120363
"Sorbus_aria",0.31940120303118,0.220712873991699,6.83565947120363
"Sorbus_whiteana",0.319401203036711,0.220712820590743,6.83565865334601
"Sorbus_hibernica",0.319401203050129,0.220712729811408,6.83565725963724
"Sorbus_leptophylla",0.319401203183386,0.220712236492765,6.83564963361684
"Sorbus_stirtoniana",0.319401212286258,0.220698222078022,6.83539527328578
"Sorbus_saxicola",0.319401212562398,0.220697976002524,6.83539080458632
"Sorbus_eminens",0.319401213310835,0.220697493441039,6.83538170457432
"Torminalis_sp",0.319401232658115,0.220690287098348,6.83524356402344
"Torminalis_clusii",0.319401232553013,0.220701314882416,6.83543938181299
"Sorbus_torminalis",0.319401232553013,0.220701314882416,6.83543938181299
"Pyracantha_angustifolia",0.319401330671877,0.220646782731406,6.83454044890763
"Pyracantha_crenulata",0.319401288509158,0.220685378294504,6.8351434898747
"Pyracantha_fortuneana",0.319401288509158,0.220685378294504,6.8351434898747
"Pyracantha_coccinea",0.319401293786437,0.220673907050911,6.83495466460124
"Eriobotrya_deflexa",0.31940115604605,0.220678238722772,6.835102553587
"Eriobotrya_fragrans",0.31940115374761,0.220679740756004,6.835127249767
"Eriobotrya_japonica",0.31940115374761,0.220679740756004,6.835127249767
"Eriobotrya_bengalensis",0.319401150519427,0.220698070518737,6.83544098316902
"Eriobotrya_tengyuehensis",0.319401150519427,0.220698070518737,6.83544098316902
"Eriobotrya_prinoides",0.319401151590858,0.220692833142367,6.8353435924278
"Eriobotrya_seguinii",0.31940119491395,0.220688825539125,6.83525882875468
"Eriobotrya_malipoensis",0.31940119491395,0.220688825539125,6.83525882875468
"Rhaphiolepis_indica",0.319401250888118,0.220652048669571,6.8346585779699
"Dichotomanthes_tristaniicarpa",0.31940134802641,0.220650273329113,6.83458009202653
"Osteomeles_schwerinae",0.319401326583655,0.220665941487069,6.83482442821906
"Osteomeles_anthyllidifolia",0.319401326583655,0.220665941487069,6.83482442821906
"Photinia_bodinieri",0.31940132613961,0.220638102326712,6.83443011758844
"Stranvaesia_nussia",0.319401308124505,0.220642247364073,6.83449477003747
"Stranvaesia_oblanceolata",0.319401308124505,0.220642247364073,6.83449477003747
"Eriobotrya_cavaleriei",0.319401316113347,0.220640078394985,6.83446151432409
"Pyrus_ussuriensis",0.319401004392092,0.220693337199933,6.83546445689706
