"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.320755080622939,0.232437262369348,6.57663563903234
"Spiraea_trifoliata",0.320755080622939,0.232437262369348,6.57663563903234
"Gillenia_trifoliata",0.32075533773063,0.232515915287579,6.57673995739654
"Gillenia_stipulata",0.32075533773063,0.232515915287579,6.57673995739654
"Lindleya_mespiloides",0.320755059540682,0.232429813171612,6.57660058052364
"Vauquelinia_corymbosa",0.320755426584584,0.232536515818259,6.5767639511502
"Vauquelinia_californica",0.320755426584584,0.232536515818259,6.5767639511502
"Sorbus_thomsonii",0.319753939293755,0.198249422077229,6.83347819764372
"Sorbus_caloneura",0.319753948319487,0.198253834627454,6.83352372205335
"Sorbus_dunnii",0.319753990664673,0.198270150809799,6.83367886904242
"Sorbus_folgneri",0.319754061327677,0.198295722411876,6.83391006325885
"Sorbus_yuana",0.319754069970135,0.198298831132621,6.83393897111597
"Aria_alnifolia",0.319754069970135,0.198298831132621,6.83393897111597
"Sorbus_hemsleyi",0.319754038766359,0.198283248142939,6.83379758358959
"Sorbus_tsinlingensis",0.319754038766359,0.198283248142939,6.83379758358959
"Sorbus_coronata",0.319754025920711,0.198278276892533,6.83375195148687
"Photinia_hirsuta",0.319753853548484,0.198233856080819,6.83332293254323
"Photinia_impressivena",0.319753823270385,0.198252334481474,6.83352256400146
"Photinia_sorbifolia",0.319753833872822,0.198267586891869,6.83367497813051
"Photinia_schneideriana",0.319753833872822,0.198267586891869,6.83367497813051
"Photinia_benthamiana",0.31975383792271,0.198270149217424,6.83369726682811
"Photinia_fokienensis",0.319753889892809,0.198292731009962,6.83390047613799
"Photinia_parvifolia",0.319753896612171,0.198295303798137,6.8339242935373
"Photinia_villosa",0.319753896612171,0.198295303798137,6.8339242935373
"Photinia_komarovii",0.319753882100656,0.198289542325571,6.8338711220689
"Photinia_tsaii",0.319753836836558,0.198265283814185,6.83365415498358
"Photinia_beauverdiana",0.319753836836558,0.198265283814185,6.83365415498358
"Rhaphiolepis_umbellata",0.319753820574081,0.198257487351353,6.83357730549662
"Photinia_stenophylla",0.319753827878907,0.198248254501872,6.83347854871355
"Cotoneaster_verruculosus",0.31975348821074,0.198296827300223,6.83398132076853
"Cotoneaster_nitidus",0.31975348821074,0.198296827300223,6.83398132076853
"Cotoneaster_morrisonensis",0.319753482397838,0.198294571675499,6.83396051314479
"Cotoneaster_assamensis",0.319753480902649,0.198293947147715,6.83395473784669
"Cotoneaster_roseus",0.31975339588158,0.198282603409806,6.8338586961532
"Cotoneaster_melanocarpus",0.319753435896676,0.198300543348985,6.83402091023775
"Cotoneaster_integerrimus",0.31975344091975,0.198302441714026,6.8340384503528
"Cotoneaster_armenus",0.31975344091975,0.198302441714026,6.8340384503528
"Cotoneaster_niger",0.319753425372709,0.198296355323264,6.83398233451579
"Cotoneaster_cambricus",0.319753423751258,0.19829565538844,6.83397589869322
"Cotoneaster_racemiflorus",0.319753392906498,0.198283462315043,6.83386688016671
"Cotoneaster_mongolicus",0.319753398798517,0.198288063768609,6.83390810522088
"Cotoneaster_multiflorus",0.319753418103917,0.198295498602333,6.83397512849456
"Cotoneaster_przewalskii",0.319753442706848,0.19830425620095,6.83405622541484
"Cotoneaster_bullatus",0.319753442706848,0.19830425620095,6.83405622541484
"Cotoneaster_sylvestrii",0.319753406090261,0.19829242859779,6.83394737035476
"Cotoneaster_oliganthus",0.31975342122247,0.19829856769073,6.8340038889039
"Cotoneaster_hebephyllus",0.31975342122247,0.19829856769073,6.8340038889039
"Cotoneaster_submultiflorus",0.319753416344638,0.198296674690152,6.83398635324426
"Cotoneaster_dammeri",0.319753406297227,0.198294484302019,6.83396647886774
"Cotoneaster_coriaceus",0.319753412864037,0.198297063314224,6.83399029216746
"Cotoneaster_turbinatus",0.319753412864037,0.198297063314224,6.83399029216746
"Cotoneaster_giraldii",0.319753401394114,0.19829252479944,6.83394854409428
"Cotoneaster_conspicuus",0.319753427964264,0.19830228988033,6.83403861074418
"Cotoneaster_poluninii",0.319753427964264,0.19830228988033,6.83403861074418
"Cotoneaster_procumbens",0.319753414728701,0.198298003667368,6.83399876583438
"Cotoneaster_buxifolius",0.319753421733356,0.198300675916649,6.83402352011495
"Cotoneaster_frigidus",0.319753421733356,0.198300675916649,6.83402352011495
"Cotoneaster_monopyrenus",0.319753393374359,0.19828258139574,6.83385877639598
"Cotoneaster_songaricus",0.319753395216827,0.198281056026594,6.83384459298223
"Cotoneaster_glomerulatus",0.319753398012391,0.19827972165808,6.83383198984964
"Cotoneaster_reticulatus",0.31975340969502,0.198274839354138,6.83378628336885
"Cotoneaster_dielsianus",0.319753474782835,0.198303643124763,6.83404582055432
