"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.495799199392404,0.000398763627051939,5.63971338003486
"Spiraea_trifoliata",0.495799199392404,0.000398763627051939,5.63971338003486
"Gillenia_trifoliata",0.495799303856427,0.000398543194328734,5.63963138442095
"Gillenia_stipulata",0.495799303856427,0.000398543194328734,5.63963138442095
"Lindleya_mespiloides",0.495799234283066,0.000398778586408603,5.6397265900748
"Vauquelinia_corymbosa",0.495799365253712,0.000398418289257869,5.63960734596162
"Vauquelinia_californica",0.495799365253712,0.000398418289257869,5.63960734596162
"Sorbus_thomsonii",0.495798486997847,0.000342608328217448,5.65458212080724
"Sorbus_caloneura",0.495798486758943,0.000342590303636501,5.65458509890597
"Sorbus_dunnii",0.495798485964885,0.000342526422047677,5.65459523913393
"Sorbus_folgneri",0.495798484916229,0.000342431351667466,5.65460846349022
"Sorbus_yuana",0.495798484797204,0.000342419558087012,5.65461007976803
"Aria_alnifolia",0.495798484797204,0.000342419558087012,5.65461007976803
"Sorbus_hemsleyi",0.495798485457262,0.000342474502756402,5.65460232120722
"Sorbus_tsinlingensis",0.495798485457262,0.000342474502756402,5.65460232120722
"Sorbus_coronata",0.495798485651685,0.000342493101918589,5.65459970190112
"Photinia_hirsuta",0.495798487862671,0.00034268209205816,5.65457201416251
"Photinia_impressivena",0.495798486886322,0.000342617774919744,5.65458400660471
"Photinia_sorbifolia",0.495798486134241,0.000342561210701219,5.65459392503258
"Photinia_schneideriana",0.495798486134241,0.000342561210701219,5.65459392503258
"Photinia_benthamiana",0.495798486014093,0.000342552592102218,5.65459535180284
"Photinia_fokienensis",0.495798485061178,0.000342471324666939,5.65460718618288
"Photinia_parvifolia",0.495798484958473,0.00034246172658518,5.65460844139646
"Photinia_villosa",0.495798484958473,0.00034246172658518,5.65460844139646
"Photinia_komarovii",0.495798485190362,0.000342483029556822,5.65460556447613
"Photinia_tsaii",0.495798486242065,0.000342567845315085,5.65459260255517
"Photinia_beauverdiana",0.495798486242065,0.000342567845315085,5.65459260255517
"Rhaphiolepis_umbellata",0.495798486616836,0.000342598662196834,5.65458759029324
"Photinia_stenophylla",0.495798487099697,0.000342632444403049,5.65458127171498
"Cotoneaster_verruculosus",0.49579848500359,0.000342514550682617,5.65460925447935
"Cotoneaster_nitidus",0.49579848500359,0.000342514550682617,5.65460925447935
"Cotoneaster_morrisonensis",0.495798485094133,0.000342522932511695,5.65460814046373
"Cotoneaster_assamensis",0.49579848511939,0.000342525225876086,5.65460781990108
"Cotoneaster_roseus",0.49579848560819,0.00034257424228328,5.6546019874001
"Cotoneaster_melanocarpus",0.49579848485472,0.000342509573017286,5.65461121650597
"Cotoneaster_integerrimus",0.495798484778824,0.000342502473384914,5.65461221031113
"Cotoneaster_armenus",0.495798484778824,0.000342502473384914,5.65461221031113
"Cotoneaster_niger",0.495798485026093,0.00034252502048567,5.65460902137548
"Cotoneaster_cambricus",0.495798485054997,0.000342527571625316,5.6546086638025
"Cotoneaster_racemiflorus",0.495798485572868,0.000342571838895769,5.65460243747093
"Cotoneaster_mongolicus",0.495798485376865,0.00034255596993626,5.65460478166485
"Cotoneaster_multiflorus",0.495798485065261,0.00034252871980873,5.65460856304357
"Cotoneaster_przewalskii",0.495798484716607,0.000342495774312518,5.65461297931034
"Cotoneaster_bullatus",0.495798484716607,0.000342495774312518,5.65461297931034
"Cotoneaster_sylvestrii",0.49579848519347,0.000342540619913602,5.65460701072525
"Cotoneaster_oliganthus",0.495798484942144,0.000342518020318576,5.65461009676257
"Cotoneaster_hebephyllus",0.495798484942144,0.000342518020318576,5.65461009676257
"Cotoneaster_submultiflorus",0.495798485018389,0.000342525069821929,5.65460916931519
"Cotoneaster_dammeri",0.495798485108079,0.000342533841474654,5.6546080676778
"Cotoneaster_coriaceus",0.495798485003229,0.000342524268445954,5.65460936364485
"Cotoneaster_turbinatus",0.495798485003229,0.000342524268445954,5.65460936364485
"Cotoneaster_giraldii",0.495798485189332,0.000342541033973924,5.65460707041814
"Cotoneaster_conspicuus",0.49579848479288,0.000342504568909932,5.65461210662366
"Cotoneaster_poluninii",0.49579848479288,0.000342504568909932,5.65461210662366
