"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.161353943951242,0.0115415163450477,7.30527725694788
"Solanum_ferocissimum",0.161353943951242,0.0115415163450477,7.30527725694788
"Solanum_stelligerum",0.161348355973181,0.0115567548635467,7.30545219276687
"Solanum_latens",0.16133689441463,0.0115879083280165,7.30580940760463
"Solanum_chenopodium",0.161320555279352,0.0116319537629946,7.30632040300403
"Solanum_gympiense",0.161291221375781,0.0117095122843099,7.30724286374218
"Solanum_densevestitum",0.161351326019988,0.0115487162202173,7.30535896325456
"Solanum_nemophilum",0.161351326019988,0.0115487162202173,7.30535896325456
"Solanum_hapalum",0.161343919918544,0.0115689475902546,7.30558913803605
"Solanum_innoxium",0.16133007652241,0.0116064407092938,7.30602046498628
"Solanum_johnsonianum",0.16131242747992,0.0116536036206153,7.30657363340679
"Solanum_discolor",0.161291896706196,0.0117082324888269,7.30721898889631
"Solanum_shirleyanum",0.161291896706196,0.0117082324888269,7.30721898889631
"Solanum_corifolium",0.161274062321806,0.0117550113999982,7.30778174603594
"Solanum_cookii",0.161253845570778,0.0118082060748372,7.30841980852719
"Solanum_dissectum",0.161272185158774,0.0117600583576193,7.30784081453588
"Solanum_stupefactum",0.161272185158774,0.0117600583576193,7.30784081453588
"Solanum_furfuraceum",0.161290011535345,0.0117133313899255,7.30727508069237
"Solanum_rixosum",0.161290011535345,0.0117133313899255,7.30727508069237
"Solanum_incompletum",0.161319356350902,0.0116355974205303,7.30637445731949
"Solanum_sandwicense",0.161319356350902,0.0116355974205303,7.30637445731949
"Solanum_mitchellianum",0.161323702983602,0.0116239933339462,7.3062372126135
"Solanum_semiarmatum",0.161323702983602,0.0116239933339462,7.3062372126135
"Solanum_pancheri",0.161300357397559,0.0116858582548744,7.30696958158463
"Solanum_vaccinioides",0.161300357397559,0.0116858582548744,7.30696958158463
"Solanum_brownii",0.161312436848075,0.0116541668641181,7.30658956738976
"Solanum_viridifolium",0.161312436848052,0.011654166864182,7.30658956739052
"Solanum_macoorai",0.16130275900643,0.0116794752577897,7.30689283062947
"Solanum_dimorphispinum",0.161294291891685,0.0117017529220567,7.30715903982691
"Solanum_amblymerum",0.161317593917381,0.0116406078233427,7.30641443381722
"Solanum_limitare",0.161317593917381,0.0116406078233427,7.30641443381722
"Solanum_inaequilaterum",0.161294771189321,0.0117005214312864,7.30713612695779
"Solanum_acanthodapis",0.161308476781388,0.0116646873054266,7.30669955988622
"Solanum_serpens",0.161308476781388,0.0116646873054266,7.30669955988622
"Solanum_neoanglicum",0.161259101951599,0.0117945350522303,7.30825860681118
"Solanum_nobile",0.161171047655638,0.0120282693312995,7.3110725056244
"Solanum_argopetalum",0.161167361200866,0.0120393158781266,7.31118605877706
"Solanum_papaverifolium",0.161167361200866,0.0120393158781266,7.31118605877706
"Solanum_lythrocarpum",0.161111906624571,0.0121863482069153,7.31301876085681
"Solanum_ellipticum",0.161177636413557,0.0120114488399819,7.31084922504731
"Solanum_dianthophorum",0.161177636410567,0.0120114488457159,7.31084922509541
"Solanum_centrale",0.161185164105132,0.0119915322341162,7.31059868104774
"Solanum_esuriale",0.161185164105132,0.0119915322341162,7.31059868104774
"Solanum_prinophyllum",0.161088958015665,0.0122483493704955,7.31375453233855
"Solanum_pungetium",0.161088958015665,0.0122483493704955,7.31375453233855
"Solanum_ditrichum",0.1610859616187,0.0122562222826889,7.31384654100902
"Solanum_vicinum",0.1610859616187,0.0122562222826889,7.31384654100902
"Solanum_elachophyllum",0.160768145901395,0.0130937013201894,7.32461845042585
"Solanum_jucundum",0.160768145901395,0.0130937013201894,7.32461845042585
"Solanum_tetrathecum",0.160706370497936,0.0132575086386893,7.32674962205221
"Solanum_nummularium",0.160696700601441,0.0132820939702971,7.32708405499962
"Solanum_orbiculatum",0.160696700601441,0.0132820939702971,7.32708405499962
"Solanum_hoplopetalum",0.160085088178859,0.0149166764814827,7.34837426981384
"Solanum_hystrix",0.160085088178859,0.0149166764814827,7.34837426981384
"Solanum_asymmetriphyllum",0.1577237783624,0.0210488327959547,7.42386357720186
"Solanum_sejunctum",0.1577237783624,0.0210488327959547,7.42386357720186
"Solanum_chippendalei",0.149336350667888,0.0365760987857823,7.63852917863116
"Solanum_diversiflorum",0.154382238967857,0.03083052290357,7.55570830547431
"Solanum_phlomoides",0.156863868749513,0.0236908700356505,7.46446615229571
"Solanum_beaugleholei",0.158000675889139,0.0205456795344417,7.42315113662714
"Solanum_clarkiae",0.159355566800108,0.0168627981776511,7.37425305451945
"Solanum_melanospermum",0.159355566800108,0.0168627981776511,7.37425305451945
"Solanum_heteropodium",0.157794222764373,0.0209513293767687,7.42256526497302
"Solanum_oedipus",0.157794222764373,0.0209513293767687,7.42256526497302
"Solanum_cataphractum",0.15946598442521,0.0181075049897794,7.38419367031253
"Solanum_petraeum",0.15946598442521,0.0181075049897794,7.38419367031253
"Solanum_tudununggae",0.159462678057977,0.0181142237622999,7.38426601848148
"Solanum_vansittartense",0.159462678057977,0.0181142237622999,7.38426601848148
"Solanum_leopoldense",0.159355277458162,0.0182906754067204,7.38640216572078
"Solanum_carduiforme",0.159270090158765,0.0184266035615235,7.38820575543175
"Solanum_cunninghamii",0.15919868758149,0.0185252246942667,7.38949599700434
"Solanum_dioicum",0.15919868758149,0.0185252246942667,7.38949599700434
"Solanum_cleistogamum",0.158712008804624,0.0186680367219731,7.39702666301038
"Solanum_horridum",0.158712008804624,0.0186680367219731,7.39702666301038
"Solanum_echinatum",0.157051525323023,0.0222205028355493,7.43986873467262
"Solanum_lucani",0.157051525323023,0.0222205028355493,7.43986873467262
"Solanum_coactiliferum",0.160498760913197,0.0138098413508892,7.33404997763756
"Solanum_oldfieldii",0.160498761281491,0.0138098403820302,7.33404996487666
"Solanum_myoxotrichum",0.161108827134238,0.0121968146520557,7.31316723020486
"Solanum_pyracanthos",0.161108827134238,0.0121968146520557,7.31316723020486
"Solanum_batoides",0.161078799149928,0.0122758203609978,7.31417143557317
"Solanum_mahoriense",0.161045386870127,0.0123640478092956,7.31529749739049
"Solanum_bumeliifolium",0.161114728480208,0.012182492327153,7.31294428090419
"Solanum_heinianum",0.161114728480208,0.012182492327153,7.31294428090419
"Solanum_toliaraea",0.161064312652625,0.0123146923149998,7.31465351169589
"Solanum_campylacanthum",0.161347948224543,0.0115615474353981,7.30551816024046
"Solanum_panduriforme",0.161347948224543,0.0115615474353981,7.30551816024046
"Solanum_incanum",0.161337524398327,0.0115899517926351,7.30584190272789
"Solanum_arundo",0.161332711083025,0.0116030017429801,7.30599277218802
"Solanum_cerasiferum",0.161336884832257,0.0115921128488141,7.30586020743539
"Solanum_lichtensteinii",0.161336884832257,0.0115921128488141,7.30586020743539
"Solanum_melongena",0.161338852349933,0.011587532590238,7.30578834064655
"Solanum_ovigerum",0.161338852349933,0.011587532590238,7.30578834064655
"Solanum_cumingii",0.161333002214537,0.0116032455392329,7.30597173705986
"Solanum_sessilistellatum",0.161260932338401,0.0117940374247594,7.30824207942963
"Solanum_kurzii",0.16128026373801,0.0117435819562246,7.307620298357
"Solanum_violaceum",0.16128026373801,0.0117435819562246,7.307620298357
"Solanum_rigescentoides",0.16126521182388,0.0117832146514884,7.30810120568287
"Solanum_supinum",0.16126521182388,0.0117832146514884,7.30810120568287
"Solanum_nigriviolaceum",0.161233342014507,0.011866973139467,7.30911381328034
"Solanum_aethiopicum",0.161313820274587,0.0116546809817079,7.30657038466842
"Solanum_anguivi",0.161313820274587,0.0116546809817079,7.30657038466842
"Solanum_cyaneopurpureum",0.161287388446392,0.0117239296897795,7.30740969469077
"Solanum_glabratum",0.161278196441083,0.0117481576253761,7.30769908087958
"Solanum_lamprocarpum",0.161266588807119,0.0117789726108223,7.30806321170212
"Solanum_capense",0.161306319121609,0.0116741280363275,7.30681405759568
"Solanum_tomentosum",0.161306319121609,0.0116741280363275,7.30681405759568
"Solanum_humile",0.16129858213001,0.0116943901720114,7.30705762105991
"Solanum_lidii",0.161301634953386,0.0116866998400213,7.30695925031239
"Solanum_vespertilio",0.161301634953386,0.0116866998400213,7.30695925031239
"Solanum_dasyphyllum",0.161232043354248,0.0118712583099675,7.30912779604142
"Solanum_macrocarpon",0.161232043354248,0.0118712583099675,7.30912779604142
