"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.092152207261281,0.0935042060309446,7.37342882487142
"Solanum_ferocissimum",0.092152207261281,0.0935042060309446,7.37342882487142
"Solanum_stelligerum",0.0921465716960355,0.0936124643732127,7.37303883510472
"Solanum_latens",0.0921347517791864,0.093838913276257,7.37221490569289
"Solanum_chenopodium",0.0921177139357202,0.0941557710997723,7.37102548439375
"Solanum_gympiense",0.092086927699897,0.0947042596776169,7.36886379923343
"Solanum_densevestitum",0.0921496025032847,0.093551615266699,7.37324833157948
"Solanum_nemophilum",0.0921496025032847,0.093551615266699,7.37324833157948
"Solanum_hapalum",0.0921419735107223,0.0936993436280061,7.37271615765187
"Solanum_innoxium",0.0921275825118006,0.0939727335035785,7.37171125978941
"Solanum_johnsonianum",0.092109103960104,0.0943101806840972,7.37042124424065
"Solanum_discolor",0.0920878698249004,0.0946679147918763,7.36893426912994
"Solanum_shirleyanum",0.0920878698249004,0.0946679147918763,7.36893426912994
"Solanum_corifolium",0.0920691014001208,0.0950059072272268,7.36760930369357
"Solanum_cookii",0.0920477703267464,0.0953747606572798,7.36610830097661
"Solanum_dissectum",0.0920671664891597,0.0950357149653159,7.36747406174448
"Solanum_stupefactum",0.0920671664891597,0.0950357149653159,7.36747406174448
"Solanum_furfuraceum",0.0920856700602707,0.0947029813948923,7.36877439564521
"Solanum_rixosum",0.0920856700602707,0.0947029813948923,7.36877439564521
"Solanum_incompletum",0.0921164032303001,0.0941718279684711,7.37098927862377
"Solanum_sandwicense",0.0921164032303001,0.0941718279684711,7.37098927862377
"Solanum_mitchellianum",0.0921208981065713,0.0940868962762112,7.37130317580137
"Solanum_semiarmatum",0.0921208981065713,0.0940868962762112,7.37130317580137
"Solanum_pancheri",0.0920964186234163,0.0945335116576081,7.36958051501853
"Solanum_vaccinioides",0.0920964186234163,0.0945335116576081,7.36958051501853
"Solanum_brownii",0.092109154491834,0.0943004440269355,7.37047801855956
"Solanum_viridifolium",0.092109154491807,0.0943004440274086,7.37047801855774
"Solanum_macoorai",0.092098946203892,0.0944899152815051,7.36975551045617
"Solanum_dimorphispinum",0.092089997854018,0.0946495512140393,7.36912274253135
"Solanum_amblymerum",0.0921142091135855,0.0942010716246038,7.37080353234262
"Solanum_limitare",0.0921142091135855,0.0942010716246038,7.37080353234262
"Solanum_inaequilaterum",0.0920905443054472,0.0946340006443595,7.36914133243169
"Solanum_acanthodapis",0.092104598700086,0.094374563091994,7.37012749809665
"Solanum_serpens",0.092104598700086,0.094374563091994,7.37012749809665
"Solanum_neoanglicum",0.0920530112046531,0.0952859427468374,7.36649477686802
"Solanum_nobile",0.0919613045656816,0.0967752923794096,7.3599588504599
"Solanum_argopetalum",0.0919587812146371,0.0967592123157154,7.35978336070451
"Solanum_papaverifolium",0.0919587812146371,0.0967592123157154,7.35978336070451
"Solanum_lythrocarpum",0.091900376388355,0.0976812451536926,7.35558953383599
"Solanum_ellipticum",0.0919696225311104,0.0966051339069645,7.36055164840576
"Solanum_dianthophorum",0.091969622534057,0.0966051338335824,7.36055164837589
"Solanum_centrale",0.0919773770840029,0.096473228666681,7.36110914238125
"Solanum_esuriale",0.0919773770840029,0.096473228666681,7.36110914238125
"Solanum_prinophyllum",0.0918752376376458,0.0979711381884227,7.35378653141601
"Solanum_pungetium",0.0918752376376458,0.0979711381884227,7.35378653141601
"Solanum_ditrichum",0.0918715375963266,0.0980270049382769,7.35350586428256
"Solanum_vicinum",0.0918715375963266,0.0980270049382769,7.35350586428256
"Solanum_elachophyllum",0.0915435444013124,0.102249388488471,7.32933485804934
"Solanum_jucundum",0.0915435444013124,0.102249388488471,7.32933485804934
"Solanum_tetrathecum",0.0914794369574332,0.103054378700299,7.32445494138304
"Solanum_nummularium",0.0914694598167429,0.103135762074728,7.32370525824449
"Solanum_orbiculatum",0.0914694598167429,0.103135762074728,7.32370525824449
"Solanum_hoplopetalum",0.090821263736956,0.110886100140378,7.2720827553832
"Solanum_hystrix",0.090821263736956,0.110886100140378,7.2720827553832
"Solanum_asymmetriphyllum",0.0673898339072612,0.297446142336075,6.06768159804495
"Solanum_sejunctum",0.0673898339072612,0.297446142336075,6.06768159804495
"Solanum_chippendalei",0.0630874598936339,0.522816515038613,5.34778563455908
"Solanum_diversiflorum",0.0847220489641711,0.190146711361518,6.75797419382973
"Solanum_phlomoides",0.0874283435216976,0.151332849055835,6.99094675957831
"Solanum_beaugleholei",0.0886448291651785,0.136644081860649,7.09332221245135
"Solanum_clarkiae",0.0900605207959438,0.119961907315228,7.20993916232157
"Solanum_melanospermum",0.0900605207959438,0.119961907315228,7.20993916232157
"Solanum_heteropodium",0.0674387455708713,0.295555956124937,6.0744065797236
"Solanum_oedipus",0.0674387455708713,0.295555956124937,6.0744065797236
"Solanum_cataphractum",0.06834603173049,0.250869568686663,6.2196355966627
"Solanum_petraeum",0.06834603173049,0.250869568686663,6.2196355966627
"Solanum_tudununggae",0.0683444391435112,0.250954656228687,6.21934693249554
"Solanum_vansittartense",0.0683444391435112,0.250954656228687,6.21934693249554
"Solanum_leopoldense",0.0682834549367896,0.253766854497688,6.20869110469777
"Solanum_carduiforme",0.0682347663584405,0.255994119370925,6.20028145764107
"Solanum_cunninghamii",0.0681879027557177,0.257865218964886,6.19275401513924
"Solanum_dioicum",0.0681879027557177,0.257865218964886,6.19275401513924
"Solanum_cleistogamum",0.0893466393297793,0.130111269952119,7.14887156016006
"Solanum_horridum",0.0893466393297793,0.130111269952119,7.14887156016006
"Solanum_echinatum",0.0670374928351778,0.315571936974369,6.01101703659274
"Solanum_lucani",0.0670374928351778,0.315571936974369,6.01101703659274
"Solanum_coactiliferum",0.0912654008526869,0.105581879470207,7.30809379606086
"Solanum_oldfieldii",0.0912654012294834,0.105581875027649,7.30809382567938
"Solanum_myoxotrichum",0.0918960050744569,0.097669782422107,7.35549134593865
"Solanum_pyracanthos",0.0918960050744569,0.097669782422107,7.35549134593865
"Solanum_batoides",0.091864612886686,0.0981385053001101,7.35322412372059
"Solanum_mahoriense",0.0918298463976808,0.0986302406021667,7.35070717492944
"Solanum_bumeliifolium",0.0919006238720613,0.0975596850703533,7.35581300170526
"Solanum_heinianum",0.0919006238720613,0.0975596850703533,7.35581300170526
"Solanum_toliaraea",0.0918492382614976,0.0983306303775276,7.35211333379953
"Solanum_campylacanthum",0.0921420572915775,0.0936488687005915,7.37301066838948
"Solanum_panduriforme",0.0921420572915775,0.0936488687005915,7.37301066838948
"Solanum_incanum",0.0921311607167572,0.0938613152563945,7.37224652103868
"Solanum_arundo",0.092126085548145,0.093955831674624,7.37189091009361
"Solanum_cerasiferum",0.0921302500870753,0.0938676139199314,7.37218269299109
"Solanum_lichtensteinii",0.0921302500870753,0.0938676139199314,7.37218269299109
"Solanum_melongena",0.0921312453277533,0.0938347905769476,7.37223341060538
"Solanum_ovigerum",0.0921312453277533,0.0938347905769476,7.37223341060538
"Solanum_cumingii",0.0921252707299001,0.0939489398639484,7.37181815248303
"Solanum_sessilistellatum",0.0920503234948396,0.0952698931129853,7.36656882756293
"Solanum_kurzii",0.0920704785559164,0.0948981025261292,7.36797687532194
"Solanum_violaceum",0.0920704785559164,0.0948981025261292,7.36797687532194
"Solanum_rigescentoides",0.0920551141724591,0.0951688338192834,7.36690708125213
"Solanum_supinum",0.0920551141724591,0.0951688338192834,7.36690708125213
"Solanum_nigriviolaceum",0.0920215264785605,0.0957498232911415,7.36453631169864
"Solanum_aethiopicum",0.0921055098059482,0.0943008017832714,7.37044297106726
"Solanum_anguivi",0.0921055098059482,0.0943008017832714,7.37044297106726
"Solanum_cyaneopurpureum",0.0920783070673305,0.0947911338229909,7.36853650140329
"Solanum_glabratum",0.0920686299297523,0.0949626503378863,7.3678545242094
"Solanum_lamprocarpum",0.0920563855254725,0.0951713191823378,7.36699300641545
"Solanum_capense",0.0920982854563876,0.0944363703942052,7.36994554329741
"Solanum_tomentosum",0.0920982854563876,0.0944363703942052,7.36994554329741
"Solanum_humile",0.092090121066177,0.0945853578761688,7.36936892717245
"Solanum_lidii",0.0920931997581026,0.0945201808899071,7.36958653652407
"Solanum_vespertilio",0.0920931997581026,0.0945201808899071,7.36958653652407
