"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.164077260359893,6.02423185352618e-05,5.67309172734069
"Solanum_ferocissimum",0.164077260359893,6.02423185352618e-05,5.67309172734069
"Solanum_stelligerum",0.164076801093317,6.02525422123575e-05,5.67309237874353
"Solanum_latens",0.164075886617034,6.02713007666818e-05,5.67309376387644
"Solanum_chenopodium",0.16407479453265,6.0291480213141e-05,5.67309565269207
"Solanum_gympiense",0.164073299686808,6.03275568782719e-05,5.67309930401567
"Solanum_densevestitum",0.164077162792376,6.02461580910103e-05,5.67309203367202
"Solanum_nemophilum",0.164077162792376,6.02461580910103e-05,5.67309203367202
"Solanum_hapalum",0.16407653232155,6.02600562864787e-05,5.67309293394259
"Solanum_innoxium",0.164075521221,6.02793089596552e-05,5.67309455844861
"Solanum_johnsonianum",0.164074487711138,6.03011411355329e-05,5.67309670048982
"Solanum_discolor",0.164074126701603,6.03247195598701e-05,5.67309926921318
"Solanum_shirleyanum",0.164074126701603,6.03247195598701e-05,5.67309926921318
"Solanum_corifolium",0.164072969339479,6.03452987329446e-05,5.67310158326321
"Solanum_cookii",0.16407215755161,6.03639523907531e-05,5.67310425020002
"Solanum_dissectum",0.164073024450431,6.03467139731075e-05,5.67310183858202
"Solanum_stupefactum",0.164073024450431,6.03467139731075e-05,5.67310183858202
"Solanum_furfuraceum",0.164074326002802,6.03262461726221e-05,5.67309960344937
"Solanum_rixosum",0.164074326002802,6.03262461726221e-05,5.67309960344937
"Solanum_incompletum",0.164074302536405,6.02945107597011e-05,5.67309563621437
"Solanum_sandwicense",0.164074302536405,6.02945107597011e-05,5.67309563621437
"Solanum_mitchellianum",0.164074683137785,6.02887983574346e-05,5.67309513301033
"Solanum_semiarmatum",0.164074683137785,6.02887983574346e-05,5.67309513301033
"Solanum_pancheri",0.164073221746178,6.03180570626364e-05,5.67309800812207
"Solanum_vaccinioides",0.164073221746178,6.03180570626364e-05,5.67309800812207
"Solanum_brownii",0.164074091115088,6.0302594224409e-05,5.67309652071007
"Solanum_viridifolium",0.164074091115086,6.03025942244386e-05,5.67309652071007
"Solanum_macoorai",0.16407332175889,6.03151039143809e-05,5.6730977102981
"Solanum_dimorphispinum",0.164072907101876,6.03255293460054e-05,5.67309879272914
"Solanum_amblymerum",0.16407525643858,6.02937205419359e-05,5.67309614600844
"Solanum_limitare",0.16407525643858,6.02937205419359e-05,5.67309614600844
