"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.001","!","!"
"(2,R1)","0.001",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"<0.001","!","!"
"(2,R1)","0.006",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.006","0.001",NA
"(2,R1)","0.006",NA,NA,"0.001"
"(1,R2)","0.001",NA,NA,"<0.001"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.001",NA
"(2,R1)","<0.001",NA,NA,"0.001"
"(1,R2)","0.021",NA,NA,"0.024"
"(2,R2)",NA,"0.021","0.024",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.007",NA
"(2,R1)","0.207",NA,NA,"0.007"
"(1,R2)","0.007",NA,NA,"0.001"
"(2,R2)",NA,"0.007","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"<0.001","0.001",NA
"(2,R1)","0.171",NA,NA,"0.001"
"(1,R2)","0.007",NA,NA,"0.007"
"(2,R2)",NA,"0.007","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.001","0.007",NA
"(2,R1)","0.001",NA,NA,"0.007"
"(1,R2)","0.007",NA,NA,"<0.001"
"(2,R2)",NA,"0.007","0.199",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"0.001","0.006",NA
"(2,R1)","0.001",NA,NA,"0.006"
"(1,R2)","0.003",NA,NA,"<0.001"
"(2,R2)",NA,"0.003","0.177",NA
""," "," "," "," "
"","~","~","~","~"
