"","(1,R1)","(2,R1)","",""
"res","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.003","!","!"
"(2,R1)","0.003",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","!","!"
"(1,R1)",NA,"0.004","!","!"
"(2,R1)","<0.001",NA,"!","!"
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"13.72","0.001",NA
"(2,R1)","13.72",NA,NA,"0.001"
"(1,R2)","0.001",NA,NA,"0.001"
"(2,R2)",NA,"0.001","0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"12.908","0.164",NA
"(2,R1)","12.908",NA,NA,"0.164"
"(1,R2)","0.002",NA,NA,"0.001"
"(2,R2)",NA,"0.002","0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"1.266","0.004",NA
"(2,R1)","<0.001",NA,NA,"0.004"
"(1,R2)","0.004",NA,NA,"<0.001"
"(2,R2)",NA,"0.004","0.012",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"8.275","0.04",NA
"(2,R1)","13.333",NA,NA,"0.04"
"(1,R2)","0.001",NA,NA,"0.002"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"13.62","0.001",NA
"(2,R1)","13.62",NA,NA,"0.001"
"(1,R2)","0.001",NA,NA,"0.003"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
"","(1,R1)","(2,R1)","(1,R2)","(2,R2)"
"(1,R1)",NA,"13.506","0.049",NA
"(2,R1)","13.506",NA,NA,"0.049"
"(1,R2)","0.001",NA,NA,"0.002"
"(2,R2)",NA,"0.001","<0.001",NA
""," "," "," "," "
"","~","~","~","~"
