"","Clade","ObsSt","Alpha","Sigma","Optim"
"Leucopogon_concinnus","Ericaceae","Biotic",0.0280877051144149,0.308132887952146,8.69674420970606
"Leucopogon_nutans","Ericaceae","Biotic",0.0280877051144149,0.308132887952146,8.69674420970606
"Leucopogon_ovalifolius","Ericaceae","Biotic",0.0280877255400539,0.308132777767077,8.69674421753791
"Leucopogon_strictus","Ericaceae","Biotic",0.0280878474063669,0.308132120346947,8.69674426417396
"Leucopogon_leptanthus","Ericaceae","Biotic",0.0280879271929085,0.308131689779811,8.69674429230613
"Leucopogon_pendulus","Ericaceae","Biotic",0.0280879271929085,0.308131689779811,8.69674429230613
"Leucopogon_obtectus","Ericaceae","Biotic",0.0280876621431677,0.308133119891619,8.69674419630922
"Leucopogon_glaucifolius","Ericaceae","Biotic",0.0280876621431677,0.308133119891619,8.69674419630922
"Leucopogon_cordifolius","Ericaceae","Biotic",0.0280876878354779,0.308132981297086,8.69674420619174
"Leucopogon_racemulosus","Ericaceae","Biotic",0.0280877282459425,0.308132763265683,8.69674422129855
"Leucopogon_allittii","Ericaceae","Biotic",0.0280877282459425,0.308132763265683,8.69674422129855
"Leucopogon_oxycedrus","Ericaceae","Biotic",0.0280880176443523,0.308131201991228,8.69674433001718
"Coleanthera_myrtoides","Ericaceae","Biotic",0.0280891956793318,0.308124842607653,8.69674467486792
"Leucopogon_rotundifolius","Ericaceae","Biotic",0.0280891956793318,0.308124842607653,8.69674467486792
"Styphelia_hainesii","Ericaceae","Biotic",0.0280892136493114,0.308124745671742,8.69674468189941
"Styphelia_tenuifolia","Ericaceae","Biotic",0.0280892136493114,0.308124745671742,8.69674468189941
"Leucopogon_juniperinus","Ericaceae","Biotic",0.0280913733015485,0.308113082629157,8.69674516432837
"Leucopogon_setiger","Ericaceae","Biotic",0.0280913733015485,0.308113082629157,8.69674516432837
"Leucopogon_fraseri","Ericaceae","Biotic",0.0280915967493006,0.308111877292924,8.69674525052679
"Astroloma_microdonta","Ericaceae","Biotic",0.0280909588494752,0.30811531515483,8.69674488161648
"Astroloma_pallidum","Ericaceae","Biotic",0.0280909588494752,0.30811531515483,8.69674488161648
