"","clade_i","ObsSt","Alpha","Sigma","Optim"
"Acokanthera_oblongifolia","Apocynaceae","Fleshy",0.047747754708393,0.0259786810466622,9.37162164758074
"Acokanthera_rotundata","Apocynaceae","Fleshy",0.047747754708393,0.0259786810466622,9.37162164758074
"Acokanthera_oppositifolia","Apocynaceae","Fleshy",0.0477477947129556,0.0259856075126561,9.37155030267686
"Carissa_macrocarpa","Apocynaceae","Fleshy",0.0477643095128976,0.027914595320638,9.35239761579664
"Carissa_carandas","Apocynaceae","Fleshy",0.0477490778127256,0.0273837460006854,9.35680141818213
"Carissa_spinarum","Apocynaceae","Fleshy",0.0477490778127256,0.0273837460006854,9.35680141818213
"Carissa_ovata","Apocynaceae","Fleshy",0.0477490955741244,0.0273853940613143,9.35678516320169
"Carissa_bispinosa","Apocynaceae","Fleshy",0.0477714164659734,0.0279707310890346,9.35243645147167
"Apocynum_androsaemifolium","Apocynaceae","Dry",0.0507070207615056,0.0703548207225509,8.84141937378167
"Apocynum_cannabinum","Apocynaceae","Dry",0.0507070207615056,0.0703548207225509,8.84141937378167
"Cleghornia_malaccensis","Apocynaceae","Dry",0.0507026726239881,0.0703236619487085,8.84119526382459
"Trachelospermum_jasminoides","Apocynaceae","Dry",0.0507297877747723,0.0704975546612733,8.8427463335983
"Trachelospermum_asiaticum","Apocynaceae","Dry",0.0507297877747723,0.0704975546612733,8.8427463335983
"Trachelospermum_axillare","Apocynaceae","Dry",0.0507296988208619,0.0704969516869317,8.84273938256995
"Chonemorpha_fragrans","Apocynaceae","Dry",0.0507257130292091,0.0704717997922811,8.84245667924744
"Aganosma_cymosa","Apocynaceae","Dry",0.0507362685941385,0.0705415677666069,8.84328465593767
"Aganosma_wallichii","Apocynaceae","Dry",0.0507362685941385,0.0705415677666069,8.84328465593767
"Aganosma_schlechteriana","Apocynaceae","Dry",0.050735614258415,0.0705374806725149,8.8432305491559
"Epigynum_auritum","Apocynaceae","Dry",0.0507350245111318,0.0705335876653732,8.84318167049363
"Epigynum_cochinchinense","Apocynaceae","Dry",0.0507348732951405,0.0705325600435327,8.84316911525194
"Epigynum_griffithianum","Apocynaceae","Dry",0.0507357282971947,0.070538285764031,8.84323992454252
"Epigynum_ridleyi","Apocynaceae","Dry",0.0507357282971947,0.070538285764031,8.84323992454252
"Ichnocarpus_frutescens","Apocynaceae","Dry",0.0507350174879953,0.0705335490400448,8.8431810760132
"Pottsia_laxiflora","Apocynaceae","Dry",0.0507273172249402,0.0704821681664847,8.84256932755945
"Amalocalyx_microlobus","Apocynaceae","Dry",0.050725869911577,0.0704731191094213,8.842469546684
"Micrechites_polyanthus","Apocynaceae","Dry",0.0507292891709035,0.0704968526533149,8.84271665493859
"Micrechites_rhombifolius","Apocynaceae","Dry",0.0507292891709035,0.0704968526533149,8.84271665493859
"Micrechites_serpyllifolius","Apocynaceae","Dry",0.0507289829506224,0.0704946549479229,8.8426940025036
"Parameria_laevigata","Apocynaceae","Dry",0.0507215676246139,0.0704460607209059,8.84218682888873
"Urceola_lucida","Apocynaceae","Dry",0.0507250378870472,0.0704689138544864,8.8424077686157
"Urceola_minutiflora","Apocynaceae","Dry",0.0507250378870472,0.0704689138544864,8.8424077686157
"Urceola_micrantha","Apocynaceae","Dry",0.0507242274822899,0.0704636644439798,8.84235521694489
"Urceola_rosea","Apocynaceae","Dry",0.0507215183152054,0.0704457227922283,8.84218374082156
"Streptoechites_chinensis","Apocynaceae","Dry",0.0507036218297612,0.0703287026146502,8.84122171347093
"Amphineurion_marginatum","Apocynaceae","Dry",0.0507026281237467,0.0703246274542598,8.84120756643925
"Sindechites_henryi","Apocynaceae","Dry",0.0507026281237467,0.0703246274542598,8.84120756643925
"Beaumontia_grandiflora","Apocynaceae","Dry",0.0507054189477661,0.0703440812105469,8.84134205698315
"Vallaris_solanacea","Apocynaceae","Dry",0.0507054189477661,0.0703440812105469,8.84134205698315
"Anodendron_oblongifolium","Apocynaceae","Dry",0.0506991287358372,0.070301568092106,8.84107315247079
"Anodendron_paniculatum","Apocynaceae","Dry",0.0506991287358372,0.070301568092106,8.84107315247079
"Papuechites_aambe","Apocynaceae","Dry",0.0506926259204326,0.0702567852994018,8.84076760753649
"Asclepias_incarnata","Apocynaceae","Dry",0.0507523413552295,0.0707646609661299,8.84447987645993
"Asclepias_fascicularis","Apocynaceae","Dry",0.0507523413552295,0.0707646609661299,8.84447987645993
"Asclepias_angustifolia","Apocynaceae","Dry",0.0507524939713592,0.0707655582526041,8.84449178312672
"Asclepias_gentryi","Apocynaceae","Dry",0.0507524939713592,0.0707655582526041,8.84449178312672
"Asclepias_linearis","Apocynaceae","Dry",0.0507526528380186,0.0707665813873248,8.84450424857067
"Asclepias_verticillata","Apocynaceae","Dry",0.0507526528380186,0.0707665813873248,8.84450424857067
"Asclepias_perennis","Apocynaceae","Dry",0.0507526623335653,0.0707666394052411,8.84450499036462
"Asclepias_subverticillata","Apocynaceae","Dry",0.0507526886122443,0.070766799202876,8.84450704247084
"Asclepias_texana","Apocynaceae","Dry",0.0507526886122443,0.070766799202876,8.84450704247084
"Asclepias_mexicana","Apocynaceae","Dry",0.0507524370305813,0.0707652564078919,8.84448737190994
"Asclepias_pumila","Apocynaceae","Dry",0.0507524370305813,0.0707652564078919,8.84448737190994
"Asclepias_woodsoniana","Apocynaceae","Dry",0.0507523933644377,0.0707649858347322,8.84448395526345
"Asclepias_barjoniifolia","Apocynaceae","Dry",0.0507507790514081,0.0707545031799478,8.84435645220155
"Asclepias_mellodora","Apocynaceae","Dry",0.0507507790514081,0.0707545031799478,8.84435645220155
"Asclepias_boliviensis","Apocynaceae","Dry",0.0507507786697156,0.070754500962743,8.84435642251983
"Asclepias_candida","Apocynaceae","Dry",0.0507507721000739,0.0707544630610086,8.84435591165164
"Asclepias_flava","Apocynaceae","Dry",0.0507507473347012,0.0707543191687388,8.84435398426838
"Asclepias_curassavica","Apocynaceae","Dry",0.0507506306980511,0.0707536772468557,8.84434492568553
"Asclepias_nivea","Apocynaceae","Dry",0.0507506306980511,0.0707536772468557,8.84434492568553
"Asclepias_pratensis","Apocynaceae","Dry",0.0507481332956501,0.070738712116753,8.84414247704795
"Asclepias_albicans","Apocynaceae","Dry",0.0507500307571202,0.0707500175775351,8.84429727255872
"Asclepias_subaphylla","Apocynaceae","Dry",0.0507500307571202,0.0707500175775351,8.84429727255872
"Asclepias_masonii","Apocynaceae","Dry",0.0507500499300976,0.0707501236342361,8.84429876175933
"Asclepias_subulata","Apocynaceae","Dry",0.0507500499300976,0.0707501236342361,8.84429876175933
"Asclepias_leptopus","Apocynaceae","Dry",0.0507495395578814,0.070747115542913,8.84425808071006
"Asclepias_cutleri","Apocynaceae","Dry",0.0507486245572596,0.0707416897995174,8.84418285394379
"Asclepias_mcvaughii","Apocynaceae","Dry",0.0507480497015622,0.0707382009314212,8.84413554164629
"Asclepias_cordifolia","Apocynaceae","Dry",0.0507480825996999,0.0707384595101799,8.84413819978822
"Asclepias_linaria","Apocynaceae","Dry",0.0507480825996999,0.0707384595101799,8.84413819978822
"Asclepias_syriaca","Apocynaceae","Dry",0.0507545973396785,0.0707815532217926,8.84467449029142
"Asclepias_tuberosa","Apocynaceae","Dry",0.0507545973396785,0.0707815532217926,8.84467449029142
"Asclepias_michauxii","Apocynaceae","Dry",0.0507545699031397,0.0707813925273241,8.84467235131883
"Asclepias_obovata","Apocynaceae","Dry",0.0507545695192222,0.070781390504144,8.84467232152719
"Asclepias_rubra","Apocynaceae","Dry",0.0507545695192222,0.070781390504144,8.84467232152719
"Asclepias_quadrifolia","Apocynaceae","Dry",0.0507542759627992,0.0707796516459306,8.84464940312562
"Asclepias_exaltata","Apocynaceae","Dry",0.0507542422112016,0.0707794504876961,8.84464676525159
"Asclepias_hallii","Apocynaceae","Dry",0.0507540385033219,0.0707782279531156,8.84463082966518
"Asclepias_speciosa","Apocynaceae","Dry",0.0507535031844141,0.070775013233751,8.84458891189396
"Asclepias_amplexicaulis","Apocynaceae","Dry",0.0507533896181029,0.0707743265666527,8.84458000694072
"Asclepias_ovalifolia","Apocynaceae","Dry",0.0507533785228399,0.0707742587758834,8.84457913580387
"Asclepias_hirtella","Apocynaceae","Dry",0.0507533634859961,0.0707741661118352,8.84457795380453
"Asclepias_purpurascens","Apocynaceae","Dry",0.0507535470082339,0.0707752501479101,8.84459228400119
"Asclepias_variegata","Apocynaceae","Dry",0.0507535470082339,0.0707752501479101,8.84459228400119
"Asclepias_lanceolata","Apocynaceae","Dry",0.0507535296535735,0.0707751278227465,8.84459089898285
"Asclepias_longifolia","Apocynaceae","Dry",0.0507535296535735,0.0707751278227465,8.84459089898285
"Asclepias_arenaria","Apocynaceae","Dry",0.0507535408181116,0.0707749569098464,8.84459134230088
"Asclepias_emoryi","Apocynaceae","Dry",0.0507536196378945,0.0707754087515739,8.84459747787882
"Asclepias_oenotheroides","Apocynaceae","Dry",0.0507536196378945,0.0707754087515739,8.84459747787882
"Asclepias_nyctaginifolia","Apocynaceae","Dry",0.0507536216553765,0.0707754201946818,8.8445976347951
"Asclepias_standleyi","Apocynaceae","Dry",0.0507536216553765,0.0707754201946818,8.8445976347951
"Asclepias_prostrata","Apocynaceae","Dry",0.0507531702899556,0.0707728563521935,8.844562477721
"Asclepias_feayi","Apocynaceae","Dry",0.0507529070230559,0.0707713462290591,8.84454192803284
"Asclepias_tomentosa","Apocynaceae","Dry",0.0507529070230559,0.0707713462290591,8.84454192803284
"Asclepias_curtissii","Apocynaceae","Dry",0.0507529600291511,0.0707716868875359,8.84454610328997
"Asclepias_engelmanniana","Apocynaceae","Dry",0.0507529600291511,0.0707716868875359,8.84454610328997
"Asclepias_eriocarpa","Apocynaceae","Dry",0.0507529108527894,0.0707713770201458,8.84454224469983
"Asclepias_solanoana","Apocynaceae","Dry",0.0507528941660034,0.070771271376438,8.84454093449951
"Asclepias_elata","Apocynaceae","Dry",0.050753468073786,0.0707744959648615,8.84458562468698
"Asclepias_mirifica","Apocynaceae","Dry",0.050753468073786,0.0707744959648615,8.84458562468698
"Asclepias_glaucescens","Apocynaceae","Dry",0.0507534449786487,0.0707743647178701,8.84458382764415
"Asclepias_lynchiana","Apocynaceae","Dry",0.0507534449786487,0.0707743647178701,8.84458382764415
"Asclepias_latifolia","Apocynaceae","Dry",0.0507531216669138,0.0707725170105239,8.84455863012253
"Asclepias_macroura","Apocynaceae","Dry",0.0507531216669138,0.0707725170105239,8.84455863012253
"Asclepias_ruthiae","Apocynaceae","Dry",0.0507528191749689,0.0707704704887366,8.84453446079684
"Asclepias_uncialis","Apocynaceae","Dry",0.0507528191749689,0.0707704704887366,8.84453446079684
"Asclepias_sanjuanensis","Apocynaceae","Dry",0.0507528167703988,0.0707704562641438,8.84453427331843
"Asclepias_involucrata","Apocynaceae","Dry",0.0507533611038806,0.0707736999584811,8.84457683609355
"Asclepias_welshii","Apocynaceae","Dry",0.0507533611038806,0.0707736999584811,8.84457683609355
"Asclepias_labriformis","Apocynaceae","Dry",0.0507533629060869,0.0707737103685701,8.84457697648183
"Asclepias_macrosperma","Apocynaceae","Dry",0.0507533629060869,0.0707737103685701,8.84457697648183
