"","Clade","ObsSt","Alpha","Sigma","Optim"
"Acokanthera_oblongifolia","Apocynaceae","Fleshy",0.218868123062282,0.0114636640412621,7.35570427410111
"Acokanthera_rotundata","Apocynaceae","Fleshy",0.21888734023554,0.0115058467632584,7.35610019427022
"Acokanthera_oppositifolia","Apocynaceae","Fleshy",0.218870122950598,0.0114778911387338,7.35576478571569
"Carissa_macrocarpa","Apocynaceae","Fleshy",0.218868138179904,0.0115354916677628,7.35494112772978
"Carissa_carandas","Apocynaceae","Fleshy",0.218887637162822,0.0115529457870425,7.35567859873275
"Carissa_spinarum","Apocynaceae","Fleshy",0.218870611267489,0.0115251286912219,7.35534958932501
"Carissa_ovata","Apocynaceae","Fleshy",0.218868510779722,0.0115110874372688,7.35528401588843
"Carissa_bispinosa","Apocynaceae","Fleshy",0.218887389196866,0.0115827473406017,7.35524658856137
"Apocynum_androsaemifolium","Apocynaceae","Dry",0.218855785091146,0.0146740729959668,7.38586199228139
"Apocynum_cannabinum","Apocynaceae","Dry",0.218876516729725,0.0147215481980249,7.38629359699075
"Cleghornia_malaccensis","Apocynaceae","Dry",0.218854297649028,0.0146794576235473,7.38581637499961
"Trachelospermum_jasminoides","Apocynaceae","Dry",0.218856042242435,0.0146893847573865,7.38603242204871
"Trachelospermum_asiaticum","Apocynaceae","Dry",0.218877160447588,0.0147376308118446,7.38647181402496
"Trachelospermum_axillare","Apocynaceae","Dry",0.218854802758972,0.0146988325092133,7.3860338981865
"Chonemorpha_fragrans","Apocynaceae","Dry",0.218855990589528,0.0146863592333891,7.38599510284785
"Aganosma_cymosa","Apocynaceae","Dry",0.218877334947761,0.0147428315222371,7.38653305262983
"Aganosma_wallichii","Apocynaceae","Dry",0.218854914765994,0.0147040277679553,7.38609485327502
"Aganosma_schlechteriana","Apocynaceae","Dry",0.218856087083369,0.0146938615798456,7.38608524911224
"Epigynum_auritum","Apocynaceae","Dry",0.218877304917018,0.0147418649393268,7.38652116311898
"Epigynum_cochinchinense","Apocynaceae","Dry",0.218854889655346,0.0147029482097305,7.3860816119826
"Epigynum_griffithianum","Apocynaceae","Dry",0.218856088323879,0.0146939577534929,7.38608646884473
"Epigynum_ridleyi","Apocynaceae","Dry",0.218877321855286,0.0147424337800329,7.38652818403353
"Ichnocarpus_frutescens","Apocynaceae","Dry",0.218854892085742,0.0147030659677909,7.38608305511806
"Pottsia_laxiflora","Apocynaceae","Dry",0.218856004954086,0.0146875121383,7.3860083192257
