"","clade_i","ObsSt","Alpha","Sigma","Optim"
"Acokanthera_oblongifolia","Apocynaceae","Fleshy",0.118706693602195,0.0614627259098493,7.57237741436759
"Acokanthera_rotundata","Apocynaceae","Fleshy",0.119681695579218,0.0616940245062695,7.55777094939896
"Acokanthera_oppositifolia","Apocynaceae","Fleshy",0.118788146038261,0.0625625043960391,7.54734596381356
"Carissa_macrocarpa","Apocynaceae","Fleshy",0.118714526704101,0.0765940102986423,7.55860961347645
"Carissa_carandas","Apocynaceae","Fleshy",0.119681171838565,0.0730397550828075,7.5470806903131
"Carissa_spinarum","Apocynaceae","Fleshy",0.118797477058332,0.0738526871521406,7.53665309540475
"Carissa_ovata","Apocynaceae","Fleshy",0.118710645354712,0.0728292317434736,7.56145579881719
"Carissa_bispinosa","Apocynaceae","Fleshy",0.1196962914079,0.0770170285420032,7.54396456614323
"Apocynum_androsaemifolium","Apocynaceae","Dry",0.121437076682748,0.125156140468502,7.05505792143864
"Apocynum_cannabinum","Apocynaceae","Dry",0.122484824089425,0.125615311873026,7.03448720992731
"Cleghornia_malaccensis","Apocynaceae","Dry",0.121335798426172,0.126390370525595,7.02672419157699
"Trachelospermum_jasminoides","Apocynaceae","Dry",0.121446658654354,0.125239245530374,7.05483121192002
"Trachelospermum_asiaticum","Apocynaceae","Dry",0.122514180418928,0.125694795086911,7.03415665385338
"Trachelospermum_axillare","Apocynaceae","Dry",0.121358338868175,0.126527100961672,7.02584917904784
"Chonemorpha_fragrans","Apocynaceae","Dry",0.121444785960277,0.125210133950722,7.05493775030791
"Aganosma_cymosa","Apocynaceae","Dry",0.122523211632151,0.12573595007822,7.03398644119595
"Aganosma_wallichii","Apocynaceae","Dry",0.121364056545575,0.126574932758099,7.02557021168359
"Aganosma_schlechteriana","Apocynaceae","Dry",0.121449220929327,0.125276865772698,7.0547112599835
"Epigynum_auritum","Apocynaceae","Dry",0.122521916028716,0.125726900101575,7.03402493969113
"Epigynum_cochinchinense","Apocynaceae","Dry",0.12136303718386,0.126563918388905,7.02562782323463
"Epigynum_griffithianum","Apocynaceae","Dry",0.121449274677418,0.125277942251315,7.05470691080151
"Epigynum_ridleyi","Apocynaceae","Dry",0.122522695820727,0.125732411284626,7.03400137169553
"Ichnocarpus_frutescens","Apocynaceae","Dry",0.121363152015599,0.126565170757585,7.02562111794861
"Pottsia_laxiflora","Apocynaceae","Dry",0.121445474514944,0.12521817362507,7.05491480573243
"Amalocalyx_microlobus","Apocynaceae","Dry",0.122510217051315,0.125665850889636,7.03427642283512
"Micrechites_polyanthus","Apocynaceae","Dry",0.121358512622553,0.126526813459791,7.02583858891566
"Micrechites_rhombifolius","Apocynaceae","Dry",0.121446400584209,0.125237562405051,7.05484269531723
"Micrechites_serpyllifolius","Apocynaceae","Dry",0.122514342666851,0.125690311216628,7.03417525704704
"Parameria_laevigata","Apocynaceae","Dry",0.121351936575859,0.12648884538017,7.02610094840972
"Urceola_lucida","Apocynaceae","Dry",0.121444771118091,0.125231498149699,7.05484434866231
"Urceola_minutiflora","Apocynaceae","Dry",0.122507996260174,0.125687834670526,7.03419235463783
"Urceola_micrantha","Apocynaceae","Dry",0.121353999687836,0.126510388956487,7.02598700500229
"Urceola_rosea","Apocynaceae","Dry",0.121443152993488,0.125204959239395,7.05494162253266
"Streptoechites_chinensis","Apocynaceae","Dry",0.122478896302541,0.125576528705637,7.0346320723576
"Amphineurion_marginatum","Apocynaceae","Dry",0.121336004613131,0.126396597342653,7.02669653284597
"Sindechites_henryi","Apocynaceae","Dry",0.121435113958877,0.125126580198513,7.0551489954191
"Beaumontia_grandiflora","Apocynaceae","Dry",0.122482375762403,0.125608754582234,7.03451199561719
"Vallaris_solanacea","Apocynaceae","Dry",0.121338403284435,0.126421181820292,7.02656626919629
"Anodendron_oblongifolium","Apocynaceae","Dry",0.121434045327286,0.125147656815442,7.05506496468273
"Anodendron_paniculatum","Apocynaceae","Dry",0.122473628371289,0.125608323594969,7.03453712894741
"Papuechites_aambe","Apocynaceae","Dry",0.12132719895099,0.126359816818156,7.02699435422944
"Asclepias_incarnata","Apocynaceae","Dry",0.121448093871907,0.125110227749942,7.05466777456625
"Asclepias_fascicularis","Apocynaceae","Dry",0.122537998120989,0.12556167775711,7.03387567316761
"Asclepias_angustifolia","Apocynaceae","Dry",0.121370061645486,0.126417295623978,7.02517856283018
"Asclepias_gentryi","Apocynaceae","Dry",0.121448163981641,0.125111271607494,7.05466373109296
"Asclepias_linearis","Apocynaceae","Dry",0.122538306669908,0.125563932014952,7.03386593341937
"Asclepias_verticillata","Apocynaceae","Dry",0.121370177789534,0.126418610486328,7.02517160955361
"Asclepias_perennis","Apocynaceae","Dry",0.121448241236356,0.125112581493123,7.05465863382722
"Asclepias_subverticillata","Apocynaceae","Dry",0.122538340769119,0.125564189100571,7.03386482206289
"Asclepias_texana","Apocynaceae","Dry",0.121370202227672,0.126418884469838,7.02517019880427
"Asclepias_mexicana","Apocynaceae","Dry",0.121448137775753,0.12511093776603,7.05466502628902
"Asclepias_pumila","Apocynaceae","Dry",0.122538095058524,0.12556237805961,7.03387264637989
"Asclepias_woodsoniana","Apocynaceae","Dry",0.121369997185911,0.126416605082699,7.02518201680573
