"","arid.clade","arid.fruit_type","arid.theta_t","arid.sigma2","arid.alpha","arid.half.life","arid.stationary_var","pet.clade","pet.fruit_type","pet.theta_t","pet.sigma2","pet.alpha","pet.half.life","pet.stationary_var","prec.clade","prec.fruit_type","prec.theta_t","prec.sigma2","prec.alpha","prec.half.life","prec.stationary_var","temp.clade","temp.fruit_type","temp.theta_t","temp.sigma2","temp.alpha","temp.half.life","temp.stationary_var"
"total_fleshy","Apocynaceae","Fleshy","1.12 (0.13)","0.03 (0)","0.05 (0)","0.17 (0)","0.35 (0.02)","Apocynaceae","Fleshy","1559.21 (18.52)","0.01 (0)","0.16 (0)","0.05 (0)","0.03 (0)","Apocynaceae","Fleshy","1867.65 (177.41)","0.06 (0.01)","0.07 (0)","0.11 (0)","0.41 (0.04)","Apocynaceae","Fleshy","24.32 (0.08)","0 (0)","0.21 (0)","0.04 (0)","0 (0)"
"total_dry","Apocynaceae","Dry","0.69 (0.01)","0.07 (0)","0.05 (0)","0.16 (0)","0.68 (0)","Apocynaceae","Dry","1611.14 (10.01)","0.01 (0)","0.16 (0)","0.052 (0)","0.03 (0)","Apocynaceae","Dry","1147.84 (14.74)","0.08 (0)","0.07 (0)","0.109 (0)","0.53 (0)","Apocynaceae","Dry","21.33 (0.32)","0 (0)","0.21 (0)","0.038 (0)","0 (0)"
"total_fleshy.1","Ericaceae","Fleshy","0.67 (0)","0.08 (0)","0.02 (0)","0.23 (0)","1.58 (0)","Ericaceae","Fleshy","1447.45 (0.4)","0 (0)","0.03 (0)","0.19 (0)","0.08 (0)","Ericaceae","Fleshy","1121.08 (0.28)","0.02 (0)","0.04 (0)","0.16 (0)","0.33 (0)","Ericaceae","Fleshy","15.27 (0)","0 (0)","0.07 (0)","0.08 (0)","0 (0)"
"total_dry.1","Ericaceae","Dry","1.03 (0)","0.02 (0)","0.03 (0)","0.18 (0)","0.31 (0)","Ericaceae","Dry","1099.63 (0.55)","0.01 (0)","0.03 (0)","0.177 (0)","0.11 (0)","Ericaceae","Dry","1146.69 (0.03)","0.02 (0)","0.04 (0)","0.151 (0)","0.27 (0)","Ericaceae","Dry","11.24 (0.01)","0 (0)","0.06 (0)","0.089 (0)","0 (0)"
"total_fleshy.2","Melastomataceae","Fleshy","1.38 (0.03)","0.03 (0)","0.09 (0)","0.08 (0)","0.18 (0)","Melastomataceae","Fleshy","1470.46 (4.87)","0.01 (0)","0.18 (0)","0.04 (0)","0.02 (0)","Melastomataceae","Fleshy","2142.47 (46.58)","0.03 (0)","0.1 (0)","0.07 (0)","0.17 (0)","Melastomataceae","Fleshy","22.96 (0.04)","0 (0)","0.15 (0)","0.05 (0)","0 (0)"
"total_dry.2","Melastomataceae","Dry","1.2 (0.04)","0.02 (0)","0.09 (0)","0.079 (0)","0.14 (0)","Melastomataceae","Dry","1421.86 (5.32)","0.01 (0)","0.18 (0)","0.04 (0)","0.02 (0)","Melastomataceae","Dry","1793.01 (49.89)","0.03 (0)","0.1 (0)","0.072 (0)","0.14 (0)","Melastomataceae","Dry","20.71 (0.11)","0 (0)","0.15 (0)","0.047 (0)","0 (0)"
"total_fleshy.3","Rosaceae","Fleshy","0.81 (0.04)","0.31 (0)","0.5 (0)","0.02 (0)","0.31 (0)","Rosaceae","Fleshy","1185.63 (22.28)","0.09 (0)","0.65 (0)","0.01 (0)","0.07 (0)","Rosaceae","Fleshy","920.64 (48.95)","0.23 (0)","0.44 (0)","0.02 (0)","0.26 (0)","Rosaceae","Fleshy","12.42 (0.29)","0 (0)","0.5 (0)","0.02 (0)","0 (0)"
"total_dry.3","Rosaceae","Dry","0.65 (0.05)","0.48 (0)","0.5 (0)","0.015 (0)","0.48 (0)","Rosaceae","Dry","1135.4 (106.58)","0.14 (0)","0.65 (0)","0.012 (0)","0.11 (0)","Rosaceae","Dry","705.24 (25.02)","0.27 (0)","0.44 (0)","0.018 (0)","0.3 (0)","Rosaceae","Dry","8.37 (1.74)","0 (0)","0.5 (0)","0.016 (0)","0 (0)"
"total_fleshy.4","Solanaceae","Fleshy","1.42 (0.16)","0.13 (0)","0.07 (0)","0.2 (0)","0.93 (0.02)","Solanaceae","Fleshy","1479.06 (53.56)","0.01 (0)","0.17 (0)","0.09 (0)","0.04 (0)","Solanaceae","Fleshy","2146.4 (188.11)","0.09 (0)","0.07 (0)","0.21 (0)","0.67 (0.01)","Solanaceae","Fleshy","17.89 (0.19)","0 (0)","0.16 (0)","0.09 (0)","0 (0)"
"total_dry.4","Solanaceae","Dry","0.35 (0.05)","0.25 (0.01)","0.06 (0)","0.244 (0)","2.16 (0.08)","Solanaceae","Dry","1616.49 (46.73)","0.02 (0)","0.16 (0)","0.087 (0)","0.06 (0)","Solanaceae","Dry","550.63 (73.9)","0.22 (0)","0.05 (0)","0.301 (0)","2.34 (0.06)","Solanaceae","Dry","15.21 (3.21)","0 (0)","0.15 (0)","0.098 (0)","0 (0)"
