"","Clade","ObsSt","Alpha","Sigma","Optim"
"Acokanthera_oblongifolia","Apocynaceae","Fleshy",0.213258526727083,1.5107693114745e-05,5.69532308198122
"Acokanthera_rotundata","Apocynaceae","Fleshy",0.21325854315658,1.56543029264032e-05,5.69525656150582
"Acokanthera_oppositifolia","Apocynaceae","Fleshy",0.213258529861223,1.52799140441115e-05,5.69529498235024
"Carissa_macrocarpa","Apocynaceae","Fleshy",0.213258255215834,1.60119945752804e-05,5.69526074381155
"Carissa_carandas","Apocynaceae","Fleshy",0.213258318473532,1.63657765504086e-05,5.69520445376755
"Carissa_spinarum","Apocynaceae","Fleshy",0.213258306375519,1.59931892162938e-05,5.6952425195386
"Carissa_ovata","Apocynaceae","Fleshy",0.213258301895434,1.58232389704837e-05,5.6952704740134
"Carissa_bispinosa","Apocynaceae","Fleshy",0.213258274738692,1.65504796998089e-05,5.69519654658377
"Apocynum_androsaemifolium","Apocynaceae","Dry",0.213259500171763,9.50484427007486e-05,5.68506204923295
"Apocynum_cannabinum","Apocynaceae","Dry",0.213259518402317,9.56611349836567e-05,5.68498598797862
"Cleghornia_malaccensis","Apocynaceae","Dry",0.213259505729545,9.50780404709891e-05,5.68504839043696
"Trachelospermum_jasminoides","Apocynaceae","Dry",0.213259475690198,9.53600630476333e-05,5.68502921752275
"Trachelospermum_asiaticum","Apocynaceae","Dry",0.213259494231261,9.59828427522137e-05,5.684951987821
"Trachelospermum_axillare","Apocynaceae","Dry",0.213259477866008,9.5466485773132e-05,5.68500693241478
"Chonemorpha_fragrans","Apocynaceae","Dry",0.213259479931432,9.53012587497253e-05,5.68503574584363
"Aganosma_cymosa","Apocynaceae","Dry",0.213259488256351,9.60862979966338e-05,5.68494082177996
"Aganosma_wallichii","Apocynaceae","Dry",0.21325947176626,9.55702598238711e-05,5.68499569460703
"Aganosma_schlechteriana","Apocynaceae","Dry",0.213259470317542,9.54510417208354e-05,5.6850194559606
"Epigynum_auritum","Apocynaceae","Dry",0.213259489530763,9.60676894504156e-05,5.68494289059018
"Epigynum_cochinchinense","Apocynaceae","Dry",0.213259473188843,9.55493880152844e-05,5.68499801768318
"Epigynum_griffithianum","Apocynaceae","Dry",0.213259470212924,9.54529195180237e-05,5.68501924608623
"Epigynum_ridleyi","Apocynaceae","Dry",0.213259488846621,9.60787086513405e-05,5.68494166779597
"Ichnocarpus_frutescens","Apocynaceae","Dry",0.213259473053835,9.55516934319589e-05,5.68499776252741
"Pottsia_laxiflora","Apocynaceae","Dry",0.213259478345189,9.53247558689044e-05,5.68503324951913
"Amalocalyx_microlobus","Apocynaceae","Dry",0.213259498335649,9.59259353991591e-05,5.68495836942555
"Micrechites_polyanthus","Apocynaceae","Dry",0.213259478818133,9.5466892882641e-05,5.68500700781425
"Micrechites_rhombifolius","Apocynaceae","Dry",0.2132594767209,9.53587927279392e-05,5.68502948612394
"Micrechites_serpyllifolius","Apocynaceae","Dry",0.213259495540363,9.59767821723507e-05,5.68495278215891
"Parameria_laevigata","Apocynaceae","Dry",0.213259486500297,9.53505477735271e-05,5.68501926669371
"Urceola_lucida","Apocynaceae","Dry",0.213259481007314,9.52968757086011e-05,5.68503565480043
"Urceola_minutiflora","Apocynaceae","Dry",0.213259499480909,9.59174635926907e-05,5.68495867898189
"Urceola_micrantha","Apocynaceae","Dry",0.213259483889821,9.53911868066743e-05,5.68501475646581
"Urceola_rosea","Apocynaceae","Dry",0.21325948451891,9.52441515205449e-05,5.68504149317242
"Streptoechites_chinensis","Apocynaceae","Dry",0.213259520631716,9.55982983620142e-05,5.6849930369516
