"","Clade","ObsSt","Alpha","Sigma","Optim"
"Leucopogon_concinnus","Ericaceae","Biotic",0.0697821711404049,3.06487268388734e-05,5.66466477371319
"Leucopogon_nutans","Ericaceae","Biotic",0.0697821711404049,3.06487268388734e-05,5.66466477371319
"Leucopogon_ovalifolius","Ericaceae","Biotic",0.0697821710149869,3.06487035241234e-05,5.66466477160387
"Leucopogon_strictus","Ericaceae","Biotic",0.069782170266699,3.06485643962254e-05,5.66466475900546
"Leucopogon_leptanthus","Ericaceae","Biotic",0.0697821697767667,3.06484731566599e-05,5.6646647506484
"Leucopogon_pendulus","Ericaceae","Biotic",0.0697821697767667,3.06484731566599e-05,5.6646647506484
"Leucopogon_obtectus","Ericaceae","Biotic",0.069782171404277,3.0648775978894e-05,5.66466477827171
"Leucopogon_glaucifolius","Ericaceae","Biotic",0.069782171404277,3.0648775978894e-05,5.66466477827171
"Leucopogon_cordifolius","Ericaceae","Biotic",0.0697821712465207,3.0648746653571e-05,5.66466477561949
"Leucopogon_racemulosus","Ericaceae","Biotic",0.0697821709983851,3.06487004777353e-05,5.66466477142296
"Leucopogon_allittii","Ericaceae","Biotic",0.0697821709983851,3.06487004777353e-05,5.66466477142296
"Leucopogon_oxycedrus","Ericaceae","Biotic",0.0697821692214008,3.06483700377351e-05,5.66466474141828
"Coleanthera_myrtoides","Ericaceae","Biotic",0.069782161987369,3.06470224032109e-05,5.66466461556957
"Leucopogon_rotundifolius","Ericaceae","Biotic",0.069782161987369,3.06470224032109e-05,5.66466461556957
"Styphelia_hainesii","Ericaceae","Biotic",0.0697821618770302,3.0647001890438e-05,5.66466461371598
"Styphelia_tenuifolia","Ericaceae","Biotic",0.0697821618770302,3.0647001890438e-05,5.66466461371598
"Leucopogon_juniperinus","Ericaceae","Biotic",0.0697821486145169,3.06445300685497e-05,5.6646643778606
"Leucopogon_setiger","Ericaceae","Biotic",0.0697821486145169,3.06445300685497e-05,5.6646643778606
"Leucopogon_fraseri","Ericaceae","Biotic",0.0697821472425126,3.0644275080406e-05,5.66466435478719
"Astroloma_microdonta","Ericaceae","Biotic",0.0697821511589041,3.06450029972244e-05,5.66466441677541
"Astroloma_pallidum","Ericaceae","Biotic",0.0697821511589041,3.06450029972244e-05,5.66466441677541
"Astroloma_serratifolium","Ericaceae","Biotic",0.0697821508750707,3.06449502403254e-05,5.66466441200667
"Astroloma_ciliatum","Ericaceae","Biotic",0.0697821493497855,3.06446666451039e-05,5.66466438632406
"Astroloma_epacridis","Ericaceae","Biotic",0.0697821500620295,3.06447988658587e-05,5.66466439809822
"Astroloma_recurvum","Ericaceae","Biotic",0.0697821500620295,3.06447988658587e-05,5.66466439809822
"Astroloma_prostratum","Ericaceae","Biotic",0.069782149970487,3.06447818482782e-05,5.66466439655907
"Astroloma_humifusum","Ericaceae","Biotic",0.06978214883802,3.06445713051674e-05,5.66466437752223
"Styphelia_viridis","Ericaceae","Biotic",0.06978215280503,3.0645309459031e-05,5.66466444539216
"Styphelia_adscendens","Ericaceae","Biotic",0.06978215280503,3.0645309459031e-05,5.66466444539216
"Styphelia_exarrhena","Ericaceae","Biotic",0.0697821518030005,3.06451232200528e-05,5.66466442855329
