"","alpha","sigma.sq","theta"
"Acokanthera_oblongifolia",0.055817675154911,0.0258559527082242,9.37640250900519
"Acokanthera_rotundata",0.055817675154911,0.0258559527082242,9.37640250900519
"Acokanthera_oppositifolia",0.0558176826679879,0.0258628379164097,9.37636432620411
"Carissa_macrocarpa",0.0558201581163013,0.0277669855713965,9.36610097743515
"Carissa_carandas",0.0558193152269033,0.0272908519406526,9.3686566288776
"Carissa_spinarum",0.0558193152269033,0.0272908519406526,9.3686566288776
"Carissa_ovata",0.0558193177871903,0.0272925391165397,9.3686475492793
"Carissa_bispinosa",0.0558201824153398,0.0277743482152118,9.3660680810916
"Apocynum_androsaemifolium",0.0640178751253253,0.0608759041272447,8.83910723833537
"Apocynum_cannabinum",0.0640178751253253,0.0608759041272447,8.83910723833537
"Cleghornia_malaccensis",0.0640176626680683,0.060873431946972,8.83911267945389
"Trachelospermum_jasminoides",0.0640198492945211,0.0609068829473343,8.8389813599245
"Trachelospermum_asiaticum",0.0640198492945211,0.0609068829473343,8.8389813599245
"Trachelospermum_axillare",0.0640198464777898,0.0609068563071809,8.83898139480531
"Chonemorpha_fragrans",0.0640197252317648,0.0609056102518115,8.83898394717161
"Aganosma_cymosa",0.0640202881630425,0.0609127671222401,8.83896465585368
"Aganosma_wallichii",0.0640202881630425,0.0609127671222401,8.83896465585368
"Aganosma_schlechteriana",0.0640202713648221,0.0609126072142486,8.83896456928544
"Epigynum_auritum",0.0640202511430427,0.0609123958384247,8.83896465075582
"Epigynum_cochinchinense",0.0640202449823662,0.0609123273958635,8.83896471265071
"Epigynum_griffithianum",0.0640202738254868,0.0609126177429109,8.83896470077163
"Epigynum_ridleyi",0.0640202738254868,0.0609126177429109,8.83896470077163
"Ichnocarpus_frutescens",0.0640202506114701,0.0609123872983409,8.83896467923837
"Pottsia_laxiflora",0.0640198547722342,0.0609074741928633,8.8389766446286
"Amalocalyx_microlobus",0.0640197710998634,0.06090635522315,8.83898068901924
