"","alpha","sigma.sq","theta"
"Acokanthera_oblongifolia",0.210947655656506,0.0112248123955351,7.3490722894002
"Acokanthera_rotundata",0.210947655656506,0.0112248123955351,7.3490722894002
"Acokanthera_oppositifolia",0.210947586834567,0.0112249821383903,7.34907269560705
"Carissa_macrocarpa",0.210932825557762,0.0112651477040378,7.34911002254645
"Carissa_carandas",0.210921138039016,0.0112806241944725,7.34929148611405
"Carissa_spinarum",0.210921138039016,0.0112806241944725,7.34929148611405
"Carissa_ovata",0.210921130279259,0.0112806506065199,7.3492914827651
"Carissa_bispinosa",0.21094240870847,0.0112493912707331,7.34900083539826
"Apocynum_androsaemifolium",0.207851068894972,0.0179475957654133,7.38527306371818
"Apocynum_cannabinum",0.207851068894972,0.0179475957654133,7.38527306371818
"Cleghornia_malaccensis",0.207853155141749,0.0179420330164461,7.38522780482826
"Trachelospermum_jasminoides",0.207843953432507,0.017967086287377,7.38546501115701
"Trachelospermum_asiaticum",0.207843953432507,0.017967086287377,7.38546501115701
"Trachelospermum_axillare",0.207843991327538,0.0179669857472583,7.38546409659643
"Chonemorpha_fragrans",0.207845334918885,0.0179632551048413,7.38542627946329
"Aganosma_cymosa",0.207841131107249,0.0179746176891032,7.38552851362116
"Aganosma_wallichii",0.207841131107249,0.0179746176891032,7.38552851362116
"Aganosma_schlechteriana",0.207841342596922,0.0179740301900888,7.38552233138944
"Epigynum_auritum",0.207841572180026,0.0179734067239825,7.38551648580096
"Epigynum_cochinchinense",0.207841636620185,0.017973233818169,7.38551495191982
"Epigynum_griffithianum",0.207841287460252,0.0179741741226428,7.38552358031511
"Epigynum_ridleyi",0.207841287460252,0.0179741741226428,7.38552358031511
"Ichnocarpus_frutescens",0.207841573458561,0.0179734028732037,7.38551643391119
"Pottsia_laxiflora",0.207844720044725,0.017964910294415,7.38544090204748
"Amalocalyx_microlobus",0.207845205629261,0.0179635571015207,7.38542781668498
"Micrechites_polyanthus",0.207843638024749,0.0179677437916078,7.38546318917823
"Micrechites_rhombifolius",0.207843638024749,0.0179677437916078,7.38546318917823
"Micrechites_serpyllifolius",0.207843791552455,0.0179673403273235,7.38545988122467
"Parameria_laevigata",0.207846691627615,0.0179596950406447,7.38539355616686
"Urceola_lucida",0.207845369810348,0.0179632881768624,7.3854276733041
"Urceola_minutiflora",0.207845369810348,0.0179632881768624,7.3854276733041
"Urceola_micrantha",0.207845661376742,0.0179624950727427,7.3854197803457
"Urceola_rosea",0.207846713036865,0.0179596375411221,7.38539305790901
"Streptoechites_chinensis",0.207853104506457,0.0179421892453257,7.38523280946819
"Amphineurion_marginatum",0.207852902701872,0.0179426749269962,7.38523028175659
"Sindechites_henryi",0.207852902701872,0.0179426749269962,7.38523028175659
