"","alpha","sigma.sq","theta"
"Acokanthera_oblongifolia",0.152618502307791,0.00778237913075842,7.3498894873966
"Acokanthera_rotundata",0.152618502307791,0.00778237913075842,7.3498894873966
"Acokanthera_oppositifolia",0.152618454838881,0.00778252361324104,7.34988995938178
"Carissa_macrocarpa",0.152609912253906,0.00781789057955932,7.34995754069897
"Carissa_carandas",0.152596272397826,0.00781671384261497,7.35007768671256
"Carissa_spinarum",0.152596272397826,0.00781671384261497,7.35007768671256
"Carissa_ovata",0.152596269861182,0.00781674117543608,7.35007773186776
"Carissa_bispinosa",0.152619698591017,0.00781309281891148,7.34987801780825
"Apocynum_androsaemifolium",0.150025340329217,0.0120578998089817,7.38640214108404
"Apocynum_cannabinum",0.150025340329217,0.0120578998089817,7.38640214108404
"Cleghornia_malaccensis",0.150027474977348,0.0120552871658167,7.38635423930752
"Trachelospermum_jasminoides",0.150018380459124,0.0120656616992582,7.38662093780918
"Trachelospermum_asiaticum",0.150018380459124,0.0120656616992582,7.38662093780918
"Trachelospermum_axillare",0.150018420640172,0.0120656180264252,7.38661996916231
"Chonemorpha_fragrans",0.150019873219368,0.0120641494417693,7.38657908768417
"Aganosma_cymosa",0.150015502074177,0.0120690992142484,7.38668953522151
"Aganosma_wallichii",0.150015502074177,0.0120690992142484,7.38668953522151
"Aganosma_schlechteriana",0.150015732704645,0.0120688757612982,7.38668286370846
"Epigynum_auritum",0.150015976928544,0.0120686119775691,7.38667662077483
"Epigynum_cochinchinense",0.150016044589848,0.0120685356388849,7.38667498924548
"Epigynum_griffithianum",0.150015673918415,0.0120689409989493,7.3866841633529
"Epigynum_ridleyi",0.150015673918415,0.0120689409989493,7.3866841633529
"Ichnocarpus_frutescens",0.150015978202685,0.0120686110132365,7.38667655951458
"Pottsia_laxiflora",0.150019253537856,0.0120648764392572,7.38659531890541
"Amalocalyx_microlobus",0.150019760816168,0.0120643236691879,7.38658087466609
"Micrechites_polyanthus",0.150018124581561,0.0120662392339239,7.38661841538531
"Micrechites_rhombifolius",0.150018124581561,0.0120662392339239,7.38661841538531
"Micrechites_serpyllifolius",0.150018284637357,0.0120660503796148,7.38661494129955
"Parameria_laevigata",0.150021132071525,0.0120626499389478,7.38654026337963
"Urceola_lucida",0.150019719519134,0.0120641544838057,7.38657688382016
"Urceola_minutiflora",0.150019719519134,0.0120641544838057,7.38657688382016
"Urceola_micrantha",0.15002003427157,0.0120638355549558,7.38656839152078
"Urceola_rosea",0.150021154482685,0.0120626241223532,7.38653973160662
"Streptoechites_chinensis",0.150027480673689,0.0120552032981009,7.38636134379732
"Amphineurion_marginatum",0.150027195051557,0.0120557005898095,7.38635587493554
"Sindechites_henryi",0.150027195051557,0.0120557005898095,7.38635587493554
"Beaumontia_grandiflora",0.150025927166067,0.012057175549012,7.38638617153231
"Vallaris_solanacea",0.150025927166067,0.012057175549012,7.38638617153231
"Anodendron_oblongifolium",0.150027834124144,0.0120546970426214,7.38632694728524
"Anodendron_paniculatum",0.150027834124144,0.0120546970426214,7.38632694728524
"Papuechites_aambe",0.150030714792842,0.0120512985208521,7.38625758851019
"Asclepias_incarnata",0.149995916754504,0.0121041028071374,7.38691504401083
"Asclepias_fascicularis",0.149995916754504,0.0121041028071374,7.38691504401083
"Asclepias_angustifolia",0.149995867321211,0.0121041483404036,7.38691664222076
"Asclepias_gentryi",0.149995867321211,0.0121041483404036,7.38691664222076
"Asclepias_linearis",0.149995799698557,0.0121042217946584,7.38691840847963
"Asclepias_verticillata",0.149995799698557,0.0121042217946584,7.38691840847963
"Asclepias_perennis",0.149995796230544,0.012104225241283,7.38691851049797
"Asclepias_subverticillata",0.149995786757382,0.0121042345440768,7.38691879213756
"Asclepias_texana",0.149995786757382,0.0121042345440768,7.38691879213756
"Asclepias_mexicana",0.1499958797158,0.0121041411552698,7.38691608386494
"Asclepias_pumila",0.1499958797158,0.0121041411552698,7.38691608386494
"Asclepias_woodsoniana",0.149995896380438,0.0121041241346387,7.38691561033132
"Asclepias_barjoniifolia",0.149996603987919,0.012103325120749,7.38689762621148
"Asclepias_mellodora",0.149996603987919,0.012103325120749,7.38689762621148
"Asclepias_boliviensis",0.14999660410635,0.01210332501695,7.38689762224004
"Asclepias_candida",0.149996606097166,0.0121033233012245,7.38689755420626
