"","alpha","sigma.sq","theta"
"Acokanthera_oblongifolia",0.0759397880461333,0.0384759273382193,7.58134409189274
"Acokanthera_rotundata",0.0759397880461333,0.0384759273382193,7.58134409189274
"Acokanthera_oppositifolia",0.0759399126375766,0.0385011803434632,7.58131267282739
"Carissa_macrocarpa",0.0759745851583769,0.0460460747570602,7.57238327268723
"Carissa_carandas",0.0759651221546062,0.043834900915901,7.57445884077565
"Carissa_spinarum",0.0759651221546062,0.043834900915901,7.57445884077565
"Carissa_ovata",0.0759651525896595,0.0438412699271184,7.57445130946348
"Carissa_bispinosa",0.0759756246058337,0.0461826224543676,7.57246040103711
"Apocynum_androsaemifolium",0.080501609382427,0.088434724153008,7.03589030523154
"Apocynum_cannabinum",0.080501609382427,0.088434724153008,7.03589030523154
"Cleghornia_malaccensis",0.0804941590595987,0.0888018102071807,7.03587986973933
"Trachelospermum_jasminoides",0.0805343019340378,0.0857696977824607,7.03626731925482
"Trachelospermum_asiaticum",0.0805343019340378,0.0857696977824607,7.03626731925482
"Trachelospermum_axillare",0.0805341681909719,0.0857786360595739,7.03626722285174
"Chonemorpha_fragrans",0.0805283562045525,0.0862170591689981,7.03624380944197
"Aganosma_cymosa",0.0805447194418698,0.085143779140118,7.03631126953635
"Aganosma_wallichii",0.0805447194418698,0.085143779140118,7.03631126953635
"Aganosma_schlechteriana",0.0805437958075529,0.0852179998557731,7.0363075532571
"Epigynum_auritum",0.0805429041543393,0.0852789154339844,7.03630549370502
"Epigynum_cochinchinense",0.0805426681179384,0.0852937587602541,7.03630510848858
"Epigynum_griffithianum",0.0805439725122611,0.0852074939423234,7.03630715213375
"Epigynum_ridleyi",0.0805439725122611,0.0852074939423234,7.03630715213375
"Ichnocarpus_frutescens",0.0805428953983352,0.0852798897959691,7.03630534344854
"Pottsia_laxiflora",0.0805308404850354,0.0860491478599607,7.03626311973741
"Amalocalyx_microlobus",0.0805286481490582,0.0862065399901744,7.03624755397741
"Micrechites_polyanthus",0.0805342259458209,0.0858929543489647,7.03625388828312
"Micrechites_rhombifolius",0.0805342259458209,0.0858929543489647,7.03625388828312
"Micrechites_serpyllifolius",0.0805337231274361,0.0859197404353953,7.03625427352649
"Parameria_laevigata",0.0805225678849079,0.0867213929457713,7.03614810653376
"Urceola_lucida",0.0805277840977348,0.0863603640810007,7.03616230150215
"Urceola_minutiflora",0.0805277840977348,0.0863603640810007,7.03616230150215
"Urceola_micrantha",0.0805266153625628,0.0864484697147206,7.03615893829737
"Urceola_rosea",0.0805224886938824,0.0867260724143663,7.03614793590098
"Streptoechites_chinensis",0.0804949933841435,0.0886351638817962,7.03591775115058
"Amphineurion_marginatum",0.080494569363003,0.0888581791942827,7.0358598233441
"Sindechites_henryi",0.080494569363003,0.0888581791942827,7.0358598233441
"Beaumontia_grandiflora",0.0804990899142247,0.0886010839261115,7.03586682665405
"Vallaris_solanacea",0.0804990899142247,0.0886010839261115,7.03586682665405
"Anodendron_oblongifolium",0.0804903847440862,0.0893716259632909,7.03571155474687
"Anodendron_paniculatum",0.0804903847440862,0.0893716259632909,7.03571155474687
"Papuechites_aambe",0.0804796215223785,0.0899626212024189,7.03568060681795
"Asclepias_incarnata",0.080558568235683,0.0833671763760431,7.03654234520434
"Asclepias_fascicularis",0.080558568235683,0.0833671763760431,7.03654234520434
"Asclepias_angustifolia",0.0805587777423605,0.0833491690924302,7.03654337499522
"Asclepias_gentryi",0.0805587777423605,0.0833491690924302,7.03654337499522
"Asclepias_linearis",0.0805590147087437,0.0833327089087808,7.0365437628715
"Asclepias_verticillata",0.0805590147087437,0.0833327089087808,7.0365437628715
"Asclepias_perennis",0.080559028153773,0.0833316415651551,7.03654380850222
"Asclepias_subverticillata",0.0805590651923304,0.083328669998067,7.03654393758144
"Asclepias_texana",0.0805590651923304,0.083328669998067,7.03654393758144
"Asclepias_mexicana",0.0805587068515822,0.0833567550388721,7.03654274373232
"Asclepias_pumila",0.0805587068515822,0.0833567550388721,7.03654274373232
"Asclepias_woodsoniana",0.080558643955815,0.0833615481646112,7.03654256318626
"Asclepias_barjoniifolia",0.0805561653769767,0.0835236272038483,7.03653754620028
"Asclepias_mellodora",0.0805561653769767,0.0835236272038483,7.03653754620028
"Asclepias_boliviensis",0.0805561648666576,0.083523673379367,7.03653754351284
"Asclepias_candida",0.080556156116955,0.0835244737769775,7.03653749491883
"Asclepias_flava",0.0805561228375012,0.0835274595172783,7.03653731956358
"Asclepias_curassavica",0.0805559725056186,0.0835424090597518,7.03653617709957
"Asclepias_nivea",0.0805559725056186,0.0835424090597518,7.03653617709957
"Asclepias_pratensis",0.0805523979695861,0.0838253202855122,7.03651934451853
"Asclepias_albicans",0.0805550703036731,0.083607043162987,7.03653138073761
"Asclepias_subaphylla",0.0805550703036731,0.083607043162987,7.03653138073761
"Asclepias_masonii",0.080555095056524,0.0836046004998622,7.03653156107503
"Asclepias_subulata",0.080555095056524,0.0836046004998622,7.03653156107503
"Asclepias_leptopus",0.0805543924058043,0.0836645959551888,7.03652819619892
"Asclepias_cutleri",0.0805531075521591,0.0837704322832202,7.03652212112771
"Asclepias_mcvaughii",0.0805522732609788,0.0838343599930693,7.03651872925737
"Asclepias_cordifolia",0.0805523323188676,0.0838321635746341,7.03651830570674
