"","alpha","sigma.sq","theta"
"Acokanthera_oblongifolia",0.207348236020284,1.94935807526013e-05,5.69428749570229
"Acokanthera_rotundata",0.207348236020284,1.94935807526013e-05,5.69428749570229
"Acokanthera_oppositifolia",0.207348103434079,1.94997415401561e-05,5.69428725982668
"Carissa_macrocarpa",0.207312381348568,2.12003016834494e-05,5.69423082379648
"Carissa_carandas",0.207317213932432,2.08605887420221e-05,5.69420819082314
"Carissa_spinarum",0.207317213932432,2.08605887420221e-05,5.69420819082314
"Carissa_ovata",0.20731718419055,2.08620429848518e-05,5.69420815222842
"Carissa_bispinosa",0.207314495320864,2.1167479206056e-05,5.69425287621171
"Apocynum_androsaemifolium",0.200799634969599,0.000149291570539769,5.68532847911385
"Apocynum_cannabinum",0.200799634969599,0.000149291570539769,5.68532847911385
"Cleghornia_malaccensis",0.200803000336882,0.00014919801471042,5.68533632652454
"Trachelospermum_jasminoides",0.200787596865477,0.000149671801207533,5.68529516935706
"Trachelospermum_asiaticum",0.200787596865477,0.000149671801207533,5.68529516935706
"Trachelospermum_axillare",0.200787655452912,0.000149670010196277,5.68529532416137
"Chonemorpha_fragrans",0.200789907687478,0.000149597146272478,5.6853017370752
"Aganosma_cymosa",0.200782962783639,0.000149802338238127,5.685284148229
"Aganosma_wallichii",0.200782962783639,0.000149802338238127,5.685284148229
"Aganosma_schlechteriana",0.200783311740009,0.000149790618808652,5.68528518984593
"Epigynum_auritum",0.20078368752217,0.000149779127349873,5.68528618462109
"Epigynum_cochinchinense",0.200783792080071,0.000149776058545652,5.68528644694198
"Epigynum_griffithianum",0.200783229698648,0.000149793075878596,5.68528497913821
"Epigynum_ridleyi",0.200783229698648,0.000149793075878596,5.68528497913821
"Ichnocarpus_frutescens",0.200783690005798,0.000149779031438826,5.68528619349564
"Pottsia_laxiflora",0.200788886451045,0.000149626950668851,5.68529918982043
"Amalocalyx_microlobus",0.200789733746558,0.00014960092917947,5.6853014495481
"Micrechites_polyanthus",0.200787185173242,0.000149673024989485,5.68529536057023
"Micrechites_rhombifolius",0.200787185173242,0.000149673024989485,5.68529536057023
"Micrechites_serpyllifolius",0.200787426135832,0.000149666279754034,5.685295927696
"Parameria_laevigata",0.200792078466726,0.000149530775435427,5.68530750212507
"Urceola_lucida",0.200789933327031,0.000149597473579351,5.6853017023475
"Urceola_minutiflora",0.200789933327031,0.000149597473579351,5.6853017023475
"Urceola_micrantha",0.200790397144549,0.000149582358897445,5.68530303368083
"Urceola_rosea",0.200792113411595,0.000149529767055296,5.68530758784717
"Streptoechites_chinensis",0.200802912446727,0.000149206144348823,5.68533547256852
"Amphineurion_marginatum",0.200802596093416,0.000149204924705992,5.68533587449668
"Sindechites_henryi",0.200802596093416,0.000149204924705992,5.68533587449668
"Beaumontia_grandiflora",0.200800650244082,0.000149262219515787,5.68533098000464
"Vallaris_solanacea",0.200800650244082,0.000149262219515787,5.68533098000464
"Anodendron_oblongifolium",0.200804145041803,0.000149160034850745,5.68533974235419
"Anodendron_paniculatum",0.200804145041803,0.000149160034850745,5.68533974235419
"Papuechites_aambe",0.200808652330813,0.000149028348968241,5.68535096610886
"Asclepias_incarnata",0.200756233725545,0.000150263552108045,5.68525290523702
"Asclepias_fascicularis",0.200756233725545,0.000150263552108045,5.68525290523702
"Asclepias_angustifolia",0.200756157918415,0.000150266186248363,5.6852526688832
"Asclepias_gentryi",0.200756157918415,0.000150266186248363,5.6852526688832
"Asclepias_linearis",0.200756055864899,0.000150269309025259,5.68525239856373
"Asclepias_verticillata",0.200756055864899,0.000150269309025259,5.68525239856373
"Asclepias_perennis",0.200756050610713,0.000150269482066489,5.68525238326119
"Asclepias_subverticillata",0.200756036282653,0.000150269958025252,5.68525234107446
"Asclepias_texana",0.200756036282653,0.000150269958025252,5.68525234107446
"Asclepias_mexicana",0.200756177491647,0.000150265345987884,5.6852527480139
"Asclepias_pumila",0.200756177491647,0.000150265345987884,5.6852527480139
"Asclepias_woodsoniana",0.20075620276123,0.000150264532338838,5.68525281951227
"Asclepias_barjoniifolia",0.200757292761538,0.000150232244073254,5.68525558789639
"Asclepias_mellodora",0.200757292761538,0.000150232244073254,5.68525558789639
"Asclepias_boliviensis",0.200757292939958,0.000150232237639317,5.68525558847893
"Asclepias_candida",0.200757295955002,0.000150232127922259,5.68525559843606
"Asclepias_flava",0.200757307623746,0.000150231709451501,5.6852556362773
"Asclepias_curassavica",0.20075735402912,0.000150229890129787,5.68525580438653
"Asclepias_nivea",0.20075735402912,0.000150229890129787,5.68525580438653
"Asclepias_pratensis",0.200758715832985,0.000150185268133695,5.68525974831607
"Asclepias_albicans",0.200757716370467,0.000150218800541947,5.68525676612188
"Asclepias_subaphylla",0.200757716370467,0.000150218800541947,5.68525676612188
"Asclepias_masonii",0.200757708655504,0.000150219102044762,5.68525673829203
"Asclepias_subulata",0.200757708655504,0.000150219102044762,5.68525673829203
"Asclepias_leptopus",0.200757964202338,0.000150210257700728,5.68525753104154
"Asclepias_cutleri",0.200758440499959,0.000150194193272491,5.68525896183638
"Asclepias_mcvaughii",0.20075876588971,0.000150183721716406,5.68525988276189
"Asclepias_cordifolia",0.200758733032075,0.000150184577532633,5.68525981267623
"Asclepias_linaria",0.200758733032075,0.000150184577532633,5.68525981267623
"Asclepias_syriaca",0.200753947495408,0.000150316811206526,5.68524871928478
"Asclepias_tuberosa",0.200753947495408,0.000150316811206526,5.68524871928478
"Asclepias_michauxii",0.200753961442843,0.000150316331327896,5.68524876222626
"Asclepias_obovata",0.200753961582645,0.000150316325610616,5.68524876275984
"Asclepias_rubra",0.200753961582645,0.000150316325610616,5.68524876275984
"Asclepias_quadrifolia",0.200754117059156,0.000150311100668303,5.68524922746865
"Asclepias_exaltata",0.200754135368487,0.00015031049371536,5.68524928125647
"Asclepias_hallii",0.200754248467745,0.000150306790976113,5.68524960827075
"Asclepias_speciosa",0.200754548666436,0.000150297034103438,5.68525046836417
"Asclepias_amplexicaulis",0.20075461404572,0.000150294940618301,5.6852506521525
"Asclepias_ovalifolia",0.200754620637098,0.000150294732903394,5.68525067030346
"Asclepias_hirtella",0.200754629799027,0.000150294447836121,5.68525069511977
"Asclepias_purpurascens",0.20075453286066,0.000150297711726195,5.68525040467318
"Asclepias_variegata",0.20075453286066,0.000150297711726195,5.68525040467318
"Asclepias_lanceolata",0.200754547791594,0.000150297314002831,5.68525043756357
"Asclepias_longifolia",0.200754547791594,0.000150297314002831,5.68525043756357
"Asclepias_arenaria",0.200754612666094,0.000150296418112078,5.68525048646114
"Asclepias_emoryi",0.200754575247866,0.00015029775239754,5.68525036595658
"Asclepias_oenotheroides",0.200754575247866,0.00015029775239754,5.68525036595658
"Asclepias_nyctaginifolia",0.200754574325405,0.000150297786006711,5.68525036290526
"Asclepias_standleyi",0.200754574325405,0.000150297786006711,5.68525036290526
"Asclepias_prostrata",0.200754785259834,0.000150290224685739,5.68525104690491
"Asclepias_feayi",0.200754914449399,0.000150285732926037,5.68525145023664
"Asclepias_tomentosa",0.200754914449399,0.000150285732926037,5.68525145023664
"Asclepias_curtissii",0.200754878569732,0.00015028679810307,5.68525135885185
"Asclepias_engelmanniana",0.200754878569732,0.00015028679810307,5.68525135885185
"Asclepias_eriocarpa",0.200754909861352,0.000150285837499893,5.68525144210973
"Asclepias_solanoana",0.200754920641288,0.000150285509501656,5.68525147046432
"Asclepias_elata",0.200754660280696,0.000150294980695671,5.68525061044509
"Asclepias_mirifica",0.200754660280696,0.000150294980695671,5.68525061044509
"Asclepias_glaucescens",0.200754670943481,0.000150294594577209,5.68525064544977
"Asclepias_lynchiana",0.200754670943481,0.000150294594577209,5.68525064544977
"Asclepias_latifolia",0.200754825923939,0.0001502891281734,5.68525113805922
"Asclepias_macroura",0.200754825923939,0.0001502891281734,5.68525113805922
"Asclepias_ruthiae",0.200755067084721,0.000150282539752484,5.68525168799759
"Asclepias_uncialis",0.200755067084721,0.000150282539752484,5.68525168799759
"Asclepias_sanjuanensis",0.200755068336403,0.000150282497143084,5.68525169179906
"Asclepias_involucrata",0.200754771127769,0.000150292300105158,5.68525082412369
"Asclepias_welshii",0.200754771127769,0.000150292300105158,5.68525082412369
"Asclepias_labriformis",0.200754770250408,0.00015029233099163,5.68525082134346
"Asclepias_macrosperma",0.200754770250408,0.00015029233099163,5.68525082134346
"Asclepias_viridis",0.200754847201454,0.000150289716853297,5.68525105448871
"Asclepias_sullivantii",0.200755338543631,0.000150272916628101,5.6852525562743
"Asclepias_brevipes",0.200755790917857,0.000150262039199757,5.68525342122404
"Asclepias_stellifera",0.200755790917857,0.000150262039199757,5.68525342122404
"Asclepias_cucullata",0.200755792106671,0.000150261997916187,5.68525342492624
"Asclepias_connivens",0.200755231091923,0.000150277641258967,5.68525210953993
"Asclepias_inaequalis",0.200753920010455,0.000150318094902021,5.68524859705544
"Pachycarpus_appendiculatus",0.200753878994277,0.000150319621596572,5.68524845767419
"Pachycarpus_concolor",0.200753877838826,0.000150319664090556,5.68524845380705
"Pachycarpus_natalensis",0.200753877838826,0.000150319664090556,5.68524845380705
"Pachycarpus_goetzei",0.200753915543476,0.000150318244706202,5.68524858373822
"Schizoglossum_eustegioides",0.200753934469263,0.000150317621811424,5.6852486388265
"Cordylogyne_globosa",0.200753951065354,0.000150317085716636,5.68524868598971
"Xysmalobium_involucratum",0.200753960850917,0.000150316772693258,5.68524871345137
"Miraglossum_verticillare",0.200753823620324,0.000150321576212365,5.685248281557
"Schizoglossum_atropurpureum",0.200753813079013,0.000150321944635309,5.68524824845376
"Schizoglossum_cordifolium",0.200753813079013,0.000150321944635309,5.68524824845376
"Schizoglossum_filiforme",0.200753824665151,0.000150321540289408,5.68524828477096
"Woodia_mucronata",0.200753982064537,0.00015031609944113,5.68524877238279
"Fanninia_caloglossa",0.200753992794198,0.000150315761482632,5.68524880190059
"Pachycarpus_coronarius",0.200754008261884,0.000150315277558906,5.68524884408321
"Asclepias_pedicellata",0.20075401733841,0.000150314997481719,5.68524886839803
"Asclepias_woodii",0.20075401733841,0.000150314997481719,5.68524886839803
"Aspidonepsis_flava",0.200754034561108,0.000150314464482603,5.68524891470586
"Asclepias_viridula",0.200755266843161,0.000150276546284085,5.68525220442804
"Asclepias_erosa",0.200756041038512,0.000150253009274563,5.68525423982878
"Aspidonepsis_diploglossa",0.200756041038512,0.000150253009274563,5.68525423982878
"Asclepias_stenophylla",0.200756071720234,0.000150252148774644,5.68525431234133
"Asclepias_viridiflora",0.200756088683336,0.000150251690010583,5.68525435053356
"Asclepias_albens",0.200755745804058,0.000150262618564053,5.68525339240668
"Xysmalobium_gerrardii",0.200755495818323,0.000150271153605994,5.68525262998782
"Xysmalobium_parviflorum",0.200755495818323,0.000150271153605994,5.68525262998782
"Xysmalobium_tysonianum",0.200755539504357,0.000150269654019068,5.68525276409121
"Asclepias_crispa",0.20075575437503,0.000150262341519969,5.68525341679086
"Asclepias_meadii",0.200756081708858,0.000150251973443157,5.6852543241698
"Gomphocarpus_glaucophyllus",0.200757366860573,0.000150217608267076,5.68525717417062
"Asclepias_humistrata",0.200757363006738,0.000150217972693983,5.68525713646688
"Asclepias_scaposa",0.200757363006738,0.000150217972693983,5.68525713646688
"Asclepias_stathmostelmoides",0.200758105215266,0.000150198041933372,5.68525879202318
"Asclepias_alpestris",0.200754943186517,0.000150292501668952,5.68525066833076
"Asclepias_gibba",0.200754943186517,0.000150292501668952,5.68525066833076
"Aspidoglossum_heterophyllum",0.200755015116397,0.000150290148809207,5.68525087604146
"Gomphocarpus_abyssinicus",0.200754760092987,0.000150298560305603,5.68525013164993
"Gomphocarpus_fruticosus",0.200754760092987,0.000150298560305603,5.68525013164993
"Gomphocarpus_physocarpus",0.200754760783299,0.000150298537662643,5.68525013364995
"Stathmostelma_gigantiflorum",0.200754846438284,0.000150295706567069,5.68525038429487
"Asclepias_aurea",0.200754628619507,0.000150302445129002,5.68524979890089
"Gomphocarpus_cancellatus",0.200754628619507,0.000150302445129002,5.68524979890089
"Asclepias_multicaulis",0.200754671405033,0.000150301016454978,5.68524992573611
"Asclepias_densiflora",0.200754676402055,0.000150300853680905,5.6852499400893
"Asclepias_randii",0.200754687532554,0.000150300494747191,5.68524997165172
"Stenostelma_corniculatum",0.200754687532554,0.000150300494747191,5.68524997165172
"Asclepias_macropus",0.200754744013832,0.000150298746905987,5.68525012349026
"Asclepias_praemorsa",0.200754744013832,0.000150298746905987,5.68525012349026
"Glossostelma_carsonii",0.200755238363295,0.000150283431283539,5.68525145494948
"Pachycarpus_lineolatus",0.200755238363295,0.000150283431283539,5.68525145494948
"Gomphocarpus_tomentosus",0.200754921471148,0.000150293581219947,5.68525056400264
"Pachycarpus_dealbatus",0.200754921471148,0.000150293581219947,5.68525056400264
"Stathmostelma_diversifolium",0.200754922704571,0.000150293541640412,5.68525056747723
"Xysmalobium_undulatum",0.200754926075275,0.0001502934340582,5.6852505769074
"Xysmalobium_fraternum",0.200755026560378,0.000150290325768186,5.68525084692769
"Xysmalobium_kaessneri",0.200755026560378,0.000150290325768186,5.68525084692769
"Xysmalobium_heudelotianum",0.200755029370875,0.000150290214371337,5.68525085724578
"Asclepias_buchwaldii",0.200755778115667,0.00015026711306098,5.68525286312421
"Asclepias_pseudofimbriata",0.200756174235354,0.000150255363014633,5.68525387127633
"Stathmostelma_pauciflorum",0.200756685124981,0.000150240270393299,5.68525516470791
"Asclepias_cinerea",0.200762142924905,0.000150097079801586,5.68526696631538
"Asclepias_atroviolacea",0.200756278838505,0.000150280123047494,5.68525101349294
"Asclepias_brachystephana",0.200756224672668,0.000150281927783825,5.68525085338199
