"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0242667162757318,0.11143355470817,8.7627181078087
"Leucopogon_nutans",0.0242667162757318,0.11143355470817,8.7627181078087
"Leucopogon_ovalifolius",0.0242667572882207,0.111433391723753,8.7627239651917
"Leucopogon_strictus",0.0242669573826037,0.111432129515709,8.76274522288222
"Leucopogon_leptanthus",0.0242670655851863,0.11143111825723,8.76275129860161
"Leucopogon_pendulus",0.0242670655851863,0.11143111825723,8.76275129860161
"Leucopogon_obtectus",0.0242666621060608,0.111434119983675,8.76271591125835
"Leucopogon_glaucifolius",0.0242666621060608,0.111434119983675,8.76271591125835
"Leucopogon_cordifolius",0.0242667131345537,0.111433908080703,8.76272302347759
"Leucopogon_racemulosus",0.0242667758282852,0.111433455179695,8.76272870040362
"Leucopogon_allittii",0.0242667758282852,0.111433455179695,8.76272870040362
"Leucopogon_oxycedrus",0.0242672110030719,0.111430150830758,8.76276575508416
"Coleanthera_myrtoides",0.0242688740391584,0.111414997917242,8.76286058053049
"Leucopogon_rotundifolius",0.0242688740391584,0.111414997917242,8.76286058053049
"Styphelia_hainesii",0.024268900992473,0.111414785677565,8.76286268540804
"Styphelia_tenuifolia",0.024268900992473,0.111414785677565,8.76286268540804
"Leucopogon_juniperinus",0.0242719821932712,0.111386172083038,8.76302307321368
"Leucopogon_setiger",0.0242719821932712,0.111386172083038,8.76302307321368
"Leucopogon_fraseri",0.0242723173903285,0.111383533142389,8.7630492523286
"Astroloma_microdonta",0.0242713677112788,0.111390913770972,8.76297386612861
"Astroloma_pallidum",0.0242713677112788,0.111390913770972,8.76297386612861
"Astroloma_serratifolium",0.0242714551778784,0.111390496857579,8.76298513609482
"Astroloma_ciliatum",0.0242718419986633,0.111387673905475,8.76301912041858
"Astroloma_epacridis",0.0242716122648491,0.111388660866224,8.76298802512786
"Astroloma_recurvum",0.0242716122648491,0.111388660866224,8.76298802512786
"Astroloma_prostratum",0.0242716444446293,0.111388549796131,8.76299281982483
"Astroloma_humifusum",0.0242719568176412,0.111386581967723,8.76302486373548
"Styphelia_viridis",0.0242710240985751,0.111394546234969,8.76296197779791
"Styphelia_adscendens",0.0242710240985751,0.111394546234969,8.76296197779791
"Styphelia_exarrhena",0.0242712800339025,0.11139273098986,8.76298552454617
"Styphelia_tubiflora",0.0242712396408407,0.111392653976043,8.76297620062643
"Astroloma_glaucescens",0.0242712396408407,0.111392653976043,8.76297620062643
"Leucopogon_esquamatus",0.0242726238259666,0.111380969586117,8.76306961997914
"Acrothamnus_spathaceus",0.0242853888564706,0.111264468835167,8.763749912676
"Leucopogon_cymbiformis",0.0242826489014148,0.111288789477302,8.76358770593968
"Leucopogon_pogonocalyx",0.0242826489014148,0.111288789477302,8.76358770593968
"Leucopogon_appressus",0.0242829824621345,0.111285560356295,8.76360423559628
"Agiortia_pleiosperma",0.0242829824621345,0.111285560356295,8.76360423559628
"Leucopogon_crassifolius",0.0242832946861544,0.111282651510491,8.76361991226293
"Leucopogon_corynocarpus",0.0242832946861544,0.111282651510491,8.76361991226293
"Leucopogon_ruscifolius",0.0242855243454884,0.111263387447986,8.76375708750331
"Leucopogon_melaleucoides",0.0242823923586534,0.111290827602067,8.76356712367415
"Leucopogon_leptospermoides",0.0242823923586534,0.111290827602067,8.76356712367415
"Leucopogon_muticus",0.0242823609434947,0.111290874162675,8.76356173861498
"Leucopogon_ericoides",0.0242823609434947,0.111290874162675,8.76356173861498
"Leucopogon_crassiflorus",0.0242840278935517,0.111276914822493,8.76367490805571
"Leucopogon_conostephioides",0.0242865883799427,0.111252334581302,8.76378664744656
"Leucopogon_hispidus",0.0242865883799427,0.111252334581302,8.76378664744656
"Leucopogon_pubescens",0.0242867239259641,0.111251346956939,8.76379881380044
"Astroloma_xerophyllum",0.0242878273086532,0.111242037583426,8.76387286419112
"Styphelia_longifolia",0.0242923921805872,0.111200385302359,8.76411402727341
"Leucopogon_blepharolepis",0.0242923921805872,0.111200385302359,8.76411402727341
"Croninia_kingiana",0.0242940199212724,0.111185693166847,8.76420328477371
"Acrotriche_rigida",0.0242987592903052,0.111142652692591,8.76445091196993
"Acrotriche_divaricata",0.0242987592903052,0.111142652692591,8.76445091196993
"Acrotriche_parviflora",0.02429979388245,0.111133603342831,8.76451327595239
"Cyathodes_straminea",0.0243022227063987,0.111110688012973,8.76463040916176
"Cyathodes_glauca",0.0243022227063987,0.111110688012973,8.76463040916176
"Lissanthe_brevistyla",0.0242966772141571,0.111161781960853,8.76434281652395
"Lissanthe_rubicunda",0.0242966772141571,0.111161781960853,8.76434281652395
"Leucopogon_pluriloculatus",0.0242976652670489,0.111153082104854,8.76440154111899
"Lissanthe_strigosa",0.024297099021707,0.111157736691711,8.76436216363405
"Lissanthe_sapida",0.024297099021707,0.111157736691711,8.76436216363405
"Acrothamnus_suaveolens",0.0242965650982705,0.111162276031576,8.76432762181904
"Styphelia_laeta",0.0242965650982705,0.111162276031576,8.76432762181904
"Acrothamnus_hookeri",0.0242965650396371,0.111162350787333,8.76432878644212
"Acrothamnus_maccraei",0.0242965650396371,0.111162350787333,8.76432878644212
"Leucopogon_parviflorus",0.0242996996553684,0.1111333926971,8.7644914976769
"Agiortia_pedicellata",0.0242996996553684,0.1111333926971,8.7644914976769
"Leptecophylla_abietina",0.0242987098587122,0.111141812660546,8.76442652019034
"Leptecophylla_juniperina_subsp_oxycedrus",0.0242987098587122,0.111141812660546,8.76442652019034
"Leptecophylla_divaricata",0.0242986826761489,0.111142177091725,8.76442618417351
"Leptecophylla_tameiameiae",0.0242986826761489,0.111142177091725,8.76442618417351
"Leucopogon_lanceolatus",0.0242817759216574,0.111297567606924,8.76354774276794
"Leucopogon_margarodes",0.0242817759216574,0.111297567606924,8.76354774276794
"Leucopogon_microphyllus",0.0242823114196002,0.11129336070431,8.76358896496236
"Leucopogon_distans",0.0242826370575544,0.111290457257317,8.76360812240752
"Leucopogon_bossiaea",0.0242818945972916,0.11129686809923,8.76356040324195
"Leucopogon_virgatus",0.0242818945972916,0.11129686809923,8.76356040324195
"Leucopogon_apiculatus",0.024282254472826,0.111293826771822,8.76358492020693
"Leucopogon_cordatus",0.0242809460494839,0.111305433799803,8.76350494372324
"Leucopogon_australis",0.0242809460494839,0.111305433799803,8.76350494372324
"Leucopogon_alternifolius",0.0242811521087194,0.111303714721249,8.76351972162178
"Leucopogon_plumuliflorus",0.024281409347939,0.11130146944204,8.7635362783131
"Leucopogon_assimilis",0.0242816117897958,0.111299506109352,8.7635458771957
"Leucopogon_amplexicaulis",0.0242816117897958,0.111299506109352,8.7635458771957
"Monotoca_elliptica",0.0242904715275216,0.111217126910291,8.76399004000196
"Monotoca_ledifolia",0.0242904715275216,0.111217126910291,8.76399004000196
"Monotoca_scoparia",0.0242906306072219,0.111216184260745,8.76400763545897
"Monotoca_rotundifolia",0.0242908964709367,0.111214132813794,8.76402933582426
"Monotoca_empetrifolia",0.0242925971828108,0.111199327850228,8.76413466049051
"Montitega_dealbata",0.024293838720286,0.111188086308463,8.76420246911451
"Androstoma_verticillata",0.0242991778092484,0.11113878018812,8.76447353776161
"Androstoma_empetrifolia",0.0242991778092484,0.11113878018812,8.76447353776161
"Acrotriche_serrulata",0.0243002199327797,0.111128191307575,8.76451012475177
"Trochocarpa_laurina",0.0243002199327797,0.111128191307575,8.76451012475177
"Trochocarpa_gunnii",0.0243003744221758,0.111127419234807,8.76452873015913
"Planocarpa_nitida",0.0243007489514542,0.111124113014258,8.76455039822139
"Planocarpa_petiolaris",0.0243007489514542,0.111124113014258,8.76455039822139
"Conostephium_preissii",0.0242939869762566,0.111186020519007,8.76419628389357
"Conostephium_pendulum",0.0242939869762566,0.111186020519007,8.76419628389357
"Astroloma_pinifolium",0.0242936357135375,0.111189334493932,8.76417749339529
"Astroloma_conostephioides",0.0242936357135375,0.111189334493932,8.76417749339529
"Astroloma_baxteri",0.0242957261608958,0.111170965965346,8.76430271332705
"Styphelia_pancheri",0.0242963386170272,0.111164212411103,8.76431623601779
"Brachyloma_daphnoides",0.0242963386170272,0.111164212411103,8.76431623601779
"Brachyloma_saxicola",0.0242968977308008,0.111160204104229,8.76436344446652
"Brachyloma_concolor",0.0242967493484127,0.111159877108872,8.76432568305434
"Brachyloma_mogin",0.0242967493484127,0.111159877108872,8.76432568305434
"Brachyloma_preissii",0.0242967673922873,0.111159706434432,8.76432681039213
"Styphelia_cymbulae",0.0242967673922873,0.111159706434432,8.76432681039213
"Brachyloma_scortechinii",0.0242990821107691,0.111140293687771,8.76447930041849
"Melichrus_procumbens",0.0242964847306605,0.111163063603035,8.76432313973622
"Melichrus_urceolatus",0.0242964847306605,0.111163063603035,8.76432313973622
"Monotoca_aristata",0.0242967616066642,0.111160867361529,8.76434442359743
"Acrotriche_affinis",0.0242991261980076,0.111139893347236,8.76448158410217
"Pentachondra_involucrata",0.0243200887509029,0.11095039058349,8.76560356727195
"Pentachondra_pumila",0.0243200887509029,0.11095039058349,8.76560356727195
"Budawangia_gnidioides",0.0339769740816213,0.0200770831802181,9.2486375023215
"Epacris_impressa",0.0339769740816213,0.0200770831802181,9.2486375023215
"Rupicola_sprengelioides",0.0339727526708234,0.0201246913297422,9.2482893310917
"Epacris_lanuginosa",0.0339710863331549,0.0201431578431802,9.24815557516581
"Woollsia_pungens",0.0339709786639066,0.0201444399806675,9.2481463707912
"Lysinema_ciliatum",0.0339709548732021,0.0201448412258478,9.24814350383779
"Cosmelia_rubra",0.0339716683321972,0.0201367993969932,9.24820124615948
"Sprengelia_incarnata",0.0339716683321972,0.0201367993969932,9.24820124615948
"Andersonia_sprengelioides",0.033970961880651,0.0201446327662199,9.24814481506127
"Dracophyllum_kirkii",0.0339887604495032,0.0199381996350691,9.2497985444784
"Dracophyllum_ophioliticum",0.0339887604495032,0.0199381996350691,9.2497985444784
"Dracophyllum_patens",0.0339887005331496,0.019938946679249,9.24979209599481
"Dracophyllum_acerosum",0.0339887590647205,0.0199382155171544,9.24979839562594
"Dracophyllum_trimorphum",0.0339887590647205,0.0199382155171544,9.24979839562594
"Dracophyllum_rosmarinifolium",0.033988702971669,0.0199389154713716,9.24979235652927
"Dracophyllum_densum",0.0339879135440677,0.019948748718881,9.24970727824339
"Dracophyllum_filifolium",0.0339879135440677,0.019948748718881,9.24970727824339
"Dracophyllum_scoparium",0.033987837720929,0.0199496800188619,9.24969881894013
"Dracophyllum_longifolium",0.033987837720929,0.0199496800188619,9.24969881894013
"Dracophyllum_muscoides",0.0339878376525253,0.0199496808508597,9.24969881159022
"Dracophyllum_arboreum",0.0339878376525253,0.0199496808508597,9.24969881159022
"Dracophyllum_pronum",0.0339870965722293,0.0199587225631483,9.24962004413911
"Dracophyllum_strictum",0.0339804825392948,0.020036876074945,9.24896100247177
"Dracophyllum_townsonii",0.0339819609043129,0.0200194753210271,9.24910586290874
"Dracophyllum_latifolium",0.0339819609043129,0.0200194753210271,9.24910586290874
"Dracophyllum_fiordense",0.0339821856729068,0.0200168273059558,9.2491279265682
"Dracophyllum_menziesii",0.0339821856729068,0.0200168273059558,9.2491279265682
