"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0235604839378082,0.117488962434068,8.72085134303223
"Leucopogon_nutans",0.0235604839378082,0.117488962434068,8.72085134303223
"Leucopogon_ovalifolius",0.0235604902566369,0.117488914011504,8.72085328435715
"Leucopogon_strictus",0.0235605333913686,0.117488588558683,8.72086024226271
"Leucopogon_leptanthus",0.023560565493446,0.11748835058784,8.72086214759137
"Leucopogon_pendulus",0.023560565493446,0.11748835058784,8.72086214759137
"Leucopogon_obtectus",0.0235604662239479,0.117489094525873,8.72085067045279
"Leucopogon_glaucifolius",0.0235604662239479,0.117489094525873,8.72085067045279
"Leucopogon_cordifolius",0.0235604743172151,0.117489032915913,8.72085302416285
"Leucopogon_racemulosus",0.0235604893643078,0.117488920427362,8.72085486625228
"Leucopogon_allittii",0.0235604893643078,0.117488920427362,8.72085486625228
"Leucopogon_oxycedrus",0.0235605979161091,0.117488109188001,8.72086683907068
"Coleanthera_myrtoides",0.0235610829453687,0.117484542950629,8.72089668251878
"Leucopogon_rotundifolius",0.0235610829453687,0.117484542950629,8.72089668251878
"Styphelia_hainesii",0.0235610898395841,0.117484492194469,8.72089735493227
"Styphelia_tenuifolia",0.0235610898395841,0.117484492194469,8.72089735493227
"Leucopogon_juniperinus",0.0235620075165641,0.117477782600702,8.72094765477304
"Leucopogon_setiger",0.0235620075165641,0.117477782600702,8.72094765477304
"Leucopogon_fraseri",0.0235620932389625,0.117477151615741,8.72095601322584
"Astroloma_microdonta",0.0235618575561348,0.117478864717131,8.72093229937681
"Astroloma_pallidum",0.0235618575561348,0.117478864717131,8.72093229937681
"Astroloma_serratifolium",0.0235618728188402,0.117478749813202,8.72093601391849
"Astroloma_ciliatum",0.023561966048131,0.117478059701416,8.72094697989936
"Astroloma_epacridis",0.0235619291309398,0.117478335319484,8.72093674102855
"Astroloma_recurvum",0.0235619291309398,0.117478335319484,8.72093674102855
"Astroloma_prostratum",0.0235619336330783,0.117478301227125,8.72093833013259
"Astroloma_humifusum",0.0235620006148798,0.117477806923531,8.72094875208784
"Styphelia_viridis",0.0235617440893576,0.117479698960254,8.72092877244527
"Styphelia_adscendens",0.0235617440893576,0.117479698960254,8.72092877244527
"Styphelia_exarrhena",0.0235618043742101,0.117479250618154,8.72093639620645
"Styphelia_tubiflora",0.0235618046431557,0.117479248747901,8.72093328607089
"Astroloma_glaucescens",0.0235618046431557,0.117479248747901,8.72093328607089
"Leucopogon_esquamatus",0.0235621803442451,0.117476500407307,8.72096270346006
"Acrothamnus_spathaceus",0.0235659621421852,0.117448833901981,8.72117587903306
"Leucopogon_cymbiformis",0.0235652567870262,0.117453653320272,8.72113208974833
"Leucopogon_pogonocalyx",0.0235652567870262,0.117453653320272,8.72113208974833
"Leucopogon_appressus",0.023565358084364,0.117452909528649,8.72113702581665
"Agiortia_pleiosperma",0.023565358084364,0.117452909528649,8.72113702581665
"Leucopogon_crassifolius",0.0235654500621816,0.117452246276483,8.72114170388798
"Leucopogon_corynocarpus",0.0235654500621816,0.117452246276483,8.72114170388798
"Leucopogon_ruscifolius",0.0235660670225964,0.117447785935486,8.72118382511604
"Leucopogon_melaleucoides",0.0235651920238021,0.117454131609951,8.72112568454154
"Leucopogon_leptospermoides",0.0235651920238021,0.117454131609951,8.72112568454154
"Leucopogon_muticus",0.0235651893276036,0.117454150062414,8.72112390760777
"Leucopogon_ericoides",0.0235651893276036,0.117454150062414,8.72112390760777
"Leucopogon_crassiflorus",0.0235656383139614,0.117450876625318,8.7211590689414
"Leucopogon_conostephioides",0.0235664321747488,0.117445101800276,8.72119325327337
"Leucopogon_hispidus",0.0235664321747488,0.117445101800276,8.72119325327337
"Leucopogon_pubescens",0.0235664648294927,0.117444858029195,8.72119714811764
"Astroloma_xerophyllum",0.0235667637547062,0.11744267728182,8.721220121581
"Styphelia_longifolia",0.0235681124259864,0.117432840467488,8.7212948649184
"Leucopogon_blepharolepis",0.0235681124259864,0.117432840467488,8.7212948649184
"Croninia_kingiana",0.0235685775520604,0.11742949498209,8.72132169093777
"Acrotriche_rigida",0.0235701878219125,0.117416857295592,8.72141618340928
"Acrotriche_divaricata",0.0235701878219125,0.117416857295592,8.72141618340928
"Acrotriche_parviflora",0.0235704756486712,0.117414779245184,8.7214351778034
"Cyathodes_straminea",0.0235711995091648,0.117409556886403,8.72146996500642
"Cyathodes_glauca",0.0235711995091648,0.117409556886403,8.72146996500642
"Lissanthe_brevistyla",0.0235695742711392,0.117421311286597,8.7213831693139
"Lissanthe_rubicunda",0.0235695742711392,0.117421311286597,8.7213831693139
"Leucopogon_pluriloculatus",0.0235698506901707,0.117419314908342,8.72140102478556
"Lissanthe_strigosa",0.0235697018512344,0.117420390135526,8.72138888054551
"Lissanthe_sapida",0.0235697018512344,0.117420390135526,8.72138888054551
"Acrothamnus_suaveolens",0.0235695595243123,0.11742140821192,8.7213784921292
"Styphelia_laeta",0.0235695595243123,0.11742140821192,8.7213784921292
"Acrothamnus_hookeri",0.0235695575406531,0.117421422592065,8.72137889303948
"Acrothamnus_maccraei",0.0235695575406531,0.117421422592065,8.72137889303948
"Leucopogon_parviflorus",0.0235704747413953,0.117414793810923,8.72142773526714
"Agiortia_pedicellata",0.0235704747413953,0.117414793810923,8.72142773526714
"Leptecophylla_abietina",0.0235702066202564,0.117416739153087,8.72140779055631
"Leptecophylla_juniperina_subsp_oxycedrus",0.0235702066202564,0.117416739153087,8.72140779055631
"Leptecophylla_divaricata",0.0235701955774436,0.117416825317502,8.7214077175838
"Leptecophylla_tameiameiae",0.0235701955774436,0.117416825317502,8.7214077175838
"Leucopogon_lanceolatus",0.0235651544296682,0.117453681135774,8.72113448506513
"Leucopogon_margarodes",0.0235651544296682,0.117453681135774,8.72113448506513
"Leucopogon_microphyllus",0.0235652909625665,0.117452682999871,8.72114743916118
"Leucopogon_distans",0.0235653832214999,0.117452012613508,8.72115328173814
"Leucopogon_bossiaea",0.0235651786995949,0.117453503688757,8.72113858165968
