"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0293117721742206,0.00596714495856453,7.27509129130294
"Leucopogon_nutans",0.0293117721742206,0.00596714495856453,7.27509129130294
"Leucopogon_ovalifolius",0.029311774517045,0.00596714665727829,7.2750900638693
"Leucopogon_strictus",0.0293117889383464,0.00596715269523884,7.27508592653164
"Leucopogon_leptanthus",0.0293117986825819,0.00596715442290874,7.2750850364
"Leucopogon_pendulus",0.0293117986825819,0.00596715442290874,7.2750850364
"Leucopogon_obtectus",0.0293117668618781,0.00596714436355404,7.27509151474998
"Leucopogon_glaucifolius",0.0293117668618781,0.00596714436355404,7.27509151474998
"Leucopogon_cordifolius",0.0293117698141483,0.00596714643360154,7.27509002886151
"Leucopogon_racemulosus",0.0293117746494559,0.00596714805925471,7.27508897376089
"Leucopogon_allittii",0.0293117746494559,0.00596714805925471,7.27508897376089
"Leucopogon_oxycedrus",0.0293118093380054,0.00596715852851516,7.27508225890428
"Coleanthera_myrtoides",0.0293119538379875,0.00596718774491735,7.27506780993617
"Leucopogon_rotundifolius",0.0293119538379875,0.00596718774491735,7.27506780993617
"Styphelia_hainesii",0.0293119559884257,0.00596718835550143,7.27506743523977
"Styphelia_tenuifolia",0.0293119559884257,0.00596718835550143,7.27506743523977
"Leucopogon_juniperinus",0.0293122232433719,0.00596724151386336,7.27504396765671
"Leucopogon_setiger",0.0293122232433719,0.00596724151386336,7.27504396765671
"Leucopogon_fraseri",0.0293122499803313,0.00596724910996155,7.2750393069633
"Astroloma_microdonta",0.0293121753731416,0.00596722818174979,7.27505290719177
"Astroloma_pallidum",0.0293121753731416,0.00596722818174979,7.27505290719177
"Astroloma_serratifolium",0.0293121807262265,0.00596723147153276,7.27505058560524
"Astroloma_ciliatum",0.0293122103470581,0.00596724132532372,7.27504428085791
"Astroloma_epacridis",0.0293121971262394,0.00596723222322836,7.27505077849026
"Astroloma_recurvum",0.0293121971262394,0.00596723222322836,7.27505077849026
"Astroloma_prostratum",0.0293121988155324,0.00596723363893995,7.27504975903368
"Astroloma_humifusum",0.0293122205532565,0.00596724309933555,7.27504347689752
"Styphelia_viridis",0.0293121422025263,0.00596722456473624,7.27505392879782
"Styphelia_adscendens",0.0293121422025263,0.00596722456473624,7.27505392879782
"Styphelia_exarrhena",0.0293121616122266,0.00596723131642637,7.27504951072634
"Styphelia_tubiflora",0.0293121609472013,0.0059672285401581,7.27505163677677
"Astroloma_glaucescens",0.0293121609472013,0.0059672285401581,7.27505163677677
"Leucopogon_esquamatus",0.0293122749947944,0.00596725651402434,7.27503589891129
"Acrothamnus_spathaceus",0.0293133617901391,0.00596749537358194,7.27493363924552
"Leucopogon_cymbiformis",0.0293131359021661,0.00596746170058607,7.27496028746253
"Leucopogon_pogonocalyx",0.0293131359021661,0.00596746170058607,7.27496028746253
"Leucopogon_appressus",0.029313166354436,0.00596746636594014,7.27495805375666
"Agiortia_pleiosperma",0.029313166354436,0.00596746636594014,7.27495805375666
"Leucopogon_crassifolius",0.029313193155363,0.00596747143439244,7.27495576805548
"Leucopogon_corynocarpus",0.029313193155363,0.00596747143439244,7.27495576805548
"Leucopogon_ruscifolius",0.0293133758538219,0.00596751475497719,7.27493320756669
"Leucopogon_melaleucoides",0.0293131148872538,0.00596745635833404,7.27496393371259
"Leucopogon_leptospermoides",0.0293131148872538,0.00596745635833404,7.27496393371259
"Leucopogon_muticus",0.0293131138040907,0.00596745467508924,7.27496513222905
"Leucopogon_ericoides",0.0293131138040907,0.00596745467508924,7.27496513222905
"Leucopogon_crassiflorus",0.0293132498071025,0.00596748878794745,7.27494591136868
"Leucopogon_conostephioides",0.0293134722975731,0.00596753197183892,7.27493116582989
"Leucopogon_hispidus",0.0293134722975731,0.00596753197183892,7.27493116582989
"Leucopogon_pubescens",0.0293134828220105,0.00596753541538082,7.27492891377541
"Astroloma_xerophyllum",0.0293135734270666,0.00596755762139537,7.27491642835867
"Styphelia_longifolia",0.0293139604544815,0.00596764229338328,7.27488013700263
"Leucopogon_blepharolepis",0.0293139604544815,0.00596764229338328,7.27488013700263
"Croninia_kingiana",0.0293140970860242,0.00596767054289538,7.27486630476986
"Acrotriche_rigida",0.0293145098738789,0.00596780976804107,7.27483150657217
"Acrotriche_divaricata",0.0293145098738789,0.00596780976804107,7.27483150657217
"Acrotriche_parviflora",0.0293145955410874,0.00596782899041824,7.27482138942225
"Cyathodes_straminea",0.0293148057116781,0.00596786723315928,7.27480480160165
"Cyathodes_glauca",0.0293148057116781,0.00596786723315928,7.27480480160165
"Lissanthe_brevistyla",0.0293143327770635,0.00596777295957331,7.27484762807627
"Lissanthe_rubicunda",0.0293143327770635,0.00596777295957331,7.27484762807627
"Leucopogon_pluriloculatus",0.0293144150040986,0.00596779103989785,7.2748381836558
"Lissanthe_strigosa",0.0293143697312275,0.00596777931586101,7.27484500497443
"Lissanthe_sapida",0.0293143697312275,0.00596777931586101,7.27484500497443
"Acrothamnus_suaveolens",0.0293143263745033,0.00596776942991306,7.2748508308357
"Styphelia_laeta",0.0293143263745033,0.00596776942991306,7.2748508308357
"Acrothamnus_hookeri",0.0293143258958378,0.00596776978378655,7.2748505361907
"Acrothamnus_maccraei",0.0293143258958378,0.00596776978378655,7.2748505361907
"Leucopogon_parviflorus",0.0293145943136155,0.00596782179434758,7.27482637314452
"Agiortia_pedicellata",0.0293145943136155,0.00596782179434758,7.27482637314452
"Leptecophylla_abietina",0.029314512965294,0.0059678026079514,7.27483726670725
"Leptecophylla_juniperina_subsp_oxycedrus",0.029314512965294,0.0059678026079514,7.27483726670725
"Leptecophylla_divaricata",0.0293145094661939,0.00596780273149405,7.27483713865017
"Leptecophylla_tameiameiae",0.0293145094661939,0.00596780273149405,7.27483713865017
"Leucopogon_lanceolatus",0.0293130658401442,0.00596749090756002,7.27496731063241
"Leucopogon_margarodes",0.0293130658401442,0.00596749090756002,7.27496731063241
"Leucopogon_microphyllus",0.0293131080207248,0.00596750309973458,7.27495994622715
"Leucopogon_distans",0.0293131355796756,0.00596750891906924,7.27495691826951
"Leucopogon_bossiaea",0.0293130736301908,0.00596749477394153,7.27496477744546
"Leucopogon_virgatus",0.0293130736301908,0.00596749477394153,7.27496477744546
"Leucopogon_apiculatus",0.029313103458935,0.00596750193602481,7.27496065050221
"Leucopogon_cordatus",0.029312991707953,0.00596747808157013,7.27497336964384
"Leucopogon_australis",0.029312991707953,0.00596747808157013,7.27497336964384
"Leucopogon_alternifolius",0.0293130088932298,0.00596748227938493,7.27497085623852
"Leucopogon_plumuliflorus",0.0293130307828972,0.00596748710218844,7.27496816767482
"Leucopogon_assimilis",0.0293130491006409,0.00596749015630721,7.27496689569776
"Leucopogon_amplexicaulis",0.0293130491006409,0.00596749015630721,7.27496689569776
"Monotoca_elliptica",0.029313811056398,0.00596764975980084,7.27490267629566
"Monotoca_ledifolia",0.029313811056398,0.00596764975980084,7.27490267629566
"Monotoca_scoparia",0.0293138219727827,0.00596765484746743,7.27489918716151
"Monotoca_rotundifolia",0.0293138431160271,0.00596766108022992,7.27489528270078
"Monotoca_empetrifolia",0.0293139846552945,0.00596769326208463,7.27487811408939
"Montitega_dealbata",0.0293140893725904,0.00596771495817417,7.27486767384309
"Androstoma_verticillata",0.0293145445714982,0.00596781083708754,7.2748278201198
"Androstoma_empetrifolia",0.0293145445714982,0.00596781083708754,7.2748278201198
"Acrotriche_serrulata",0.0293146406414888,0.00596783064770252,7.27482436456362
"Trochocarpa_laurina",0.0293146406414888,0.00596783064770252,7.27482436456362
"Trochocarpa_gunnii",0.0293146498568242,0.00596783629572416,7.27482052327932
"Planocarpa_nitida",0.0293146808122497,0.00596784321810907,7.27481705284649
"Planocarpa_petiolaris",0.0293146808122497,0.00596784321810907,7.27481705284649
"Conostephium_preissii",0.0293141084475277,0.0059677262473784,7.27487040855096
"Conostephium_pendulum",0.0293141084475277,0.0059677262473784,7.27487040855096
"Astroloma_pinifolium",0.0293140769177088,0.00596772092518481,7.27487310839158
"Astroloma_conostephioides",0.0293140769177088,0.00596772092518481,7.27487310839158
"Astroloma_baxteri",0.0293142509738213,0.00596775964688442,7.27485292911744
"Styphelia_pancheri",0.0293143100319054,0.00596776554154519,7.27485277187954
"Brachyloma_daphnoides",0.0293143100319054,0.00596776554154519,7.27485277187954
"Brachyloma_saxicola",0.029314350453922,0.00596778013641649,7.27484385539825
"Brachyloma_concolor",0.0293143471263614,0.00596777186035646,7.2748523955001
"Brachyloma_mogin",0.0293143471263614,0.00596777186035646,7.2748523955001
"Brachyloma_preissii",0.0293143488568179,0.00596777212705451,7.2748522317464
"Styphelia_cymbulae",0.0293143488568179,0.00596777212705451,7.2748522317464
"Brachyloma_scortechinii",0.0293145351699465,0.0059678193678625,7.27482631474911
"Melichrus_procumbens",0.0293143196347222,0.00596777170447423,7.27485159724767
"Melichrus_urceolatus",0.0293143196347222,0.00596777170447423,7.27485159724767
