"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0284625284386386,0.005387283680953,7.27369549171636
"Leucopogon_nutans",0.0284625284386386,0.005387283680953,7.27369549171636
"Leucopogon_ovalifolius",0.0284625304207027,0.00538731821547315,7.27369472799758
"Leucopogon_strictus",0.0284625420054404,0.00538741961616372,7.27369166744759
"Leucopogon_leptanthus",0.0284625494555881,0.00538742561498714,7.27369053348881
"Leucopogon_pendulus",0.0284625494555881,0.00538742561498714,7.27369053348881
"Leucopogon_obtectus",0.0284625244122256,0.00538728873592707,7.27369598924651
"Leucopogon_glaucifolius",0.0284625244122256,0.00538728873592707,7.27369598924651
"Leucopogon_cordifolius",0.0284625268944994,0.00538733020775842,7.27369505812901
"Leucopogon_racemulosus",0.0284625307082538,0.00538735323457336,7.27369419720718
"Leucopogon_allittii",0.0284625307082538,0.00538735323457336,7.27369419720718
"Leucopogon_oxycedrus",0.0284625579351311,0.00538749101423232,7.27368841667824
"Coleanthera_myrtoides",0.028462667988063,0.00538761086486746,7.27367135000233
"Leucopogon_rotundifolius",0.028462667988063,0.00538761086486746,7.27367135000233
"Styphelia_hainesii",0.0284626696587987,0.00538761790690159,7.27367101597766
"Styphelia_tenuifolia",0.0284626696587987,0.00538761790690159,7.27367101597766
"Leucopogon_juniperinus",0.0284628716819454,0.00538771983445336,7.27364413893413
"Leucopogon_setiger",0.0284628716819454,0.00538771983445336,7.27364413893413
"Leucopogon_fraseri",0.0284628924526495,0.00538780744269874,7.27364032335787
"Astroloma_microdonta",0.0284628344090791,0.00538754453312881,7.27365127610056
"Astroloma_pallidum",0.0284628344090791,0.00538754453312881,7.27365127610056
"Astroloma_serratifolium",0.028462838832476,0.0053876074534502,7.27364984132841
"Astroloma_ciliatum",0.0284628620824151,0.00538774211322945,7.27364505432392
"Astroloma_epacridis",0.0284628510515945,0.00538756233540197,7.27364895152173
"Astroloma_recurvum",0.0284628510515945,0.00538756233540197,7.27364895152173
"Astroloma_prostratum",0.0284628524962984,0.00538759147569734,7.27364836303491
"Astroloma_humifusum",0.0284628698074003,0.00538774337952102,7.27364408196915
"Styphelia_viridis",0.0284628095150406,0.00538759094359394,7.2736537113412
"Styphelia_adscendens",0.0284628095150406,0.00538759094359394,7.2736537113412
"Styphelia_exarrhena",0.0284628248318109,0.00538768898045542,7.27365042185896
"Styphelia_tubiflora",0.0284628239725748,0.00538762171242324,7.2736514709857
"Astroloma_glaucescens",0.0284628239725748,0.00538762171242324,7.2736514709857
"Leucopogon_esquamatus",0.0284629115442902,0.00538785624870069,7.27363759199761
"Acrothamnus_spathaceus",0.0284637318516394,0.00538849066327616,7.27354140187383
"Leucopogon_cymbiformis",0.0284635595903391,0.00538817363125146,7.27356490540237
"Leucopogon_pogonocalyx",0.0284635595903391,0.00538817363125146,7.27356490540237
"Leucopogon_appressus",0.028463582711986,0.00538817494017128,7.27356235741867
"Agiortia_pleiosperma",0.028463582711986,0.00538817494017128,7.27356235741867
"Leucopogon_crassifolius",0.0284636028994385,0.00538818313173865,7.27356007299101
"Leucopogon_corynocarpus",0.0284636028994385,0.00538818313173865,7.27356007299101
"Leucopogon_ruscifolius",0.0284637418722821,0.00538846739738004,7.27354112667468
"Leucopogon_melaleucoides",0.0284635431372214,0.00538810269396891,7.27356772824223
"Leucopogon_leptospermoides",0.0284635431372214,0.00538810269396891,7.27356772824223
"Leucopogon_muticus",0.0284635421509053,0.00538806682357401,7.27356833395522
"Leucopogon_ericoides",0.0284635421509053,0.00538806682357401,7.27356833395522
"Leucopogon_crassiflorus",0.0284636465208478,0.00538836473371706,7.27355282954814
"Leucopogon_conostephioides",0.0284638126998429,0.00538828518413214,7.27353634300109
"Leucopogon_hispidus",0.0284638126998429,0.00538828518413214,7.27353634300109
"Leucopogon_pubescens",0.0284638209952268,0.0053883343684595,7.27353473800866
"Astroloma_xerophyllum",0.0284638905041816,0.00538852299570457,7.2735245426778
"Styphelia_longifolia",0.0284641824212275,0.0053887442470779,7.27349029277336
"Leucopogon_blepharolepis",0.0284641824212275,0.0053887442470779,7.27349029277336
"Croninia_kingiana",0.0284642856964961,0.00538885645116569,7.27347820767444
"Acrotriche_rigida",0.0284645951353763,0.00538896110354834,7.27344650754456
"Acrotriche_divaricata",0.0284645951353763,0.00538896110354834,7.27344650754456
"Acrotriche_parviflora",0.0284646602782856,0.00538908043551284,7.27343823508939
"Cyathodes_straminea",0.028464818362041,0.00538910092153054,7.2734218864147
"Cyathodes_glauca",0.028464818362041,0.00538910092153054,7.2734218864147
"Lissanthe_brevistyla",0.0284644616083031,0.00538887533606394,7.27346121037917
"Lissanthe_rubicunda",0.0284644616083031,0.00538887533606394,7.27346121037917
"Leucopogon_pluriloculatus",0.0284645241009135,0.00538898142792593,7.27345338777132
"Lissanthe_strigosa",0.0284644893550735,0.00538886955975157,7.27345846810879
"Lissanthe_sapida",0.0284644893550735,0.00538886955975157,7.27345846810879
"Acrothamnus_suaveolens",0.028464456212314,0.00538878582633803,7.27346300618149
"Styphelia_laeta",0.028464456212314,0.00538878582633803,7.27346300618149
"Acrothamnus_hookeri",0.0284644559065414,0.00538879650187538,7.27346289198259
"Acrothamnus_maccraei",0.0284644559065414,0.00538879650187538,7.27346289198259
"Leucopogon_parviflorus",0.028464658548761,0.00538892276310191,7.2734405456054
"Agiortia_pedicellata",0.028464658548761,0.00538892276310191,7.2734405456054
"Leptecophylla_abietina",0.028464596228341,0.00538876450405635,7.27344908425949
"Leptecophylla_juniperina_subsp_oxycedrus",0.028464596228341,0.00538876450405635,7.27344908425949
"Leptecophylla_divaricata",0.0284645935578481,0.0053887756007969,7.27344921422172
"Leptecophylla_tameiameiae",0.0284645935578481,0.0053887756007969,7.27344921422172
"Leucopogon_lanceolatus",0.0284635053369017,0.00538811060500897,7.27357273885856
"Leucopogon_margarodes",0.0284635053369017,0.00538811060500897,7.27357273885856
"Leucopogon_microphyllus",0.0284635380064235,0.00538824940727984,7.27356726025984
"Leucopogon_distans",0.0284635589801269,0.00538828130402474,7.27356455324236
"Leucopogon_bossiaea",0.0284635115524003,0.00538817395023752,7.27357118336086
"Leucopogon_virgatus",0.0284635115524003,0.00538817395023752,7.27357118336086
"Leucopogon_apiculatus",0.0284635344946102,0.00538823748516899,7.27356780721383
"Leucopogon_cordatus",0.0284634490638426,0.00538808936208104,7.27357911427475
"Leucopogon_australis",0.0284634490638426,0.00538808936208104,7.27357911427475
"Leucopogon_alternifolius",0.0284634623590993,0.00538813119290115,7.27357707860124
"Leucopogon_plumuliflorus",0.0284634791602023,0.00538816713529027,7.27357475243091
"Leucopogon_assimilis",0.0284634930087973,0.00538816480485634,7.27357329626301
"Leucopogon_amplexicaulis",0.0284634930087973,0.00538816480485634,7.27357329626301
"Monotoca_elliptica",0.0284640664976007,0.00538836829168739,7.27350933946265
"Monotoca_ledifolia",0.0284640664976007,0.00538836829168739,7.27350933946265
