"","alpha","sigma.sq","theta"
"Leucopogon_concinnus",0.0699757648105805,2.61463745317698e-05,5.66437903250287
"Leucopogon_nutans",0.0699757648105805,2.61463745317698e-05,5.66437903250287
"Leucopogon_ovalifolius",0.0699757495760821,2.61464245054985e-05,5.66437901602329
"Leucopogon_strictus",0.0699756585890039,2.61467342911673e-05,5.66437892252628
"Leucopogon_leptanthus",0.0699755984602316,2.61469463752969e-05,5.66437886397376
"Leucopogon_pendulus",0.0699755984602316,2.61469463752969e-05,5.66437886397376
"Leucopogon_obtectus",0.0699757974071221,2.61462589503368e-05,5.66437906383002
"Leucopogon_glaucifolius",0.0699757974071221,2.61462589503368e-05,5.66437906383002
"Leucopogon_cordifolius",0.0699757782486463,2.61463220980074e-05,5.66437904321872
"Leucopogon_racemulosus",0.0699757479637037,2.6146426615639e-05,5.66437901269522
"Leucopogon_allittii",0.0699757479637037,2.6146426615639e-05,5.66437901269522
"Leucopogon_oxycedrus",0.0699755315183915,2.61471758364645e-05,5.66437879554593
"Coleanthera_myrtoides",0.0699746343829091,2.61503489743465e-05,5.66437792776575
"Leucopogon_rotundifolius",0.0699746343829091,2.61503489743465e-05,5.66437792776575
"Styphelia_hainesii",0.0699746209836048,2.61503957164474e-05,5.66437791442661
"Styphelia_tenuifolia",0.0699746209836048,2.61503957164474e-05,5.66437791442661
"Leucopogon_juniperinus",0.0699729562490196,2.61563134108226e-05,5.66437632277592
"Leucopogon_setiger",0.0699729562490196,2.61563134108226e-05,5.66437632277592
"Leucopogon_fraseri",0.0699727896159235,2.61568946355129e-05,5.66437615692362
"Astroloma_microdonta",0.0699732507756606,2.61552848433402e-05,5.66437662290375
"Astroloma_pallidum",0.0699732507756606,2.61552848433402e-05,5.66437662290375
"Astroloma_serratifolium",0.0699732163181004,2.61553998877429e-05,5.66437658642771
"Astroloma_ciliatum",0.0699730308257379,2.61560422932915e-05,5.66437639997487
"Astroloma_epacridis",0.0699731164270179,2.615575841667e-05,5.66437649186035
"Astroloma_recurvum",0.0699731164270179,2.615575841667e-05,5.66437649186035
"Astroloma_prostratum",0.0699731053087246,2.61557946433161e-05,5.66437647969463
"Astroloma_humifusum",0.0699729677239574,2.61562665280588e-05,5.66437633916881
"Styphelia_viridis",0.0699734546847263,2.61545567443972e-05,5.66437681698871
"Styphelia_adscendens",0.0699734546847263,2.61545567443972e-05,5.66437681698871
"Styphelia_exarrhena",0.0699733330210678,2.61549763766631e-05,5.66437669401331
"Styphelia_tubiflora",0.0699733387104137,2.61549631074971e-05,5.66437670283244
"Astroloma_glaucescens",0.0699733387104137,2.61549631074971e-05,5.66437670283244
"Leucopogon_esquamatus",0.0699726295344356,2.61574579636603e-05,5.664376006629
"Acrothamnus_spathaceus",0.0699658141624748,2.61816980552876e-05,5.66436951506946
"Leucopogon_cymbiformis",0.0699671549014169,2.61769281379665e-05,5.66437093867739
"Leucopogon_pogonocalyx",0.0699671549014169,2.61769281379665e-05,5.66437093867739
"Leucopogon_appressus",0.0699669676270284,2.61775917337818e-05,5.66437075690665
"Agiortia_pleiosperma",0.0699669676270284,2.61775917337818e-05,5.66437075690665
"Leucopogon_crassifolius",0.0699668015699439,2.61781838887074e-05,5.66437059713424
"Leucopogon_corynocarpus",0.0699668015699439,2.61781838887074e-05,5.66437059713424
"Leucopogon_ruscifolius",0.0699656645767031,2.61822121157245e-05,5.66436946581758
"Leucopogon_melaleucoides",0.069967283937218,2.61764796077439e-05,5.66437107003352
"Leucopogon_leptospermoides",0.069967283937218,2.61764796077439e-05,5.66437107003352
"Leucopogon_muticus",0.0699672915960641,2.61764555490133e-05,5.66437107897842
"Leucopogon_ericoides",0.0699672915960641,2.61764555490133e-05,5.66437107897842
"Leucopogon_crassiflorus",0.0699664455962241,2.61794336567994e-05,5.6643702471645
"Leucopogon_conostephioides",0.0699650511348415,2.61844315156725e-05,5.66436890023407
"Leucopogon_hispidus",0.0699650511348415,2.61844315156725e-05,5.66436890023407
"Leucopogon_pubescens",0.0699649853244484,2.61846586245948e-05,5.66436883173948
"Astroloma_xerophyllum",0.0699644221857981,2.61866412975168e-05,5.66436826084379
"Styphelia_longifolia",0.0699619994637383,2.61952715102961e-05,5.66436588500437
"Leucopogon_blepharolepis",0.0699619994637383,2.61952715102961e-05,5.66436588500437
"Croninia_kingiana",0.069961152538965,2.61982848317718e-05,5.66436503785044
