"","alpha","sigma.sq","theta"
"Dactylocladus_stenostachys",0.114200745573895,0.035794443332777,9.39199789382686
"Axinandra_coriacea",0.114204846338738,0.035748352917308,9.39105529910112
"Axinandra_zeylanica",0.114204846338738,0.035748352917308,9.39105529910112
"Crypteronia_paniculata",0.114204129684359,0.0357579798405775,9.39116852305377
"Crypteronia_borneensis",0.114206887808888,0.0357249397014017,9.39062136551672
"Crypteronia_glabriflora",0.114207343256488,0.0357193597734838,9.39053250305811
"Crypteronia_griffithii",0.114207343256488,0.0357193597734838,9.39053250305811
"Alzatea_verticillata",0.114197999661813,0.0358128861349571,9.39302812065361
"Olinia_emarginata",0.115219982166018,0.0408953741906081,9.54225582840223
"Olinia_vanguerioides",0.115219982166018,0.0408953741906081,9.54225582840223
"Olinia_radiata",0.115219643969398,0.0408937775675663,9.54231825710252
"Olinia_capensis",0.115221246240195,0.0409012558752789,9.54202400807451
"Olinia_cymosa",0.115221313013682,0.0409015608073479,9.54201194428957
"Olinia_ventosa",0.115221313013682,0.0409015608073479,9.54201194428957
"Rhynchocalyx_lawsonioides",0.114197454317894,0.0358175503452316,9.39328207821472
"Glischrocolla_formosa",0.114211402208021,0.0356569895915527,9.39003900665029
"Endonema_lateriflora",0.114211799487874,0.0356519023393813,9.38996218215994
"Endonema_retzioides",0.114211799487874,0.0356519023393813,9.38996218215994
"Brachysiphon_acutus",0.114214194761021,0.035615804973379,9.3894413905475
"Stylapterus_micranthus",0.114214194761021,0.035615804973379,9.3894413905475
"Saltera_sarcocolla",0.114215025457689,0.0356024305422682,9.38927894803804
"Sonderothamnus_petraeus",0.114215073293184,0.0356016527504406,9.38926969910549
"Sonderothamnus_speciosus",0.114215073293184,0.0356016527504406,9.38926969910549
"Brachysiphon_mundii",0.114214137740711,0.0356164909128078,9.38944978245213
"Brachysiphon_rupestris",0.114214162092397,0.0356161115283353,9.38944482642995
"Stylapterus_fruticulosus",0.114215578088619,0.0355922750810267,9.38916034029316
"Brachysiphon_fucatus",0.114215693659815,0.0355902376792148,9.38913802885197
"Stylapterus_ericoides",0.114215693659815,0.0355902376792148,9.38913802885197
"Brachysiphon_microphyllus",0.114215515768461,0.0355933834282291,9.38917248251406
"Penaea_mucronata",0.114216172806961,0.0355815579889533,9.38904517725184
"Penaea_acutifolia",0.114216209628645,0.0355808413739469,9.38903807849212
"Penaea_dahlgrenii",0.114216209628645,0.0355808413739469,9.38903807849212
"Spathandra_blakeoides",0.11534729317334,0.0410780127302561,9.52278365593197
"Votomita_guianensis",0.115347875471464,0.0410764238237918,9.52270290504629
"Mouriri_crassifolia",0.11534920510811,0.0410729386928332,9.52249978108437
"Mouriri_dumetosa",0.11534920510811,0.0410729386928332,9.52249978108437
"Mouriri_collocarpa",0.11534874844955,0.041074203347955,9.52257394363051
"Mouriri_sagotiana",0.11534874844955,0.041074203347955,9.52257394363051
"Mouriri_gleasoniana",0.115348574149143,0.0410746676425483,9.52260158655893
"Mouriri_helleri",0.115351914286744,0.0410645934554628,9.52205611829055
"Mouriri_guianensis",0.115352018189199,0.0410642418759917,9.522038731745
"Mouriri_cyphocarpa",0.115352461673242,0.041062750375644,9.52196387842554
"Mouriri_myrtilloides",0.115352461673242,0.041062750375644,9.52196387842554
"Lijndenia_barteri",0.115347317050779,0.0410776837668504,9.52277864481437
"Lijndenia_procteri",0.115349757883506,0.0410713895260826,9.52237948941232
"Lijndenia_brenanii",0.115349786499013,0.0410713052286782,9.52237452161773
"Memecylon_megacarpum",0.115349786499013,0.0410713052286782,9.52237452161773
"Lijndenia_laurina",0.11534864105946,0.0410745394941724,9.5225832552752
"Lijndenia_danguyana",0.11534959772288,0.0410719029878251,9.52242567076776
"Lijndenia_roborea",0.11534959772288,0.0410719029878251,9.52242567076776
"Warneckea_sansibarica",0.115349620357134,0.0410715767369383,9.52240756494134
"Warneckea_melindensis",0.115349620357134,0.0410715767369383,9.52240756494134
"Warneckea_jasminoides",0.115351943154195,0.0410632817507093,9.52208970026349
"Warneckea_wildeana",0.115354296460342,0.0410534017928416,9.52170825776408
"Warneckea_sapinii",0.115354908047866,0.0410501996899225,9.52160682701226
"Warneckea_pulcherrima",0.115355414668456,0.0410475168807396,9.52152133517524
"Warneckea_austro",0.115355414668456,0.0410475168807396,9.52152133517524
"Warneckea_yangambensis",0.115354666234982,0.0410514578614817,9.52164743619201
"Warneckea_fosteri",0.115355063264155,0.0410493641412591,9.52158145548362
"Warneckea_membranifolia",0.115355543061916,0.0410468228366043,9.52150042216255
"Warneckea_cinnamomoides",0.115355543061916,0.0410468228366043,9.52150042216255
"Warneckea_fascicularis",0.115351487759964,0.0410651876358715,9.52214515552834
"Warneckea_mangrovensis",0.115351487759964,0.0410651876358715,9.52214515552834
"Warneckea_madagascariensis",0.115354107879281,0.0410538170349228,9.52174971878586
"Warneckea_masoalae",0.115354107879281,0.0410538170349228,9.52174971878586
"Warneckea_hedbergiorum",0.115354755057126,0.0410505411272471,9.52164726862684
"Warneckea_amaniensis",0.115354755057126,0.0410505411272471,9.52164726862684
"Warneckea_erubescens",0.115355288888929,0.0410476372135095,9.52156262382975
"Warneckea_schliebenii",0.115355377084754,0.0410471674499629,9.5215483077249
"Warneckea_parvifolia",0.115355483097742,0.0410466078240854,9.52153095015144
"Warneckea_mouririifolia",0.1153559673622,0.0410440349092984,9.52145033164379
"Warneckea_sousae",0.1153559673622,0.0410440349092984,9.52145033164379
"Memecylon_lateriflorum",0.115349808016197,0.0410706235922521,9.5223840035246
"Memecylon_occultum",0.115349808016197,0.0410706235922521,9.5223840035246
"Memecylon_magnifoliatum",0.115349990182018,0.0410678008548411,9.52241197489498
"Mouriri_nervosa",0.115349990182018,0.0410678008548411,9.52241197489498
"Memecylon_elaeagni",0.115351433268052,0.041063478734598,9.5221831513393
"Memecylon_rivulare",0.115352103559422,0.0410613361141444,9.52206656229119
"Memecylon_rostratum",0.115352103559422,0.0410613361141444,9.52206656229119
"Memecylon_semseii",0.115353204624277,0.0410563500919339,9.52189927028488
"Memecylon_erythranthum",0.115353204624277,0.0410563500919339,9.52189927028488
"Memecylon_cogniauxii",0.115352040598084,0.0410608320824564,9.52210015591605
"Memecylon_deminutum",0.115354025853521,0.041052910042491,9.52176377826377
"Memecylon_greenwayi",0.115354232619104,0.0410520734461975,9.52172836786175
