"","alpha","sigma.sq","theta"
"Dactylocladus_stenostachys",0.174157383833653,0.00564648159966412,7.26086980100014
"Axinandra_coriacea",0.174162856850917,0.00563734033413694,7.26098915603705
"Axinandra_zeylanica",0.174162856850917,0.00563734033413694,7.26098915603705
"Crypteronia_paniculata",0.174162073665905,0.00563895474010615,7.26097676191184
"Crypteronia_borneensis",0.174165506147978,0.00563245373880943,7.2610437092623
"Crypteronia_glabriflora",0.174166087869875,0.00563136206660739,7.26105421384195
"Crypteronia_griffithii",0.174166087869875,0.00563136206660739,7.26105421384195
"Alzatea_verticillata",0.174152586449312,0.0056519850609412,7.26072666249101
"Olinia_emarginata",0.174047735103304,0.00678435768843617,7.28687303169002
"Olinia_vanguerioides",0.174047735103304,0.00678435768843617,7.28687303169002
"Olinia_radiata",0.174047309799929,0.00678572591760191,7.28686098169775
"Olinia_capensis",0.174049329027026,0.00677925657008042,7.28691785588495
"Olinia_cymosa",0.174049413552235,0.00677898897592671,7.2869201933101
"Olinia_ventosa",0.174049413552235,0.00677898897592671,7.2869201933101
"Rhynchocalyx_lawsonioides",0.1741514373734,0.00565326392585768,7.26069448708693
"Glischrocolla_formosa",0.174170165470971,0.00562257928961689,7.26112343992326
"Endonema_lateriflora",0.174170665094312,0.00562159845139336,7.26113308492459
"Endonema_retzioides",0.174170665094312,0.00562159845139336,7.26113308492459
"Brachysiphon_acutus",0.174173930300797,0.00561511276441457,7.26120407942612
"Stylapterus_micranthus",0.174173930300797,0.00561511276441457,7.26120407942612
"Saltera_sarcocolla",0.174174977143887,0.00561292418450451,7.26122481955818
"Sonderothamnus_petraeus",0.174175037442025,0.00561279927280558,7.26122598100695
"Sonderothamnus_speciosus",0.174175037442025,0.00561279927280558,7.26122598100695
"Brachysiphon_mundii",0.174173874550094,0.00561523939278525,7.26120321009474
"Brachysiphon_rupestris",0.174173906195559,0.00561517278429316,7.2612038600531
"Stylapterus_fruticulosus",0.174175732683401,0.00561136584966666,7.26124070554785
"Brachysiphon_fucatus",0.174175877073212,0.00561105781038828,7.26124352391008
"Stylapterus_ericoides",0.174175877073212,0.00561105781038828,7.26124352391008
"Brachysiphon_microphyllus",0.174175654065203,0.00561153329264218,7.26123916634215
"Penaea_mucronata",0.174176479577665,0.00560972682142148,7.26125528020764
"Penaea_acutifolia",0.174176525976385,0.00560962081304619,7.26125617011891
"Penaea_dahlgrenii",0.174176525976385,0.00560962081304619,7.26125617011891
"Spathandra_blakeoides",0.174198006091413,0.00629858883782972,7.29061168734596
"Votomita_guianensis",0.174198332375397,0.00629626723255904,7.29062550567483
"Mouriri_crassifolia",0.174199373072436,0.00629051898658594,7.29065950540759
"Mouriri_dumetosa",0.174199373072436,0.00629051898658594,7.29065950540759
"Mouriri_collocarpa",0.174198940669198,0.00629260382734929,7.29064735133759
"Mouriri_sagotiana",0.174198940669198,0.00629260382734929,7.29064735133759
"Mouriri_gleasoniana",0.174198768332225,0.00629340094804152,7.2906428577302
"Mouriri_helleri",0.174202179611304,0.00627800054648834,7.29072947202168
"Mouriri_guianensis",0.174202296432629,0.00627750987169705,7.2907321510006
"Mouriri_cyphocarpa",0.174202799612399,0.00627540759912924,7.29074369730669
"Mouriri_myrtilloides",0.174202799612399,0.00627540759912924,7.29074369730669
"Lijndenia_barteri",0.174198156087168,0.00629836291851416,7.2906117204401
"Lijndenia_procteri",0.174200427429438,0.00628732632545568,7.2906775481336
"Lijndenia_brenanii",0.174200461615975,0.00628718868189633,7.29067833064203
"Memecylon_megacarpum",0.174200461615975,0.00628718868189633,7.29067833064203
"Lijndenia_laurina",0.174198935798745,0.00629294883270787,7.29064556465841
"Lijndenia_danguyana",0.174199907393677,0.00628851409703319,7.29067110671884
"Lijndenia_roborea",0.174199907393677,0.00628851409703319,7.29067110671884
