"","alpha","sigma.sq","theta"
"Dactylocladus_stenostachys",0.131593587910532,4.61260577065037e-05,5.68353944344517
"Axinandra_coriacea",0.131593472998653,4.61398928458078e-05,5.68353395582412
"Axinandra_zeylanica",0.131593472998653,4.61398928458078e-05,5.68353395582412
"Crypteronia_paniculata",0.131593442605063,4.61389717967283e-05,5.68353450436434
"Crypteronia_borneensis",0.131593453025868,4.61458587373559e-05,5.68353150057504
"Crypteronia_glabriflora",0.131593457770574,4.61469511125171e-05,5.68353102281418
"Crypteronia_griffithii",0.131593457770574,4.61469511125171e-05,5.68353102281418
"Alzatea_verticillata",0.131593920143429,4.61063200044698e-05,5.68354593876615
"Olinia_emarginata",0.136993221929439,3.01024553753551e-05,5.69128336769191
"Olinia_vanguerioides",0.136993221929439,3.01024553753551e-05,5.69128336769191
"Olinia_radiata",0.136993201363771,3.01027192197216e-05,5.69128320409947
"Olinia_capensis",0.136993296737354,3.01014783315258e-05,5.69128397587491
"Olinia_cymosa",0.136993300659052,3.01014273726201e-05,5.691284007654
"Olinia_ventosa",0.136993300659052,3.01014273726201e-05,5.691284007654
"Rhynchocalyx_lawsonioides",0.131593978592861,4.61012976221932e-05,5.68354746783579
"Glischrocolla_formosa",0.13159405584717,4.61472695155321e-05,5.68352933248857
"Endonema_lateriflora",0.131594058748682,4.61482160978804e-05,5.68352891425309
"Endonema_retzioides",0.131594058748682,4.61482160978804e-05,5.68352891425309
"Brachysiphon_acutus",0.131594115553968,4.61552831252013e-05,5.68352609286447
"Stylapterus_micranthus",0.131594115553968,4.61552831252013e-05,5.68352609286447
"Saltera_sarcocolla",0.131594120098002,4.6157295935611e-05,5.68352520864751
"Sonderothamnus_petraeus",0.131594120371275,4.61574089851118e-05,5.68352515859923
"Sonderothamnus_speciosus",0.131594120371275,4.61574089851118e-05,5.68352515859923
"Brachysiphon_mundii",0.131594118283495,4.61552077085518e-05,5.68352614180271
"Brachysiphon_rupestris",0.131594118550117,4.61552716115253e-05,5.68352611481813
"Stylapterus_fruticulosus",0.13159413229962,4.61588868433999e-05,5.68352457019809
"Brachysiphon_fucatus",0.131594132632585,4.61591604836025e-05,5.68352444853196
"Stylapterus_ericoides",0.131594132632585,4.61591604836025e-05,5.68352444853196
"Brachysiphon_microphyllus",0.131594132007832,4.61587366314623e-05,5.68352463627757
"Penaea_mucronata",0.131594135170335,4.61603012151471e-05,5.68352394407533
"Penaea_acutifolia",0.131594135381274,4.61603878361685e-05,5.68352390566446
"Penaea_dahlgrenii",0.131594135381274,4.61603878361685e-05,5.68352390566446
"Spathandra_blakeoides",0.137003644186715,2.9981172395296e-05,5.69133721635041
"Votomita_guianensis",0.137003772450729,2.99797343925604e-05,5.69133752024549
"Mouriri_crassifolia",0.137003981016132,2.99773108619755e-05,5.69133817354916
"Mouriri_dumetosa",0.137003981016132,2.99773108619755e-05,5.69133817354916
"Mouriri_collocarpa",0.137003928063365,2.99779410494374e-05,5.6913379579571
"Mouriri_sagotiana",0.137003928063365,2.99779410494374e-05,5.6913379579571
"Mouriri_gleasoniana",0.137003909148977,2.99781655711801e-05,5.69133787866923
"Mouriri_helleri",0.137004236416134,2.99742535182876e-05,5.69133939807076
"Mouriri_guianensis",0.137004243960193,2.99741610509279e-05,5.69133944362181
"Mouriri_cyphocarpa",0.137004275027663,2.99737775915787e-05,5.69133963842201
"Mouriri_myrtilloides",0.137004275027663,2.99737775915787e-05,5.69133963842201
"Lijndenia_barteri",0.137003635965055,2.99813583570801e-05,5.69133721738557
"Lijndenia_procteri",0.137003932000702,2.99778464723712e-05,5.69133839273205
"Lijndenia_brenanii",0.137003933723938,2.99778245592669e-05,5.69133840539221
