"","alpha","sigma.sq","theta"
"Dactylocladus_stenostachys",1.12758349127753,0.179994336817133,16.0226730465975
"Axinandra_coriacea",1.13347629960034,0.18102749077574,16.063192877436
"Axinandra_zeylanica",1.13347629960034,0.18102749077574,16.063192877436
"Crypteronia_paniculata",1.13269701673757,0.180875577426413,16.0580325181724
"Crypteronia_borneensis",1.1362446008291,0.181522877537544,16.0821491718499
"Crypteronia_glabriflora",1.13682070494166,0.181630092603871,16.0860778839121
"Crypteronia_griffithii",1.13682070494166,0.181630092603871,16.0860778839121
"Alzatea_verticillata",1.12152062750055,0.179001324623743,15.9805408909006
"Olinia_emarginata",0.823122095080886,0.146566238247961,12.8053792032635
"Olinia_vanguerioides",0.823122095080886,0.146566238247961,12.8053792032635
"Olinia_radiata",0.822577716984158,0.146459781992488,12.8035788773896
"Olinia_capensis",0.825155067800187,0.146965824571111,12.81218274022
"Olinia_cymosa",0.825261707750404,0.146986782158409,12.8125444165326
"Olinia_ventosa",0.825261707750404,0.146986782158409,12.8125444165326
"Rhynchocalyx_lawsonioides",1.12004505673779,0.178757744781608,15.9702211266968
"Glischrocolla_formosa",1.1412963309979,0.18250393612056,16.1133303835976
"Endonema_lateriflora",1.14179697614216,0.182596860331789,16.1167372475385
"Endonema_retzioides",1.14179697614216,0.182596860331789,16.1167372475385
"Brachysiphon_acutus",1.14527076778281,0.183224895261544,16.1402129016489
"Stylapterus_micranthus",1.14527076778281,0.183224895261544,16.1402129016489
"Saltera_sarcocolla",1.1463219332231,0.183419130282308,16.1473733620063
"Sonderothamnus_petraeus",1.14638154250765,0.183430228515881,16.1477802391098
"Sonderothamnus_speciosus",1.14638154250765,0.183430228515881,16.1477802391098
"Brachysiphon_mundii",1.14522152476778,0.183215383284721,16.1398702323346
"Brachysiphon_rupestris",1.14525391948607,0.183221311405297,16.1400904920559
"Stylapterus_fruticulosus",1.14710514757934,0.183561590936312,16.1526920780509
"Brachysiphon_fucatus",1.14724887311465,0.183588222048706,16.1536726703154
"Stylapterus_ericoides",1.14724887311465,0.183588222048706,16.1536726703154
"Brachysiphon_microphyllus",1.14702678477287,0.183547086698921,16.1521574175765
"Penaea_mucronata",1.14784885159405,0.183699549297792,16.157763640006
"Penaea_acutifolia",1.14789461551983,0.183708081288304,16.1580760882818
"Penaea_dahlgrenii",1.14789461551983,0.183708081288304,16.1580760882818
"Spathandra_blakeoides",1.00319865388534,0.182519099480119,13.6035539743905
"Votomita_guianensis",1.00394547414158,0.182671877398547,13.6077000509083
"Mouriri_crassifolia",1.00576383211544,0.18303727031804,13.6162486414768
"Mouriri_dumetosa",1.00576383211544,0.18303727031804,13.6162486414768
"Mouriri_collocarpa",1.00511387106375,0.182908285208131,13.6135289237091
"Mouriri_sagotiana",1.00511387106375,0.182908285208131,13.6135289237091
"Mouriri_gleasoniana",1.00486876553282,0.18285956540475,13.612468833091
"Mouriri_helleri",1.00964630809235,0.183804163367515,13.6320892180739
"Mouriri_guianensis",1.00979762674912,0.183833979317519,13.6326793139061
"Mouriri_cyphocarpa",1.01044693574297,0.183961922618875,13.6351769800236
"Mouriri_myrtilloides",1.01044693574297,0.183961922618875,13.6351769800236
"Lijndenia_barteri",1.00323746369267,0.182524454833644,13.6035742365908
"Lijndenia_procteri",1.00672914560402,0.183220078672835,13.6181096080283
"Lijndenia_brenanii",1.00677189254776,0.183228504217562,13.6182656410584
"Memecylon_megacarpum",1.00677189254776,0.183228504217562,13.6182656410584
"Lijndenia_laurina",1.00500539304822,0.182884489562303,13.6125263077575
"Lijndenia_danguyana",1.00638029215788,0.183156269362642,13.6181019638127
"Lijndenia_roborea",1.00638029215788,0.183156269362642,13.6181019638127
"Warneckea_sansibarica",1.0064972810734,0.183174937837302,13.6175427357959
"Warneckea_melindensis",1.0064972810734,0.183174937837302,13.6175427357959
"Warneckea_jasminoides",1.009423120996,0.183770529112709,13.6342931093975
"Warneckea_wildeana",1.01274650382881,0.184427686572482,13.6481900948398
"Warneckea_sapinii",1.01362531729792,0.184601161295693,13.6516377575342
"Warneckea_pulcherrima",1.01436363027248,0.184746847653841,13.6544299598227
"Warneckea_austro",1.01436363027248,0.184746847653841,13.6544299598227
