"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.319239989043223,0.412618094500421,8.82590334318101
"Spiraea_trifoliata",0.319239989043223,0.412618094500421,8.82590334318101
"Gillenia_trifoliata",0.319240340867647,0.412666719553562,8.82671774776639
"Gillenia_stipulata",0.319240340867647,0.412666719553562,8.82671774776639
"Lindleya_mespiloides",0.31924056151428,0.412660086113665,8.82572477400188
"Vauquelinia_corymbosa",0.319240904827427,0.412714014473675,8.82689998823447
"Vauquelinia_californica",0.319240904827427,0.412714014473675,8.82689998823447
"Sorbus_thomsonii",0.317332403583144,0.674348825631799,9.00861776271347
"Sorbus_caloneura",0.317332496501535,0.674348451677934,9.00857254912233
"Sorbus_dunnii",0.317332783925952,0.674346057703802,9.00841735928054
"Sorbus_folgneri",0.31733312647358,0.674335052856045,9.00820570800849
"Sorbus_yuana",0.31733316340721,0.674332963111963,9.00818121112424
"Aria_alnifolia",0.31733316340721,0.674332963111963,9.00818121112424
"Sorbus_hemsleyi",0.31733293870533,0.674339329032953,9.00830579130576
"Sorbus_tsinlingensis",0.31733293870533,0.674339329032953,9.00830579130576
"Sorbus_coronata",0.317332873529943,0.674342105980991,9.00834572741699
"Photinia_hirsuta",0.317332170534308,0.67434887106535,9.008795485732
"Photinia_impressivena",0.317332676363012,0.674345751790887,9.00862960939064
"Photinia_sorbifolia",0.317333002318097,0.674342459017774,9.00849120437695
"Photinia_schneideriana",0.317333002318097,0.674342459017774,9.00849120437695
"Photinia_benthamiana",0.317333045917454,0.674342189978783,9.00846966030822
"Photinia_fokienensis",0.317333379355266,0.674334407651793,9.00828257967905
"Photinia_parvifolia",0.31733341428466,0.674333149788859,9.00826153341603
"Photinia_villosa",0.31733341428466,0.674333149788859,9.00826153341603
"Photinia_komarovii",0.317333335924901,0.674335949158506,9.00830835806382
"Photinia_tsaii",0.317332953464277,0.674342919775617,9.00850798685158
"Photinia_beauverdiana",0.317332953464277,0.674342919775617,9.00850798685158
"Rhaphiolepis_umbellata",0.317332803841129,0.674344497174951,9.0085823090247
"Photinia_stenophylla",0.317332570329312,0.674346689619047,9.00866641812663
"Cotoneaster_verruculosus",0.317334187081732,0.674326260516271,9.00837941752454
"Cotoneaster_nitidus",0.317334187081732,0.674326260516271,9.00837941752454
"Cotoneaster_morrisonensis",0.31733415588869,0.674327307218128,9.00839795339706
"Cotoneaster_assamensis",0.317334147356087,0.674327614052648,9.00840298497436
"Cotoneaster_roseus",0.31733408460689,0.674330611683806,9.00851603642007
"Cotoneaster_melanocarpus",0.317334346581012,0.674323893630053,9.00836910670252
"Cotoneaster_integerrimus",0.317334372322646,0.674322974808868,9.00835353406904
"Cotoneaster_armenus",0.317334372322646,0.674322974808868,9.00835353406904
"Cotoneaster_niger",0.317334288859505,0.674325755377414,9.00840337052621
"Cotoneaster_cambricus",0.31733427906991,0.674326064136137,9.00840903699921
"Cotoneaster_racemiflorus",0.317334105835202,0.674330221118872,9.00851058761624
"Cotoneaster_mongolicus",0.317334183220225,0.674328775019475,9.00847368654965
"Cotoneaster_multiflorus",0.317334290301803,0.674326254904268,9.0084111915231
"Cotoneaster_przewalskii",0.317334405161503,0.674321855551406,9.0083392340582
"Cotoneaster_bullatus",0.317334405161503,0.674321855551406,9.0083392340582
"Cotoneaster_sylvestrii",0.31733425167455,0.674327157882065,9.00843863566688
"Cotoneaster_oliganthus",0.317334338558598,0.674324573940174,9.00838810985084
"Cotoneaster_hebephyllus",0.317334338558598,0.674324573940174,9.00838810985084
"Cotoneaster_submultiflorus",0.317334312149641,0.674325424247841,9.00840372405105
"Cotoneaster_dammeri",0.317334287988774,0.674326194581171,9.0084235570657
"Cotoneaster_coriaceus",0.317334324937894,0.674325145607084,9.00840209906983
"Cotoneaster_turbinatus",0.317334324937894,0.674325145607084,9.00840209906983
"Cotoneaster_giraldii",0.317334259366843,0.674326891704197,9.00843996230173
"Cotoneaster_conspicuus",0.317334394475309,0.674322759672816,9.00835857527225
"Cotoneaster_poluninii",0.317334394475309,0.674322759672816,9.00835857527225
"Cotoneaster_procumbens",0.317334338095152,0.674324798616913,9.00839464067248
"Cotoneaster_buxifolius",0.31733437506627,0.674323585726886,9.00837258524327
"Cotoneaster_frigidus",0.31733437506627,0.674323585726886,9.00837258524327
"Cotoneaster_monopyrenus",0.317334088308425,0.674330529514474,9.00851710793827
"Cotoneaster_songaricus",0.317334056038392,0.674331074157686,9.00852808164722
"Cotoneaster_glomerulatus",0.317334025701261,0.674331575842795,9.00853729319441
"Cotoneaster_reticulatus",0.317333910315552,0.674333229799428,9.00857101736848
"Cotoneaster_dielsianus",0.317334332158182,0.674323140629192,9.00833388830173
"Cotoneaster_divaricatus",0.317334332158182,0.674323140629192,9.00833388830173
"Cotoneaster_obscurus",0.317334355342381,0.674321910854461,9.00832048602297
"Cotoneaster_adpressus",0.317334358433634,0.67432180611385,9.0083185846173
"Cotoneaster_sternianus",0.31733441398196,0.674319577259992,9.00828278202188
"Cotoneaster_wardii",0.31733441398196,0.674319577259992,9.00828278202188
"Cotoneaster_acuminatus",0.317334413838371,0.674319686181577,9.00828382103566
"Cotoneaster_atropurpureus",0.317334413838371,0.674319686181577,9.00828382103566
"Cotoneaster_moupinensis",0.317334339174344,0.674322541839137,9.00833036283615
"Cotoneaster_taoensis",0.317334426998153,0.674319513119073,9.00828282812756
"Cotoneaster_microphyllus",0.317334426998153,0.674319513119073,9.00828282812756
"Cotoneaster_perpusillus",0.317334386968686,0.674321379696295,9.00830872917499
"Cotoneaster_salicifolius",0.317334317366946,0.674323806193484,9.00835657245935
"Cotoneaster_ambiguus",0.317334381161181,0.674321538028991,9.00831738667069
"Cotoneaster_foveolatus",0.317334381161181,0.674321538028991,9.00831738667069
"Cotoneaster_franchetii",0.31733437793048,0.674321627975401,9.00832081436744
"Cotoneaster_subadpressus",0.317334381571501,0.67432149547767,9.00831859938222
"Cotoneaster_glaucophyllus",0.317334381571501,0.67432149547767,9.00831859938222
"Cotoneaster_rotundifolius",0.31733434094885,0.674322945880434,9.00834324206426
"Cotoneaster_acutifolius",0.317334325493058,0.674323463539249,9.00835243228612
"Cotoneaster_nitens",0.317334300337584,0.674324278252257,9.00836706236604
"Cotoneaster_sp",0.31733385217189,0.674333972926419,9.00858560772341
"Cotoneaster_pannosus",0.317334282977771,0.674322388915202,9.00832092198349
"Cotoneaster_apiculatus",0.317334282977771,0.674322388915202,9.00832092198349
"Cotoneaster_rehderi",0.317334253407705,0.67432398620082,9.00834031761658
"Cotoneaster_horizontalis",0.317333711877817,0.674336083311495,9.00859265075714
"Cotoneaster_harrysmithii",0.317333711877817,0.674336083311495,9.00859265075714
"Photinia_berberidifolia",0.317331956362252,0.674348068907674,9.0088635868013
"Stranvaesia_davidiana",0.317332563432157,0.674344827712582,9.00856224462364
"Photinia_davidiana",0.317332563432157,0.674344827712582,9.00856224462364
"Photinia_integrifolia",0.317332260139265,0.674348107208034,9.0087305715696
"Photinia_prionophylla",0.317332260139265,0.674348107208034,9.0087305715696
"Cormus_domestica",0.317332516541731,0.674339042614068,9.00849329031918
"Sorbus_domestica",0.317332516541731,0.674339042614068,9.00849329031918
"Chamaemespilus_alpina",0.317332887810939,0.674333453177006,9.00806303247176
"Sorbus_cambrensis",0.317332894625664,0.674333089654027,9.00805868686531
"Sorbus_porrigentiformis",0.317332902723678,0.674332700440842,9.00805353211438
"Sorbus_eminentiformis",0.31733293113517,0.674331517442623,9.00803548307373
"Sorbus_stenophylla",0.31733293113517,0.674331517442623,9.00803548307373
"Sorbus_rupicola",0.31733290998439,0.674332385390254,9.0080489170386
"Sorbus_aria",0.31733290998439,0.674332385390254,9.0080489170386
"Sorbus_whiteana",0.317332909045924,0.674332422602275,9.00804950371286
"Sorbus_hibernica",0.317332907492723,0.674332487693081,9.00805048716394
"Sorbus_leptophylla",0.317332899274429,0.674332861854606,9.00805573016923
"Sorbus_stirtoniana",0.317332599385485,0.674343747687843,9.00823607255304
"Sorbus_saxicola",0.317332593320369,0.674343887816702,9.00823942512542
"Sorbus_eminens",0.317332581143028,0.674344245511618,9.0082459943937
"Torminalis_sp",0.317332379917188,0.6743496891871,9.00834366394085
"Torminalis_clusii",0.317332621971587,0.674341721695673,9.00819187307466
"Sorbus_torminalis",0.317332621971587,0.674341721695673,9.00819187307466
"Pyracantha_angustifolia",0.317331094776013,0.674352185241556,9.00894406974313
"Pyracantha_crenulata",0.317332132593718,0.674345367334598,9.00840587902807
"Pyracantha_fortuneana",0.317332132593718,0.674345367334598,9.00840587902807
"Pyracantha_coccinea",0.317331859373672,0.674353070939995,9.00856504151504
"Eriobotrya_deflexa",0.31733231635616,0.674349694898928,9.00850175470339
"Eriobotrya_fragrans",0.317332358416362,0.674349190956285,9.00848062374406
"Eriobotrya_japonica",0.317332358416362,0.674349190956285,9.00848062374406
