"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.319814584938533,0.374747761047199,8.82778083748773
"Spiraea_trifoliata",0.319814584938533,0.374747761047199,8.82778083748773
"Gillenia_trifoliata",0.319815446509553,0.374725922762257,8.82848058090576
"Gillenia_stipulata",0.319815446509553,0.374725922762257,8.82848058090576
"Lindleya_mespiloides",0.319814596425544,0.374802494390128,8.82764492502747
"Vauquelinia_corymbosa",0.319815882947699,0.374751321063428,8.82866456132632
"Vauquelinia_californica",0.319815882947699,0.374751321063428,8.82866456132632
"Sorbus_thomsonii",0.318099795445944,0.463512243572244,9.00961918840653
"Sorbus_caloneura",0.318099988896068,0.46350101144074,9.00964430640949
"Sorbus_dunnii",0.318100569717415,0.463462288333134,9.00975578643015
"Sorbus_folgneri",0.318101314300237,0.463404651313607,9.00995096324229
"Sorbus_yuana",0.318101401037327,0.463397643558464,9.00997626949866
"Aria_alnifolia",0.318101401037327,0.463397643558464,9.00997626949866
"Sorbus_hemsleyi",0.318100869628327,0.463433347781002,9.00988205677379
"Sorbus_tsinlingensis",0.318100869628327,0.463433347781002,9.00988205677379
"Sorbus_coronata",0.318100722115797,0.463444513880573,9.00984472780368
"Photinia_hirsuta",0.318099444849934,0.4635528113694,9.00942219848621
"Photinia_impressivena",0.31810068873836,0.463504709803146,9.00939072028797
"Photinia_sorbifolia",0.318101437670631,0.46346707062712,9.00943808289915
"Photinia_schneideriana",0.318101437670631,0.46346707062712,9.00943808289915
"Photinia_benthamiana",0.318101535667732,0.463461255197875,9.00944987021611
"Photinia_fokienensis",0.31810226667465,0.463410748399641,9.00959706221521
"Photinia_parvifolia",0.318102342969237,0.463405057808848,9.00961616869551
"Photinia_villosa",0.318102342969237,0.463405057808848,9.00961616869551
"Photinia_komarovii",0.318102168246108,0.463417923755654,9.00957448307249
"Photinia_tsaii",0.318101307634051,0.463472496006869,9.00944056475318
"Photinia_beauverdiana",0.318101307634051,0.463472496006869,9.00944056475318
"Rhaphiolepis_umbellata",0.318100998482878,0.463491094079298,9.00939452766404
"Photinia_stenophylla",0.318100427543062,0.463515474373822,9.00939290032515
"Cotoneaster_verruculosus",0.318105003053483,0.463402350696262,9.00879255252273
"Cotoneaster_nitidus",0.318105003053483,0.463402350696262,9.00879255252273
"Cotoneaster_morrisonensis",0.318104935458441,0.463407326573017,9.00877607446842
"Cotoneaster_assamensis",0.318104916007455,0.463408731401606,9.00877170598079
"Cotoneaster_roseus",0.3181049237902,0.463433830737718,9.00857866234347
"Cotoneaster_melanocarpus",0.318105509781741,0.463393574539485,9.00869406726675
"Cotoneaster_integerrimus",0.318105565650548,0.463389387261195,9.0087082794315
"Cotoneaster_armenus",0.318105565650548,0.463389387261195,9.0087082794315
"Cotoneaster_niger",0.318105381895889,0.463402935467729,9.00866414437962
"Cotoneaster_cambricus",0.318105359590693,0.463404515014724,9.0086594256503
"Cotoneaster_racemiflorus",0.318104982960413,0.463431880701838,9.00857428675799
"Cotoneaster_mongolicus",0.318105162251553,0.463421619204531,9.00859436258422
"Cotoneaster_multiflorus",0.318105388125227,0.463405185888638,9.00864719030145
"Cotoneaster_przewalskii",0.318105636134993,0.463385827079167,9.008716012256
"Cotoneaster_bullatus",0.318105636134993,0.463385827079167,9.008716012256
"Cotoneaster_sylvestrii",0.318105320594389,0.463411818912291,9.00861738923853
"Cotoneaster_oliganthus",0.318105510286538,0.463398201740813,9.0086603354443
"Cotoneaster_hebephyllus",0.318105510286538,0.463398201740813,9.0086603354443
"Cotoneaster_submultiflorus",0.318105453479195,0.463402364864495,9.00864656469002
"Cotoneaster_dammeri",0.318105415264597,0.463407098779905,9.00862203176521
"Cotoneaster_coriaceus",0.318105493567537,0.46340145179273,9.00864041150328
"Cotoneaster_turbinatus",0.318105493567537,0.46340145179273,9.00864041150328
"Cotoneaster_giraldii",0.31810535474715,0.463411406086598,9.00860843276199
"Cotoneaster_conspicuus",0.318105639757409,0.463389958426452,9.00868186039596
"Cotoneaster_poluninii",0.318105639757409,0.463389958426452,9.00868186039596
"Cotoneaster_procumbens",0.318105526104145,0.463399225594121,9.00864600765236
"Cotoneaster_buxifolius",0.318105605475659,0.463393348799319,9.00866571590591
"Cotoneaster_frigidus",0.318105605475659,0.463393348799319,9.00866571590591
"Cotoneaster_monopyrenus",0.318104938501941,0.463433860594245,9.0085736538409
"Cotoneaster_songaricus",0.318104854959251,0.463437285362194,9.00857465754335
"Cotoneaster_glomerulatus",0.31810477439573,0.46344028146555,9.00857791719273
"Cotoneaster_reticulatus",0.318104469218351,0.463451202291318,9.00859318174213
"Cotoneaster_dielsianus",0.318105408184697,0.463386476926739,9.00877890866505
"Cotoneaster_divaricatus",0.318105408184697,0.463386476926739,9.00877890866505
"Cotoneaster_obscurus",0.318105479980504,0.463381669687281,9.0087889016641
"Cotoneaster_adpressus",0.318105486777257,0.463381151358627,9.00879064456961
"Cotoneaster_sternianus",0.318105610836019,0.463371236869157,9.00882554641231
"Cotoneaster_wardii",0.318105610836019,0.463371236869157,9.00882554641231
"Cotoneaster_acuminatus",0.318105605189353,0.463371881306891,9.00882405829578
"Cotoneaster_atropurpureus",0.318105605189353,0.463371881306891,9.00882405829578
"Cotoneaster_moupinensis",0.318105442067319,0.463384488565326,9.0087800149827
"Cotoneaster_taoensis",0.318105636992788,0.463371693998928,9.00881733039209
"Cotoneaster_microphyllus",0.318105636992788,0.463371693998928,9.00881733039209
"Cotoneaster_perpusillus",0.318105547192451,0.46337885040239,9.0087915132037
"Cotoneaster_salicifolius",0.318105408023817,0.463391266580095,9.00874113096757
"Cotoneaster_ambiguus",0.318105544875511,0.463380802677535,9.0087776177707
"Cotoneaster_foveolatus",0.318105544875511,0.463380802677535,9.0087776177707
"Cotoneaster_franchetii",0.31810554914803,0.463381129160027,9.00877181769632
"Cotoneaster_subadpressus",0.318105557050281,0.463380533695543,9.00877385564599
"Cotoneaster_glaucophyllus",0.318105557050281,0.463380533695543,9.00877385564599
"Cotoneaster_rotundifolius",0.318105466531564,0.463387297349392,9.00875158278526
"Cotoneaster_acutifolius",0.318105431417886,0.463389855942678,9.00874360601508
"Cotoneaster_nitens",0.31810537335326,0.463393973915402,9.00873140098748
"Cotoneaster_sp",0.318104312059002,0.463456158415173,9.00860594712669
