"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.319056161649189,0.0852243355501694,6.99269262825045
"Spiraea_trifoliata",0.319056161649189,0.0852243355501694,6.99269262825045
"Gillenia_trifoliata",0.319058794655911,0.0852198391944885,6.99221623546931
"Gillenia_stipulata",0.319058794655911,0.0852198391944885,6.99221623546931
"Lindleya_mespiloides",0.31905503764835,0.0852265331541986,6.99273615158682
"Vauquelinia_corymbosa",0.319058821074142,0.0852192041558485,6.99204326879144
"Vauquelinia_californica",0.319058821074142,0.0852192041558485,6.99204326879144
"Sorbus_thomsonii",0.319245861976561,0.0777819837913114,7.08884880838707
"Sorbus_caloneura",0.319245805965437,0.0777212854761738,7.08884169602984
"Sorbus_dunnii",0.319245575794287,0.0775157015528517,7.08881626442781
"Sorbus_folgneri",0.319245111727226,0.077226349429454,7.08872939342115
"Sorbus_yuana",0.319245043150328,0.0771920924925652,7.08871441669021
"Aria_alnifolia",0.319245043150328,0.0771920924925652,7.08871441669021
"Sorbus_hemsleyi",0.319245286187622,0.0773715425721025,7.08879938849473
"Sorbus_tsinlingensis",0.319245286187622,0.0773715425721025,7.08879938849473
"Sorbus_coronata",0.319245386566058,0.0774267087490925,7.08881063530472
"Photinia_hirsuta",0.319246128640064,0.0780010720403592,7.0888725019126
"Photinia_impressivena",0.319245988306802,0.0777477663382644,7.08885047543813
"Photinia_sorbifolia",0.319245804654412,0.0775507021461492,7.08882547753008
"Photinia_schneideriana",0.319245804654412,0.0775507021461492,7.08882547753008
"Photinia_benthamiana",0.31924577995787,0.0775200476902372,7.08882297565858
"Photinia_fokienensis",0.319245420994347,0.0772625371039201,7.08875854634669
"Photinia_parvifolia",0.319245371510232,0.0772339431168828,7.0887419557732
"Photinia_villosa",0.319245371510232,0.0772339431168828,7.0887419557732
"Photinia_komarovii",0.31924547956611,0.0772984027777853,7.08877939366709
"Photinia_tsaii",0.319245816674659,0.0775785643967262,7.0888281975316
"Photinia_beauverdiana",0.319245816674659,0.0775785643967262,7.0888281975316
"Rhaphiolepis_umbellata",0.319245934006215,0.0776769709157631,7.08884182835744
"Photinia_stenophylla",0.319246026399965,0.0778037735484458,7.08885521389923
"Cotoneaster_verruculosus",0.319245935172766,0.0772325424983584,7.08876621676109
"Cotoneaster_nitidus",0.319245935172766,0.0772325424983584,7.08876621676109
"Cotoneaster_morrisonensis",0.319245977646582,0.0772576398876171,7.08878110220826
"Cotoneaster_assamensis",0.319245989139147,0.0772646582639045,7.08878543323864
"Cotoneaster_roseus",0.319246257938026,0.0773949665061492,7.08883602438023
"Cotoneaster_melanocarpus",0.319245969185073,0.0771906207853095,7.08874907586052
"Cotoneaster_integerrimus",0.319245932667135,0.0771695340606551,7.08873973325733
"Cotoneaster_armenus",0.319245932667135,0.0771695340606551,7.08873973325733
"Cotoneaster_niger",0.319246044318557,0.0772377836210307,7.08877278036492
"Cotoneaster_cambricus",0.319246056389731,0.0772457209971627,7.08877738455213
"Cotoneaster_racemiflorus",0.31924625162238,0.0773852549190579,7.08883437701981
"Cotoneaster_mongolicus",0.319246189178965,0.0773327009300708,7.08882154585494
"Cotoneaster_multiflorus",0.31924606579491,0.0772485247842165,7.08877943279729
"Cotoneaster_przewalskii",0.319245892609126,0.0771513154343094,7.08873131135646
"Cotoneaster_bullatus",0.319245892609126,0.0771513154343094,7.08873131135646
"Cotoneaster_sylvestrii",0.319246123409408,0.0772829808721744,7.08879967864361
"Cotoneaster_oliganthus",0.319246014781744,0.0772140264828957,7.08875985545462
"Cotoneaster_hebephyllus",0.319246014781744,0.0772140264828957,7.08875985545462
"Cotoneaster_submultiflorus",0.319246050059142,0.0772350914350638,7.08877186597135
"Cotoneaster_dammeri",0.319246096007416,0.077259498022252,7.08878691271907
"Cotoneaster_coriaceus",0.319246049598205,0.0772307413531575,7.08876958800912
"Cotoneaster_turbinatus",0.319246049598205,0.0772307413531575,7.08876958800912
"Cotoneaster_giraldii",0.319246129147069,0.0772815446685243,7.08879911052371
"Cotoneaster_conspicuus",0.319245948890416,0.0771725949540543,7.08874200538307
"Cotoneaster_poluninii",0.319245948890416,0.0771725949540543,7.08874200538307
"Cotoneaster_procumbens",0.319246036634644,0.0772196051710906,7.08876310866648
"Cotoneaster_buxifolius",0.319245986444725,0.0771898807240644,7.08874958382076
"Cotoneaster_frigidus",0.319245986444725,0.0771898807240644,7.08874958382076
"Cotoneaster_monopyrenus",0.319246261164447,0.0773953096459721,7.08883618130077
"Cotoneaster_songaricus",0.319246276140935,0.0774126821958293,7.08883788030098
"Cotoneaster_glomerulatus",0.319246287656468,0.077427829835958,7.0888383363908
"Cotoneaster_reticulatus",0.319246324878678,0.0774834246595983,7.08883992651099
"Cotoneaster_dielsianus",0.319245873796175,0.0771538196014787,7.08873026620043
"Cotoneaster_divaricatus",0.319245873796175,0.0771538196014787,7.08873026620043
"Cotoneaster_obscurus",0.319245844909021,0.0771309713416843,7.08871718773549
"Cotoneaster_adpressus",0.319245840671346,0.0771283625148516,7.08871515705902
"Cotoneaster_sternianus",0.319245755933487,0.0770789031540715,7.08868119136101
"Cotoneaster_wardii",0.319245755933487,0.0770789031540715,7.08868119136101
"Cotoneaster_acuminatus",0.319245756493588,0.0770816973799731,7.08868260791726
"Cotoneaster_atropurpureus",0.319245756493588,0.0770816973799731,7.08868260791726
"Cotoneaster_moupinensis",0.319245867509781,0.0771449925666099,7.08872600787372
"Cotoneaster_taoensis",0.319245753742261,0.0770804571574132,7.08868226422501
"Cotoneaster_microphyllus",0.319245753742261,0.0770804571574132,7.08868226422501
"Cotoneaster_perpusillus",0.319245820542655,0.0771160204099781,7.0887060066454
"Cotoneaster_salicifolius",0.319245930870809,0.077178980412719,7.0887427346889
"Cotoneaster_ambiguus",0.319245839046944,0.0771262011235638,7.08871413028172
"Cotoneaster_foveolatus",0.319245839046944,0.0771262011235638,7.08871413028172
"Cotoneaster_franchetii",0.319245851227248,0.0771283592580303,7.08871583422837
"Cotoneaster_subadpressus",0.319245845993482,0.0771253611408473,7.08871350068842
"Cotoneaster_glaucophyllus",0.319245845993482,0.0771253611408473,7.08871350068842
"Cotoneaster_rotundifolius",0.319245902293789,0.0771593177536029,7.08873349286527
"Cotoneaster_acutifolius",0.319245922342004,0.0771721601294624,7.08873967896589
"Cotoneaster_nitens",0.319245953452239,0.0771928182344978,7.08874875596759
"Cotoneaster_sp",0.319246337058336,0.0775086891300701,7.08884104005905
"Cotoneaster_pannosus",0.319245788324568,0.077153789701094,7.08872896939361
"Cotoneaster_apiculatus",0.319245788324568,0.077153789701094,7.08872896939361
"Cotoneaster_rehderi",0.319245841732066,0.0771807417493168,7.08874173165269
"Cotoneaster_horizontalis",0.319246303338341,0.0775437968759,7.08884191108698
