"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.640828780454893,0.142532776438947,7.35347062509304
"Spiraea_trifoliata",0.640828780454893,0.142532776438947,7.35347062509304
"Gillenia_trifoliata",0.640829930711371,0.142572764267279,7.352418771736
"Gillenia_stipulata",0.640829930711371,0.142572764267279,7.352418771736
"Lindleya_mespiloides",0.640828621959595,0.142547000898245,7.35377402432823
"Vauquelinia_corymbosa",0.64083101104448,0.142598395614228,7.3523190192482
"Vauquelinia_californica",0.64083101104448,0.142598395614228,7.3523190192482
"Sorbus_thomsonii",0.640708373067576,0.090933220871968,7.07562303899568
"Sorbus_caloneura",0.640708912427773,0.0909370320318642,7.07558855909225
"Sorbus_dunnii",0.640710396021744,0.090949518508344,7.07548321827807
"Sorbus_folgneri",0.640712193395317,0.0909669065917659,7.07533810421796
"Sorbus_yuana",0.640712407370271,0.0909690345381892,7.07532006461353
"Aria_alnifolia",0.640712407370271,0.0909690345381892,7.07532006461353
"Sorbus_hemsleyi",0.640710969622862,0.0909581055651014,7.0754214796438
"Sorbus_tsinlingensis",0.640710969622862,0.0909581055651014,7.0754214796438
"Sorbus_coronata",0.640710595827977,0.0909546832493917,7.07545093028305
"Photinia_hirsuta",0.640708050917125,0.0909216574356433,7.07568750747466
"Photinia_impressivena",0.640712315449935,0.0909397547587515,7.07546987120063
"Photinia_sorbifolia",0.640714629657992,0.0909527421997012,7.07533583585899
"Photinia_schneideriana",0.640714629657992,0.0909527421997012,7.07533583585899
"Photinia_benthamiana",0.640714903211641,0.0909545908649198,7.07531828540828
"Photinia_fokienensis",0.640716807215103,0.0909703339525603,7.07518005526082
"Photinia_parvifolia",0.640716999523213,0.0909721126173142,7.07516500752052
"Photinia_villosa",0.640716999523213,0.0909721126173142,7.07516500752052
"Photinia_komarovii",0.640716553966192,0.090968126907147,7.07519933494629
"Photinia_tsaii",0.640714190449235,0.0909508774340916,7.07535887922068
"Photinia_beauverdiana",0.640714190449235,0.0909508774340916,7.07535887922068
"Rhaphiolepis_umbellata",0.640713334554108,0.0909446033528889,7.07541489138523
"Photinia_stenophylla",0.640711435398959,0.0909358356353261,7.07551595982661
"Cotoneaster_verruculosus",0.640729320555282,0.0909872662838883,7.07471445030049
"Cotoneaster_nitidus",0.640729320555282,0.0909872662838883,7.07471445030049
"Cotoneaster_morrisonensis",0.640729149355545,0.0909857038631231,7.07472768535051
"Cotoneaster_assamensis",0.640729098855724,0.0909852703159903,7.07473149780945
"Cotoneaster_roseus",0.640729885212401,0.0909793452881923,7.07473751588516
"Cotoneaster_melanocarpus",0.640731429003628,0.090991874322891,7.07462604278769
"Cotoneaster_integerrimus",0.640731569053617,0.0909931861845841,7.07461501561003
"Cotoneaster_armenus",0.640731569053617,0.0909931861845841,7.07461501561003
"Cotoneaster_niger",0.640731104098019,0.090988979601392,7.07465094390733
"Cotoneaster_cambricus",0.640731045855142,0.0909884930103504,7.07465526000647
"Cotoneaster_racemiflorus",0.640730103641354,0.0909801086085196,7.07472692446342
"Cotoneaster_mongolicus",0.64073063039648,0.0909834724292632,7.074693868923
"Cotoneaster_multiflorus",0.640731192604351,0.0909885966704344,7.07465088382713
"Cotoneaster_przewalskii",0.640731795507759,0.0909945983627309,7.07460142032043
"Cotoneaster_bullatus",0.640731795507759,0.0909945983627309,7.07460142032043
"Cotoneaster_sylvestrii",0.640731078464391,0.0909866017079529,7.07466415915671
"Cotoneaster_oliganthus",0.64073156483376,0.0909908640962543,7.07462749654879
"Cotoneaster_hebephyllus",0.64073156483376,0.0909908640962543,7.07462749654879
"Cotoneaster_submultiflorus",0.640731420972188,0.0909895516348671,7.07463858364958
"Cotoneaster_dammeri",0.640731383559086,0.0909881762659796,7.07464654959094
"Cotoneaster_coriaceus",0.640731582438293,0.0909899676171805,7.07463144035563
"Cotoneaster_turbinatus",0.640731582438293,0.0909899676171805,7.07463144035563
"Cotoneaster_giraldii",0.640731229763583,0.0909868162026897,7.07465807644953
"Cotoneaster_conspicuus",0.640731931094659,0.0909935379423833,7.07460253460493
"Cotoneaster_poluninii",0.640731931094659,0.0909935379423833,7.07460253460493
"Cotoneaster_procumbens",0.640731669202015,0.0909906187601693,7.07462527373241
"Cotoneaster_buxifolius",0.640731868712977,0.090992467885358,7.07460974026574
"Cotoneaster_frigidus",0.640731868712977,0.090992467885358,7.07460974026574
"Cotoneaster_monopyrenus",0.640729955744283,0.0909794120125268,7.07473497792318
"Cotoneaster_songaricus",0.640729669065418,0.0909781703628663,7.0747500250389
"Cotoneaster_glomerulatus",0.640729383275825,0.09097704386683,7.07476446066078
"Cotoneaster_reticulatus",0.640728291848336,0.0909728594090738,7.07481878686018
"Cotoneaster_dielsianus",0.640730748112406,0.0909929384022798,7.07464090327005
"Cotoneaster_divaricatus",0.640730748112406,0.0909929384022798,7.07464090327005
"Cotoneaster_obscurus",0.640730953719031,0.0909942655079711,7.07462670404906
"Cotoneaster_adpressus",0.640730970433168,0.0909944240546951,7.07462536987194
"Cotoneaster_sternianus",0.640731267186732,0.0909974073859827,7.0746005517638
"Cotoneaster_wardii",0.640731267186732,0.0909974073859827,7.0746005517638
"Cotoneaster_acuminatus",0.640731257254305,0.0909973179039475,7.07460170780743
"Cotoneaster_atropurpureus",0.640731257254305,0.0909973179039475,7.07460170780743
"Cotoneaster_moupinensis",0.640730856854083,0.0909934136359693,7.07463420456933
"Cotoneaster_taoensis",0.640731398028846,0.0909976469843027,7.07459621188238
"Cotoneaster_microphyllus",0.640731398028846,0.0909976469843027,7.07459621188238
"Cotoneaster_perpusillus",0.64073117912391,0.0909954463013354,7.07461452493196
"Cotoneaster_salicifolius",0.640730891240274,0.0909917128553328,7.07464244549878
"Cotoneaster_ambiguus",0.64073122782888,0.0909949818679363,7.07461537739194
"Cotoneaster_foveolatus",0.64073122782888,0.0909949818679363,7.07461537739194
"Cotoneaster_franchetii",0.64073125963438,0.0909948151699826,7.07461480120726
"Cotoneaster_subadpressus",0.640731279382384,0.0909950017623583,7.07461323714474
"Cotoneaster_glaucophyllus",0.640731279382384,0.0909950017623583,7.07461323714474
"Cotoneaster_rotundifolius",0.640731051505244,0.0909929151288544,7.07463106401207
"Cotoneaster_acutifolius",0.640730961550831,0.0909921312785879,7.07463791349305
