"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.318381183950458,0.0884206005020706,7.00148653430396
"Spiraea_trifoliata",0.318381183950458,0.0884206005020706,7.00148653430396
"Gillenia_trifoliata",0.318382098795553,0.0879211080294056,7.00039707275077
"Gillenia_stipulata",0.318382098795553,0.0879211080294056,7.00039707275077
"Lindleya_mespiloides",0.318380228401708,0.0895607394487253,7.00276109384199
"Vauquelinia_corymbosa",0.318381957382789,0.0885620736652972,7.00096188910166
"Vauquelinia_californica",0.318381957382789,0.0885620736652972,7.00096188910166
"Sorbus_thomsonii",0.317996444231037,0.276474252322379,7.09210086078757
"Sorbus_caloneura",0.317996614584599,0.276335276090095,7.09191383379788
"Sorbus_dunnii",0.317997143893015,0.275832586889453,7.09126149007846
"Sorbus_folgneri",0.317997886478087,0.27496129024965,7.09019329693162
"Sorbus_yuana",0.317997977581857,0.27484198084369,7.09005075301482
"Aria_alnifolia",0.317997977581857,0.27484198084369,7.09005075301482
"Sorbus_hemsleyi",0.31799745579636,0.275360981977559,7.09070189691869
"Sorbus_tsinlingensis",0.31799745579636,0.275360981977559,7.09070189691869
"Sorbus_coronata",0.317997307939324,0.275540912963666,7.0909206445747
"Photinia_hirsuta",0.317996081900677,0.27698383301144,7.09272223488401
"Photinia_impressivena",0.317997120703733,0.27641570360594,7.09187910834198
"Photinia_sorbifolia",0.317997774647505,0.275933225043263,7.09122030818999
"Photinia_schneideriana",0.317997774647505,0.275933225043263,7.09122030818999
"Photinia_benthamiana",0.317997865173147,0.275862465806925,7.09112587895807
"Photinia_fokienensis",0.317998565162549,0.275136205248712,7.09021270776019
"Photinia_parvifolia",0.317998640234273,0.275046611603489,7.09010293728304
"Photinia_villosa",0.317998640234273,0.275046611603489,7.09010293728304
"Photinia_komarovii",0.317998467546909,0.275247083111398,7.0903490774029
"Photinia_tsaii",0.317997659158769,0.275997093952184,7.09131239792228
"Photinia_beauverdiana",0.317997659158769,0.275997093952184,7.09131239792228
"Rhaphiolepis_umbellata",0.3179973870358,0.276245455924246,7.09163876027785
"Photinia_stenophylla",0.317996898897128,0.276547733174796,7.09206941268381
"Cotoneaster_verruculosus",0.31800057977523,0.27516517842116,7.08975698453455
"Cotoneaster_nitidus",0.31800057977523,0.27516517842116,7.08975698453455
