"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.53653082815157,0.358687386207843,6.55439987473692
"Spiraea_trifoliata",0.53653082815157,0.358687386207843,6.55439987473692
"Gillenia_trifoliata",0.536531458714106,0.358946460880659,6.55426416759269
"Gillenia_stipulata",0.536531458714106,0.358946460880659,6.55426416759269
"Lindleya_mespiloides",0.536530721500905,0.358658702016121,6.55447052943161
"Vauquelinia_corymbosa",0.536531609837879,0.359010745790632,6.5543460703152
"Vauquelinia_californica",0.536531609837879,0.359010745790632,6.5543460703152
"Sorbus_thomsonii",0.536530813856452,0.280348640405306,6.82581073129242
"Sorbus_caloneura",0.536530623077764,0.280366616839427,6.82599135613269
"Sorbus_dunnii",0.536529950671332,0.2804259930159,6.82661644930822
"Sorbus_folgneri",0.536528990260937,0.280509109360823,6.8275478529051
"Sorbus_yuana",0.536528869568925,0.280519165198672,6.82766414633833
"Aria_alnifolia",0.536528869568925,0.280519165198672,6.82766414633833
"Sorbus_hemsleyi",0.536529335235782,0.280467033372645,6.827108120356
"Sorbus_tsinlingensis",0.536529335235782,0.280467033372645,6.827108120356
"Sorbus_coronata",0.536529535592717,0.280450779842973,6.82692457627952
"Photinia_hirsuta",0.536531496640837,0.280292441086954,6.82514913008792
"Photinia_impressivena",0.536530772756106,0.280377002246053,6.82587694575937
"Photinia_sorbifolia",0.536530163660177,0.280438231096226,6.82646667510669
"Photinia_schneideriana",0.536530163660177,0.280438231096226,6.82646667510669
"Photinia_benthamiana",0.536530098400069,0.280447055870738,6.82655460424344
"Photinia_fokienensis",0.536529279764306,0.28052205317948,6.82736342600502
"Photinia_parvifolia",0.536529174094323,0.280530473793659,6.82745776863393
"Photinia_villosa",0.536529174094323,0.280530473793659,6.82745776863393
"Photinia_komarovii",0.536529397671821,0.280511563357805,6.82724725196749
"Photinia_tsaii",0.536530198853887,0.280429418628326,6.82639066826415
"Photinia_beauverdiana",0.536530198853887,0.280429418628326,6.82639066826415
"Rhaphiolepis_umbellata",0.53653057216393,0.280399793582485,6.82608464561387
"Photinia_stenophylla",0.536530931094534,0.280358616697628,6.8257139959447
"Cotoneaster_verruculosus",0.536529303475209,0.280593101394875,6.82733619576532
"Cotoneaster_nitidus",0.536529303475209,0.280593101394875,6.82733619576532
"Cotoneaster_morrisonensis",0.53652939678964,0.280585703395387,6.82725372283209
"Cotoneaster_assamensis",0.536529419849436,0.280583644729863,6.82723096601072
"Cotoneaster_roseus",0.536529893046324,0.280554186798541,6.82679871174672
"Cotoneaster_melanocarpus",0.536529263149575,0.280613817312742,6.82744146927575
"Cotoneaster_integerrimus",0.536529184764432,0.280620023374552,6.82751108434077
"Cotoneaster_armenus",0.536529184764432,0.280620023374552,6.82751108434077
"Cotoneaster_niger",0.536529420289206,0.280600064881114,6.82728934055979
"Cotoneaster_cambricus",0.536529444737839,0.280597750001957,6.82726405076029
"Cotoneaster_racemiflorus",0.536529868478812,0.280557719761202,6.82682725527324
"Cotoneaster_mongolicus",0.53652970907523,0.280573646969337,6.82698885170149
"Cotoneaster_multiflorus",0.536529420793958,0.280598035798979,6.82725637284147
"Cotoneaster_przewalskii",0.536529059802608,0.28062645246591,6.82757882862232
"Cotoneaster_bullatus",0.536529059802608,0.28062645246591,6.82757882862232
"Cotoneaster_sylvestrii",0.536529558106174,0.280588497411069,6.8271439338406
"Cotoneaster_oliganthus",0.536529318088289,0.280608723006832,6.82736653674656
"Cotoneaster_hebephyllus",0.536529318088289,0.280608723006832,6.82736653674656
"Cotoneaster_submultiflorus",0.536529396979835,0.28060251119715,6.82729741869795
"Cotoneaster_dammeri",0.536529498930292,0.280595916104232,6.82721585181991
