"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.406547841121869,0.258095936693645,6.56576743742036
"Spiraea_trifoliata",0.406547841121869,0.258095936693645,6.56576743742036
"Gillenia_trifoliata",0.406547849426578,0.258238352112473,6.56604793173945
"Gillenia_stipulata",0.406547849426578,0.258238352112473,6.56604793173945
"Lindleya_mespiloides",0.406547838388866,0.258082468801632,6.56569126199539
"Vauquelinia_corymbosa",0.406547855122111,0.2582774303065,6.56613301803139
"Vauquelinia_californica",0.406547855122111,0.2582774303065,6.56613301803139
"Sorbus_thomsonii",0.406263263190348,0.225473767239159,6.83252559891363
"Sorbus_caloneura",0.406263262152238,0.22548542573035,6.83264640802222
"Sorbus_dunnii",0.406263262417589,0.225524363739117,6.83306383557605
"Sorbus_folgneri",0.406263266709204,0.225579052940486,6.83370303034056
"Sorbus_yuana",0.406263267308076,0.225585637484654,6.83378731192798
"Aria_alnifolia",0.406263267308076,0.225585637484654,6.83378731192798
"Sorbus_hemsleyi",0.406263268303626,0.225551691538574,6.83338563525835
"Sorbus_tsinlingensis",0.406263268303626,0.225551691538574,6.83338563525835
"Sorbus_coronata",0.406263267713572,0.225541075258036,6.83326214002198
"Photinia_hirsuta",0.406263249898172,0.225435016525608,6.83210286789833
"Photinia_impressivena",0.406263224227175,0.225487025058557,6.83260020815024
"Photinia_sorbifolia",0.406263215068227,0.225525798831874,6.83299873113499
"Photinia_schneideriana",0.406263215068227,0.225525798831874,6.83299873113499
"Photinia_benthamiana",0.406263214492512,0.225531529813972,6.83305989705265
"Photinia_fokienensis",0.406263214819527,0.225580488828891,6.8336164392873
"Photinia_parvifolia",0.406263215125765,0.225585992742772,6.83368364458918
"Photinia_villosa",0.406263215125765,0.225585992742772,6.83368364458918
"Photinia_komarovii",0.406263214589974,0.225573639025786,6.83353457419111
"Photinia_tsaii",0.406263217625786,0.225520348082819,6.83294416815492
"Photinia_beauverdiana",0.406263217625786,0.225520348082819,6.83294416815492
"Rhaphiolepis_umbellata",0.406263218923932,0.225501203145882,6.83274141025022
"Photinia_stenophylla",0.406263229213638,0.225475685385099,6.8324902458986
"Cotoneaster_verruculosus",0.406263085127389,0.225608316888747,6.83369739443503
