"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.490842621540483,0.000395297224222796,5.64011089721588
"Spiraea_trifoliata",0.490842621540483,0.000395297224222796,5.64011089721588
"Gillenia_trifoliata",0.490842373903725,0.000395081971823207,5.63996862927449
"Gillenia_stipulata",0.490842373903725,0.000395081971823207,5.63996862927449
"Lindleya_mespiloides",0.490842749251714,0.000395405951075775,5.64013545637222
"Vauquelinia_corymbosa",0.490842490772116,0.000395051696221528,5.63993444910147
"Vauquelinia_californica",0.490842490772116,0.000395051696221528,5.63993444910147
"Sorbus_thomsonii",0.490801588488376,0.000340806534346474,5.65437348639067
"Sorbus_caloneura",0.490801321249208,0.00034078339853145,5.65437889377938
"Sorbus_dunnii",0.49080033572538,0.000340703652602651,5.65439717266158
"Sorbus_folgneri",0.490798903385561,0.00034059008576924,5.65442661938406
"Sorbus_yuana",0.490798739835888,0.00034057643641705,5.65443058052479
"Aria_alnifolia",0.490798739835888,0.00034057643641705,5.65443058052479
"Sorbus_hemsleyi",0.490799560564981,0.000340643821957811,5.65441227792057
"Sorbus_tsinlingensis",0.490799560564981,0.000340643821957811,5.65441227792057
"Sorbus_coronata",0.490799822005225,0.00034066570493973,5.65440615746143
"Photinia_hirsuta",0.490802940227424,0.000340894731313818,5.65435825375375
"Photinia_impressivena",0.490802271450162,0.000340806027514414,5.65438577395831
"Photinia_sorbifolia",0.490801529197985,0.000340733009072692,5.65440566266139
"Photinia_schneideriana",0.490801529197985,0.000340733009072692,5.65440566266139
"Photinia_benthamiana",0.490801391677433,0.000340721846179445,5.65440834312906
"Photinia_fokienensis",0.49080017943727,0.000340622344569098,5.6544339623071
"Photinia_parvifolia",0.490800043688677,0.000340610959036304,5.65443703644859
"Photinia_villosa",0.490800043688677,0.000340610959036304,5.65443703644859
"Photinia_komarovii",0.490800348511159,0.000340636338556771,5.65443014758687
"Photinia_tsaii",0.490801611740927,0.000340742163677993,5.65440276983282
"Photinia_beauverdiana",0.490801611740927,0.000340742163677993,5.65440276983282
"Rhaphiolepis_umbellata",0.490802045897815,0.000340780703762135,5.6543933045846
"Photinia_stenophylla",0.490802433649565,0.000340825807569508,5.65437969076472
"Cotoneaster_verruculosus",0.490802862491549,0.000340651250030602,5.65446714007969
"Cotoneaster_nitidus",0.490802862491549,0.000340651250030602,5.65446714007969
"Cotoneaster_morrisonensis",0.49080298136634,0.000340661239649559,5.65446446757857
"Cotoneaster_assamensis",0.490803014187061,0.000340663975870441,5.65446371609953
"Cotoneaster_roseus",0.490804025658035,0.000340720803485628,5.65445486522545
"Cotoneaster_melanocarpus",0.490803073674139,0.000340642191419597,5.65447551664776
"Cotoneaster_integerrimus",0.490802973286594,0.000340633778971595,5.65447777670581
"Cotoneaster_armenus",0.490802973286594,0.000340633778971595,5.65447777670581
"Cotoneaster_niger",0.490803298119513,0.000340660652018166,5.65447060398964
"Cotoneaster_cambricus",0.490803335262368,0.000340663714234185,5.65446977842998
"Cotoneaster_racemiflorus",0.49080401335091,0.000340717612726548,5.65445618235398
"Cotoneaster_mongolicus",0.490803796602683,0.000340697869325653,5.65446160462819
"Cotoneaster_multiflorus",0.49080338843292,0.000340664803878976,5.65446990229892
"Cotoneaster_przewalskii",0.49080291667968,0.000340625880365206,5.65448032103794
"Cotoneaster_bullatus",0.49080291667968,0.000340625880365206,5.65448032103794
"Cotoneaster_sylvestrii",0.490803581051029,0.000340679014910533,5.65446676783318
"Cotoneaster_oliganthus",0.490803255486122,0.000340651906391524,5.65447392815513
"Cotoneaster_hebephyllus",0.490803255486122,0.000340651906391524,5.65447392815513
"Cotoneaster_submultiflorus",0.490803355253481,0.000340660299385902,5.65447169875167
"Cotoneaster_dammeri",0.490803500715363,0.000340670588495797,5.65446948308065
"Cotoneaster_coriaceus",0.490803364538864,0.000340659130869298,5.65447247167194
"Cotoneaster_turbinatus",0.490803364538864,0.000340659130869298,5.65447247167194
"Cotoneaster_giraldii",0.490803605700603,0.0003406792909618,5.65446726305814
"Cotoneaster_conspicuus",0.490803078605639,0.00034063578547535,5.65447854676124
"Cotoneaster_poluninii",0.490803078605639,0.00034063578547535,5.65447854676124
"Cotoneaster_procumbens",0.490803312073977,0.000340655099676839,5.6544735452179
"Cotoneaster_buxifolius",0.490803170614769,0.00034064324138067,5.65447669145178
"Cotoneaster_frigidus",0.490803170614769,0.00034064324138067,5.65447669145178
"Cotoneaster_monopyrenus",0.490804044133238,0.000340721199557818,5.65445503377311
"Cotoneaster_songaricus",0.490804090186371,0.000340727294214491,5.65445297640734
"Cotoneaster_glomerulatus",0.490804122101212,0.00034073248882678,5.65445109161821
"Cotoneaster_reticulatus",0.490804230108536,0.00034075143399279,5.65444418397774
"Cotoneaster_dielsianus",0.490802682132287,0.000340625034529982,5.65447690824469
"Cotoneaster_divaricatus",0.490802682132287,0.000340625034529982,5.65447690824469
"Cotoneaster_obscurus",0.490802581299106,0.000340617287176091,5.65447937316417
"Cotoneaster_adpressus",0.490802568607275,0.000340616263133079,5.65447964294517
"Cotoneaster_sternianus",0.490802324382254,0.000340596828345689,5.65448484061238
"Cotoneaster_wardii",0.490802324382254,0.000340596828345689,5.65448484061238
"Cotoneaster_acuminatus",0.490802342277408,0.000340597478882036,5.65448465991052
"Cotoneaster_atropurpureus",0.490802342277408,0.000340597478882036,5.65448465991052
"Cotoneaster_moupinensis",0.490802647897172,0.000340622682808846,5.65447788708525
"Cotoneaster_taoensis",0.490802369827525,0.000340596795503693,5.65448526109658
"Cotoneaster_microphyllus",0.490802369827525,0.000340596795503693,5.65448526109658
"Cotoneaster_perpusillus",0.49080254131456,0.000340610993510759,5.65448132106266
"Cotoneaster_salicifolius",0.490802872679431,0.00034063644075282,5.65447504482277
"Cotoneaster_ambiguus",0.490802618255557,0.000340615320361834,5.65448065773297
"Cotoneaster_foveolatus",0.490802618255557,0.000340615320361834,5.65448065773297
"Cotoneaster_franchetii",0.490802636200759,0.00034061696244249,5.65448040625289
"Cotoneaster_subadpressus",0.490802621911897,0.000340615765056162,5.65448072838645
"Cotoneaster_glaucophyllus",0.490802621911897,0.000340615765056162,5.65448072838645
"Cotoneaster_rotundifolius",0.490802784037144,0.000340629103450986,5.65447713874913
"Cotoneaster_acutifolius",0.490802844942839,0.000340634075172212,5.654475801723
"Cotoneaster_nitens",0.490802941607037,0.000340641998872906,5.65447365535883
"Cotoneaster_sp",0.490804259753322,0.000340759766830794,5.65444086732948
"Cotoneaster_pannosus",0.490802492129329,0.000340619427496015,5.6544759055145
"Cotoneaster_apiculatus",0.490802492129329,0.000340619427496015,5.6544759055145
"Cotoneaster_rehderi",0.490802620420298,0.000340630192931044,5.65447280730037
"Cotoneaster_horizontalis",0.490804057991881,0.000340766813371913,5.65443354232639
"Cotoneaster_harrysmithii",0.490804057991881,0.000340766813371913,5.65443354232639
"Photinia_berberidifolia",0.490803181352102,0.00034092966930982,5.65434843475031
"Stranvaesia_davidiana",0.490801424480485,0.000340775673156332,5.65438423347343
"Photinia_davidiana",0.490801424480485,0.000340775673156332,5.65438423347343
"Photinia_integrifolia",0.490802482362614,0.000340862223858742,5.65436438265787
"Photinia_prionophylla",0.490802482362614,0.000340862223858742,5.65436438265787
"Cormus_domestica",0.490800640422707,0.000340739452342037,5.65438967462133
"Sorbus_domestica",0.490800640422707,0.000340739452342037,5.65438967462133
"Chamaemespilus_alpina",0.490796871880471,0.000340523481915816,5.65442482313298
"Sorbus_cambrensis",0.490796841991733,0.00034052104744062,5.65442553952275
"Sorbus_porrigentiformis",0.490796806502805,0.000340518190434789,5.65442635438816
"Sorbus_eminentiformis",0.490796687606726,0.000340508373753238,5.65442902129124
"Sorbus_stenophylla",0.490796687606726,0.000340508373753238,5.65442902129124
"Sorbus_rupicola",0.490796775258415,0.000340515662643231,5.65442705239413
"Sorbus_aria",0.490796775258415,0.000340515662643231,5.65442705239413
"Sorbus_whiteana",0.490796779081021,0.000340515980886656,5.65442696629558
"Sorbus_hibernica",0.490796785659477,0.000340516517417291,5.65442681952803
"Sorbus_leptophylla",0.490796821641044,0.000340519405191567,5.65442601096884
"Sorbus_stirtoniana",0.490798047960809,0.000340617691665629,5.65439913570202
"Sorbus_saxicola",0.490798069977974,0.000340619481196079,5.65439866965135
"Sorbus_eminens",0.490798112538031,0.000340623053269172,5.6543976758221
"Torminalis_sp",0.490798727857002,0.00034067671875408,5.654381950149
"Torminalis_clusii",0.490797710028126,0.000340595386950915,5.65440293337121
"Sorbus_torminalis",0.490797710028126,0.000340595386950915,5.65440293337121
"Pyracantha_angustifolia",0.490802261849062,0.000340983599137609,5.65430990403174
"Pyracantha_crenulata",0.490798952715368,0.000340707981731323,5.65437320546996
"Pyracantha_fortuneana",0.490798952715368,0.000340707981731323,5.65437320546996
"Pyracantha_coccinea",0.490800008995519,0.000340793121849414,5.65435106686786
"Eriobotrya_deflexa",0.490800223477023,0.000340753129206312,5.65437372694631
"Eriobotrya_fragrans",0.490800099773056,0.00034074214423946,5.65437644245931
"Eriobotrya_japonica",0.490800099773056,0.00034074214423946,5.65437644245931
"Eriobotrya_bengalensis",0.490798424243217,0.000340608875784834,5.65440914518366
"Eriobotrya_tengyuehensis",0.490798424243217,0.000340608875784834,5.65440914518366
"Eriobotrya_prinoides",0.490798902545821,0.00034064843489163,5.65439825860294
"Eriobotrya_seguinii",0.490799107567528,0.000340676598601508,5.65438946932232
"Eriobotrya_malipoensis",0.490799107567528,0.000340676598601508,5.65438946932232
"Rhaphiolepis_indica",0.4908021637415,0.000340942046908905,5.65432549041565
"Dichotomanthes_tristaniicarpa",0.490801857884088,0.000340959882088471,5.65431309377117
"Osteomeles_schwerinae",0.490800528799639,0.000340847044072188,5.65433940078052
"Osteomeles_anthyllidifolia",0.490800528799639,0.000340847044072188,5.65433940078052
"Photinia_bodinieri",0.49080295921598,0.000341040083011803,5.6543019021529
"Stranvaesia_nussia",0.490802699387391,0.000341010389920551,5.65430895126171
"Stranvaesia_oblanceolata",0.490802699387391,0.000341010389920551,5.65430895126171
"Eriobotrya_cavaleriei",0.490802841682739,0.000341025876913552,5.65430539635879
"Pyrus_ussuriensis",0.490799605055378,0.000340625789959701,5.65442252867826
"Pyrus_korshinskyi",0.49079956265111,0.000340622235844947,5.65442360894614
"Pyrus_hopeiensis",0.49079956265111,0.000340622235844947,5.65442360894614
"Pyrus_syriaca",0.490801849878462,0.000340752347560731,5.65440200939724
"Pyrus_spinosa",0.490801849878462,0.000340752347560731,5.65440200939724
"Pyrus_elaeagnifolia",0.490801852318484,0.000340745956814581,5.65440487084174
"Pyrus_amygdaliformis",0.490801852318484,0.000340745956814581,5.65440487084174
"Pyrus_communis",0.490801856698605,0.000340744157911678,5.65440606471733
