"","alpha","sigma.sq","theta"
"Porteranthus_stipulatus",0.321033709196848,0.000289959156018665,5.63959689584125
"Spiraea_trifoliata",0.321033709196848,0.000289959156018665,5.63959689584125
"Gillenia_trifoliata",0.321033876787392,0.000289914433226968,5.63948430911082
"Gillenia_stipulata",0.321033876787392,0.000289914433226968,5.63948430911082
"Lindleya_mespiloides",0.321033727955998,0.000289952149958876,5.63961470263446
"Vauquelinia_corymbosa",0.321033949791753,0.000289852665510229,5.63945085105238
"Vauquelinia_californica",0.321033949791753,0.000289852665510229,5.63945085105238
"Sorbus_thomsonii",0.32085113131951,0.00027767992912233,5.65501460350011
"Sorbus_caloneura",0.320851156300064,0.000277668178325111,5.65501932259288
"Sorbus_dunnii",0.320851239468996,0.000277627391921627,5.65503522068341
"Sorbus_folgneri",0.320851351015057,0.000277568439903445,5.65505705151248
"Sorbus_yuana",0.320851363955459,0.000277561284554046,5.65505941775281
"Aria_alnifolia",0.320851363955459,0.000277561284554046,5.65505941775281
"Sorbus_hemsleyi",0.320851294821719,0.000277596149531032,5.6550468746858
"Sorbus_tsinlingensis",0.320851294821719,0.000277596149531032,5.6550468746858
"Sorbus_coronata",0.320851273748206,0.000277607542162581,5.65504252295549
"Photinia_hirsuta",0.320851043169759,0.000277725588871411,5.65499810398612
"Photinia_impressivena",0.320851147260217,0.000277681544357512,5.65501751314478
"Photinia_sorbifolia",0.320851226963313,0.000277644898966393,5.65503282118152
"Photinia_schneideriana",0.320851226963313,0.000277644898966393,5.65503282118152
"Photinia_benthamiana",0.320851239228419,0.000277639250703311,5.65503508453517
"Photinia_fokienensis",0.320851340040851,0.000277588104862051,5.65505457356995
"Photinia_parvifolia",0.320851351137257,0.000277582203379695,5.65505665831242
"Photinia_villosa",0.320851351137257,0.000277582203379695,5.65505665831242
"Photinia_komarovii",0.320851326229624,0.000277595353131413,5.65505194796232
"Photinia_tsaii",0.320851215928894,0.000277649367058947,5.655030779152
"Photinia_beauverdiana",0.320851215928894,0.000277649367058947,5.655030779152
"Rhaphiolepis_umbellata",0.320851175871731,0.000277668871833989,5.65502295793728
"Photinia_stenophylla",0.320851124537033,0.000277691423646409,5.65501311631204
"Cotoneaster_verruculosus",0.320851361125018,0.000277618570786889,5.6550576813208
"Cotoneaster_nitidus",0.320851361125018,0.000277618570786889,5.6550576813208
"Cotoneaster_morrisonensis",0.320851351349816,0.00027762369722517,5.65505582395412
"Cotoneaster_assamensis",0.320851348647169,0.000277625099543243,5.65505530857851
"Cotoneaster_roseus",0.320851298618676,0.000277657307022832,5.65504561742292
"Cotoneaster_melanocarpus",0.320851378306193,0.000277617449618795,5.65506056233835
"Cotoneaster_integerrimus",0.320851386505875,0.000277613128589931,5.65506200788358
"Cotoneaster_armenus",0.320851386505875,0.000277613128589931,5.65506200788358
"Cotoneaster_niger",0.320851360017642,0.000277626889163131,5.65505719434945
"Cotoneaster_cambricus",0.320851356950503,0.000277628446487431,5.6550566205604
"Cotoneaster_racemiflorus",0.320851302487365,0.000277656015187966,5.65504636295124
"Cotoneaster_mongolicus",0.320851323268728,0.000277646309971349,5.65505033702549
"Cotoneaster_multiflorus",0.320851356368688,0.000277629438091181,5.65505649230916
"Cotoneaster_przewalskii",0.320851394028188,0.000277609321142372,5.65506341629471
"Cotoneaster_bullatus",0.320851394028188,0.000277609321142372,5.65506341629471
"Cotoneaster_sylvestrii",0.3208513427212,0.000277636948568238,5.65505397552976
"Cotoneaster_oliganthus",0.320851369624265,0.000277623135152833,5.65505898993013
"Cotoneaster_hebephyllus",0.320851369624265,0.000277623135152833,5.65505898993013
"Cotoneaster_submultiflorus",0.320851361394685,0.000277627428388987,5.65505745801308
"Cotoneaster_dammeri",0.320851351815843,0.000277632982296635,5.65505565270611
"Cotoneaster_coriaceus",0.320851363116807,0.000277627140825766,5.65505776664186
"Cotoneaster_turbinatus",0.320851363116807,0.000277627140825766,5.65505776664186
"Cotoneaster_giraldii",0.320851343129615,0.000277637405278075,5.6550540461025
"Cotoneaster_conspicuus",0.320851385782765,0.000277615084008786,5.6550619066578
"Cotoneaster_poluninii",0.320851385782765,0.000277615084008786,5.6550619066578
"Cotoneaster_procumbens",0.320851367352727,0.00027762510732294,5.65505851422913
"Cotoneaster_buxifolius",0.320851378958797,0.000277619031366896,5.65506065793967
"Cotoneaster_frigidus",0.320851378958797,0.000277619031366896,5.65506065793967
"Cotoneaster_monopyrenus",0.320851298496043,0.000277657668992456,5.65504559558431
"Cotoneaster_songaricus",0.320851291572209,0.000277660402466692,5.65504425915545
"Cotoneaster_glomerulatus",0.320851285512947,0.000277662644050414,5.65504309142956
"Cotoneaster_reticulatus",0.320851263095126,0.000277671059030079,5.65503874342647
"Cotoneaster_dielsianus",0.320851391815877,0.000277606736675341,5.65506293736055
"Cotoneaster_divaricatus",0.320851391815877,0.000277606736675341,5.65506293736055
"Cotoneaster_obscurus",0.320851400027097,0.000277602784972899,5.65506440997691
"Cotoneaster_adpressus",0.320851401036104,0.000277602257937048,5.65506459305802
"Cotoneaster_sternianus",0.320851419976687,0.000277592347729018,5.65506946633656
"Cotoneaster_wardii",0.320851419976687,0.000277592347729018,5.65506946633656
"Cotoneaster_acuminatus",0.320851419173443,0.000277592723393195,5.65506920470944
"Cotoneaster_atropurpureus",0.320851419173443,0.000277592723393195,5.65506920470944
"Cotoneaster_moupinensis",0.32085139467201,0.000277605562966371,5.65506343530913
"Cotoneaster_taoensis",0.320851420044212,0.000277592691731366,5.65506943358817
"Cotoneaster_microphyllus",0.320851420044212,0.000277592691731366,5.65506943358817
