"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.0971680671784304,0.149138471911227,9.18945871649422
"Solanum_ferocissimum",0.0971680671784304,0.149138471911227,9.18945871649422
"Solanum_stelligerum",0.0971594182131336,0.149438646899016,9.18849786224473
"Solanum_latens",0.097141206493697,0.150071318913804,9.18648883161088
"Solanum_chenopodium",0.0971148398303191,0.150966530515771,9.1836018191538
"Solanum_gympiense",0.0970669521672622,0.152559674728406,9.17841112040463
"Solanum_densevestitum",0.0971639559981817,0.149273335137958,9.189014956698
"Solanum_nemophilum",0.0971639559981817,0.149273335137958,9.189014956698
"Solanum_hapalum",0.0971522190985948,0.149683304853604,9.18771662414107
"Solanum_innoxium",0.0971299949463642,0.150451297543427,9.18527432383784
"Solanum_johnsonianum",0.0971013396047482,0.151410374998922,9.18215604106743
"Solanum_discolor",0.0970678985170114,0.152478866021073,9.17858475725678
"Solanum_shirleyanum",0.0970678985170114,0.152478866021073,9.17858475725678
"Solanum_corifolium",0.0970387939159555,0.153465607900165,9.17541344107578
"Solanum_cookii",0.0970054843167442,0.154554681388923,9.17182796169912
"Solanum_dissectum",0.0970357226453459,0.153558488581868,9.17509333855141
"Solanum_stupefactum",0.0970357226453459,0.153558488581868,9.17509333855141
"Solanum_furfuraceum",0.0970642457688654,0.15258864682868,9.17822884520763
"Solanum_rixosum",0.0970642457688654,0.15258864682868,9.17822884520763
"Solanum_incompletum",0.097114346998205,0.151007215094258,9.18343258112695
"Solanum_sandwicense",0.097114346998205,0.151007215094258,9.18343258112695
"Solanum_mitchellianum",0.0971212655150363,0.150770056558109,9.18419904289078
"Solanum_semiarmatum",0.0971212655150363,0.150770056558109,9.18419904289078
"Solanum_pancheri",0.0970832141304725,0.152048724852801,9.18005660690512
"Solanum_vaccinioides",0.0970832141304725,0.152048724852801,9.18005660690512
"Solanum_brownii",0.0971028787879702,0.151379804836665,9.18220761972352
"Solanum_viridifolium",0.0971028787879306,0.151379804838019,9.18220761971913
"Solanum_macoorai",0.0970870521447285,0.151921034862401,9.18047694021634
"Solanum_dimorphispinum",0.0970730922419673,0.152387696065482,9.17896515161441
"Solanum_amblymerum",0.0971096251936324,0.151112668456868,9.1830729301334
"Solanum_limitare",0.0971096251936324,0.151112668456868,9.1830729301334
"Solanum_inaequilaterum",0.0970731174687472,0.15235555933091,9.17905008901826
"Solanum_acanthodapis",0.0970946276992393,0.151610928380067,9.18145511036618
"Solanum_serpens",0.0970946276992393,0.151610928380067,9.18145511036618
"Solanum_neoanglicum",0.0970144005685502,0.154287260943199,9.17273851965017
"Solanum_nobile",0.0968680473791758,0.158759287149958,9.15723933514937
"Solanum_argopetalum",0.0968602619668665,0.158734176886948,9.15666931020699
"Solanum_papaverifolium",0.0968602619668665,0.158734176886948,9.15666931020699
"Solanum_lythrocarpum",0.0967701108743851,0.161588100562321,9.14677214709775
"Solanum_ellipticum",0.0968774963773378,0.158250345712479,9.15847339399069
"Solanum_dianthophorum",0.0968774963713282,0.158250345528221,9.15847339394975
"Solanum_centrale",0.0968894444157557,0.157860157704852,9.15980034093595
"Solanum_esuriale",0.0968894444157557,0.157860157704852,9.15980034093595
"Solanum_prinophyllum",0.0967282499399472,0.162588119029047,9.14255533371452
"Solanum_pungetium",0.0967282499399472,0.162588119029047,9.14255533371452
"Solanum_ditrichum",0.0967224995594557,0.162778976451112,9.14194321041325
"Solanum_vicinum",0.0967224995594557,0.162778976451112,9.14194321041325
"Solanum_elachophyllum",0.0962047778065393,0.177696518822656,9.08418009896908
"Solanum_jucundum",0.0962047778065393,0.177696518822656,9.08418009896908
"Solanum_tetrathecum",0.0961058858830184,0.180648534919256,9.07275410266536
"Solanum_nummularium",0.0960902566969394,0.181042212835997,9.07099905901374
"Solanum_orbiculatum",0.0960902566969394,0.181042212835997,9.07099905901374
"Solanum_hoplopetalum",0.0950856717496643,0.210857759307262,8.95528630021118
"Solanum_hystrix",0.0950856717496643,0.210857759307262,8.95528630021118
"Solanum_asymmetriphyllum",0.0808176901604347,0.428192005013417,7.83660939674953
"Solanum_sejunctum",0.0808176901604347,0.428192005013417,7.83660939674953
"Solanum_chippendalei",0.0704849240921701,1.02406882304279,6.47077371994691
"Solanum_diversiflorum",0.0854722605472236,0.503104546570563,7.82894095102904
"Solanum_phlomoides",0.0897504624473129,0.36807679457503,8.3322679661697
"Solanum_beaugleholei",0.0916697349945528,0.310978968654464,8.5560589056642
"Solanum_clarkiae",0.0938882890543234,0.245844511158189,8.81625128451961
