"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.0818574396335791,0.141874129444019,9.34609828468228
"Solanum_ferocissimum",0.0818574396335791,0.141874129444019,9.34609828468228
"Solanum_stelligerum",0.0818465121143077,0.142424465114593,9.34472734406743
"Solanum_latens",0.0818235495263767,0.143582126644452,9.34183810276209
"Solanum_chenopodium",0.0817903615776251,0.145256226947913,9.33766053351104
"Solanum_gympiense",0.0817302216357192,0.148291836968507,9.33009226713192
"Solanum_densevestitum",0.0818523306990273,0.142132709762889,9.34546124422697
"Solanum_nemophilum",0.0818523306990273,0.142132709762889,9.34546124422697
"Solanum_hapalum",0.0818375191441625,0.142879174564345,9.3435966317066
"Solanum_innoxium",0.0818095174385701,0.144291179416409,9.34007119248749
"Solanum_johnsonianum",0.0817734662216133,0.146109755406613,9.33553335696019
"Solanum_discolor",0.0817317641888119,0.14821889542662,9.33031343794392
"Solanum_shirleyanum",0.0817317641888119,0.14821889542662,9.33031343794392
"Solanum_corifolium",0.0816951843033146,0.150065351659566,9.32570065986135
"Solanum_cookii",0.0816533863549824,0.152176907700162,9.32043729294248
"Solanum_dissectum",0.0816913470360797,0.150258851950261,9.32522106742671
"Solanum_stupefactum",0.0816913470360797,0.150258851950261,9.32522106742671
"Solanum_furfuraceum",0.0817273106404221,0.148445676163898,9.32975082292169
"Solanum_rixosum",0.0817273106404221,0.148445676163898,9.32975082292169
"Solanum_incompletum",0.081788782180964,0.145326655259082,9.33748148840521
"Solanum_sandwicense",0.081788782180964,0.145326655259082,9.33748148840521
"Solanum_mitchellianum",0.0817975110892366,0.144886699326505,9.33858136429015
"Solanum_semiarmatum",0.0817975110892366,0.144886699326505,9.33858136429015
"Solanum_pancheri",0.0817497063209173,0.147299001770236,9.33255770144456
"Solanum_vaccinioides",0.0817497063209173,0.147299001770236,9.33255770144456
"Solanum_brownii",0.0817745019948541,0.146048865034882,9.33568617554991
"Solanum_viridifolium",0.081774501994803,0.146048865037464,9.3356861755435
"Solanum_macoorai",0.0817546171739953,0.147052841268447,9.33317595481374
"Solanum_dimorphispinum",0.081737105382234,0.147936900747623,9.33096820752235
"Solanum_amblymerum",0.0817836653250596,0.145594945101183,9.3368348150786
"Solanum_limitare",0.0817836653250596,0.145594945101183,9.3368348150786
