"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.163133695498566,0.011627350845037,7.31339460747092
"Solanum_ferocissimum",0.163133695498566,0.011627350845037,7.31339460747092
"Solanum_stelligerum",0.163128312268028,0.0116428079747869,7.31367014729524
"Solanum_latens",0.163117169282616,0.0116745694198567,7.31422350021357
"Solanum_chenopodium",0.163101165910127,0.0117198736016797,7.31498616848248
"Solanum_gympiense",0.163072256695811,0.011799510961455,7.31633571184111
"Solanum_densevestitum",0.163131142509393,0.011634717828576,7.31351887513369
"Solanum_nemophilum",0.163131142509393,0.011634717828576,7.31351887513369
"Solanum_hapalum",0.163123957174982,0.011655196977646,7.31387896140927
"Solanum_innoxium",0.16311043766324,0.0116936946118092,7.31453523518711
"Solanum_johnsonianum",0.163093093502241,0.0117421518407389,7.31535062934736
"Solanum_discolor",0.163072753727534,0.0117983560175897,7.31627567297612
"Solanum_shirleyanum",0.163072753727534,0.0117983560175897,7.31627567297612
"Solanum_corifolium",0.163055237368026,0.0118465560356215,7.31711311411438
"Solanum_cookii",0.163035227444403,0.0119016745204827,7.31803598917149
"Solanum_dissectum",0.163053367604568,0.0118517500981304,7.31719406125914
"Solanum_stupefactum",0.163053367604568,0.0118517500981304,7.31719406125914
"Solanum_furfuraceum",0.163070736111784,0.0118038590212182,7.31634232930049
"Solanum_rixosum",0.163070736111784,0.0118038590212182,7.31634232930049
"Solanum_incompletum",0.163100173976714,0.0117228943087662,7.31508972629792
"Solanum_sandwicense",0.163100173976714,0.0117228943087662,7.31508972629792
"Solanum_mitchellianum",0.163104394471623,0.0117111294450473,7.31488227768311
"Solanum_semiarmatum",0.163104394471623,0.0117111294450473,7.31488227768311
"Solanum_pancheri",0.163081456412693,0.0117744951092698,7.31596247256216
"Solanum_vaccinioides",0.163081456412693,0.0117744951092698,7.31596247256216
"Solanum_brownii",0.163093306532515,0.0117419834040817,7.315398471864
"Solanum_viridifolium",0.163093306532491,0.0117419834041478,7.3153984718651
"Solanum_macoorai",0.163083808928788,0.0117680021332053,7.31585165128307
"Solanum_dimorphispinum",0.16307544740238,0.0117909664174311,7.31624045763085
"Solanum_amblymerum",0.163097970829349,0.0117289528298051,7.31510026976825
"Solanum_limitare",0.163097970829349,0.0117289528298051,7.31510026976825
"Solanum_inaequilaterum",0.163075742879501,0.0117900752848907,7.31618317475926
"Solanum_acanthodapis",0.16308896233145,0.0117536872413769,7.31551557712635
"Solanum_serpens",0.16308896233145,0.0117536872413769,7.31551557712635
"Solanum_neoanglicum",0.163040464580339,0.0118872833463882,7.31781187850783
"Solanum_nobile",0.162952295636749,0.012129965353366,7.32171840143938
"Solanum_argopetalum",0.162947489404902,0.0121414625465629,7.32180323627765
"Solanum_papaverifolium",0.162947489404902,0.0121414625465629,7.32180323627765
