"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.10036615327893,0.105647238962756,7.31086302041317
"Solanum_ferocissimum",0.10036615327893,0.105647238962756,7.31086302041317
"Solanum_stelligerum",0.100361749274589,0.105848782177138,7.31041313029341
"Solanum_latens",0.10035245110914,0.10627413820363,7.30945731823847
"Solanum_chenopodium",0.10033899286503,0.106881545127402,7.30807725506776
"Solanum_gympiense",0.100314565169688,0.107967129647394,7.30558443280952
"Solanum_densevestitum",0.100364068548845,0.105736558522461,7.31065768567558
"Solanum_nemophilum",0.100364068548845,0.105736558522461,7.31065768567558
"Solanum_hapalum",0.100358070766736,0.106012633187254,7.31003961025592
"Solanum_innoxium",0.100346721246816,0.106528414150595,7.30887328833913
"Solanum_johnsonianum",0.100332100800927,0.107182527148267,7.30737744859896
"Solanum_discolor",0.100315137930253,0.107903335406454,7.30568852055329
"Solanum_shirleyanum",0.100315137930253,0.107903335406454,7.30568852055329
"Solanum_corifolium",0.100300246296073,0.108579274176643,7.30415457544669
"Solanum_cookii",0.100283189947453,0.109331074097171,7.3024185000816
"Solanum_dissectum",0.100298691126351,0.108642030366643,7.30400256318376
"Solanum_stupefactum",0.100298691126351,0.108642030366643,7.30400256318376
"Solanum_furfuraceum",0.100313268366651,0.107974431227036,7.3055048168912
"Solanum_rixosum",0.100313268366651,0.107974431227036,7.3055048168912
"Solanum_incompletum",0.100339010732755,0.106911872432523,7.30803830028434
"Solanum_sandwicense",0.100339010732755,0.106911872432523,7.30803830028434
"Solanum_mitchellianum",0.100342550506651,0.106748447202611,7.30840394363883
"Solanum_semiarmatum",0.100342550506651,0.106748447202611,7.30840394363883
"Solanum_pancheri",0.100323092373535,0.107622668412129,7.30640978275716
"Solanum_vaccinioides",0.100323092373535,0.107622668412129,7.30640978275716
"Solanum_brownii",0.100333152502397,0.107164167200689,7.30744966136743
"Solanum_viridifolium",0.100333152502378,0.107164167201599,7.30744966136532
"Solanum_macoorai",0.100325040620771,0.107535555582775,7.30661076576104
"Solanum_dimorphispinum",0.100317899248147,0.107853732782146,7.305879878798
"Solanum_amblymerum",0.100336509395498,0.106972116167754,7.30783093045682
"Solanum_limitare",0.100336509395498,0.106972116167754,7.30783093045682
"Solanum_inaequilaterum",0.100317843913598,0.107826545351277,7.30590842461207
"Solanum_acanthodapis",0.100328850111807,0.107311299850643,7.30704968366713
"Solanum_serpens",0.100328850111807,0.107311299850643,7.30704968366713
"Solanum_neoanglicum",0.100287828021244,0.109146540056501,7.302858334531
"Solanum_nobile",0.100213334814525,0.112249764110998,7.29551876236498
"Solanum_argopetalum",0.100209914291767,0.112238392933089,7.29541974597416
"Solanum_papaverifolium",0.100209914291767,0.112238392933089,7.29541974597416
"Solanum_lythrocarpum",0.100164130244948,0.114232607010785,7.2907964836616
"Solanum_ellipticum",0.100218542784935,0.11190101148167,7.29624945717255
"Solanum_dianthophorum",0.10021854278083,0.111901011391488,7.29624945726862
"Solanum_centrale",0.100224620442289,0.111628046865592,7.29686811990103
"Solanum_esuriale",0.100224620442289,0.111628046865592,7.29686811990103
"Solanum_prinophyllum",0.100143455667848,0.114939292604818,7.28890994333625
"Solanum_pungetium",0.100143455667848,0.114939292604818,7.28890994333625
"Solanum_ditrichum",0.100140461761806,0.115067822485753,7.28859441048098
"Solanum_vicinum",0.100140461761806,0.115067822485753,7.28859441048098
"Solanum_elachophyllum",0.099880528440507,0.125805495495092,7.26327999889824
"Solanum_jucundum",0.099880528440507,0.125805495495092,7.26327999889824
"Solanum_tetrathecum",0.0998306834270713,0.127917947165509,7.25832678794839
"Solanum_nummularium",0.0998229296821993,0.128203728253434,7.25759574376717
"Solanum_orbiculatum",0.0998229296821993,0.128203728253434,7.25759574376717
"Solanum_hoplopetalum",0.0993173339205896,0.149335369343581,7.20728957705225
"Solanum_hystrix",0.0993173339205896,0.149335369343581,7.20728957705225
"Solanum_asymmetriphyllum",0.0760788378607624,0.373717795427345,6.08950827413166
"Solanum_sejunctum",0.0760788378607624,0.373717795427345,6.08950827413166
"Solanum_chippendalei",0.07314827651886,0.778271237190445,5.53759316667765
"Solanum_diversiflorum",0.0945014908200868,0.355462893920092,6.72502544658963
"Solanum_phlomoides",0.0966458701444634,0.261004318891314,6.94288547858455
"Solanum_beaugleholei",0.0976060629517164,0.220724282280703,7.038362931948
"Solanum_clarkiae",0.0987172666081534,0.174240564057302,7.14828414877003
"Solanum_melanospermum",0.0987172666081534,0.174240564057302,7.14828414877003
"Solanum_heteropodium",0.0761146642948967,0.36938949528976,6.09503891916035
"Solanum_oedipus",0.0761146642948967,0.36938949528976,6.09503891916035
"Solanum_cataphractum",0.0767269066050688,0.286903603305217,6.20585448392319
"Solanum_petraeum",0.0767269066050688,0.286903603305217,6.20585448392319
"Solanum_tudununggae",0.0767258192234821,0.287056396507221,6.20564893185198
"Solanum_vansittartense",0.0767258192234821,0.287056396507221,6.20564893185198
"Solanum_leopoldense",0.0766849163632514,0.292544702918537,6.19839000730789
"Solanum_carduiforme",0.0766524865654765,0.296877422551437,6.19263588062276
"Solanum_cunninghamii",0.0766217358163164,0.300826293742213,6.18744522632071
"Solanum_dioicum",0.0766217358163164,0.300826293742213,6.18744522632071
"Solanum_cleistogamum",0.0981509990428627,0.19908031730838,7.09022926556787
"Solanum_horridum",0.0981509990428627,0.19908031730838,7.09022926556787
"Solanum_echinatum",0.0758345124622219,0.406496459808266,6.04520567245652
"Solanum_lucani",0.0758345124622219,0.406496459808266,6.04520567245652
"Solanum_coactiliferum",0.099670983797929,0.134770776528784,7.2422414909829
"Solanum_oldfieldii",0.0996709840973804,0.134770764200823,7.24224152012671
"Solanum_myoxotrichum",0.100163561254856,0.114208273365253,7.29077737490642
"Solanum_pyracanthos",0.100163561254856,0.114208273365253,7.29077737490642
"Solanum_batoides",0.100139022613113,0.115264075718026,7.28831853484227
"Solanum_mahoriense",0.100111871017482,0.116411170573237,7.28562047617389
"Solanum_bumeliifolium",0.100166806381475,0.113993046940988,7.29113395165393
"Solanum_heinianum",0.100166806381475,0.113993046940988,7.29113395165393
"Solanum_toliaraea",0.100126910699301,0.115734640952256,7.28714282557269
"Solanum_campylacanthum",0.100364019026168,0.105882474858473,7.31036066002337
"Solanum_panduriforme",0.100364019026168,0.105882474858473,7.31036066002337
"Solanum_incanum",0.100355407939803,0.106280137518989,7.30946919753177
"Solanum_arundo",0.100351382079909,0.106462151351521,7.30905508325375
"Solanum_cerasiferum",0.100354603572776,0.106295153670765,7.30940104974056
"Solanum_lichtensteinii",0.100354603572776,0.106295153670765,7.30940104974056
"Solanum_melongena",0.100355020354937,0.106239627434901,7.30945590264072
"Solanum_ovigerum",0.100355020354937,0.106239627434901,7.30945590264072
"Solanum_cumingii",0.100350335663982,0.106454170859416,7.30897523753598
"Solanum_sessilistellatum",0.100290910521764,0.109086924231901,7.30294213485965
"Solanum_kurzii",0.100306430697005,0.10833935142113,7.30458662277529
"Solanum_violaceum",0.100306430697005,0.10833935142113,7.30458662277529
"Solanum_rigescentoides",0.100294415102177,0.108889984059886,7.30335395080942
"Solanum_supinum",0.100294415102177,0.108889984059886,7.30335395080942
"Solanum_nigriviolaceum",0.100267659764188,0.110070489270491,7.30063263101948
"Solanum_aethiopicum",0.100334599188838,0.107138028518358,7.30739845269181
"Solanum_anguivi",0.100334599188838,0.107138028518358,7.30739845269181
"Solanum_cyaneopurpureum",0.100313200532289,0.108114245143243,7.30520329785869
"Solanum_glabratum",0.10030550215732,0.108457341838999,7.30441718484111
"Solanum_lamprocarpum",0.100295720511337,0.108883578304773,7.30342715192307
"Solanum_capense",0.100329096348968,0.10740530190326,7.30682906274824
"Solanum_tomentosum",0.100329096348968,0.10740530190326,7.30682906274824
"Solanum_humile",0.100322618030072,0.107700364888678,7.30616072927966
"Solanum_lidii",0.100324981186675,0.107573603690375,7.30641949953132
"Solanum_vespertilio",0.100324981186675,0.107573603690375,7.30641949953132
"Solanum_dasyphyllum",0.100264807107216,0.110101011569421,7.3004198294304
"Solanum_macrocarpon",0.100264807107216,0.110101011569421,7.3004198294304
"Solanum_giganteum",0.100249930097367,0.110598402772181,7.29923058223055
"Solanum_kwebense",0.100249930097367,0.110598402772181,7.29923058223055
"Solanum_goetzei",0.100237560344667,0.111145537324769,7.29797762003296
"Solanum_schimperianum",0.100174000877331,0.113882539315123,7.29161660345423
"Solanum_marginatum",0.100107055634823,0.116697252035113,7.28498320006938
"Solanum_aculeastrum",0.100054208142174,0.118904191263477,7.27975593598976
"Solanum_elaeagnifolium",0.0766754356921694,0.295265741486152,6.19465854847752
"Solanum_mortonii",0.0766754356921694,0.295265741486152,6.19465854847752
"Solanum_hindsianum",0.0766894598118023,0.293328336263357,6.19724884395122
"Solanum_tridynamum",0.0766894598118023,0.293328336263357,6.19724884395122
"Solanum_hieronymi",0.10001706832563,0.120642097056746,7.27557488169736
"Solanum_lanceolatum",0.1003765679063,0.105714630565434,7.31061331306092
"Solanum_rudepannum",0.1003765679063,0.105714630565434,7.31061331306092
"Solanum_torvum",0.100367844365832,0.106114172303358,7.30972024093803
"Solanum_chrysotrichum",0.100363119282086,0.106329306457168,7.30922396425341
"Solanum_pluviale",0.100363119282086,0.106329306457168,7.30922396425341
"Solanum_acutilobum",0.100375257037828,0.105779402400291,7.31048676702514
"Solanum_caricifolium",0.100375257037828,0.105779402400291,7.31048676702514
"Solanum_bolivianum",0.100368951415035,0.106070042317321,7.30983480032976
"Solanum_ursinum",0.100346905126896,0.107069994421645,7.30756779375999
"Solanum_albidum",0.100337312666,0.107472018887654,7.30661370092224
"Solanum_whalenii",0.100337312666,0.107472018887654,7.30661370092224
"Solanum_comarapanum",0.100312837631175,0.108559161925513,7.30411860751316
"Solanum_asperolanatum",0.10033263064507,0.107627091807104,7.30618677726326
"Solanum_stellativelutinum",0.10033263064507,0.107627091807104,7.30618677726326
"Solanum_asteropilodes",0.100365038694022,0.106182088034397,7.30948936813709
"Solanum_crinitipes",0.100365038694022,0.106182088034397,7.30948936813709
"Solanum_hayesii",0.100358894812258,0.10646357361789,7.30885796025066
"Solanum_bonariense",0.100325920488446,0.107959286993939,7.3054775245381
"Solanum_poinsettiifolium",0.100332559548707,0.107658463335741,7.30616543342546
"Solanum_subinerme",0.100332559548707,0.107658463335741,7.30616543342546
