"","alpha","sigma.sq","theta"
"Solanum_chenopodinum",0.167359397668276,6.42826925869102e-05,5.71118012097312
"Solanum_ferocissimum",0.167359397668276,6.42826925869102e-05,5.71118012097312
"Solanum_stelligerum",0.167358345408238,6.43807539222291e-05,5.71116929840561
"Solanum_latens",0.167356179510888,6.45837267535708e-05,5.71114344366813
"Solanum_chenopodium",0.167353310076367,6.48320334324748e-05,5.71110362566988
"Solanum_gympiense",0.167348602529351,6.51957322972408e-05,5.71102843577764
"Solanum_densevestitum",0.167359053019786,6.43027952147571e-05,5.71117503290413
"Solanum_nemophilum",0.167359053019786,6.43027952147571e-05,5.71117503290413
"Solanum_hapalum",0.16735760792,6.44424108205649e-05,5.71115847457125
"Solanum_innoxium",0.167355082455083,6.46703090012427e-05,5.71112548997711
"Solanum_johnsonianum",0.167352140795074,6.4908412664074e-05,5.71108116172178
"Solanum_discolor",0.167349699257947,6.50085463471631e-05,5.71103107091101
"Solanum_shirleyanum",0.167349699257947,6.50085463471631e-05,5.71103107091101
"Solanum_corifolium",0.167346445356359,6.53041480235068e-05,5.71098510692464
"Solanum_cookii",0.167343340534235,6.55318083754717e-05,5.71093066733858
"Solanum_dissectum",0.167346315167621,6.52953038918341e-05,5.71098033788815
"Solanum_stupefactum",0.167346315167621,6.52953038918341e-05,5.71098033788815
"Solanum_furfuraceum",0.167349706143943,6.49757201824309e-05,5.71102221986939
"Solanum_rixosum",0.167349706143943,6.49757201824309e-05,5.71102221986939
"Solanum_incompletum",0.167352561370115,6.49209223490437e-05,5.7111099037935
"Solanum_sandwicense",0.167352561370115,6.49209223490437e-05,5.7111099037935
"Solanum_mitchellianum",0.167353424564815,6.48360668517387e-05,5.71111987828439
"Solanum_semiarmatum",0.167353424564815,6.48360668517387e-05,5.71111987828439
"Solanum_pancheri",0.167349405981652,6.51778275585942e-05,5.71106011199608
"Solanum_vaccinioides",0.167349405981652,6.51778275585942e-05,5.71106011199608
"Solanum_brownii",0.16735164149718,6.49740444669233e-05,5.71109126873472
"Solanum_viridifolium",0.167351641497175,6.49740444672267e-05,5.71109126873465
"Solanum_macoorai",0.167349783340029,6.51524119672636e-05,5.71106603190689
"Solanum_dimorphispinum",0.167348395111268,6.5263604339205e-05,5.71104318419539
"Solanum_amblymerum",0.167353486284694,6.4735402200745e-05,5.71109365485936
"Solanum_limitare",0.167353486284694,6.4735402200745e-05,5.71109365485936
"Solanum_inaequilaterum",0.167349148961385,6.51444114062993e-05,5.71104010119704
"Solanum_acanthodapis",0.1673520494396,6.48441708218447e-05,5.71106944440448
"Solanum_serpens",0.1673520494396,6.48441708218447e-05,5.71106944440448
"Solanum_neoanglicum",0.167343749579907,6.5531427724261e-05,5.71094512295326
"Solanum_nobile",0.167334620927137,6.57664273977391e-05,5.71071517436837
"Solanum_argopetalum",0.167337762882968,6.52105978857567e-05,5.71071648159695
"Solanum_papaverifolium",0.167337762882968,6.52105978857567e-05,5.71071648159695
"Solanum_lythrocarpum",0.167329995884582,6.56871940043205e-05,5.71057977635655
"Solanum_ellipticum",0.167338196480692,6.53040748777306e-05,5.71074304513248
"Solanum_dianthophorum",0.167338196485448,6.53040741891869e-05,5.71074304514268
"Solanum_centrale",0.167339479587667,6.51963168975716e-05,5.71075955954777
"Solanum_esuriale",0.167339479587667,6.51963168975716e-05,5.71075955954777
"Solanum_prinophyllum",0.167331763490557,6.50010962444842e-05,5.71050593256811
"Solanum_pungetium",0.167331763490557,6.50010962444842e-05,5.71050593256811
"Solanum_ditrichum",0.167331426869507,6.50079271936775e-05,5.71049061645719
"Solanum_vicinum",0.167331426869507,6.50079271936775e-05,5.71049061645719
"Solanum_elachophyllum",0.167300691765946,6.54544423045356e-05,5.70979207917047
"Solanum_jucundum",0.167300691765946,6.54544423045356e-05,5.70979207917047
"Solanum_tetrathecum",0.167293657159727,6.56648650168298e-05,5.70965623118002
"Solanum_nummularium",0.167293754792177,6.54677257004246e-05,5.70963431482462
"Solanum_orbiculatum",0.167293754792177,6.54677257004246e-05,5.70963431482462
"Solanum_hoplopetalum",0.1672333478916,6.56957894756405e-05,5.70810799320668
"Solanum_hystrix",0.1672333478916,6.56957894756405e-05,5.70810799320668
"Solanum_asymmetriphyllum",0.146746887984295,0.000311149033776394,5.71109719947216
"Solanum_sejunctum",0.146746887984295,0.000311149033776394,5.71109719947216
"Solanum_chippendalei",0.144420892786335,0.000965480979500102,5.72070238744176
"Solanum_diversiflorum",0.166511798129193,9.62570806832743e-05,5.69403445499179
"Solanum_phlomoides",0.166902203357695,6.89623388396971e-05,5.70051830549138
"Solanum_beaugleholei",0.1670227071586,6.73555629829325e-05,5.70336918966985
"Solanum_clarkiae",0.167162423495869,6.60948260390599e-05,5.7064262963147
"Solanum_melanospermum",0.167162423495869,6.60948260390599e-05,5.7064262963147
"Solanum_heteropodium",0.146774820646894,0.000307740745631439,5.71078011319191
"Solanum_oedipus",0.146774820646894,0.000307740745631439,5.71078011319191
"Solanum_cataphractum",0.147264610136184,0.000197469931688504,5.70778932420935
"Solanum_petraeum",0.147264610136184,0.000197469931688504,5.70778932420935
"Solanum_tudununggae",0.147263702436612,0.000197746037996561,5.707792033992
"Solanum_vansittartense",0.147263702436612,0.000197746037996561,5.707792033992
"Solanum_leopoldense",0.147230017258873,0.000204842124064346,5.70801141522637
"Solanum_carduiforme",0.147203659235381,0.000210216435442016,5.70819351007205
"Solanum_cunninghamii",0.147179195485218,0.000213315330086559,5.70843713680301
"Solanum_dioicum",0.147179195485218,0.000213315330086559,5.70843713680301
"Solanum_cleistogamum",0.167067520967935,7.22769555886118e-05,5.7044264180408
"Solanum_horridum",0.167067520967935,7.22769555886118e-05,5.7044264180408
"Solanum_echinatum",0.146555038573866,0.000357316512890643,5.7121677778665
"Solanum_lucani",0.146555038573866,0.000357316512890643,5.7121677778665
"Solanum_coactiliferum",0.167269660839488,6.61178004731207e-05,5.70925817638219
"Solanum_oldfieldii",0.167269660873738,6.61178003673673e-05,5.7092581771785
"Solanum_myoxotrichum",0.167331354705962,6.53454672123232e-05,5.7105950170663
"Solanum_pyracanthos",0.167331354705962,6.53454672123232e-05,5.7105950170663
"Solanum_batoides",0.167327501151132,6.55379112121623e-05,5.71052450347165
"Solanum_mahoriense",0.167323799322592,6.56396125819463e-05,5.71044754309498
"Solanum_bumeliifolium",0.167334282200522,6.48922337527827e-05,5.7105844309071
"Solanum_heinianum",0.167334282200522,6.48922337527827e-05,5.7105844309071
"Solanum_toliaraea",0.167327072507012,6.53549456255026e-05,5.7104848094381
"Solanum_campylacanthum",0.16735632760553,6.45688283707118e-05,5.71117566319112
"Solanum_panduriforme",0.16735632760553,6.45688283707118e-05,5.71117566319112
"Solanum_incanum",0.167354242095009,6.47764068206363e-05,5.71115023404051
"Solanum_arundo",0.167353383669366,6.4852525186581e-05,5.71113773501584
"Solanum_cerasiferum",0.16735470822362,6.46769280774663e-05,5.71114443460218
"Solanum_lichtensteinii",0.16735470822362,6.46769280774663e-05,5.71114443460218
"Solanum_melongena",0.167356003420129,6.44721657873232e-05,5.71113249426919
"Solanum_ovigerum",0.167356003420129,6.44721657873232e-05,5.71113249426919
"Solanum_cumingii",0.167354895815891,6.45757999215736e-05,5.71112009777948
"Solanum_sessilistellatum",0.167343485780415,6.54502560453516e-05,5.71094537148069
"Solanum_kurzii",0.167348035206353,6.49548286953771e-05,5.71098894083865
"Solanum_violaceum",0.167348035206353,6.49548286953771e-05,5.71098894083865
"Solanum_rigescentoides",0.167345181859572,6.52219459989773e-05,5.71095754726264
"Solanum_supinum",0.167345181859572,6.52219459989773e-05,5.71095754726264
"Solanum_nigriviolaceum",0.167340260018217,6.55868912063509e-05,5.71087377348761
"Solanum_aethiopicum",0.167352179617664,6.47541853750784e-05,5.71107559645381
"Solanum_anguivi",0.167352179617664,6.47541853750784e-05,5.71107559645381
"Solanum_cyaneopurpureum",0.167347254168499,6.52101007058316e-05,5.71101671382775
"Solanum_glabratum",0.167345741804378,6.53326937880629e-05,5.71099283409866
"Solanum_lamprocarpum",0.167344091727901,6.54391230946558e-05,5.71096179275487
"Solanum_capense",0.167350375254958,6.49576680033125e-05,5.71106668751639
"Solanum_tomentosum",0.167350375254958,6.49576680033125e-05,5.71106668751639
"Solanum_humile",0.167348933296828,6.50921126955883e-05,5.71104659549633
"Solanum_lidii",0.167350014633601,6.49430190486611e-05,5.71105162650564
"Solanum_vespertilio",0.167350014633601,6.49430190486611e-05,5.71105162650564
"Solanum_dasyphyllum",0.167342494243595,6.51676025343334e-05,5.71084852574363
"Solanum_macrocarpon",0.167342494243595,6.51676025343334e-05,5.71084852574363
"Solanum_giganteum",0.167342780299073,6.49253425750343e-05,5.71083634004602
"Solanum_kwebense",0.167342780299073,6.49253425750343e-05,5.71083634004602
"Solanum_goetzei",0.167340418172741,6.51012134530803e-05,5.71080139561048
"Solanum_schimperianum",0.167330293496206,6.56287921179311e-05,5.71062180857857
"Solanum_marginatum",0.167321504090325,6.58371720766726e-05,5.71043068570555
"Solanum_aculeastrum",0.167315013232773,6.59069569070915e-05,5.71027908372967
"Solanum_elaeagnifolium",0.147213034038711,0.000214195044075276,5.70788045026365
"Solanum_mortonii",0.147213034038711,0.000214195044075276,5.70788045026365
"Solanum_hindsianum",0.147224683557196,0.000211101958932008,5.70782974803606
"Solanum_tridynamum",0.147224683557196,0.000211101958932008,5.70782974803606
"Solanum_hieronymi",0.167307812650351,6.59943822828343e-05,5.71014551504888
"Solanum_lanceolatum",0.167353683054602,6.45161004241452e-05,5.71116636019844
"Solanum_rudepannum",0.167353683054602,6.45161004241452e-05,5.71116636019844
"Solanum_torvum",0.167351602198552,6.47104243007136e-05,5.71114424846823
"Solanum_chrysotrichum",0.167350626333201,6.48037640291628e-05,5.71112516564942
"Solanum_pluviale",0.167350626333201,6.48037640291628e-05,5.71112516564942
"Solanum_acutilobum",0.16735313975641,6.4575845126982e-05,5.71116922995907
"Solanum_caricifolium",0.16735313975641,6.4575845126982e-05,5.71116922995907
"Solanum_bolivianum",0.167351624047663,6.47237332744918e-05,5.71115095007551
"Solanum_ursinum",0.167346797521835,6.51570044836809e-05,5.71108479326919
"Solanum_albidum",0.167345601315753,6.51825423288925e-05,5.71105409303708
"Solanum_whalenii",0.167345601315753,6.51825423288925e-05,5.71105409303708
"Solanum_comarapanum",0.167340876006332,6.55665977713921e-05,5.71097621218763
"Solanum_asperolanatum",0.167346152035762,6.50184580713796e-05,5.71103161070239
"Solanum_stellativelutinum",0.167346152035762,6.50184580713796e-05,5.71103161070239
"Solanum_asteropilodes",0.167352608187024,6.45125773070079e-05,5.71112574059463
"Solanum_crinitipes",0.167352608187024,6.45125773070079e-05,5.71112574059463
"Solanum_hayesii",0.167351159323789,6.46481376308933e-05,5.7111091085798
"Solanum_bonariense",0.167343850949724,6.52997020944574e-05,5.71101566240267
"Solanum_poinsettiifolium",0.167345251787714,6.51726448790178e-05,5.71103848127185
"Solanum_subinerme",0.167345251787714,6.51726448790178e-05,5.71103848127185
"Solanum_paniculatum",0.167343214542636,6.53600363250738e-05,5.71100919385462
"Solanum_glutinosum",0.167339101988407,6.56450913664224e-05,5.71093336781872
"Solanum_donianum",0.16733580213591,6.57689627938591e-05,5.71085060619755
"Solanum_crotonoides",0.167332846999576,6.58509692829892e-05,5.71076751739406
"Solanum_multispinum",0.167331995298389,6.58666554085686e-05,5.71074176873099
"Solanum_arachnidanthum",0.167341722108496,6.53301587624363e-05,5.71093974967328
"Solanum_tampicense",0.167341722108496,6.53301587624363e-05,5.71093974967328
"Solanum_monachophyllum",0.167339871028739,6.5496543300074e-05,5.71091361911016
"Solanum_pedemontanum",0.167339871028739,6.5496543300074e-05,5.71091361911016
"Solanum_adhaerens",0.167342691230486,6.51879396686209e-05,5.71094027798345
"Solanum_aturense",0.167342691230486,6.51879396686209e-05,5.71094027798345
"Solanum_jamaicense",0.167336814571034,6.56378582320442e-05,5.71084656938532
