Species,Fruit_type,Fruit_type_and_notes,Notes,References
Acokanthera_oblongifolia,Fleshy,Berry,"Fruit a globose, 1Ð2-seeded, purplish black to black berry. ",Kupicha (1982)
Acokanthera_oppositifolia,Fleshy,Berry,"Fruit a globose, 1Ð2-seeded, purplish black to black berry. ",Kupicha (1982)
Acokanthera_rotundata,Fleshy,Berry,"Fruit a globose, 1Ð2-seeded, purplish black to black berry. ",Kupicha (1982)
Adenium_obesum,Dry,Follicle,,Plaizier (1980)
Aganosma_cymosa,Dry,Follicle,Coma present.,Middleton (1996)
Aganosma_schlechteriana,Dry,Follicle,Coma present.,Middleton (1996)
Aganosma_wallichii,Dry,Follicle,Coma present.,Middleton (1996)
Alafia_barteri,Dry,Follicle,with coma,Leeuwenberg (1997).
Alafia_thouarsii,Dry,Follicle,with coma,Leeuwenberg (1997). 
Allamanda_cathartica,Dry,Capsule,water or wind dispersal,"Fallen (1985); Kimmel et al., (2010) "
Allamanda_schottii,Dry,Capsule,water or wind dispersal,"Fallen (1985); Kimmel et al., (2010) "
Allomarkgrafia_brenesiana,Dry,Follicle,with coma,Morales (1997). 
Allomarkgrafia_plumeriiflora,Dry,Follicle,with coma,Morales (1997). 
Alstonia_scholaris,Dry,,"seeds with hairs and wings, probably wind dispersed",De Jong (1979). 
Alyxia_grandis,Fleshy,Drupe,,Burns (2016)
Alyxia_oblongata,Fleshy,Drupe,,Burns (2016)
Alyxia_reinwardtii,Fleshy,Drupe,,Burns (2016)
Alyxia_spicata,Fleshy,Drupe,,Burns (2016)
Amalocalyx_microlobus,Dry,Follicle,Coma present.,Endress et al. (2018)
Ambelania_acida,Fleshy,Berry,"seeds not embedded in pulp, attached to fleshy funicles",Endress et al. (2018)
Amphineurion_marginatum,Dry,Follicle,Coma present.,Endress et al. (2018)
Amsonia_elliptica,Dry,Follicle,,Endress et al. (2018)
Amsonia_tabernaemontana,Dry,Follicle,,Endress et al. (2018)
Anemotrochus_viridivenius,Dry,Follicle,,Endress et al. (2018)
Angadenia_berteroi,Dry,Follicle,with coma,Endress et al. (2018)
Angadenia_sagraei,Dry,Follicle,with coma,Endress et al. (2018)
Anisotoma_cordifolia,Dry,Follicle,,Endress et al. (2018)
Anodendron_oblongifolium,Dry,Follicle,Hairy seeds,Endress et al. (2018)
Anodendron_paniculatum,Dry,Follicle,Hairy seeds,Endress et al. (2018)
Anomalluma_dodsoniana,Dry,Follicle,Hairy seeds.,Endress et al. (2018)
Anomalluma_mccoyi,Dry,Follicle,Hairy seeds.,Endress et al. (2018)
Apocynum_androsaemifolium,Dry,Follicle,Coma present.,Endress et al. (2018)
Apocynum_cannabinum,Dry,Follicle,Coma present.,Endress et al. (2018)
Apteranthes_burchardii,Dry,Follicle,,Endress et al. (2018)
Apteranthes_europaea,Dry,Follicle,,Endress et al. (2018)
Apteranthes_joannis,Dry,Follicle,,Endress et al. (2018)
Apteranthes_munbyana,Dry,Follicle,,Endress et al. (2018)
Apteranthes_staintonii,Dry,Follicle,,Endress et al. (2018)
Apteranthes_tuberculata,Dry,Follicle,,Endress et al. (2018)
Araujia_angustifolia,Dry,Follicle,,Endress et al. (2018)
Araujia_odorata,Dry,Follicle,,Endress et al. (2018)
Araujia_plumosa,Dry,Follicle,,Endress et al. (2018)
Araujia_sericifera,Dry,Follicle,,Endress et al. (2018)
Artia_balansae,Dry,Follicle,flat seed with coma,Endress et al. (2018)
Asclepias_albens,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_albicans,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_alpestris,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_amplexicaulis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_angustifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_arenaria,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_atroviolacea,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_aurea,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_auriculata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_barjoniifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_boliviensis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_brachystephana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_brevipes,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_buchwaldii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_candida,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_cinerea,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_circinalis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_connivens,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_cordifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_coulteri,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_crispa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_cucullata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_curassavica,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_curtissii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_cutleri,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_densiflora,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_elata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_elegantula,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_emoryi,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_engelmanniana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_eriocarpa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_erosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_exaltata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_fascicularis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_feayi,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_flava,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_fournieri,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_gentryi,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_gibba,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_glaucescens,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_hallii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_hirtella,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_humistrata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_hypoleuca,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_inaequalis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_incarnata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_involucrata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_jaliscana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_jorgeana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_labriformis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_lanceolata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_latifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_lemmonii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_leptopus,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_linaria,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_linearis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_longifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_lynchiana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_macropus,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_macrosperma,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_macrotis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_macroura,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_masonii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_mcvaughii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_meadii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_melantha,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_mellodora,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_mexicana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_michauxii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_mirifica,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_multicaulis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_nivea,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_notha,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_nummularia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_nyctaginifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_obovata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_oenotheroides,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_otarioides,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_ovalifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_ovata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_pedicellata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_pellucida,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_perennis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_praemorsa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_pratensis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_prostrata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_pseudofimbriata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_puberula,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_pumila,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_purpurascens,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_quadrifolia,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_quinquedentata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_randii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_rosea,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_rubra,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_ruthiae,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_sanjuanensis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_scaposa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_schaffneri,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_scheryi,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_similis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_solanoana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_speciosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_spnovaffpringlei,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_standleyi,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_stathmostelmoides,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_stellifera,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_stenophylla,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_subaphylla,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_subulata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_subverticillata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_sullivantii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_syriaca,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_texana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_tomentosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_tuberosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_uncialis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_variegata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_verticillata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_vinosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_viridiflora,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_viridis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_viridula,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_virletii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_welshii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_woodii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_woodsoniana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_zanthodacryon,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Aspidoglossum_heterophyllum,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Aspidonepsis_diploglossa,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Aspidonepsis_flava,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Aspidosperma_australe,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_cruentum,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_cylindrocarpon,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_marcgravianum,Dry,Follicle,winged seeds,Endress et al. (2018)
