"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"1","Acrotriche_affinis",5.66233,0.000716,7e-06,6.393061,0.066588,0.007377,7.376387,0.029302,0.001787,8.14835,0.089771,0.00699,"Fleshy"
"2","Acrotriche_divaricata",5.670965,0.002747,6.6e-05,6.968441,0.097179,0.066394,7.352348,0.030896,0.014298,8.828573,0.14492,0.055921,"Fleshy"
"3","Acrotriche_rigida",5.668499,0.001838,1.8e-05,6.486163,0.03938,0.018107,7.478758,0.029607,0.0039,8.272852,0.053956,0.015251,"Fleshy"
"4","Acrotriche_serrulata",5.659388,0.000803,4e-06,6.644755,0.041788,0.003906,7.276321,0.018325,0.000913,8.623342,0.056711,0.003569,"Fleshy"
"5","Agapetes_hosseana",5.67761,NA,0.000198,7.385231,NA,0.199182,7.393878,NA,0.042895,8.826147,NA,0.167764,"Fleshy"
"6","Agarista_salicifolia",5.674026,0.001192,3e-06,7.421503,0.045287,0.00332,7.277396,0.018523,0.000715,9.231456,0.040159,0.002796,"Dry"
"7","Allotropa_virgata",5.639465,0.002263,5e-06,7.153796,0.091529,0.00498,6.999644,0.041122,0.001072,9.422492,0.116144,0.004194,"Dry"
"8","Andersonia_sprengelioides",5.666729,0.000448,2.5e-05,6.44591,0.178378,0.024898,7.424974,0.034779,0.005362,8.24876,0.214044,0.02097,"Dry"
"9","Andromeda_polifolia",5.625268,0.000581,1e-06,6.541247,0.019277,0.000524,6.492529,0.009641,0.000116,9.285604,0.019778,0.000455,"Fleshy"
"10","Androstoma_empetrifolia",5.640759,0.001832,9e-06,7.382986,0.120269,0.009054,6.934149,0.017223,0.00195,9.823614,0.092174,0.007626,"Fleshy"
"11","Anthopterus_wardii",5.683887,0.005165,1.7e-05,8.182086,0.102237,0.016599,7.22129,0.038008,0.003575,9.980016,0.143288,0.01398,"Fleshy"
"12","Arbutus_canariensis",5.656834,0.005661,6.6e-05,6.049462,0.158189,0.066394,7.484236,0.032822,0.014298,7.773405,0.061072,0.055921,"Fleshy"
"13","Arbutus_menziesii",5.653528,0.00115,5e-06,6.942527,0.060363,0.004858,7.178798,0.036157,0.001129,9.061093,0.083234,0.004302,"Fleshy"
"14","Archeria_comberi",5.633181,NA,0.000198,7.055313,NA,0.199182,6.71174,NA,0.042895,9.887917,NA,0.167764,"Dry"
"15","Arctostaphylos_pungens",5.661406,0.001125,2e-06,6.256309,0.048415,0.001509,7.557126,0.014308,0.000325,7.935191,0.052336,0.001271,"Fleshy"
