Species,Fruit_type,Notes,Reference,,
Leucopogon_concinnus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_nutans,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_ovalifolius,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_strictus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_leptanthus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_pendulus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_obtectus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_glaucifolius,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_cordifolius,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_racemulosus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_allittii,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_oxycedrus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Coleanthera_myrtoides,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Leucopogon_rotundifolius,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Stevens (2004),TRIBE STYPHELIEAE,
Styphelia_hainesii,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Styphelia_tenuifolia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Leucopogon_juniperinus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_setiger,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_fraseri,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Stevens (2004),TRIBE STYPHELIEAE,
Astroloma_microdonta,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Astroloma_pallidum,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Astroloma_serratifolium,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Astroloma_ciliatum,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
Astroloma_epacridis,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Keighery (1996),TRIBE STYPHELIEAE,
